time	x	y	z	
4.493938	0.166235	-0.1432362	0.2733718
4.503609	0.1661439	-0.1434929	0.2734632
4.519109	0.166048	-0.1437293	0.2735551
4.525663	0.1659477	-0.1439508	0.273648
4.540935	0.1660251	-0.1438201	0.2738678
4.55563	0.1660839	-0.1437099	0.2740772
4.570487	0.1662392	-0.1435935	0.2742889
4.584669	0.166374	-0.1434915	0.2744934
4.600119	0.1664927	-0.143401	0.2746921
4.609308	0.1664917	-0.1431159	0.2749143
4.624063	0.1664904	-0.1428558	0.2751309
4.637151	0.1665319	-0.1426058	0.2750366
4.652817	0.1665695	-0.1423729	0.2749644
4.667893	0.1666034	-0.1421605	0.2749081
4.682321	0.1667192	-0.1422817	0.2746142
4.697741	0.1668258	-0.1423804	0.2743538
4.706165	0.1667758	-0.1423161	0.2743416
4.721261	0.1667328	-0.14225	0.2743315
4.735303	0.1669537	-0.142077	0.2741516
4.752346	0.1671589	-0.141911	0.2739861
4.766715	0.1673517	-0.1417505	0.2738321
4.77459	0.1675078	-0.1415434	0.2736924
4.791308	0.1676586	-0.1413441	0.2735593
4.806123	0.1677641	-0.1413641	0.2735024
4.819151	0.1678694	-0.1413717	0.2734441
4.833983	0.1679742	-0.1413697	0.2733845
4.851102	0.1676732	-0.1413353	0.2734051
4.858561	0.1670821	-0.1416702	0.2733736
4.874601	0.1665412	-0.1419779	0.2733385
4.888808	0.1660399	-0.142264	0.2733007
4.9037	0.1655145	-0.1426676	0.2733927
4.918596	0.1650202	-0.1430458	0.2734725
4.932205	0.1645485	-0.1434045	0.2735435
4.947001	0.1642486	-0.1432961	0.2738003
4.958511	0.1639491	-0.1432159	0.2740343
4.971733	0.1638079	-0.142922	0.2741494
4.985364	0.1636541	-0.1426646	0.2742586
5.001378	0.1634904	-0.1424361	0.2743631
5.015907	0.163942	-0.1400364	0.2755279
5.028059	0.1641157	-0.1335849	0.2770489
5.041104	0.1642543	-0.1275827	0.278462
5.055674	0.1643653	-0.1219323	0.2797906
5.069397	0.1633347	-0.1103386	0.2767854
5.085769	0.1623758	-0.09946982	0.274064
5.101618	0.161468	-0.08910187	0.2715507
5.111451	0.1608071	-0.07842661	0.269751
5.124696	0.1601634	-0.06817667	0.2680425
5.138782	0.1592721	-0.05738407	0.2631834
5.153931	0.1588436	-0.04772413	0.2623516
5.169036	0.1584181	-0.03829339	0.2615793
5.185696	0.1579901	-0.02897963	0.2608381
5.198073	0.1567955	-0.01963434	0.2562218
5.21	0.1556546	-0.01042161	0.2518981
5.223231	0.1546419	-0.002202422	0.2448816
5.236445	0.1536586	0.005977046	0.2382233
5.251996	0.152697	0.01413648	0.2318359
5.267645	0.1517491	0.02228747	0.2256705
5.279948	0.150072	0.02894069	0.2265525
5.293507	0.1484794	0.03567164	0.2269658
5.308071	0.1499491	0.0402691	0.2211782
5.320635	0.1512141	0.04510318	0.2156
5.335161	0.1523008	0.04991051	0.2103628
5.349658	0.1524278	0.05119129	0.2049804
5.365587	0.1525356	0.0529479	0.1997171
5.375805	0.1515301	0.05310522	0.1942438
5.38901	0.1506052	0.05373254	0.1888423
5.403839	0.1512422	0.05287015	0.1905695
5.4212	0.1518095	0.05244788	0.1917839
5.436687	0.1523271	0.05236839	0.1926059
5.446232	0.1533489	0.0516032	0.1950749
5.458963	0.1542856	0.05114012	0.1971124
5.473279	0.1555836	0.04915041	0.1991934
5.488115	0.1567924	0.0474998	0.200974
5.503839	0.1578925	0.04613254	0.2024896
