time	x	y	z
7.588652	0.1630054	-0.05598617	0.2065688
7.596448	0.1632732	-0.05590016	0.2065429
7.612253	0.1629469	-0.05560042	0.2064338
7.625335	0.1626429	-0.05532677	0.2063336
7.633164	0.1622916	-0.05528424	0.2060643
7.645726	0.1619595	-0.05524121	0.2058148
7.661895	0.1616435	-0.05519798	0.2055813
7.677275	0.1616409	-0.05518957	0.2051484
7.693883	0.1616205	-0.05517773	0.2047433
7.705535	0.1616488	-0.05523283	0.2042769
7.718612	0.1616611	-0.05528042	0.2038322
7.732538	0.1616608	-0.05532177	0.2034074
7.746064	0.1617991	-0.05576453	0.2032861
7.760795	0.1619165	-0.05616798	0.2031498
7.775637	0.1616594	-0.0566327	0.2035105
7.787274	0.1614197	-0.05706337	0.2038187
7.804299	0.1612003	-0.05745551	0.2040822
7.813339	0.1609396	-0.05768524	0.204394
7.828581	0.1606915	-0.05791301	0.2046733
7.845401	0.1605319	-0.05793741	0.2046238
7.861034	0.1603722	-0.05797901	0.2045806
7.872013	0.16201	-0.05832944	0.2035546
7.883941	0.1635161	-0.05866926	0.2026043
7.897425	0.1649096	-0.05899879	0.2017192
7.91258	0.1690806	-0.05787827	0.2026495
7.927369	0.1729356	-0.05687725	0.2034652
7.94308	0.180716	-0.05669879	0.2098985
7.958374	0.1879616	-0.05653594	0.2157991
7.965607	0.1947892	-0.05638367	0.2212638
7.979291	0.2011518	-0.05566235	0.2195738
7.995079	0.2072645	-0.05500128	0.2182434
8.010229	0.2115059	-0.05287683	0.2108197
8.026901	0.2157348	-0.0509173	0.2041577
8.039364	0.2263885	-0.05030255	0.2064645
8.051777	0.2365369	-0.04969565	0.2085942
8.066085	0.2462858	-0.04909496	0.210584
8.079901	0.2600139	-0.05177649	0.2167328
8.093971	0.273056	-0.0541672	0.2223983
8.108883	0.2809151	-0.05544418	0.2188523
8.121886	0.288778	-0.05661864	0.2157394
8.137005	0.2966448	-0.05771424	0.21295
8.146959	0.3021183	-0.05878859	0.2072412
8.162517	0.3078036	-0.05980786	0.2020389
8.178063	0.3152313	-0.0601605	0.2013611
8.193815	0.3226905	-0.06053378	0.2006425
8.205449	0.3278376	-0.0610261	0.2014266
8.21937	0.3331538	-0.06152126	0.2020675
8.233695	0.338586	-0.06202254	0.2025961
8.24621	0.3399484	-0.06446009	0.2022059
8.260039	0.3417648	-0.06672624	0.2018197
8.277002	0.3344668	-0.06649637	0.1968162
8.291994	0.3282386	-0.06635513	0.1922005
8.300611	0.3228343	-0.0662825	0.1878796
8.315878	0.3182003	-0.0638725	0.1901267
8.330163	0.3140664	-0.0617218	0.1919825
8.343716	0.3098753	-0.0602846	0.1987079
8.360225	0.306015	-0.05895928	0.2047815
8.375877	0.3033375	-0.0593254	0.2184797
8.38434	0.3008116	-0.05964051	0.2310976
8.398204	0.2984027	-0.05991643	0.2428841
8.413221	0.2594206	-0.05390202	0.2274158
8.42842	0.2237047	-0.04840882	0.2137606
8.443693	0.1976941	-0.04182706	0.207411
8.459435	0.1731392	-0.03569114	0.2017135
8.46857	0.1497253	-0.02990478	0.1965274
8.483948	0.1352455	-0.02670714	0.1972447
8.496395	0.1207755	-0.02352343	0.1977793
8.510099	0.1108174	-0.024839	0.2008827
8.527574	0.100423	-0.02578401	0.2036571
8.543312	0.08896858	-0.02806496	0.2008147
8.554073	0.07735677	-0.02998339	0.1981805
8.564077	0.06562027	-0.0316241	0.1957052
8.582934	0.05635484	-0.03186515	0.1885897
8.592113	0.04678306	-0.0320339	0.182
8.609816	0.03985084	-0.03170403	0.1771652
8.625671	0.03246197	-0.03136427	0.1725266
8.635652	0.02474548	-0.03101821	0.1680635
8.649748	0.02240892	-0.03225542	0.1704988
8.664152	0.01934742	-0.03334454	0.1724232
8.677302	0.02114801	-0.03461643	0.1716064
8.693313	0.0220436	-0.035774	0.1706677
8.709973	0.02232872	-0.03680498	0.169697
8.718271	0.02498419	-0.03627908	0.1673829
8.73198	0.02690419	-0.03583749	0.1651163
8.746366	0.03122189	-0.03598826	0.1695955
8.760461	0.03484106	-0.03614629	0.17354
8.775826	0.04507786	-0.03698864	0.1793025
8.792277	0.05431069	-0.03778163	0.1845498
8.80215	0.06281629	-0.03854002	0.1894242
8.81726	0.07246363	-0.03896436	0.1938348
8.829774	0.08147597	-0.0393919	0.1980116
8.844824	0.09242493	-0.03925029	0.2028153
8.862651	0.1027888	-0.0391566	0.2074108
8.876256	0.1166599	-0.03992215	0.2118502
8.88689	0.1298729	-0.04065719	0.216158
8.910455	0.1574156	-0.04364912	0.2229082
8.927407	0.1705522	-0.04505194	0.2262473
8.943599	0.1842003	-0.0469915	0.2292223
8.958577	0.1975453	-0.0488508	0.2322108
8.969547	0.2106499	-0.05064674	0.2352094
8.987127	0.2164781	-0.05120281	0.2302644
8.995735	0.223047	-0.05185272	0.2259706
9.010784	0.225204	-0.05118945	0.2197137
9.026934	0.2280035	-0.05067504	0.2141108
9.042568	0.2287439	-0.04984995	0.2158463
9.054392	0.2300791	-0.04915005	0.2174647
9.066972	0.2318851	-0.04854899	0.2189909
9.082312	0.2325867	-0.04892956	0.2205977
9.095203	0.2290589	-0.04728846	0.2209715
9.110782	0.2261279	-0.04574751	0.2213619
9.126566	0.2236867	-0.0442952	0.2217629
9.138263	0.2216285	-0.0429125	0.222172
9.148989	0.2162738	-0.03843488	0.2224968
9.164864	0.2068405	-0.02701592	0.2199449
9.179579	0.1981477	-0.01632476	0.217592
9.192637	0.1904759	-0.004485826	0.2126097
9.209901	0.18324	0.006803761	0.2079077
9.224108	0.1763457	0.01766331	0.2034252
9.231579	0.1697233	0.02817986	0.1991174
9.247857	0.1683009	0.03852243	0.1958111
9.26225	0.1691327	0.04977063	0.1937046
9.27861	0.1695946	0.06076332	0.191554
9.294236	0.169768	0.07156625	0.189367
9.306081	0.1675742	0.08028446	0.1825908
9.318825	0.1653547	0.0890478	0.1761138
9.332473	0.161104	0.09450427	0.1676419
9.34556	0.1569809	0.1001817	0.1595276
9.359819	0.1529315	0.1060714	0.1516427
9.377106	0.1491272	0.1118056	0.144289
9.387759	0.1457524	0.1186781	0.1377452
9.400589	0.1407297	0.1219951	0.1436129
9.416009	0.1357937	0.1256033	0.1486637
9.430391	0.1421121	0.1321437	0.2170606
9.44338	0.1478943	0.1387556	0.2817946
9.459196	0.1532053	0.1453707	0.3431053
9.474442	0.1581515	0.1519905	0.4017739
9.484338	0.1479144	0.1600201	0.347639
9.499017	0.1387776	0.1679277	0.3017274
9.514904	0.173583	0.1918996	0.3098916
9.52815	0.2055953	0.2145116	0.3192278
9.54365	0.2353901	0.2360421	0.3294889
9.556929	0.2223938	0.2478871	0.3102067
9.568119	0.2117823	0.2598319	0.2942954
9.583164	0.1691777	0.1969242	0.2867222
9.596484	0.1134913	0.1877936	0.3194355
9.611684	0.0620232	0.1810249	0.351295
9.627186	0.01410605	0.1761467	0.3823407
9.641272	-0.03101758	0.1727663	0.4127409
9.649414	-0.04698823	0.214873	0.4338093
9.66574	-0.06365584	0.2540019	0.4552925
9.680455	-0.03325124	0.2492347	0.591133
9.69406	0.043689	0.1842307	0.8269644
9.71072	0.1146706	0.1235769	1.050222
9.72614	0.1808992	0.06639776	1.26341
9.735509	0.2433968	0.01194679	1.468689
9.748764	0.3156828	-0.215221	1.856845
9.764347	0.4056384	-0.778672	2.517494
9.777973	0.4915313	-1.307823	3.143536
9.792745	-1.398056	-2.694094	5.558697
9.809334	-1.398056	-2.694094	5.558697
9.819361	-1.398056	-2.694094	5.558697
9.832928	0.1901869	-0.1772579	0.2398601
9.846591	0.1901869	-0.1772579	0.2398601
9.861036	0.1872632	-0.1736328	0.2333581
9.877186	0.1844764	-0.1701775	0.2271605
9.891676	0.1818193	-0.166883	0.2212514
9.902899	0.1793723	-0.1596189	0.2191969
9.917884	0.1769917	-0.152717	0.2170661
