x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0493447	0.2040715	-0.07412505	0.02803731
15	11	0.0590073	0.2040167	-0.07368791	0.02896214
15	11	0.0676511	0.2035108	-0.07360697	0.03013206
15	11	0.0781845	0.203557	-0.07378054	0.03119278
15	11	0.0871693	0.2033579	-0.07395911	0.03209662
15	11	0.09551381	0.2033579	-0.07395911	0.03209662
15	11	0.1038819	0.2029355	-0.07453215	0.0330162
15	11	0.1118859	0.2033107	-0.07456267	0.03450274
15	11	0.122945	0.2031212	-0.07482779	0.03562069
15	11	0.1343614	0.2026434	-0.07512689	0.03681326
15	11	0.1449062	0.2026165	-0.07507885	0.03790617
15	11	0.1578611	0.2023075	-0.07512271	0.03874683
15	11	0.1699952	0.2019944	-0.07518089	0.03964043
15	11	0.1787165	0.2015815	-0.07512581	0.04074073
15	11	0.1894502	0.2013664	-0.07487583	0.04181957
15	11	0.2016908	0.2010558	-0.07486629	0.04280353
15	11	0.2121713	0.200794	-0.07450581	0.04383159
15	11	0.2229651	0.2006156	-0.07403445	0.04487133
15	11	0.2360407	0.2005203	-0.07357574	0.04581261
15	11	0.2459811	0.2001379	-0.07324958	0.04679394
15	11	0.256829	0.2001903	-0.07284093	0.04739475
15	11	0.2691711	0.1999609	-0.0721736	0.04827905
15	11	0.2793847	0.1998386	-0.07165682	0.04905915
15	11	0.2901877	0.1997023	-0.07113719	0.04968858
15	11	0.3022158	0.1995218	-0.0707016	0.05042815
15	11	0.3133099	0.1994734	-0.0702039	0.05106282
15	11	0.3236353	0.1992736	-0.06946874	0.05159187
15	11	0.3358092	0.1988866	-0.06875122	0.05234504
15	11	0.3466313	0.1987844	-0.06779397	0.05288148
15	11	0.3573248	0.198647	-0.06679547	0.05341434
15	11	0.3691058	0.1982524	-0.06541836	0.05396008
15	11	0.3799903	0.198462	-0.06409109	0.05434346
15	11	0.3909252	0.1987724	-0.06190157	0.05499697
15	11	0.4030233	0.1983769	-0.06096745	0.0556066
15	11	0.413864	0.1982532	-0.06004512	0.0567534
15	11	0.4246221	0.1982956	-0.05890191	0.05745125
15	11	0.4364649	0.1976464	-0.05787313	0.05839634
15	11	0.4475062	0.1974349	-0.05699837	0.05935907
15	11	0.4581121	0.1970634	-0.05540037	0.06041479
15	11	0.4701998	0.1967614	-0.05432951	0.06163692
15	11	0.4806146	0.196367	-0.05239308	0.06319666
15	11	0.4915277	0.1957591	-0.05095458	0.06474018
15	11	0.5034103	0.1949835	-0.04949462	0.06683731
15	11	0.5143055	0.1943104	-0.04834723	0.06877255
15	11	0.5249445	0.1935716	-0.04728043	0.07098961
15	11	0.538528	0.1919122	-0.0455786	0.07416987
15	11	0.5505991	0.1914167	-0.04378498	0.07711983
15	11	0.5599242	0.1899321	-0.04215825	0.08107901
15	11	0.5705269	0.1883624	-0.04104352	0.08460307
15	11	0.5811607	0.1869199	-0.03987479	0.08824873
15	11	0.5925645	0.1851587	-0.03891158	0.09226799
15	11	0.6039796	0.1830938	-0.03774643	0.09690332
15	11	0.6154568	0.1812699	-0.03560972	0.1012151
15	11	0.6292505	0.1786022	-0.03350937	0.1063681
15	11	0.6391108	0.1757257	-0.03112209	0.1110542
15	11	0.6505764	0.1730666	-0.0287137	0.1151671
15	11	0.6622351	0.1701314	-0.02593052	0.1202595
15	11	0.6738846	0.1677482	-0.02358019	0.1250782
15	11	0.6854078	0.1647093	-0.02051353	0.1292679
15	11	0.6975317	0.1615484	-0.01761937	0.1337831
15	11	0.7086933	0.1582887	-0.0130564	0.1386561
15	11	0.7209351	0.1542604	-0.009359837	0.1432433
15	11	0.7326078	0.1499326	-0.005140424	0.1478155
15	11	0.7436622	0.1457882	-0.00105679	0.1519983
15	11	0.7544382	0.1408434	0.001863241	0.1557968
15	11	0.7661065	0.1361721	0.006233215	0.1596372
15	11	0.7773868	0.1317031	0.009703279	0.1640909
15	11	0.7887149	0.126826	0.01362455	0.1679037
15	11	0.8002855	0.122828	0.01666737	0.1711457
15	11	0.8112613	0.1183476	0.01962292	0.175072
15	11	0.8216296	0.1132438	0.02275693	0.1769304
15	11	0.8333829	0.108851	0.02547657	0.1802113
15	11	0.845001	0.1023822	0.02908206	0.1820292
15	11	0.8552514	0.09402704	0.03674543	0.1823964
15	11	0.8668755	0.08990955	0.03797531	0.1841898
15	11	0.8777165	0.08683348	0.04285598	0.1859641
15	11	0.8885576	0.08243251	0.04508853	0.1874502
15	11	0.9002962	0.07764482	0.0477488	0.1886153
15	11	0.9109346	0.07205296	0.04949701	0.1901655
15	11	0.92216	0.06803465	0.05130541	0.190994
15	11	0.9336919	0.06374884	0.05339146	0.1913087
15	11	0.9447138	0.0603044	0.05569983	0.1913314
15	11	0.9556795	0.05709982	0.05751705	0.1919518
15	11	0.9673258	0.05431342	0.05849552	0.1924722
15	11	0.9780562	0.05220556	0.05974197	0.1931016
15	11	0.9891521	0.05009818	0.05958045	0.1942096
15	11	1.00117	0.04727077	0.05971098	0.1948857
15	11	1.011938	0.04540229	0.05980122	0.1955187
15	11	1.022644	0.0439074	0.05913222	0.1958642
15	11	1.034598	0.04230404	0.05885804	0.1960244
15	11	1.045129	0.04081535	0.05905664	0.1962647
15	11	1.05619	0.03925371	0.05811965	0.1973217
15	11	1.067569	0.03854537	0.05740762	0.1976929
15	11	1.078474	0.03743863	0.0567646	0.1983738
15	11	1.089889	0.03655314	0.05588698	0.1985815
15	11	1.101425	0.03599119	0.05491173	0.1991045
15	11	1.112006	0.0351882	0.05421638	0.1992872
15	11	1.123493	0.03442931	0.05337667	0.1994824
15	11	1.134207	0.03429151	0.05238342	0.1993091
15	11	1.145275	0.03388071	0.05194354	0.1993823
15	11	1.156174	0.03303766	0.05138135	0.1991167
15	11	1.167904	0.03222728	0.05125415	0.1989396
15	11	1.178573	0.03240514	0.05090201	0.1991251
15	11	1.189853	0.03209448	0.05053031	0.1990399
15	11	1.201317	0.03139114	0.05051064	0.1992478
15	11	1.21272	0.03114057	0.05050564	0.1993551
15	11	1.223812	0.03012967	0.05042076	0.1992602
15	11	1.235376	0.02916098	0.0509634	0.1989183
15	11	1.246477	0.02819872	0.05143106	0.1988397
15	11	1.258215	0.02629852	0.05148125	0.1996722
15	11	1.269367	0.02521276	0.05159914	0.1998863
15	11	1.279975	0.02439928	0.05144072	0.2001748
15	11	1.29092	0.02294803	0.0506717	0.2007654
15	11	1.303011	0.0213604	0.0501647	0.2012367
15	11	1.313362	0.02026916	0.04911542	0.2018235
15	11	1.324575	0.01926732	0.04862821	0.2022817
15	11	1.33602	0.01808286	0.04778659	0.2024822
15	11	1.346756	0.01631784	0.04741096	0.203017
15	11	1.358099	0.01459503	0.04663336	0.2032709
15	11	1.369272	0.0130949	0.04578781	0.2037554
15	11	1.379932	0.01140285	0.04565573	0.2031479
15	11	1.391252	0.009783268	0.04451692	0.2031085
15	11	1.402561	0.008053541	0.04346073	0.2036514
15	11	1.41373	0.005890608	0.04296207	0.2034736
15	11	1.424605	0.004067183	0.04321122	0.2046471
15	11	1.436305	0.002274513	0.0430553	0.2049897
15	11	1.447023	1.66893E-05	0.04309952	0.205519
15	11	1.458748	-0.001942635	0.04300475	0.2054064
15	11	1.469982	-0.004163265	0.0430094	0.2053065
15	11	1.481062	-0.005992889	0.04269445	0.2060068
15	11	1.492055	-0.008109808	0.04185867	0.2066312
15	11	1.506256	-0.01006746	0.0412302	0.2068496
15	11	1.514599	-0.01194024	0.04092538	0.2070699
15	11	1.524646	-0.01345992	0.04119182	0.2078562
15	11	1.535994	-0.01467681	0.04076791	0.2077272
15	11	1.5469	-0.01624751	0.04153454	0.2091212
15	11	1.558158	-0.01729608	0.04117692	0.2088208
15	11	1.569732	-0.01803374	0.04127061	0.2084975
15	11	1.580294	-0.01852822	0.04167092	0.2090471
15	11	1.591265	-0.01960063	0.04133856	0.2091029
15	11	1.602691	-0.02015424	0.04111171	0.2088401
15	11	1.613837	-0.02032328	0.04102659	0.2085214
15	11	1.624938	-0.02096772	0.04091239	0.2085876
15	11	1.636651	-0.02124953	0.04137862	0.2080204
15	11	1.647647	-0.02122092	0.04142833	0.2070324
15	11	1.658942	-0.02118707	0.04207897	0.2066293
15	11	1.67017	-0.02108288	0.04244423	0.2067242
15	11	1.680782	-0.02159047	0.04325378	0.2069907
15	11	1.692235	-0.02189088	0.0438987	0.2070765
15	11	1.703667	-0.02217531	0.04450059	0.2068501
15	11	1.714464	-0.02289534	0.04523337	0.2073727
15	11	1.726235	-0.02315521	0.04568172	0.207293
15	11	1.737419	-0.02336144	0.04591572	0.2073083
15	11	1.748168	-0.02340198	0.04629815	0.2069221
15	11	1.759499	-0.02348948	0.04645407	0.2068787
15	11	1.770676	-0.02342653	0.04674482	0.2068775
15	11	1.7821	-0.02333283	0.04795444	0.2078099
15	11	1.793234	-0.02313614	0.04819262	0.2075179
15	11	1.804374	-0.02288938	0.04863095	0.2070999
15	11	1.815451	-0.02192831	0.04863381	0.2063577
15	11	1.827211	-0.0217464	0.04896235	0.2063146
15	11	1.83838	-0.0214169	0.04918134	0.2062328
15	11	1.848948	-0.02087641	0.04794765	0.2046247
15	11	1.860272	-0.0205493	0.04781377	0.2048109
15	11	1.871289	-0.02005935	0.04723477	0.2052488
15	11	1.882314	-0.01988387	0.04725373	0.2050011
15	11	1.894033	-0.02060008	0.04746997	0.2069821
15	11	1.904702	-0.02033162	0.04718459	0.2073376
15	11	1.91588	-0.02080131	0.04805398	0.209559
15	11	1.927169	-0.02059793	0.04800248	0.2092841
15	11	1.938267	-0.02032256	0.04808784	0.2093694
15	11	1.949543	-0.0201509	0.04905295	0.2110691
15	11	1.961153	-0.01983833	0.04907954	0.2109113
15	11	1.972173	-0.01959085	0.04899836	0.2111106
15	11	1.983267	-0.01965547	0.04994547	0.2122197
15	11	1.994886	-0.01959109	0.04983354	0.2122083
