x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0416921	-0.434586	0.08791542	-0.3543892
15	11	0.0503812	-0.4348514	0.08750713	-0.3547311
15	11	0.0576282	-0.4348514	0.08750713	-0.3547311
15	11	0.0643499	-0.434901	0.0875231	-0.3547773
15	11	0.0747768	-0.4349422	0.08756673	-0.3548251
15	11	0.0854437	-0.4348583	0.08756876	-0.3549074
15	11	0.0979931	-0.4348767	0.08757842	-0.3549484
15	11	0.1080029	-0.4348781	0.08757329	-0.3549634
15	11	0.1188909	-0.4349241	0.08761334	-0.3549109
15	11	0.1300519	-0.434931	0.08763385	-0.3549216
15	11	0.1407659	-0.4349399	0.08763266	-0.3549139
15	11	0.1523146	-0.4349661	0.08776474	-0.3549674
15	11	0.1629809	-0.4349704	0.08777142	-0.3549535
15	11	0.1746284	-0.4349813	0.08778214	-0.3549492
15	11	0.1855772	-0.4344146	0.08804834	-0.3547144
15	11	0.196889	-0.4343972	0.08805752	-0.3546968
15	11	0.2080939	-0.4343724	0.0880686	-0.3546702
15	11	0.219117	-0.4340196	0.08817458	-0.3545415
15	11	0.2303519	-0.4339757	0.08816671	-0.3545277
15	11	0.2412846	-0.4339299	0.08817434	-0.3545204
15	11	0.2524664	-0.433989	0.08797216	-0.3541621
15	11	0.2637891	-0.4339643	0.08796632	-0.3541272
15	11	0.2751984	-0.4339397	0.08795488	-0.354092
15	11	0.2859477	-0.4341197	0.08786643	-0.3539851
15	11	0.2972834	-0.4341087	0.08786345	-0.353951
15	11	0.3085026	-0.4340961	0.08785737	-0.353933
15	11	0.3196314	-0.4344006	0.08796453	-0.3541037
15	11	0.3310665	-0.4344177	0.08796608	-0.354099
15	11	0.3424399	-0.434444	0.08797836	-0.3540759
15	11	0.3532394	-0.4340134	0.08792186	-0.3543071
15	11	0.3645278	-0.4340105	0.08792961	-0.3543185
15	11	0.3756098	-0.4340041	0.08793044	-0.3543214
15	11	0.3869101	-0.4343305	0.08744502	-0.354624
15	11	0.398702	-0.4343195	0.08743608	-0.3546357
15	11	0.4093687	-0.4343164	0.08741736	-0.3546419
15	11	0.4206653	-0.4342742	0.08744442	-0.3546346
15	11	0.4319953	-0.4342642	0.08744347	-0.3546491
15	11	0.4427922	-0.4345458	0.08736789	-0.3544817
15	11	0.4536276	-0.4351759	0.08708763	-0.3550198
15	11	0.4650486	-0.4352055	0.08708286	-0.3550231
15	11	0.4760614	-0.4352419	0.08708167	-0.3550453
15	11	0.4870955	-0.4356761	0.08691251	-0.3554795
15	11	0.4987024	-0.4356985	0.08691692	-0.3555012
15	11	0.5092798	-0.4357505	0.08692777	-0.3555175
15	11	0.5204785	-0.4355285	0.08692217	-0.3554995
15	11	0.5317812	-0.4355536	0.08692288	-0.3555146
15	11	0.5429184	-0.4355798	0.08692515	-0.3555348
15	11	0.5539661	-0.4354224	0.08718896	-0.3550478
15	11	0.564919	-0.4354546	0.08719885	-0.3550535
15	11	0.5761343	-0.4349165	0.08756411	-0.3549018
15	11	0.5879813	-0.4349902	0.08711278	-0.3549764
15	11	0.5996307	-0.4350142	0.0871017	-0.3549887
15	11	0.6099724	-0.4350317	0.08709276	-0.3550001
15	11	0.6207698	-0.4353342	0.08703232	-0.3552529
15	11	0.6321527	-0.4353743	0.08702838	-0.3552723
15	11	0.6432564	-0.4350004	0.08738327	-0.3549671
15	11	0.6546553	-0.4350512	0.08710933	-0.3550546
15	11	0.6661405	-0.4350777	0.08711076	-0.3550701
15	11	0.6772146	-0.4348893	0.08745265	-0.3545488
15	11	0.6882562	-0.435209	0.08705139	-0.3548038
15	11	0.6995614	-0.4352484	0.08703673	-0.3547955
15	11	0.7109383	-0.4346638	0.0873934	-0.3546647
15	11	0.7218437	-0.4351709	0.08699727	-0.3551335
15	11	0.7330715	-0.4351749	0.08699226	-0.3551508
15	11	0.7444753	-0.4344552	0.0875994	-0.3546191
15	11	0.7554918	-0.4348238	0.08743513	-0.3549483
15	11	0.7665176	-0.4348364	0.08743882	-0.3549778
15	11	0.778117	-0.4343779	0.08798826	-0.3543091
15	11	0.7889812	-0.4348974	0.08758295	-0.3547643
15	11	0.8002026	-0.4349093	0.08759534	-0.3547781
15	11	0.811414	-0.4349208	0.08761096	-0.3547879
15	11	0.8225099	-0.4348545	0.08756459	-0.3544447
15	11	0.834084	-0.4348743	0.08756101	-0.3544259
15	11	0.8449615	-0.4346437	0.08767164	-0.3543974
15	11	0.8562822	-0.4349971	0.08746374	-0.3546789
15	11	0.8677412	-0.4350052	0.08745801	-0.3546718
15	11	0.8785544	-0.4345348	0.08768475	-0.3546808
15	11	0.8897157	-0.4349203	0.08738995	-0.355026
15	11	0.9010915	-0.434921	0.08738291	-0.3550451
15	11	0.9121909	-0.4346147	0.08759749	-0.354851
15	11	0.9232455	-0.4347761	0.08717871	-0.3550133
15	11	0.9347026	-0.4347589	0.08714652	-0.3550152
15	11	0.9478367	-0.4347491	0.0872438	-0.3547227
15	11	0.957308	-0.4351287	0.08692753	-0.3550556
15	11	0.9679982	-0.4351315	0.08690417	-0.3550389
15	11	0.9794499	-0.4345419	0.08722878	-0.3548644
15	11	0.9908136	-0.4352579	0.08696663	-0.3555171
15	11	1.001849	-0.4352658	0.08697355	-0.3555539
15	11	1.012771	-0.4345751	0.08756793	-0.354986
15	11	1.023944	-0.4348695	0.08712947	-0.3552816
15	11	1.03529	-0.4348664	0.087129	-0.3553162
15	11	1.046078	-0.4351456	0.08712304	-0.3549944
15	11	1.057718	-0.4354954	0.08672559	-0.3552828
15	11	1.068484	-0.4355333	0.08672857	-0.3552721
15	11	1.079923	-0.4356766	0.08677864	-0.355024
15	11	1.09075	-0.4360743	0.08645368	-0.3552821
15	11	1.102159	-0.4361074	0.08643365	-0.3552586
15	11	1.113317	-0.4354343	0.08689559	-0.3549181
15	11	1.124676	-0.4359455	0.08671641	-0.3553178
15	11	1.135612	-0.5583768	0.07361174	-0.2835152
15	11	1.147038	-0.5571265	0.07527936	-0.2831258
15	11	1.158635	-0.5571761	0.07538247	-0.2833532
15	11	1.169299	-0.5562828	0.07615852	-0.2837424
15	11	1.180487	-0.5553942	0.07547486	-0.2832026
15	11	1.191115	-0.5554304	0.07550323	-0.2838355
15	11	1.202734	-0.5570824	0.0747031	-0.2843302
15	11	1.213506	-0.5568779	0.07665098	-0.284321
15	11	1.224837	-0.5568771	0.07677329	-0.2846824
15	11	1.235554	-0.5600805	0.07515299	-0.2863243
15	11	1.247204	-0.5599093	0.07619154	-0.2868282
15	11	1.258118	-0.5599964	0.07627869	-0.2872827
15	11	1.268833	-0.5605519	0.07570863	-0.2894462
15	11	1.280192	-0.5584948	0.07726264	-0.2880105
15	11	1.292059	-0.5589139	0.07727861	-0.2888942
15	11	1.303733	-0.5587997	0.07757962	-0.2892927
15	11	1.314741	-0.5526721	0.08239162	-0.2849743
15	11	1.325947	-0.552397	0.08276212	-0.2853148
15	11	1.337097	-0.5593109	0.07789099	-0.291109
15	11	1.348449	-0.5571728	0.07995284	-0.2901269
15	11	1.359352	-0.5571716	0.07991707	-0.2906235
15	11	1.370963	-0.5608733	0.07736421	-0.2938612
15	11	1.38193	-0.5596414	0.07830858	-0.2933724
15	11	1.392905	-0.560277	0.07795155	-0.2943215
15	11	1.403587	-0.5620987	0.07667708	-0.2961942
15	11	1.415197	-0.5610392	0.07749283	-0.2955794
15	11	1.425732	-0.5616484	0.07704926	-0.2964058
15	11	1.436717	-0.5623426	0.07655644	-0.2971178
15	11	1.44822	-0.5631533	0.0759753	-0.2978898
15	11	1.459768	-0.5636976	0.07547677	-0.2984343
15	11	1.470447	-0.5642824	0.07490993	-0.2989311
15	11	1.481647	-0.5620377	0.07588708	-0.2973723
15	11	1.49292	-0.5630865	0.07511961	-0.2983053
15	11	1.50383	-0.5593438	0.07758641	-0.2952904
15	11	1.515368	-0.5576215	0.07874095	-0.2940542
15	11	1.526658	-0.5580897	0.07791698	-0.2944105
15	11	1.537322	-0.5583227	0.07749248	-0.2944914
15	11	1.549015	-0.5533068	0.08069301	-0.2905397
15	11	1.560251	-0.5539496	0.08040369	-0.290794
15	11	1.571789	-0.549963	0.08292484	-0.2879169
15	11	1.582526	-0.5507705	0.08211005	-0.2879729
15	11	1.593649	-0.5511334	0.08160734	-0.288057
15	11	1.606677	-0.5483525	0.0835973	-0.2854329
15	11	1.616105	-0.5484796	0.08338571	-0.2849308
15	11	1.627234	-0.5487909	0.08327723	-0.2848877
15	11	1.63839	-0.5536234	0.08012533	-0.2874343
15	11	1.649848	-0.5526297	0.08086097	-0.2866149
15	11	1.660614	-0.5526507	0.08105993	-0.2862906
15	11	1.672255	-0.5566337	0.0783366	-0.2893722
15	11	1.683226	-0.5560689	0.07865191	-0.288494
15	11	1.694209	-0.5568807	0.07854199	-0.2890323
15	11	1.705477	-0.5598803	0.07669234	-0.2911963
15	11	1.716387	-0.5605354	0.0765413	-0.29125
15	11	1.727986	-0.5606771	0.07690299	-0.2914226
15	11	1.738436	-0.5652456	0.07406282	-0.2943324
15	11	1.749695	-0.5635121	0.07570434	-0.2931488
15	11	1.760786	-0.5637772	0.07590401	-0.293383
15	11	1.772335	-0.5666935	0.0743897	-0.2950239
15	11	1.783395	-0.5650828	0.07596338	-0.2941283
15	11	1.794624	-0.565582	0.075894	-0.2947592
15	11	1.806221	-0.5662863	0.07583416	-0.2953305
15	11	1.81744	-0.5651746	0.07693553	-0.2948985
15	11	1.828575	-0.5654449	0.07708943	-0.2952843
15	11	1.839631	-0.5633583	0.07871175	-0.2942444
15	11	1.850091	-0.5629935	0.07913542	-0.2942744
15	11	1.861482	-0.5631392	0.0792501	-0.2946471
15	11	1.876191	-0.5655346	0.07758844	-0.2966082
15	11	1.884743	-0.5658174	0.07727921	-0.2973161
15	11	1.895333	-0.5660615	0.076985	-0.2978702
15	11	1.906295	-0.5668259	0.07650232	-0.2984964
15	11	1.918954	-0.5655656	0.07717896	-0.298292
15	11	1.931292	-0.5658133	0.07690072	-0.2988343
15	11	1.939728	-0.5677948	0.07527626	-0.3008139
15	11	1.950991	-0.56707	0.0756979	-0.3007991
15	11	1.961783	-0.5673821	0.07521439	-0.3013353
15	11	1.973311	-0.5707021	0.0725311	-0.3044161
15	11	1.984515	-0.5694783	0.07339835	-0.3033969
15	11	1.995861	-0.5698097	0.07284832	-0.3039755
15	11	2.006736	-0.5706689	0.07208264	-0.3043803
15	11	2.01793	-0.5703259	0.07176256	-0.3048482
15	11	2.029747	-0.5706589	0.07122862	-0.3054044
15	11	2.040065	-0.5718579	0.07009482	-0.3065358
15	11	2.050907	-0.5699146	0.07119536	-0.3053174
15	11	2.062076	-0.5702472	0.0707022	-0.3058199
15	11	2.073153	-0.5700161	0.07015669	-0.3061316
15	11	2.084262	-0.5696592	0.07048559	-0.3056574
15	11	2.095696	-0.5707173	0.06982493	-0.3068514
15	11	2.106331	-0.5721622	0.06886685	-0.3077124
