x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0440594	-0.4539981	-0.06074643	-0.07943702
15	11	0.052082	-0.4539771	-0.06049895	-0.07949424
15	11	0.0607443	-0.454227	-0.06057489	-0.07986128
15	11	0.06762	-0.4544146	-0.06035173	-0.08001256
15	11	0.0742118	-0.4544146	-0.06035173	-0.08001256
15	11	0.0815153	-0.4543474	-0.06010246	-0.08013809
15	11	0.09061529	-0.4542091	-0.05952144	-0.08052599
15	11	0.1012796	-0.4540145	-0.05960584	-0.08045042
15	11	0.1136162	-0.4539132	-0.05942035	-0.0806967
15	11	0.1233364	-0.4542725	-0.05922997	-0.08079505
15	11	0.134757	-0.4545534	-0.05930936	-0.08079612
15	11	0.1455303	-0.454555	-0.05921531	-0.08090258
15	11	0.1564738	-0.4543254	-0.05920136	-0.08118033
15	11	0.1678065	-0.4543924	-0.05907249	-0.08097661
15	11	0.1789649	-0.4544368	-0.05905747	-0.0809648
15	11	0.1899395	-0.4540994	-0.05897558	-0.08097959
15	11	0.2014986	-0.4546561	-0.05908287	-0.08129179
15	11	0.2126868	-0.4545829	-0.05928648	-0.08118439
15	11	0.2238084	-0.4547923	-0.05931664	-0.0810883
15	11	0.2349646	-0.4544818	-0.05899966	-0.08069527
15	11	0.2472938	-0.454412	-0.05904067	-0.08051515
15	11	0.2587603	-0.4541602	-0.05904865	-0.08023608
15	11	0.268583	-0.4541473	-0.05964088	-0.08041
15	11	0.2794971	-0.4540741	-0.05963576	-0.08040965
15	11	0.2908944	-0.4540575	-0.05941176	-0.08041513
15	11	0.3022292	-0.45467	-0.05952489	-0.08085442
15	11	0.3134083	-0.4545133	-0.05926096	-0.08050001
15	11	0.3242697	-0.4543304	-0.0592587	-0.08071351
15	11	0.3354502	-0.4536064	-0.06003547	-0.07990766
15	11	0.3464625	-0.4544513	-0.06028032	-0.07986593
15	11	0.3581541	-0.4545975	-0.0601114	-0.07893872
15	11	0.3689257	-0.4548721	-0.05972874	-0.07900369
15	11	0.3803163	-0.4549525	-0.05975604	-0.07886827
15	11	0.3912888	-0.4545922	-0.05918431	-0.07919323
15	11	0.4025909	-0.4546907	-0.059147	-0.0789777
15	11	0.4138504	-0.4545646	-0.05865896	-0.07859612
15	11	0.4247342	-0.4544909	-0.05840492	-0.07927263
15	11	0.4362091	-0.454093	-0.05874205	-0.07906711
15	11	0.447182	-0.4537668	-0.05849659	-0.07929277
15	11	0.4588029	-0.4533386	-0.05813551	-0.07956672
15	11	0.4702005	-0.4535658	-0.05764699	-0.07944453
15	11	0.4817365	-0.4535425	-0.05718875	-0.07956159
15	11	0.4926995	-0.4532015	-0.05678976	-0.07992792
