x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0414865	0.2279601	-0.09431326	-0.03295279
15	11	0.0489143	0.2279127	-0.09393942	-0.03255701
15	11	0.0563382	0.227711	-0.09362185	-0.03183651
15	11	0.0629988	0.227711	-0.09362185	-0.03183651
15	11	0.070187	0.227953	-0.09347081	-0.03134298
15	11	0.0795147	0.227351	-0.09238601	-0.02974796
15	11	0.09025861	0.2271192	-0.09232819	-0.02888966
15	11	0.1031946	0.2264564	-0.09070992	-0.02582526
15	11	0.1139727	0.2263563	-0.09044898	-0.02362585
15	11	0.1250604	0.2203264	-0.08216047	-0.006907225
15	11	0.1356399	0.2203686	-0.08194017	-0.005935669
15	11	0.1466223	0.2202418	-0.08146822	-0.005131721
15	11	0.1581006	0.2205577	-0.0818305	-0.005276442
15	11	0.1777538	0.220722	-0.08094561	-0.003890753
15	11	0.1895043	0.2206879	-0.08101976	-0.003245115
15	11	0.1966267	0.2206879	-0.08101976	-0.003245115
15	11	0.2049401	0.2210743	-0.08161891	-0.003753662
15	11	0.213358	0.2211089	-0.08160841	-0.003189087
15	11	0.2244016	0.2211668	-0.08155167	-0.002665043
15	11	0.235553	0.2214041	-0.08193457	-0.002810478
15	11	0.2466375	0.2218428	-0.08227134	-0.001827717
15	11	0.2578416	0.2220061	-0.08246827	-0.001501322
15	11	0.2689891	0.2224917	-0.08242273	-0.001197338
15	11	0.2804817	0.2225404	-0.08210456	-0.0007727146
15	11	0.2913996	0.2227967	-0.08213162	-0.0007238388
15	11	0.3025183	0.2231321	-0.08176994	-0.0001716614
15	11	0.3139552	0.2226801	-0.08071506	-0.0002954006
15	11	0.3303649	0.2227662	-0.08045411	0.0001504421
15	11	0.3385268	0.2228484	-0.08007455	0.0005893707
15	11	0.3470291	0.2235179	-0.08000124	0.001060247
15	11	0.358352	0.2234206	-0.0799402	0.001634598
15	11	0.3694682	0.2236919	-0.07956815	0.002011776
15	11	0.3805583	0.2238779	-0.07934153	0.002512932
15	11	0.3917598	0.2239625	-0.0792222	0.002737999
15	11	0.4030729	0.2243333	-0.07877648	0.003165245
15	11	0.4147969	0.2244411	-0.07832372	0.003473043
15	11	0.4254062	0.2244778	-0.07833576	0.004049301
15	11	0.4363693	0.2245598	-0.07825673	0.004517078
15	11	0.4479083	0.224478	-0.07772553	0.004585743
15	11	0.4588141	0.2244937	-0.07741213	0.005285263
15	11	0.47052	0.2246699	-0.07689023	0.006025553
15	11	0.4876587	0.2249696	-0.07677972	0.006545544
15	11	0.4951726	0.2249827	-0.07624722	0.007456779
15	11	0.5036752	0.2252948	-0.07589567	0.007908344
15	11	0.5149758	0.2257605	-0.07595146	0.008594751
15	11	0.5263178	0.2258375	-0.07556427	0.009368658
15	11	0.5372059	0.2261412	-0.07509804	0.009918213
15	11	0.5487757	0.22616	-0.07454562	0.01025653
15	11	0.5596956	0.2262049	-0.0744468	0.01085067
15	11	0.5709755	0.2260566	-0.0743835	0.01160932
15	11	0.5818017	0.2261956	-0.07426548	0.01237893
15	11	0.5931242	0.2263794	-0.07412231	0.01294994
15	11	0.6043373	0.2262607	-0.07411242	0.01376367
15	11	0.6160101	0.2263081	-0.07396352	0.0144856
15	11	0.6267624	0.2263722	-0.07370687	0.01544547
15	11	0.6433268	0.2264094	-0.07362711	0.01624393
15	11	0.6505967	0.2263832	-0.07319307	0.01669478
15	11	0.6601346	0.2265213	-0.07299793	0.01700997
15	11	0.6713288	0.2267122	-0.07272387	0.01760077
15	11	0.6821963	0.2269838	-0.07253098	0.01814628
15	11	0.6934185	0.2270098	-0.0723263	0.01895618
15	11	0.7045344	0.2273893	-0.07200027	0.01958799
15	11	0.7159317	0.2275097	-0.07182992	0.02028155
15	11	0.7269779	0.227572	-0.07196784	0.02075553
15	11	0.7381378	0.2282	-0.07187068	0.02147007
15	11	0.7497613	0.2283998	-0.0718435	0.02221417
15	11	0.7608103	0.2285047	-0.07180214	0.02303076
15	11	0.7717664	0.2287726	-0.07172334	0.02377343
15	11	0.7833554	0.228951	-0.07152021	0.02448249
15	11	0.800272	0.2290461	-0.07133317	0.0253911
15	11	0.8079398	0.2294562	-0.07098174	0.02587414
15	11	0.8167706	0.2296221	-0.07070112	0.02638459
15	11	0.827814	0.2298262	-0.06949484	0.02797818
15	11	0.8387386	0.2298975	-0.06905138	0.02848244
15	11	0.8504676	0.2300472	-0.06881535	0.02901602
15	11	0.8613763	0.2299333	-0.06828105	0.03004789
15	11	0.8728874	0.2295485	-0.06811333	0.03070068
