x	y	time
15	11	0.0533475
15	11	0.07509769
15	11	0.08559529
15	11	0.09406769
15	11	0.1158692
15	11	0.1224786
15	11	0.1286772
15	11	0.1491994
15	11	0.1776638
15	11	0.2006037
15	11	0.2072327
15	11	0.2137485
15	11	0.2358463
15	11	0.2421064
15	11	0.2587611
15	11	0.28155
15	11	0.3037518
15	11	0.3258898
15	11	0.3485455
15	11	0.3706473
15	11	0.392847
15	11	0.4151554
15	11	0.4378687
15	11	0.4602326
15	11	0.4824585
15	11	0.5044476
15	11	0.5270192
15	11	0.5498378
15	11	0.5715816
15	11	0.5939569
15	11	0.6169699
15	11	0.6386272
15	11	0.6608379
15	11	0.6837989
15	11	0.7057965
15	11	0.7278741
15	11	0.7511265
15	11	0.7710312
15	11	0.7907612
15	11	0.8143139
15	11	0.8214685
15	11	0.8275784
15	11	0.8482686
15	11	0.8554043
15	11	0.8619677
15	11	0.8830397
15	11	0.8902017
15	11	0.8962548
15	11	0.9163097
15	11	0.9229397
15	11	0.9311929
15	11	0.9577608
15	11	0.9662966
15	11	0.9903793
15	11	0.999081
15	11	1.007853
15	11	1.028471
15	11	1.036382
15	11	1.043445
15	11	1.064515
15	11	1.072689
15	11	1.079218
15	11	1.105687
15	11	1.113483
15	11	1.135789
15	11	1.142988
15	11	1.149666
15	11	1.170403
15	11	1.1772
15	11	1.184622
15	11	1.205962
15	11	1.212415
15	11	1.220201
15	11	1.243572
15	11	1.25187
15	11	1.25855
15	11	1.279878
15	11	1.288392
15	11	1.295238
15	11	1.315831
15	11	1.323198
15	11	1.330527
15	11	1.350065
15	11	1.357281
15	11	1.363803
15	11	1.385129
15	11	1.391464
15	11	1.399452
15	11	1.424014
15	11	1.431798
15	11	1.439252
15	11	1.45858
15	11	1.466026
15	11	1.473116
15	11	1.492476
15	11	1.499341
15	11	1.50584
15	11	1.512247
15	11	1.533045
15	11	1.539238
15	11	1.545191
15	11	1.55412
15	11	1.573222
15	11	1.579481
15	11	1.587652
15	11	1.606842
15	11	1.61334
15	11	1.621141
15	11	1.640054
15	11	1.646999
15	11	1.654991
15	11	1.673825
15	11	1.680649
15	11	1.68836
15	11	1.70764
15	11	1.727237
15	11	1.74763
15	11	1.755359
15	11	1.761394
15	11	1.781699
15	11	1.790459
15	11	1.796824
15	11	1.818433
15	11	1.831048
15	11	1.854377
15	11	1.861579
15	11	1.869798
15	11	1.891238
15	11	1.897974
15	11	1.905974
15	11	1.92781
15	11	1.935782
15	11	1.94279
15	11	1.963768
15	11	1.97135
15	11	1.977637
15	11	1.997611
15	11	2.004929
15	11	2.011913
15	11	2.036323
15	11	2.044575
15	11	2.067956
15	11	2.077015
15	11	2.085467
15	11	2.109748
15	11	2.118359
15	11	2.127591
15	11	2.149397
15	11	2.157412
15	11	2.164223
15	11	2.187104
15	11	2.193554
15	11	2.200897
15	11	2.222074
15	11	2.228863
15	11	2.236677
15	11	2.25666
15	11	2.263036
15	11	2.270163
15	11	2.290383
15	11	2.29671
15	11	2.304311
15	11	2.326575
15	11	2.334124
15	11	2.340564
15	11	2.360308
15	11	2.367732
15	11	2.374108
15	11	2.393785
15	11	2.400905
15	11	2.407413
15	11	2.427409
15	11	2.43362
15	11	2.440374
15	11	2.447946
15	11	2.471851
15	11	2.481436
15	11	2.505343
15	11	2.514179
15	11	2.54129
15	11	2.550235
15	11	2.571408
15	11	2.578399
15	11	2.585627
15	11	2.611826
15	11	2.620553
15	11	2.642994
15	11	2.650912
15	11	2.657585
15	11	2.680099
15	11	2.687472
15	11	2.695121
15	11	2.717776
15	11	2.72509
15	11	2.731766
15	11	2.755135
15	11	2.762487
15	11	2.770631
15	11	2.792393
15	11	2.800051
15	11	2.808525
15	11	2.834706
15	11	2.842302
15	11	2.863898
15	11	2.872495
15	11	2.879537
15	11	2.902158
15	11	2.910086
15	11	2.918998
15	11	2.940612
15	11	2.947663
15	11	2.955228
15	11	2.975704
15	11	2.98355
15	11	2.990736
15	11	3.012878
15	11	3.021292
15	11	3.028516
15	11	3.051168
15	11	3.062488
15	11	3.084436
15	11	3.091858
15	11	3.098029
15	11	3.119971
15	11	3.127514
15	11	3.133198
15	11	3.156182
15	11	3.162879
15	11	3.1686
15	11	3.189338
15	11	3.196043
15	11	3.203347
15	11	3.224774
15	11	3.231459
15	11	3.239071
15	11	3.258604
15	11	3.26553
15	11	3.272953
15	11	3.292641
15	11	3.298664
15	11	3.305901
15	11	3.325484
15	11	3.332316
15	11	3.339585
15	11	3.359479
15	11	3.365801
15	11	3.37345
15	11	3.398609
15	11	3.405979
15	11	3.411892
15	11	3.431286
15	11	3.43908
15	11	3.445475
15	11	3.465903
15	11	3.474446
15	11	3.480604
15	11	3.504145
15	11	3.511732
15	11	3.519403
15	11	3.541094
15	11	3.547916
15	11	3.555715
15	11	3.581774
15	11	3.591193
15	11	3.615213
15	11	3.624755
15	11	3.647758
15	11	3.656238
15	11	3.662744
15	11	3.681722
15	11	3.689482
15	11	3.695704
15	11	3.702415
15	11	3.722767
15	11	3.728745
15	11	3.73567
15	11	3.756379
15	11	3.762446
15	11	3.769323
15	11	3.789059
15	11	3.79623
15	11	3.803748
15	11	3.824092
15	11	3.831197
15	11	3.838681
15	11	3.859143
15	11	3.866693
15	11	3.874239
15	11	3.895952
15	11	3.918367
15	11	3.941086
15	11	3.948219
15	11	3.955635
15	11	3.975979
15	11	3.982163
15	11	3.989164
15	11	4.009993
15	11	4.017363
15	11	4.023948
15	11	4.043497
15	11	4.050205
15	11	4.058047
15	11	4.081743
15	11	4.091965
15	11	4.11423
15	11	4.121956
15	11	4.129054
15	11	4.155445
15	11	4.161502
15	11	4.169032
15	11	4.188722
15	11	4.194841
15	11	4.202109
15	11	4.223908
15	11	4.242984
15	11	4.249856
15	11	4.256695
15	11	4.262898
15	11	4.283612
15	11	4.291117
15	11	4.297189
15	11	4.317399
15	11	4.324451
15	11	4.330256
15	11	4.350252
15	11	4.357587
15	11	4.3638
15	11	4.385629
15	11	4.392527
15	11	4.398115
15	11	4.418405
15	11	4.425854
15	11	4.431701
15	11	4.451872
15	11	4.458406
15	11	4.464214
15	11	4.471967
15	11	4.491969
15	11	4.499176
15	11	4.506348
15	11	4.527482
15	11	4.535996
15	11	4.54305
15	11	4.565289
15	11	4.573741
15	11	4.580961
15	11	4.601646
15	11	4.609499
15	11	4.616232
15	11	4.640705
15	11	4.648748
15	11	4.657027
15	11	4.680846
15	11	4.68779
15	11	4.694619
15	11	4.714178
15	11	4.721283
15	11	4.727899
15	11	4.746575
15	11	4.754082
15	11	4.760871
15	11	4.771209
15	11	4.792257
15	11	4.797987
15	11	4.805343
15	11	4.825546
15	11	4.83231
15	11	4.855686
15	11	4.878531
15	11	4.884573
15	11	4.891621
15	11	4.917036
15	11	4.924493
15	11	4.930812
15	11	4.950442
15	11	4.957648
15	11	4.963939
15	11	4.98388
15	11	4.991179
15	11	4.997777
15	11	5.017546
15	11	5.024526
15	11	5.030321
15	11	5.039829
15	11	5.060097
15	11	5.066434
15	11	5.073998
15	11	5.094612
15	11	5.101397
15	11	5.108113
15	11	5.133121
15	11	5.141421
15	11	5.164698
15	11	5.172597
15	11	5.178096
15	11	5.198777
15	11	5.206634
15	11	5.212834
15	11	5.232577
15	11	5.240174
15	11	5.246099
15	11	5.267375
15	11	5.274999
15	11	5.281441
15	11	5.30158
15	11	5.308728
15	11	5.314728
15	11	5.334137
15	11	5.341992
15	11	5.347742
15	11	5.368987
15	11	5.376477
15	11	5.382777
15	11	5.402664
15	11	5.410269
15	11	5.416308
15	11	5.435812
15	11	5.443141
15	11	5.44937
15	11	5.470038
15	11	5.476638
15	11	5.482736
15	11	5.502513
15	11	5.510965
15	11	5.516993
15	11	5.536823
15	11	5.543866
15	11	5.550761
15	11	5.570661
15	11	5.577739
15	11	5.583783
15	11	5.603787
15	11	5.610573
15	11	5.616992
15	11	5.644675
15	11	5.652359
15	11	5.6757
15	11	5.684444
15	11	5.693338
15	11	5.719956
15	11	5.727942
15	11	5.749315
15	11	5.756202
15	11	5.762849
15	11	5.783459
15	11	5.79093
15	11	5.797699
15	11	5.818122
15	11	5.825888
15	11	5.831927
15	11	5.85277
15	11	5.859828
15	11	5.866321
15	11	5.888649
15	11	5.89463
15	11	5.900795
15	11	5.92318
15	11	5.929066
15	11	5.935266
15	11	5.95564
15	11	5.961862
15	11	5.96764
15	11	5.977143
15	11	5.995894
15	11	6.002702
15	11	6.010982
15	11	6.030563
15	11	6.037621
15	11	6.044713
15	11	6.063669
15	11	6.070028
15	11	6.078009
15	11	6.096932
15	11	6.103695
15	11	6.111518
15	11	6.131843
15	11	6.138702
15	11	6.145383
15	11	6.16539
15	11	6.172858
15	11	6.180717
15	11	6.204921
15	11	6.212262
15	11	6.21886
15	11	6.23955
15	11	6.24707
15	11	6.253323
15	11	6.275155
15	11	6.28183
15	11	6.288418
15	11	6.307757
15	11	6.314357
15	11	6.320449
15	11	6.326981
15	11	6.346912
15	11	6.354358
15	11	6.361052
15	11	6.387019
15	11	6.393956
15	11	6.400217
15	11	6.421123
15	11	6.428818
15	11	6.43504
15	11	6.455952
15	11	6.461875
15	11	6.468694
15	11	6.489651
15	11	6.496168
15	11	6.503022
15	11	6.526031
15	11	6.532673
15	11	6.539225
15	11	6.559884
15	11	6.565891
15	11	6.572376
15	11	6.592909
15	11	6.599123
15	11	6.606433
15	11	6.626546
15	11	6.63259
15	11	6.639863
15	11	6.660198
15	11	6.666242
15	11	6.673658
15	11	6.693545
15	11	6.699663
15	11	6.707705
15	11	6.734892
15	11	6.743282
15	11	6.768878
15	11	6.776515
15	11	6.79863
15	11	6.806876
15	11	6.81424
15	11	6.835181
15	11	6.842753
15	11	6.849046
15	11	6.870714
15	11	6.880006
15	11	6.889213
15	11	6.91111
15	11	6.918242
15	11	6.92572
15	11	6.94622
15	11	6.952885
15	11	6.959717
15	11	6.97873
15	11	6.984841
15	11	6.992375
15	11	6.997907
15	11	7.017842
15	11	7.025367
15	11	7.038851
15	11	7.06282
15	11	7.070811
15	11	7.078981
15	11	7.102832
15	11	7.111451
15	11	7.119386
15	11	7.146329
15	11	7.154446
15	11	7.184622
15	11	7.193378
15	11	7.223804
15	11	7.23413
15	11	7.262872
15	11	7.272405
15	11	7.300722
15	11	7.309453
15	11	7.335642
15	11	7.344619
15	11	7.369152
15	11	7.379431
15	11	7.403995
15	11	7.413297
15	11	7.437425
15	11	7.446719
15	11	7.470633
15	11	7.479568
15	11	7.487083
15	11	7.510974
15	11	7.518849
15	11	7.529839
15	11	7.555099
15	11	7.56323
15	11	7.588711
15	11	7.596886
15	11	7.62454
15	11	7.632679
15	11	7.657324
15	11	7.665903
15	11	7.691494
15	11	7.699981
15	11	7.725248
15	11	7.732915
15	11	7.741481
15	11	7.765807
15	11	7.774672
15	11	7.799868
15	11	7.809427
15	11	7.837651
15	11	7.847226
15	11	7.883152
15	11	7.911098
15	11	7.920961
15	11	7.945457
15	11	7.952788
15	11	7.961044
15	11	7.983471
15	11	7.992534
15	11	8.000689
15	11	8.025812
15	11	8.033189
15	11	8.041772
15	11	8.0713
15	11	8.080346
15	11	8.104859
15	11	8.113813
15	11	8.13841
15	11	8.145816
15	11	8.153425
15	11	8.179765
15	11	8.188716
15	11	8.216955
15	11	8.225837
15	11	8.249304
15	11	8.257627
15	11	8.265307
15	11	8.288615
15	11	8.296644
15	11	8.304758
15	11	8.328737
15	11	8.335985
15	11	8.344226
15	11	8.370642
15	11	8.378497
15	11	8.402794
15	11	8.411269
15	11	8.419255
15	11	8.449469
15	11	8.458076
15	11	8.483656
15	11	8.493484
15	11	8.517825
15	11	8.527748
15	11	8.551813
15	11	8.56221
15	11	8.584316
15	11	8.593585
15	11	8.601504
15	11	8.628114
15	11	8.634964
15	11	8.661229
15	11	8.668932
15	11	8.694306
15	11	8.701455
15	11	8.709733
15	11	8.734664
15	11	8.742828
15	11	8.766688
15	11	8.774488
15	11	8.783461
15	11	8.807636
15	11	8.816185
15	11	8.840549
15	11	8.848311
15	11	8.856462
15	11	8.883403
15	11	8.891589
15	11	8.921188
15	11	8.930857
15	11	8.961743
15	11	8.968824
15	11	8.995358
15	11	9.003058
15	11	9.033159
15	11	9.042796
15	11	9.072268
15	11	9.081804
15	11	9.108988
15	11	9.117445
15	11	9.143658
15	11	9.151478
15	11	9.176935
15	11	9.184756
15	11	9.209677
15	11	9.218246
15	11	9.245326
15	11	9.253104
15	11	9.280019
15	11	9.289807
15	11	9.314461
15	11	9.322943
15	11	9.347179
15	11	9.356006
15	11	9.381606
15	11	9.391337
15	11	9.416224
15	11	9.424575
15	11	9.449421
15	11	9.457982
15	11	9.480999
15	11	9.488933
15	11	9.497273
15	11	9.520514
15	11	9.529028
15	11	9.536465
15	11	9.563251
15	11	9.570804
15	11	9.598105
15	11	9.609757
15	11	9.636991
15	11	9.64619
15	11	9.672066
15	11	9.681451
15	11	9.706211
15	11	9.715329
15	11	9.740672
15	11	9.749712
15	11	9.773917
15	11	9.783004
15	11	9.807939
15	11	9.816643
15	11	9.84713
15	11	9.855647
15	11	9.881824
15	11	9.889965
15	11	9.914558
15	11	9.934022
15	11	9.959563
15	11	9.978818
15	11	10.00115
15	11	10.02401
15	11	10.04821
15	11	10.06768
15	11	10.09248
15	11	10.11253
15	11	10.13626
15	11	10.15741
15	11	10.18187
