x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.3533334	0.345	-0.1	0.038
15	11	0.4184054	0.345	-0.1	0.038
15	11	0.4700782	0.345	-0.1	0.038
15	11	0.5165803	0.345	-0.1	0.038
15	11	0.5598369	0.345	-0.1	0.038
15	11	0.6064515	0.345	-0.1	0.038
15	11	0.6566093	0.345	-0.1	0.038
15	11	0.7050123	0.345	-0.1	0.038
15	11	0.7505729	0.345	-0.1	0.038
15	11	0.7952916	0.345	-0.1	0.038
15	11	0.83905	0.345	-0.1	0.038
15	11	0.8845617	0.345	-0.1	0.038
15	11	0.9320534	0.345	-0.1	0.038
15	11	0.9859886	0.345	-0.1	0.038
15	11	1.030141	0.345	-0.1	0.038
15	11	1.0736	0.345	-0.1	0.038
15	11	1.114843	0.345	-0.1	0.038
15	11	1.156721	0.345	-0.1	0.038
15	11	1.199386	0.345	-0.1	0.038
15	11	1.248294	0.345	-0.1	0.038
15	11	1.288548	0.345	-0.1	0.038
15	11	1.3311	0.345	-0.1	0.038
15	11	1.372311	0.345	-0.1	0.038
15	11	1.419365	0.345	-0.1	0.038
15	11	1.460218	0.345	-0.1	0.038
15	11	1.503845	0.345	-0.1	0.038
15	11	1.547939	0.345	-0.1	0.038
15	11	1.590612	0.345	-0.1	0.038
15	11	1.634173	0.345	-0.1	0.038
15	11	1.680722	0.345	-0.1	0.038
15	11	1.729888	0.345	-0.1	0.038
15	11	1.788338	0.345	-0.1	0.038
15	11	1.838905	0.345	-0.1	0.038
15	11	1.886272	0.345	-0.1	0.038
15	11	1.935214	0.345	-0.1	0.038
15	11	1.980515	0.345	-0.1	0.038
15	11	2.026047	0.345	-0.1	0.038
15	11	2.13018	0.345	-0.1	0.038
15	11	2.17639	0.345	-0.1	0.038
15	11	2.223961	0.345	-0.1	0.038
15	11	2.271669	0.345	-0.1	0.038
15	11	2.326317	0.345	-0.1	0.038
15	11	2.37693	0.345	-0.1	0.038
15	11	2.41969	0.345	-0.1	0.038
15	11	2.468382	0.345	-0.1	0.038
15	11	2.518489	0.345	-0.1	0.038
15	11	2.560482	0.345	-0.1	0.038
