x	y	time
15	11	0.0447708
15	11	0.052436
15	11	0.0594573
15	11	0.0659916
15	11	0.0740066
15	11	0.086979
15	11	0.0968133
15	11	0.108005
15	11	0.11978
15	11	0.1304971
15	11	0.1472748
15	11	0.1573099
15	11	0.1640215
15	11	0.175668
15	11	0.1858784
15	11	0.1973526
15	11	0.2086019
15	11	0.2195495
15	11	0.230947
15	11	0.2420082
15	11	0.2530631
15	11	0.2641682
15	11	0.2756571
15	11	0.2866023
15	11	0.298523
15	11	0.3088261
15	11	0.3197784
15	11	0.3310863
15	11	0.3424333
15	11	0.3535367
15	11	0.3645223
15	11	0.3760856
15	11	0.3873844
15	11	0.4002327
15	11	0.4097389
15	11	0.4209278
15	11	0.4320744
15	11	0.4435959
15	11	0.4557654
15	11	0.465945
15	11	0.476792
15	11	0.4886893
15	11	0.4990302
15	11	0.5104322
15	11	0.5224078
15	11	0.5330753
15	11	0.5442318
15	11	0.5551589
15	11	0.5662711
15	11	0.5779377
15	11	0.5888875
15	11	0.6005335
15	11	0.6141079
15	11	0.6234415
15	11	0.6355631
15	11	0.6471247
15	11	0.6589823
15	11	0.6705576
15	11	0.68265
15	11	0.6940514
15	11	0.705341
15	11	0.7165486
15	11	0.7280195
15	11	0.7390038
15	11	0.7505795
15	11	0.7635188
15	11	0.7726153
15	11	0.7836315
15	11	0.7946626
15	11	0.8059114
15	11	0.817391
15	11	0.8286334
15	11	0.8394565
15	11	0.8506387
15	11	0.8616267
15	11	0.8727625
15	11	0.8844326
15	11	0.8952694
15	11	0.9065675
15	11	0.9196756
15	11	0.9287043
15	11	0.9398865
15	11	0.9510685
15	11	0.9620047
15	11	0.9731553
15	11	0.9845004
15	11	0.9955599
15	11	1.006685
15	11	1.018352
15	11	1.029317
15	11	1.040704
15	11	1.052006
15	11	1.063309
15	11	1.076133
15	11	1.085756
15	11	1.096735
15	11	1.107974
15	11	1.119373
15	11	1.130369
15	11	1.141592
15	11	1.152793
15	11	1.163644
15	11	1.174924
15	11	1.186299
15	11	1.197109
15	11	1.208505
15	11	1.219992
15	11	1.231545
15	11	1.241699
15	11	1.253224
15	11	1.264046
15	11	1.275461
15	11	1.286797
15	11	1.297849
15	11	1.309359
15	11	1.320439
15	11	1.332058
15	11	1.343248
15	11	1.353882
15	11	1.365067
15	11	1.376658
15	11	1.390158
15	11	1.398753
15	11	1.40908
15	11	1.420414
15	11	1.431001
15	11	1.442521
15	11	1.453858
15	11	1.464752
15	11	1.475825
15	11	1.487298
15	11	1.498219
15	11	1.509379
15	11	1.520711
15	11	1.53173
15	11	1.544305
15	11	1.553853
15	11	1.5649
15	11	1.57645
15	11	1.587335
15	11	1.598604
15	11	1.610116
15	11	1.621048
15	11	1.632044
15	11	1.643546
15	11	1.654409
15	11	1.665635
15	11	1.677107
15	11	1.689194
15	11	1.705988
15	11	1.712192
15	11	1.719802
15	11	1.72947
15	11	1.740731
15	11	1.752261
15	11	1.76324
15	11	1.774201
15	11	1.785584
15	11	1.796452
15	11	1.807964
15	11	1.818896
15	11	1.829778
15	11	1.841409
15	11	1.854762
15	11	1.863355
15	11	1.874331
15	11	1.886062
15	11	1.896832
15	11	1.908503
15	11	1.919831
15	11	1.930873
15	11	1.94173
15	11	1.953321
15	11	1.964235
15	11	1.97561
15	11	1.987281
15	11	1.998163
15	11	2.01166
15	11	2.020582
15	11	2.031127
15	11	2.042514
15	11	2.053849
15	11	2.065025
15	11	2.076236
15	11	2.087552
15	11	2.09872
15	11	2.11054
15	11	2.121562
15	11	2.132643
15	11	2.144235
15	11	2.155997
15	11	2.168541
15	11	2.178444
15	11	2.190219
15	11	2.20143
15	11	2.21287
15	11	2.224394
15	11	2.236006
15	11	2.246807
15	11	2.258007
15	11	2.269573
15	11	2.280281
15	11	2.291514
15	11	2.302746
15	11	2.313813
15	11	2.326281
15	11	2.336328
15	11	2.347146
15	11	2.358253
15	11	2.369167
15	11	2.380359
15	11	2.391487
15	11	2.40287
15	11	2.414138
15	11	2.42603
15	11	2.436739
15	11	2.447778
15	11	2.459383
15	11	2.471271
15	11	2.48282
15	11	2.493532
15	11	2.504704
15	11	2.515785
15	11	2.526944
15	11	2.538261
15	11	2.549292
15	11	2.560527
15	11	2.571607
15	11	2.583067
15	11	2.593647
15	11	2.60531
15	11	2.61684
15	11	2.627743
15	11	2.640635
15	11	2.649668
15	11	2.660483
15	11	2.67184
15	11	2.682846
15	11	2.694223
15	11	2.705016
15	11	2.716301
15	11	2.727485
15	11	2.738495
15	11	2.749813
15	11	2.761223
15	11	2.772064
15	11	2.784197
15	11	2.799226
15	11	2.809808
15	11	2.819388
15	11	2.828588
15	11	2.837182
15	11	2.847899
15	11	2.85892
15	11	2.869872
15	11	2.880824
15	11	2.892389
15	11	2.903292
15	11	2.914464
15	11	2.925693
15	11	2.937463
15	11	2.949656
15	11	2.95928
15	11	2.971346
15	11	2.981832
15	11	2.993047
15	11	3.004676
15	11	3.015447
15	11	3.0268
15	11	3.03795
15	11	3.049195
15	11	3.060075
15	11	3.071344
15	11	3.08227
15	11	3.093773
15	11	3.10545
15	11	3.115624
15	11	3.127179
15	11	3.138288
15	11	3.149241
15	11	3.160491
15	11	3.17216
15	11	3.183112
15	11	3.194639
15	11	3.205843
15	11	3.2172
15	11	3.228666
15	11	3.240209
15	11	3.251865
15	11	3.264077
15	11	3.273916
15	11	3.285526
15	11	3.29662
15	11	3.308316
15	11	3.319078
15	11	3.330195
15	11	3.341618
15	11	3.353195
15	11	3.364385
15	11	3.375523
15	11	3.386797
15	11	3.397807
15	11	3.409601
15	11	3.422812
15	11	3.43158
15	11	3.442082
15	11	3.453321
15	11	3.464545
15	11	3.475731
15	11	3.487324
15	11	3.498097
15	11	3.509323
15	11	3.520784
15	11	3.531609
15	11	3.542897
15	11	3.553945
15	11	3.564975
15	11	3.578217
15	11	3.587296
15	11	3.598035
15	11	3.609602
15	11	3.621044
15	11	3.632801
15	11	3.642512
15	11	3.653955
15	11	3.66496
15	11	3.676207
15	11	3.687604
15	11	3.699012
15	11	3.709965
15	11	3.722829
15	11	3.740024
15	11	3.747613
15	11	3.754722
15	11	3.761873
15	11	3.77247
15	11	3.783784
15	11	3.795043
15	11	3.806088
15	11	3.817398
15	11	3.828519
15	11	3.839481
15	11	3.850578
15	11	3.861471
15	11	3.87268
15	11	3.885105
15	11	3.894824
15	11	3.906154
15	11	3.917334
15	11	3.928497
15	11	3.939505
15	11	3.950839
15	11	3.962257
15	11	3.973267
15	11	3.984708
15	11	3.995918
15	11	4.00664
15	11	4.018023
15	11	4.029517
15	11	4.041836
15	11	4.051521
15	11	4.062617
15	11	4.073932
15	11	4.085099
15	11	4.096649
15	11	4.108161
15	11	4.119498
15	11	4.131142
15	11	4.142522
15	11	4.1543
15	11	4.165439
15	11	4.176854
15	11	4.188834
15	11	4.201449
15	11	4.210812
15	11	4.222376
15	11	4.233569
15	11	4.244744
15	11	4.256301
15	11	4.26759
15	11	4.279087
15	11	4.290501
15	11	4.302024
15	11	4.313255
15	11	4.324601
15	11	4.335882
15	11	4.347189
