x	y	time
15	11	0.046369
15	11	0.0607445
15	11	0.0816062
15	11	0.0940195
15	11	0.1040606
15	11	0.1148108
15	11	0.1256179
15	11	0.1355133
15	11	0.1455765
15	11	0.1563403
15	11	0.1671158
15	11	0.1780544
15	11	0.1888173
15	11	0.1985264
15	11	0.2082786
15	11	0.2189568
15	11	0.2291104
15	11	0.2393627
15	11	0.2495337
15	11	0.2593057
15	11	0.2696069
15	11	0.2798792
15	11	0.2913029
15	11	0.301921
15	11	0.3139123
15	11	0.3248735
15	11	0.3354607
15	11	0.346847
15	11	0.3584139
15	11	0.3706181
15	11	0.381838
15	11	0.3922397
15	11	0.4034641
15	11	0.4145495
15	11	0.4256954
15	11	0.437069
15	11	0.4476814
15	11	0.4591837
15	11	0.4697802
15	11	0.4813124
15	11	0.4926378
15	11	0.5064685
15	11	0.5172396
15	11	0.52783
15	11	0.538407
15	11	0.5487195
15	11	0.5597659
15	11	0.5721458
15	11	0.5824233
15	11	0.5935338
15	11	0.6041328
15	11	0.6153516
15	11	0.6265736
15	11	0.6383956
15	11	0.6491692
15	11	0.6607215
15	11	0.6716555
15	11	0.6828412
15	11	0.6948754
15	11	0.7073787
15	11	0.7183113
15	11	0.7303557
15	11	0.7421376
15	11	0.7529032
15	11	0.7644401
15	11	0.7760207
15	11	0.7869211
15	11	0.7983645
15	11	0.8094527
15	11	0.8201591
15	11	0.8315954
15	11	0.8431032
15	11	0.8539385
15	11	0.8650106
15	11	0.8761432
15	11	0.8874049
15	11	0.8985085
15	11	0.9101629
15	11	0.921364
15	11	0.9326632
15	11	0.9436316
15	11	0.9551628
15	11	0.9665233
15	11	0.9779711
15	11	0.989983
15	11	1.000956
15	11	1.012515
15	11	1.023291
15	11	1.036005
15	11	1.048572
15	11	1.061671
15	11	1.073881
15	11	1.085781
15	11	1.097237
15	11	1.107834
15	11	1.118082
15	11	1.128639
15	11	1.138855
15	11	1.149413
15	11	1.162785
15	11	1.176587
15	11	1.188337
15	11	1.200391
15	11	1.21199
15	11	1.222467
15	11	1.232643
15	11	1.243253
15	11	1.254276
15	11	1.265
15	11	1.27501
15	11	1.285172
15	11	1.295782
15	11	1.306524
15	11	1.316696
15	11	1.326804
15	11	1.33698
15	11	1.347125
15	11	1.35736
15	11	1.367746
15	11	1.378074
15	11	1.388984
15	11	1.399093
15	11	1.40941
15	11	1.420413
15	11	1.434079
15	11	1.446102
15	11	1.458899
15	11	1.469608
15	11	1.480587
15	11	1.491485
15	11	1.501923
15	11	1.514022
15	11	1.525451
15	11	1.536376
