x	y	time
15	11	0.0489044
15	11	0.0764497
15	11	0.0913493
15	11	0.1006374
15	11	0.110142
15	11	0.1189642
15	11	0.1274588
15	11	0.1354368
15	11	0.1569607
15	11	0.1792214
15	11	0.202407
15	11	0.2242111
15	11	0.2469613
15	11	0.2689345
15	11	0.2917149
15	11	0.3138131
15	11	0.3358627
15	11	0.3584357
15	11	0.3803437
15	11	0.4027332
15	11	0.4262766
15	11	0.4475887
15	11	0.4695908
15	11	0.4921929
15	11	0.5151886
15	11	0.5374061
15	11	0.5599086
15	11	0.5815793
15	11	0.6035354
15	11	0.6255773
15	11	0.647965
15	11	0.6588243
15	11	0.6710307
15	11	0.6859062
15	11	0.6948161
15	11	0.7038947
15	11	0.7150384
15	11	0.726683
15	11	0.7374167
15	11	0.7483791
15	11	0.7595652
15	11	0.7707859
15	11	0.7821159
15	11	0.7935243
15	11	0.8045973
15	11	0.8157998
15	11	0.8274142
15	11	0.8411435
15	11	0.8506799
15	11	0.8607016
15	11	0.8714461
15	11	0.8825537
15	11	0.893821
15	11	0.9050463
15	11	0.9161281
15	11	0.9283039
15	11	0.9390382
15	11	0.9498715
15	11	0.9617959
15	11	0.9739963
15	11	0.9858313
15	11	1.000548
15	11	1.008803
15	11	1.018993
15	11	1.030086
15	11	1.042156
15	11	1.053274
15	11	1.063997
15	11	1.075399
15	11	1.086646
15	11	1.098441
15	11	1.109506
15	11	1.120137
15	11	1.131578
15	11	1.143233
15	11	1.160516
15	11	1.16897
15	11	1.179268
15	11	1.187481
15	11	1.19681
15	11	1.207561
15	11	1.218753
15	11	1.229505
15	11	1.241101
15	11	1.252049
15	11	1.263141
15	11	1.274368
15	11	1.285706
15	11	1.29699
15	11	1.31141
15	11	1.319594
15	11	1.329977
15	11	1.341595
15	11	1.352186
15	11	1.363403
15	11	1.374704
15	11	1.38563
15	11	1.396986
15	11	1.408549
15	11	1.419201
15	11	1.430513
15	11	1.442081
15	11	1.453482
15	11	1.467811
15	11	1.477016
15	11	1.486847
15	11	1.500609
15	11	1.510137
15	11	1.520884
15	11	1.532178
15	11	1.543792
15	11	1.554586
15	11	1.566058
15	11	1.577525
15	11	1.588775
15	11	1.600004
15	11	1.612171
15	11	1.626996
15	11	1.635167
15	11	1.6455
15	11	1.656281
15	11	1.667391
15	11	1.678459
15	11	1.689623
15	11	1.700692
15	11	1.71232
15	11	1.722761
15	11	1.734716
15	11	1.745906
15	11	1.75732
15	11	1.768667
15	11	1.785357
15	11	1.794121
15	11	1.802225
15	11	1.812385
15	11	1.822826
15	11	1.833744
15	11	1.84459
15	11	1.855736
15	11	1.867531
15	11	1.878457
15	11	1.889503
15	11	1.900415
15	11	1.911835
15	11	1.923417
15	11	1.940101
15	11	1.949461
15	11	1.95746
15	11	1.966923
15	11	1.977754
15	11	1.988825
15	11	2.000419
