x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0810232	1.067606	1.476194	0.1167682
15	11	0.1033523	1.067036	1.476461	0.1197723
15	11	0.117366	1.067115	1.4765	0.1205616
15	11	0.1264517	1.06736	1.476652	0.1219045
15	11	0.1356526	1.068018	1.476937	0.1232722
15	11	0.1442649	1.068018	1.476937	0.1232722
15	11	0.1521769	1.068465	1.476774	0.1245284
15	11	0.1613401	1.069171	1.476993	0.1272584
15	11	0.1813886	1.070255	1.477208	0.1310488
15	11	0.2038002	1.07097	1.47745	0.1339736
15	11	0.2268182	1.072032	1.47756	0.1370741
15	11	0.2486901	1.073401	1.477533	0.1399738
15	11	0.3317637	1.078958	1.477341	0.1511968
15	11	0.4099373	1.077162	1.478421	0.1707698
15	11	0.4250022	1.076609	1.480416	0.179008
15	11	0.4345564	1.076609	1.480416	0.179008
15	11	0.4475011	1.077474	1.481602	0.1861683
15	11	0.4719005	1.079687	1.482859	0.1953012
15	11	0.5051761	1.079638	1.484028	0.2030617
15	11	0.538846	1.0783	1.484541	0.2103895
15	11	0.5724828	1.077487	1.483886	0.2157454
15	11	0.6105028	1.076569	1.483053	0.2212713
15	11	0.6394497	1.07467	1.482323	0.2255999
15	11	0.6727238	1.072832	1.481403	0.2263453
15	11	0.705676	1.07071	1.480465	0.2263263
15	11	0.7399999	1.067273	1.479304	0.2222676
15	11	0.7780145	1.064053	1.478441	0.2150308
15	11	0.8068708	1.061079	1.47746	0.206992
15	11	0.8403366	1.058731	1.475851	0.1972582
15	11	0.8739004	1.056755	1.47542	0.186596
15	11	0.9072599	1.056003	1.474697	0.1751499
15	11	0.9454256	1.055317	1.475073	0.1635797
15	11	0.9739029	1.055167	1.4751	0.1520625
15	11	1.007181	1.05479	1.47531	0.1386576
15	11	1.040575	1.054088	1.475852	0.1243111
15	11	1.074894	1.053988	1.476563	0.1108227
15	11	1.112331	1.054654	1.477449	0.09754848
15	11	1.141812	1.055642	1.47772	0.08560145
15	11	1.175729	1.057314	1.478671	0.0744127
15	11	1.208394	1.060086	1.479397	0.06622529
15	11	1.241924	1.06267	1.479638	0.0600419
15	11	1.269232	1.064486	1.479881	0.05707288
15	11	1.28497	1.066264	1.480155	0.05396736
15	11	1.307029	1.067866	1.479776	0.0518012
15	11	1.329289	1.069002	1.479358	0.05017364
15	11	1.351896	1.069664	1.478858	0.04962599
15	11	1.374197	1.070342	1.478401	0.04931569
15	11	1.396925	1.071144	1.477897	0.05008507
15	11	1.42357	1.0714	1.477638	0.05120122
15	11	1.441494	1.07155	1.476917	0.05234158
15	11	1.463555	1.071428	1.476287	0.05388558
15	11	1.486238	1.070967	1.47578	0.05598104
15	11	1.508515	1.069733	1.475034	0.05848455
15	11	1.530994	1.068764	1.474972	0.06042087
15	11	1.55343	1.066916	1.474556	0.06173515
15	11	1.582422	1.065349	1.473917	0.06347811
15	11	1.598091	1.062942	1.473268	0.06496501
15	11	1.620527	1.060738	1.472777	0.06609154
15	11	1.643316	1.058684	1.472128	0.06719887
15	11	1.665032	1.057323	1.471677	0.06876528
15	11	1.68743	1.056089	1.471211	0.07032537
15	11	1.71015	1.054632	1.470579	0.07191193
15	11	1.736596	1.053988	1.470564	0.07347274
15	11	1.7546	1.053515	1.470503	0.0755825
15	11	1.777004	1.05277	1.470361	0.07739162
15	11	1.799074	1.052097	1.470684	0.07854187
15	11	1.82139	1.05095	1.470355	0.07932127
15	11	1.843925	1.050367	1.470383	0.08003962
15	11	1.866277	1.049552	1.470993	0.08077192
15	11	1.893675	1.048813	1.470935	0.08144665
15	11	1.910808	1.048193	1.470885	0.08218789
15	11	1.933037	1.04768	1.470645	0.08255792
15	11	1.955394	1.047549	1.470956	0.08251143
15	11	1.977754	1.047172	1.470854	0.08275926
15	11	2.001827	1.046541	1.470388	0.08337355
15	11	2.026991	1.046384	1.469922	0.083408
15	11	2.057497	1.046226	1.469822	0.08406889
15	11	2.075767	1.046106	1.469282	0.08411479
15	11	2.097932	1.04617	1.468948	0.08409405
15	11	2.121011	1.046319	1.468866	0.08433878
15	11	2.143379	1.046363	1.468577	0.08436322
15	11	2.165142	1.046445	1.468341	0.08421707
15	11	2.187025	1.046532	1.46809	0.08364367
15	11	2.214747	1.046479	1.467653	0.08287728
15	11	2.231624	1.046936	1.467635	0.08213925
15	11	2.254184	1.047083	1.467407	0.08139765
15	11	2.276356	1.047405	1.467353	0.08102167
15	11	2.299084	1.047526	1.467041	0.08015478
15	11	2.320775	1.047917	1.467012	0.07953072
15	11	2.344076	1.048127	1.466427	0.07877958
15	11	2.370412	1.048196	1.465953	0.0782851
15	11	2.388021	1.048408	1.465335	0.07752538
15	11	2.410524	1.048687	1.465297	0.07691813
15	11	2.432965	1.048517	1.465301	0.07634103
15	11	2.455062	1.048712	1.465121	0.07557189
15	11	2.477306	1.048915	1.465025	0.07537866
15	11	2.499942	1.049078	1.465093	0.07504356
15	11	2.516761	1.049164	1.465116	0.07498348
15	11	2.526799	1.04928	1.465172	0.07490587
15	11	2.535642	1.049254	1.465039	0.07497287
15	11	2.545053	1.04933	1.465064	0.07486236
15	11	2.554759	1.049334	1.465056	0.07476759
15	11	2.565601	1.049425	1.464945	0.07463992
15	11	2.577028	1.049492	1.464741	0.0743953
15	11	2.587604	1.049606	1.464576	0.07423604
15	11	2.598897	1.049857	1.464491	0.07403088
