x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0369884	-0.143002	1.359729	-0.3374907
15	11	0.0432577	-0.1411939	1.360018	-0.333475
15	11	0.0517328	-0.1392858	1.360308	-0.329096
15	11	0.0628719	-0.1372321	1.360478	-0.3247293
15	11	0.07534009	-0.1350725	1.360568	-0.3203083
15	11	0.08697129	-0.1327288	1.360179	-0.3155361
15	11	0.09698619	-0.130619	1.360331	-0.3114356
15	11	0.1076665	-0.1284175	1.360273	-0.3069655
15	11	0.1187825	-0.1258845	1.359845	-0.302174
15	11	0.1298035	-0.1237617	1.360058	-0.2978724
15	11	0.1411535	-0.121608	1.359929	-0.2931765
15	11	0.1523317	-0.1195297	1.359759	-0.288468
15	11	0.1636093	-0.1170785	1.359275	-0.2840362
15	11	0.1749908	-0.1151969	1.358848	-0.2795293
15	11	0.1859965	-0.113445	1.358243	-0.2750838
15	11	0.1970434	-0.1113307	1.357298	-0.2707572
15	11	0.2082869	-0.1095912	1.35658	-0.2663349
15	11	0.2194741	-0.1074986	1.355302	-0.261971
15	11	0.2302699	-0.1060641	1.354492	-0.2578129
15	11	0.2413873	-0.1046941	1.353374	-0.2535578
15	11	0.2532152	-0.1030295	1.351917	-0.2490605
15	11	0.2638184	-0.1017513	1.351275	-0.2446514
15	11	0.2749874	-0.1007469	1.350113	-0.2400661
15	11	0.2862088	-0.09986639	1.348976	-0.2353474
15	11	0.2974582	-0.09889698	1.348007	-0.2311157
15	11	0.308606	-0.09832692	1.346861	-0.2265066
15	11	0.3196078	-0.09726071	1.34554	-0.2218719
15	11	0.3311501	-0.09710336	1.344492	-0.2180582
15	11	0.3420294	-0.09688187	1.343546	-0.2141716
15	11	0.3535913	-0.09629798	1.342408	-0.2104291
15	11	0.3642951	-0.09607744	1.341546	-0.2069932
15	11	0.3755288	-0.09591413	1.340704	-0.2037675
15	11	0.3867902	-0.09578156	1.339658	-0.2004046
15	11	0.3986602	-0.09591222	1.338916	-0.1979252
15	11	0.4091639	-0.09577084	1.338027	-0.1948487
15	11	0.4205612	-0.09583092	1.336862	-0.1916516
15	11	0.4315428	-0.09597778	1.336127	-0.1893438
15	11	0.442582	-0.09600306	1.335382	-0.1870598
15	11	0.4544306	-0.09612942	1.334306	-0.1842781
15	11	0.4651192	-0.09649801	1.333819	-0.183076
15	11	0.4761512	-0.09666204	1.33321	-0.1816941
15	11	0.4876021	-0.09700775	1.332372	-0.1801885
15	11	0.4984539	-0.09731388	1.332229	-0.1795968
15	11	0.5101495	-0.09743953	1.331815	-0.1789178
15	11	0.5209426	-0.09752584	1.331095	-0.1779882
15	11	0.5317588	-0.09777188	1.331015	-0.1780472
