x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0390138	2.062602	2.872994	1.703519
15	11	0.0453995	2.062602	2.872994	1.703519
15	11	0.0599543	2.062602	2.872994	1.703519
15	11	0.0648762	2.062602	2.872994	1.703519
15	11	0.074486	2.062602	2.872994	1.703519
15	11	0.08567131	2.062602	2.872994	1.703519
15	11	0.096793	2.062602	2.872994	1.703519
15	11	0.108037	2.062602	2.872994	1.703519
15	11	0.119106	2.062602	2.872994	1.703519
15	11	0.1304931	2.062602	2.872994	1.703519
15	11	0.1418077	2.062602	2.872994	1.703519
15	11	0.1525466	2.062602	2.872994	1.703519
15	11	0.1636948	2.062602	2.872994	1.703519
15	11	0.1769618	2.062602	2.872994	1.703519
15	11	0.1860321	2.062602	2.872994	1.703519
15	11	0.1973666	2.062602	2.872994	1.703519
15	11	0.2087047	2.062602	2.872994	1.703519
15	11	0.2199489	2.062602	2.872994	1.703519
15	11	0.2308727	2.062602	2.872994	1.703519
15	11	0.2420975	2.062602	2.872994	1.703519
15	11	0.2531275	2.062602	2.872994	1.703519
15	11	0.264338	2.062602	2.872994	1.703519
15	11	0.2753212	2.062602	2.872994	1.703519
15	11	0.2866697	2.062602	2.872994	1.703519
15	11	0.2979636	2.062602	2.872994	1.703519
15	11	0.3089478	2.062602	2.872994	1.703519
15	11	0.3200709	2.062602	2.872994	1.703519
15	11	0.3314963	2.062602	2.872994	1.703519
15	11	0.3423628	2.062602	2.872994	1.703519
15	11	0.3537237	2.062602	2.872994	1.703519
15	11	0.3648111	2.062602	2.872994	1.703519
15	11	0.3760765	2.062602	2.872994	1.703519
15	11	0.3872086	2.062602	2.872994	1.703519
15	11	0.3983647	2.062602	2.872994	1.703519
15	11	0.4095207	2.062602	2.872994	1.703519
15	11	0.420743	2.062602	2.872994	1.703519
15	11	0.4317712	2.062602	2.872994	1.703519
15	11	0.4436206	2.062602	2.872994	1.703519
15	11	0.4543596	2.062602	2.872994	1.703519
15	11	0.4654987	2.062602	2.872994	1.703519
15	11	0.476606	2.062602	2.872994	1.703519
15	11	0.4879155	2.062602	2.872994	1.703519
15	11	0.49905	2.062602	2.872994	1.703519
15	11	0.5104079	2.062602	2.872994	1.703519
15	11	0.5213957	2.062602	2.872994	1.703519
15	11	0.5323592	2.062602	2.872994	1.703519
15	11	0.5436391	2.062602	2.872994	1.703519
