x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0430737	3.434237	1.286463	-1.600469
15	11	0.0496199	3.434237	1.286463	-1.600469
15	11	0.0553939	3.433857	1.286588	-1.601717
15	11	0.0630662	3.433496	1.28668	-1.603035
15	11	0.0743089	3.432779	1.287234	-1.6029
15	11	0.0852113	3.432407	1.287291	-1.604169
15	11	0.0963436	3.431971	1.287367	-1.605516
15	11	0.1086703	3.431314	1.287562	-1.606145
15	11	0.1201342	3.430793	1.287677	-1.607633
15	11	0.1304071	3.430291	1.287682	-1.609196
15	11	0.1418642	3.42907	1.287888	-1.608966
15	11	0.1524738	3.428658	1.287729	-1.610654
15	11	0.1634294	3.428259	1.287469	-1.61248
15	11	0.1746667	3.426452	1.288477	-1.610536
15	11	0.1858836	3.425986	1.288297	-1.612465
15	11	0.1972582	3.425477	1.288185	-1.614383
15	11	0.2080158	3.422118	1.290833	-1.610122
15	11	0.2193895	3.421418	1.290962	-1.612256
15	11	0.230412	3.420698	1.291115	-1.614484
15	11	0.241862	3.417055	1.294468	-1.609424
15	11	0.2528976	3.416303	1.294638	-1.61161
15	11	0.263831	3.415514	1.294855	-1.613892
15	11	0.2750553	3.412356	1.298084	-1.610438
15	11	0.2862977	3.411554	1.298421	-1.612496
15	11	0.2975717	3.410729	1.298879	-1.614646
15	11	0.3086466	3.407009	1.302204	-1.611511
15	11	0.3197273	3.406004	1.302736	-1.613665
15	11	0.330926	3.402839	1.305231	-1.611296
15	11	0.3421657	3.401883	1.30558	-1.613337
15	11	0.3533217	3.400814	1.305565	-1.615626
15	11	0.3646759	3.39936	1.306424	-1.616671
15	11	0.3756779	3.395987	1.309381	-1.612742
15	11	0.3870713	3.395699	1.308146	-1.617144
15	11	0.3980085	3.394818	1.308175	-1.61978
15	11	0.409026	3.393884	1.308271	-1.622096
15	11	0.4204987	3.393209	1.308401	-1.624669
15	11	0.4317238	3.392491	1.308207	-1.627604
15	11	0.4427935	3.391516	1.308301	-1.63025
15	11	0.454291	3.3908	1.30852	-1.633119
15	11	0.4649163	3.389912	1.308347	-1.635326
15	11	0.4760749	3.388939	1.308429	-1.638325
15	11	0.487526	3.387486	1.308282	-1.641543
15	11	0.4983454	3.385965	1.308723	-1.643077
15	11	0.5096409	3.384845	1.308673	-1.646224
15	11	0.5212342	3.383596	1.308359	-1.649362
15	11	0.5326076	3.381674	1.30894	-1.651055
15	11	0.5431681	3.380314	1.308429	-1.654091
15	11	0.5545927	3.37872	1.307652	-1.657194
15	11	0.5656621	3.376668	1.307741	-1.65956
15	11	0.5766737	3.375435	1.306888	-1.662668
15	11	0.5881308	3.3743	1.305389	-1.665856
15	11	0.5995622	3.373322	1.303697	-1.669121
15	11	0.6103204	3.367525	1.307005	-1.659828
15	11	0.621689	3.366293	1.304938	-1.661489
15	11	0.6330475	3.365819	1.301998	-1.663643
15	11	0.6437647	3.365502	1.2991	-1.666303
15	11	0.6548866	3.365458	1.29663	-1.667956
15	11	0.6662872	3.365656	1.292898	-1.670422
15	11	0.6773639	3.366139	1.288922	-1.672682
15	11	0.6888584	3.366498	1.283884	-1.675157
15	11	0.6997574	3.366457	1.280133	-1.677181
15	11	0.711055	3.366274	1.276044	-1.677631
15	11	0.7218988	3.365665	1.272406	-1.677411
15	11	0.7332098	3.363963	1.268275	-1.677338
15	11	0.7441393	3.36159	1.264029	-1.677148
15	11	0.7553348	3.357431	1.259239	-1.677348
15	11	0.767526	3.354446	1.253773	-1.676972
15	11	0.7786446	3.352403	1.249083	-1.677315
15	11	0.7889547	3.349372	1.243734	-1.677158
15	11	0.8004457	3.345187	1.238779	-1.676627
15	11	0.8113465	3.341423	1.234939	-1.676167
15	11	0.8223987	3.336046	1.231687	-1.677
15	11	0.8335586	3.331904	1.227714	-1.677328
15	11	0.8448633	3.327457	1.225515	-1.678966
15	11	0.855845	3.323459	1.224103	-1.680261
15	11	0.8673322	3.319163	1.222152	-1.681453
15	11	0.8782848	3.314602	1.222507	-1.68248
15	11	0.8897418	3.309577	1.222795	-1.684318
15	11	0.9011666	3.304865	1.222394	-1.68536
15	11	0.9117515	3.300015	1.223519	-1.687985
15	11	0.9232234	3.294189	1.225555	-1.68864
15	11	0.9343427	3.288285	1.22744	-1.687927
15	11	0.9453683	3.282676	1.229269	-1.687538
15	11	0.9566661	3.277706	1.233083	-1.68651
15	11	0.9676545	3.272366	1.235654	-1.686031
15	11	0.9790707	3.268609	1.238581	-1.687379
15	11	0.990352	3.262759	1.242205	-1.685809
15	11	1.001539	3.256977	1.245495	-1.686091
15	11	1.013119	3.252041	1.248672	-1.686406
15	11	1.023824	3.244199	1.249548	-1.685355
15	11	1.034936	3.236802	1.251703	-1.68522
15	11	1.046206	3.230615	1.254142	-1.685305
15	11	1.057299	3.222012	1.254918	-1.684608
15	11	1.068409	3.213625	1.256712	-1.684892
15	11	1.079749	3.207241	1.258691	-1.685995
15	11	1.09062	3.199134	1.25994	-1.686129
15	11	1.101615	3.191656	1.262119	-1.686695
15	11	1.11305	3.185615	1.263838	-1.688842
15	11	1.12397	3.177384	1.264177	-1.6893
15	11	1.135117	3.170775	1.263866	-1.689721
15	11	1.146704	3.164624	1.264447	-1.691215
15	11	1.157783	3.156398	1.264805	-1.690972
15	11	1.168772	3.147797	1.265852	-1.691018
15	11	1.180271	3.138377	1.267753	-1.691671
15	11	1.19137	3.127272	1.268952	-1.691075
15	11	1.202234	3.117235	1.270708	-1.691203
15	11	1.213639	3.107172	1.273197	-1.691085
15	11	1.22473	3.096578	1.275165	-1.690639
15	11	1.235857	3.087658	1.277262	-1.690283
15	11	1.247353	3.078348	1.279633	-1.691602
15	11	1.258053	3.069295	1.281673	-1.693448
15	11	1.269706	3.06015	1.283576	-1.694247
15	11	1.280405	3.051334	1.285488	-1.695617
15	11	1.291628	3.041225	1.286952	-1.697101
15	11	1.302625	3.031387	1.287656	-1.698412
15	11	1.313857	3.021003	1.288844	-1.70019
15	11	1.325042	3.008217	1.289465	-1.700352
15	11	1.336238	2.995331	1.290034	-1.699715
15	11	1.347617	2.98279	1.291229	-1.699311
15	11	1.358516	2.967437	1.29112	-1.69757
15	11	1.369749	2.954012	1.29148	-1.697358
15	11	1.381239	2.940368	1.29203	-1.697621
15	11	1.392259	2.925547	1.291426	-1.697014
15	11	1.403385	2.910923	1.290008	-1.696431
15	11	1.414422	2.897272	1.289654	-1.69655
15	11	1.425782	2.881996	1.288397	-1.69605
15	11	1.437154	2.866608	1.286656	-1.696397
15	11	1.448136	2.851902	1.285449	-1.697084
15	11	1.459136	2.835787	1.282938	-1.697868
15	11	1.470502	2.821106	1.280609	-1.699008
15	11	1.481421	2.807088	1.278077	-1.701249
15	11	1.492802	2.791622	1.275708	-1.702234
15	11	1.503909	2.7769	1.275298	-1.702697
15	11	1.515187	2.761138	1.27484	-1.703721
15	11	1.526035	2.742812	1.273619	-1.705173
15	11	1.537325	2.726487	1.271165	-1.708158
15	11	1.548666	2.711074	1.270128	-1.711681
15	11	1.559732	2.696324	1.270772	-1.714902
15	11	1.570843	2.682886	1.27085	-1.717055
15	11	1.582196	2.668438	1.270676	-1.718497
15	11	1.593346	2.654253	1.270978	-1.719382
15	11	1.604409	2.641876	1.272622	-1.721328
15	11	1.615398	2.629185	1.274023	-1.723476
15	11	1.626762	2.616114	1.277498	-1.725172
15	11	1.637897	2.603638	1.278744	-1.727663
15	11	1.649091	2.591959	1.279997	-1.730703
15	11	1.660421	2.57922	1.28099	-1.731728
15	11	1.671454	2.566695	1.282622	-1.733022
15	11	1.683045	2.554611	1.284017	-1.732688
15	11	1.693716	2.541952	1.284739	-1.733793
15	11	1.705322	2.527091	1.284039	-1.738287
15	11	1.716204	2.514387	1.282431	-1.744115
15	11	1.727309	2.502446	1.286442	-1.745781
15	11	1.73851	2.491978	1.291264	-1.746553
15	11	1.749726	2.484221	1.292203	-1.747959
15	11	1.760953	2.474701	1.294636	-1.746912
15	11	1.772296	2.46276	1.295153	-1.746016
15	11	1.7836	2.450932	1.293374	-1.74789
15	11	1.794229	2.43749	1.291852	-1.747067
15	11	1.80539	2.425531	1.289551	-1.747163
15	11	1.816444	2.414104	1.290601	-1.744524
15	11	1.828074	2.405013	1.292112	-1.744921
15	11	1.839011	2.395291	1.295187	-1.746334
15	11	1.850655	2.386406	1.296618	-1.747316
15	11	1.861512	2.378266	1.299275	-1.746452
15	11	1.872698	2.371248	1.301286	-1.745724
15	11	1.883769	2.363344	1.30269	-1.74524
15	11	1.894727	2.356242	1.303032	-1.742691
15	11	1.905814	2.348258	1.303905	-1.738469
15	11	1.917362	2.340099	1.305342	-1.733676
15	11	1.928298	2.331665	1.307533	-1.730416
15	11	1.939564	2.32294	1.310986	-1.728127
15	11	1.950606	2.314508	1.314544	-1.724895
15	11	1.96181	2.307034	1.319377	-1.721128
15	11	1.972975	2.300707	1.323003	-1.71635
15	11	1.984285	2.293351	1.326057	-1.711911
15	11	1.995348	2.286282	1.328449	-1.707211
15	11	2.006529	2.278153	1.329373	-1.702739
15	11	2.017937	2.269783	1.330643	-1.69848
15	11	2.02922	2.261539	1.330815	-1.692754
15	11	2.040029	2.25431	1.332738	-1.687129
15	11	2.051107	2.249178	1.335289	-1.681147
15	11	2.06245	2.247221	1.33912	-1.675773
15	11	2.073532	2.244858	1.339752	-1.670835
