x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0434175	-0.4291006	-0.2231308	-0.1060342
15	11	0.0514609	-0.4269366	-0.2210264	-0.1101338
15	11	0.0605155	-0.4256037	-0.2193767	-0.1127334
15	11	0.0688395	-0.425701	-0.2177575	-0.1128813
15	11	0.0760328	-0.4272803	-0.2192105	-0.1104095
15	11	0.08234979	-0.4272803	-0.2192105	-0.1104095
15	11	0.08909189	-0.428539	-0.2192664	-0.1067668
15	11	0.1000976	-0.4291339	-0.2215788	-0.1045425
15	11	0.1118341	-0.4287663	-0.2246873	-0.1026249
15	11	0.1226836	-0.4283122	-0.2261953	-0.101034
15	11	0.1339073	-0.4280825	-0.2280596	-0.1006041
15	11	0.1459411	-0.4290568	-0.2276839	-0.10041
15	11	0.1571231	-0.4292926	-0.2267013	-0.1000212
15	11	0.167659	-0.4289497	-0.2254665	-0.1011425
15	11	0.1788498	-0.4297855	-0.2247002	-0.1024127
15	11	0.1900557	-0.4294212	-0.2240789	-0.1034507
15	11	0.201069	-0.4296093	-0.2239046	-0.1037405
15	11	0.2119789	-0.4299653	-0.2238947	-0.1038016
15	11	0.2228711	-0.4299645	-0.2240422	-0.1037984
15	11	0.2340607	-0.4299507	-0.2246112	-0.1033376
15	11	0.2454316	-0.4297088	-0.224839	-0.103577
15	11	0.256294	-0.4293318	-0.2250439	-0.1038022
15	11	0.2676105	-0.4290582	-0.2248766	-0.1042029
15	11	0.2788481	-0.4296433	-0.224948	-0.104237
15	11	0.2903164	-0.4298915	-0.2248095	-0.1041832
15	11	0.3009114	-0.4300171	-0.2247621	-0.1044052
15	11	0.3124793	-0.4300051	-0.2245486	-0.1042213
15	11	0.3239159	-0.4302886	-0.2246941	-0.1043067
15	11	0.3351193	-0.430367	-0.2246976	-0.1042498
15	11	0.3459179	-0.4301476	-0.2245982	-0.1040038
15	11	0.3575847	-0.4302087	-0.2248789	-0.1038975
15	11	0.3691423	-0.4301901	-0.2248367	-0.1038295
15	11	0.3798032	-0.429719	-0.2247994	-0.1036881
15	11	0.3905477	-0.4296153	-0.2248273	-0.1036073
15	11	0.4021704	-0.4296422	-0.2245966	-0.1037322
15	11	0.4129857	-0.4295082	-0.2246854	-0.103853
15	11	0.4246256	-0.4293317	-0.224544	-0.1037169
15	11	0.4357946	-0.4291427	-0.224692	-0.1034604
15	11	0.4469403	-0.4293606	-0.2246664	-0.1035485
15	11	0.457767	-0.4293354	-0.2245762	-0.1034089
15	11	0.4691269	-0.4291625	-0.2246209	-0.1033757
15	11	0.4800947	-0.4297785	-0.2247963	-0.1034458
15	11	0.4918015	-0.4299152	-0.2248653	-0.1034518
15	11	0.5028096	-0.4300376	-0.224746	-0.1035781
15	11	0.5147052	-0.4299712	-0.2250674	-0.1035113
15	11	0.525717	-0.4300691	-0.2250406	-0.1032879
15	11	0.5376518	-0.4297228	-0.2248535	-0.1032244
15	11	0.5490137	-0.4295899	-0.224941	-0.1031106
15	11	0.5607162	-0.4295521	-0.2249814	-0.1031278
15	11	0.5724407	-0.4295151	-0.2249633	-0.103026
15	11	0.5839489	-0.4295406	-0.2250901	-0.1032023
15	11	0.5954611	-0.42962	-0.2251108	-0.103071
15	11	0.6070955	-0.4292555	-0.2252853	-0.1025521
15	11	0.6183859	-0.4296409	-0.2254276	-0.1030334
15	11	0.6298174	-0.4295056	-0.2254373	-0.1031597
15	11	0.6412566	-0.4296708	-0.2251335	-0.1027033
15	11	0.6530692	-0.4300917	-0.2254493	-0.1027702
15	11	0.6647093	-0.4301964	-0.2254852	-0.1027086
15	11	0.6760875	-0.4302325	-0.2251304	-0.1028202
15	11	0.6871428	-0.4301041	-0.2251369	-0.1026337
15	11	0.6991687	-0.4303603	-0.2251387	-0.1026738
15	11	0.709866	-0.430949	-0.2250694	-0.1025144
15	11	0.7209582	-0.4316839	-0.224915	-0.102527
15	11	0.7318509	-0.4331192	-0.2243086	-0.1023481
15	11	0.7431344	-0.4352465	-0.2235075	-0.1018863
15	11	0.754369	-0.437416	-0.2229221	-0.101544
15	11	0.765569	-0.4409832	-0.2217358	-0.1011436
15	11	0.7767993	-0.4449332	-0.2202239	-0.1011866
15	11	0.7878178	-0.4507178	-0.2190063	-0.1016994
15	11	0.7991134	-0.455812	-0.2174491	-0.1021745
15	11	0.8103099	-0.4618077	-0.216144	-0.1028423
15	11	0.8216077	-0.4672281	-0.2123525	-0.1032351
15	11	0.8324515	-0.4718246	-0.2096035	-0.1036501
15	11	0.8437814	-0.47647	-0.2068089	-0.1041342
