x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0432668	-0.4302969	-0.148343	-0.07492757
15	11	0.0521543	-0.4303253	-0.1484824	-0.07504356
15	11	0.0591791	-0.4304624	-0.1483229	-0.07528722
15	11	0.06620219	-0.4301214	-0.1484607	-0.07553589
15	11	0.07292149	-0.4301214	-0.1484607	-0.07553589
15	11	0.08162019	-0.430182	-0.1485971	-0.07551908
15	11	0.0903594	-0.4301496	-0.1488179	-0.07552612
15	11	0.1013673	-0.4300027	-0.1489347	-0.07562387
15	11	0.112877	-0.4300284	-0.1491169	-0.075701
15	11	0.1239776	-0.4300547	-0.1491376	-0.07580876
15	11	0.1348395	-0.4301872	-0.1492389	-0.07586861
15	11	0.1469055	-0.429981	-0.1490644	-0.07584214
15	11	0.1570151	-0.4299693	-0.1490496	-0.07584822
15	11	0.1681462	-0.4300926	-0.149105	-0.07589054
15	11	0.1797338	-0.4300456	-0.1489402	-0.07571054
15	11	0.1906142	-0.4299586	-0.1490813	-0.07565522
15	11	0.2016759	-0.4300783	-0.1492387	-0.0756979
15	11	0.2132243	-0.4300001	-0.1492802	-0.07578993
15	11	0.2241809	-0.4299774	-0.149304	-0.07583368
15	11	0.2354649	-0.4299493	-0.1493298	-0.07589626
15	11	0.2467982	-0.4299011	-0.1493052	-0.07592666
15	11	0.257909	-0.4298847	-0.1493102	-0.07599902
15	11	0.2691067	-0.4295912	-0.1491443	-0.07601821
15	11	0.2802231	-0.4296885	-0.149177	-0.07581782
15	11	0.2915349	-0.4294357	-0.1494201	-0.07572103
15	11	0.302808	-0.42958	-0.1497704	-0.0760206
15	11	0.3140879	-0.4296198	-0.1499292	-0.07582629
15	11	0.3247188	-0.4296649	-0.1498891	-0.07591605
15	11	0.3364622	-0.429538	-0.1498507	-0.07575583
15	11	0.347445	-0.4295015	-0.1499168	-0.0757587
15	11	0.3579684	-0.4295588	-0.149855	-0.0757823
15	11	0.3696872	-0.4292812	-0.1497806	-0.07571924
15	11	0.3805784	-0.4291911	-0.149809	-0.07574463
15	11	0.3915096	-0.4290667	-0.1499163	-0.07569075
15	11	0.402818	-0.4291844	-0.150086	-0.0758307
15	11	0.4142476	-0.4291902	-0.1501392	-0.07575154
15	11	0.4250134	-0.4292479	-0.1500455	-0.07587123
15	11	0.4364705	-0.4292536	-0.1500775	-0.07584739
15	11	0.4475575	-0.4292517	-0.1501142	-0.07582891
15	11	0.4586872	-0.4291375	-0.1503202	-0.07572675
15	11	0.4700868	-0.4293737	-0.1504868	-0.07587802
15	11	0.4813628	-0.4293625	-0.1504866	-0.07594335
15	11	0.4925274	-0.4294548	-0.1503862	-0.07603455
15	11	0.503779	-0.4293232	-0.1503593	-0.07615256
15	11	0.5147895	-0.4293623	-0.1502653	-0.07620573
15	11	0.5261301	-0.4294667	-0.1500789	-0.07628071
15	11	0.5379632	-0.429224	-0.1495546	-0.07614684
15	11	0.5492809	-0.4291232	-0.1490835	-0.07647157
15	11	0.5609326	-0.4293351	-0.1489171	-0.0764941
15	11	0.5729406	-0.4293065	-0.1485478	-0.07664394
15	11	0.5842087	-0.4292126	-0.1482884	-0.07687402
15	11	0.5960723	-0.4292798	-0.1480356	-0.07702219
15	11	0.6075494	-0.4292815	-0.1477889	-0.07718074
15	11	0.6194912	-0.4292684	-0.1475092	-0.07734811
15	11	0.63088	-0.4292719	-0.1472617	-0.07751918
15	11	0.6423966	-0.429348	-0.1471614	-0.0778985
15	11	0.6539023	-0.4293184	-0.147004	-0.07798696
15	11	0.6656869	-0.4291973	-0.1467804	-0.07820213
15	11	0.676671	-0.429311	-0.1467904	-0.07849562
15	11	0.6883324	-0.4292884	-0.14667	-0.07872081
15	11	0.6997368	-0.4292674	-0.1465544	-0.07896507
15	11	0.710856	-0.429141	-0.1462117	-0.07899904
15	11	0.7220552	-0.4291437	-0.1459495	-0.07937884
15	11	0.7334325	-0.4290862	-0.1458119	-0.07974219
15	11	0.7446486	-0.4288864	-0.1454717	-0.07998538
15	11	0.7556061	-0.428905	-0.1452659	-0.08039927
15	11	0.766625	-0.4289646	-0.1451617	-0.0807395
15	11	0.7778009	-0.4289572	-0.1450154	-0.08106399
15	11	0.7887008	-0.4286652	-0.1451982	-0.08144999
15	11	0.7998301	-0.4287632	-0.145099	-0.0818007
15	11	0.8108722	-0.428834	-0.1450659	-0.08229709
15	11	0.8219386	-0.4289207	-0.1447526	-0.08286858
15	11	0.8332959	-0.4288223	-0.1446172	-0.0833478
15	11	0.8444309	-0.4288607	-0.1444255	-0.0836668
15	11	0.8556129	-0.4289167	-0.144262	-0.08411908
15	11	0.8668073	-0.42891	-0.1441561	-0.08458197
15	11	0.8785146	-0.4288797	-0.1440245	-0.08503854
15	11	0.8895338	-0.4287856	-0.1440331	-0.08535612
15	11	0.9007916	-0.4286361	-0.1438752	-0.08575165
15	11	0.9119046	-0.428741	-0.1438922	-0.08610475
15	11	0.9232147	-0.428726	-0.1438273	-0.08638239
15	11	0.9346401	-0.4287791	-0.1438226	-0.08664083
15	11	0.9455016	-0.428721	-0.1438526	-0.08719933
15	11	0.9566723	-0.4287562	-0.1437556	-0.08753288
15	11	0.968003	-0.4288359	-0.1437885	-0.08778608
15	11	0.9787945	-0.4287488	-0.1438619	-0.08827531
15	11	0.9898735	-0.4288342	-0.1437017	-0.08863044
15	11	1.000891	-0.4287965	-0.1437546	-0.08882284
15	11	1.012351	-0.4288244	-0.1439375	-0.08896458
15	11	1.023157	-0.4288194	-0.1440655	-0.08900452
15	11	1.034413	-0.42873	-0.1442395	-0.08906221
15	11	1.04555	-0.4287233	-0.1444002	-0.0890882
15	11	1.05678	-0.4286752	-0.1445724	-0.08906341
15	11	1.067654	-0.4285712	-0.1446575	-0.08910751
15	11	1.078939	-0.4285936	-0.1447703	-0.08913708
15	11	1.090083	-0.4286175	-0.1447793	-0.08916414
15	11	1.101315	-0.4286203	-0.1447662	-0.08904922
15	11	1.112379	-0.4285669	-0.1446394	-0.08880484
15	11	1.123793	-0.4285226	-0.144714	-0.08866322
15	11	1.134784	-0.4283469	-0.1446644	-0.08858776
15	11	1.146511	-0.4284506	-0.1446599	-0.08836246
15	11	1.157562	-0.428458	-0.1445719	-0.0883168
15	11	1.168715	-0.4281049	-0.1444348	-0.08837569
15	11	1.180022	-0.4282844	-0.1445867	-0.08847654
15	11	1.190907	-0.4282408	-0.144493	-0.0884583
15	11	1.202394	-0.4282637	-0.1444036	-0.08844578
15	11	1.213742	-0.4284024	-0.1443259	-0.08839083
15	11	1.224541	-0.4284463	-0.1441246	-0.08844435
15	11	1.23578	-0.428309	-0.1438547	-0.08840239
15	11	1.247044	-0.4284339	-0.1437246	-0.0883224
15	11	1.258062	-0.4285283	-0.1434001	-0.08847523
15	11	1.269408	-0.4285593	-0.1432127	-0.08857417
15	11	1.280879	-0.4284272	-0.1429263	-0.08899093
15	11	1.29149	-0.4283795	-0.1427959	-0.08907759
15	11	1.302761	-0.4284656	-0.1426324	-0.08929896
15	11	1.315313	-0.4285204	-0.1424855	-0.08938015
15	11	1.326154	-0.4284465	-0.1424721	-0.08948362
15	11	1.335962	-0.4286547	-0.1423136	-0.08959091
15	11	1.347519	-0.4285831	-0.1421851	-0.09000969
15	11	1.358116	-0.4286661	-0.1419162	-0.09025526
15	11	1.369251	-0.4287243	-0.141703	-0.09045208
15	11	1.380839	-0.4287972	-0.1415147	-0.09066296
15	11	1.391693	-0.4288502	-0.1413513	-0.0908699
15	11	1.403271	-0.4287591	-0.1408433	-0.09077215
15	11	1.414514	-0.4288614	-0.140617	-0.09090114
15	11	1.425493	-0.4289036	-0.1403579	-0.09107924
15	11	1.436739	-0.428864	-0.1400295	-0.09115827
15	11	1.447838	-0.4288223	-0.1397604	-0.09138179
15	11	1.459019	-0.4285507	-0.1396104	-0.09149516
15	11	1.470469	-0.4285679	-0.1394523	-0.09170771
15	11	1.481714	-0.4286618	-0.1392831	-0.09171152
15	11	1.492347	-0.4286294	-0.1391307	-0.09182096
15	11	1.5074	-0.4285944	-0.1389238	-0.09194291
15	11	1.515189	-0.4284248	-0.1387283	-0.09236336
15	11	1.524588	-0.42857	-0.1382622	-0.09264374
15	11	1.535923	-0.4286547	-0.1380881	-0.09277105
15	11	1.547131	-0.4288216	-0.1380185	-0.0927645
15	11	1.558784	-0.4288785	-0.1378785	-0.09284735
15	11	1.56956	-0.428721	-0.1377271	-0.09294534
15	11	1.580993	-0.4287467	-0.1376113	-0.0929234
15	11	1.591721	-0.4287431	-0.1375424	-0.09297073
15	11	1.602556	-0.428853	-0.1374668	-0.09298015
15	11	1.614128	-0.4288216	-0.1373852	-0.09318602
15	11	1.624946	-0.4288325	-0.1373812	-0.09317803
15	11	1.636144	-0.4287291	-0.1373338	-0.09326208
15	11	1.6474	-0.4288504	-0.1373366	-0.09312129
15	11	1.658185	-0.4286084	-0.1373845	-0.09310067
15	11	1.669538	-0.4286356	-0.1374661	-0.09320998
15	11	1.680865	-0.4285045	-0.1374527	-0.09340692
15	11	1.691902	-0.4285648	-0.1372625	-0.0935775
15	11	1.703111	-0.4286008	-0.1372138	-0.09359145
15	11	1.714586	-0.4285715	-0.1372312	-0.09367669
15	11	1.725814	-0.4285245	-0.1372589	-0.09377337
15	11	1.736521	-0.4283562	-0.1373369	-0.09405077
15	11	1.748484	-0.4283075	-0.1373357	-0.09415936
15	11	1.759012	-0.4283512	-0.1372281	-0.09429646
15	11	1.770383	-0.4285166	-0.1371313	-0.09420097
15	11	1.781886	-0.4284978	-0.1370889	-0.09437871
15	11	1.792835	-0.4285688	-0.1370512	-0.09449697
15	11	1.804051	-0.4283886	-0.1368738	-0.0945878
15	11	1.815136	-0.4284453	-0.1367775	-0.09469366
15	11	1.826401	-0.4284866	-0.136618	-0.09484887
15	11	1.837485	-0.428699	-0.1365229	-0.09499002
15	11	1.848785	-0.4286668	-0.1363348	-0.09528434
15	11	1.859709	-0.4287648	-0.136072	-0.09550381
15	11	1.871388	-0.4287891	-0.1358353	-0.09557104
15	11	1.882302	-0.4289227	-0.1356765	-0.09553099
15	11	1.893588	-0.4289858	-0.1354829	-0.09564972
15	11	1.904727	-0.4288216	-0.1352726	-0.09582496
15	11	1.916449	-0.4288538	-0.1350671	-0.09591007
15	11	1.927442	-0.428906	-0.1349162	-0.09594619
15	11	1.938584	-0.4289351	-0.1347088	-0.09608865
15	11	1.950086	-0.4289212	-0.134487	-0.09623933
15	11	1.9618	-0.428942	-0.1341172	-0.0964216
15	11	1.972743	-0.4290061	-0.1339895	-0.09663987
15	11	1.984106	-0.4289584	-0.1337358	-0.09686792
15	11	1.995203	-0.4287961	-0.1334985	-0.09704423
15	11	2.006661	-0.4288361	-0.1333097	-0.09718418
15	11	2.017571	-0.4289994	-0.1331276	-0.09705281
15	11	2.028902	-0.4291205	-0.1328357	-0.09719694
15	11	2.039862	-0.4291201	-0.1325871	-0.09730184
15	11	2.051045	-0.4289913	-0.132497	-0.09741497
15	11	2.06192	-0.4290218	-0.1323127	-0.09763157
15	11	2.073498	-0.4289134	-0.1319019	-0.09759998
15	11	2.084308	-0.4288893	-0.1317767	-0.09782147
15	11	2.095479	-0.4288433	-0.1317765	-0.09784412
15	11	2.106684	-0.4289124	-0.1318187	-0.09786522
15	11	2.118184	-0.4290483	-0.1317712	-0.09775257
15	11	2.129137	-0.4289925	-0.1317576	-0.09781802
15	11	2.140342	-0.4290109	-0.1317836	-0.09779286
15	11	2.151602	-0.4290121	-0.1318091	-0.09803867
15	11	2.162369	-0.4292498	-0.1319872	-0.09799409
15	11	2.173763	-0.4293506	-0.132234	-0.09807014
15	11	2.18514	-0.429394	-0.1324381	-0.09804106
15	11	2.196307	-0.4295409	-0.1325563	-0.09809351
15	11	2.2075	-0.4296284	-0.1328341	-0.09826362
15	11	2.218489	-0.4295142	-0.1330706	-0.09844673
15	11	2.229426	-0.4292881	-0.133628	-0.09830081
15	11	2.24071	-0.4292312	-0.1339246	-0.09834182
15	11	2.251974	-0.4293461	-0.1339709	-0.09849286
15	11	2.262892	-0.4294257	-0.1342028	-0.09846926
15	11	2.274286	-0.4294796	-0.1343776	-0.09844387
15	11	2.285347	-0.4294858	-0.1345204	-0.09847701
15	11	2.296919	-0.4295788	-0.1345536	-0.09850502
15	11	2.307976	-0.4295604	-0.1344649	-0.09837806
