x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0419255	-0.4347856	-0.2612456	-0.1675118
15	11	0.0504094	-0.4350315	-0.2605777	-0.1680126
15	11	0.0570612	-0.4354218	-0.2599305	-0.1684381
15	11	0.0657378	-0.4360321	-0.2586782	-0.1691766
15	11	0.0743901	-0.4360321	-0.2586782	-0.1691766
15	11	0.0814474	-0.4365889	-0.2576551	-0.169785
15	11	0.0899465	-0.4372494	-0.2565252	-0.1703551
15	11	0.1011465	-0.4378895	-0.2546418	-0.1711477
15	11	0.1123435	-0.4385284	-0.2530087	-0.1719365
15	11	0.1231561	-0.4398544	-0.2509311	-0.1728185
15	11	0.1345237	-0.4413662	-0.2488743	-0.1741866
15	11	0.1452658	-0.4425887	-0.2470571	-0.17467
15	11	0.1566558	-0.444402	-0.2443373	-0.1760384
15	11	0.1681469	-0.4458106	-0.2420945	-0.1771052
15	11	0.1788548	-0.4481338	-0.2383122	-0.1785316
15	11	0.1900569	-0.450509	-0.2346884	-0.1798846
15	11	0.2015692	-0.4530114	-0.2307335	-0.1810818
15	11	0.2131995	-0.4558473	-0.2269022	-0.1830522
15	11	0.2236316	-0.4583158	-0.2229149	-0.1845808
15	11	0.2347575	-0.4608992	-0.2185377	-0.1859972
15	11	0.2462879	-0.4632528	-0.2147741	-0.1872343
15	11	0.2571526	-0.4660572	-0.2101225	-0.1887553
15	11	0.2684689	-0.4689127	-0.2052386	-0.1901968
15	11	0.280092	-0.4716873	-0.2012359	-0.191146
15	11	0.2908795	-0.4745547	-0.19608	-0.1926771
15	11	0.3016739	-0.4770392	-0.1918199	-0.193675
15	11	0.3132667	-0.4778905	-0.1913685	-0.1919018
15	11	0.3246158	-0.4808053	-0.185872	-0.1932801
15	11	0.3355812	-0.4835232	-0.1810063	-0.1943207
15	11	0.3470219	-0.4860747	-0.1764134	-0.195254
15	11	0.357684	-0.4885229	-0.1716919	-0.1960522
15	11	0.3691031	-0.4908975	-0.1668504	-0.1969525
15	11	0.3806031	-0.4925895	-0.1627778	-0.1969137
15	11	0.3914489	-0.4947569	-0.1586359	-0.1971781
15	11	0.4027938	-0.4968818	-0.1541311	-0.1974766
15	11	0.414439	-0.4988065	-0.1502868	-0.1975914
15	11	0.4252863	-0.500452	-0.1468054	-0.1975129
15	11	0.4365	-0.5022547	-0.1432978	-0.1974485
15	11	0.4476121	-0.5037011	-0.1406879	-0.1966933
15	11	0.4587147	-0.5052506	-0.137854	-0.1964042
15	11	0.4697187	-0.5069023	-0.1344419	-0.1965203
15	11	0.4813194	-0.5076511	-0.1326265	-0.1959816
15	11	0.4930346	-0.5083567	-0.1313443	-0.1953906
15	11	0.5043209	-0.5098829	-0.1288538	-0.1957163
15	11	0.5153213	-0.510709	-0.127097	-0.1948901
15	11	0.5268922	-0.511093	-0.1263669	-0.1944742
15	11	0.5382455	-0.5120573	-0.1238836	-0.1946862
15	11	0.5499692	-0.5124617	-0.1229881	-0.1944695
15	11	0.5615162	-0.5130737	-0.1225138	-0.194093
15	11	0.5734423	-0.5134382	-0.120921	-0.194537
15	11	0.5847751	-0.5135248	-0.1206703	-0.1943313
15	11	0.5963143	-0.5136918	-0.1205016	-0.1941549
15	11	0.6075945	-0.5140034	-0.1190516	-0.1946728
15	11	0.6191592	-0.513936	-0.119218	-0.1947665
15	11	0.631472	-0.5140712	-0.119637	-0.1948833
15	11	0.6420986	-0.5141554	-0.1188025	-0.1950805
15	11	0.6542931	-0.5140226	-0.1191787	-0.1952909
15	11	0.6653138	-0.514203	-0.1187656	-0.1960868
15	11	0.6766933	-0.5137109	-0.1196003	-0.1961193
15	11	0.6881537	-0.5131929	-0.1206757	-0.1960604
15	11	0.6991365	-0.5126792	-0.1216065	-0.1959238
15	11	0.7104148	-0.5127643	-0.1219833	-0.1965199
15	11	0.721679	-0.5124164	-0.1232426	-0.1966115
15	11	0.7327076	-0.5117515	-0.1245281	-0.1965812
15	11	0.7439371	-0.5113024	-0.125357	-0.1973833
15	11	0.7551321	-0.5105301	-0.1268984	-0.1974299
15	11	0.7662235	-0.5105019	-0.1277739	-0.1981119
15	11	0.7779422	-0.5096788	-0.1295373	-0.1974932
15	11	0.7890141	-0.5085095	-0.1315206	-0.1974387
15	11	0.7996751	-0.507648	-0.1330301	-0.1972606
15	11	0.8112129	-0.5075574	-0.1340517	-0.1978723
15	11	0.8220955	-0.5066797	-0.1355548	-0.1979233
15	11	0.8332093	-0.5060376	-0.1372522	-0.1978831
15	11	0.8444806	-0.5058916	-0.1382884	-0.1981283
15	11	0.8556154	-0.5054201	-0.1397861	-0.1979438
15	11	0.8669122	-0.504961	-0.1398915	-0.1986538
15	11	0.8781201	-0.5043265	-0.1416665	-0.1984707
15	11	0.8893338	-0.5038794	-0.1427678	-0.1983602
15	11	0.9003422	-0.5033178	-0.1436307	-0.1981976
15	11	0.911397	-0.5030866	-0.1441357	-0.1987756
15	11	0.9225628	-0.5023926	-0.1450493	-0.1987597
15	11	0.9335483	-0.5028198	-0.1451511	-0.1990157
15	11	0.9450334	-0.502292	-0.1463059	-0.1984987
15	11	0.9562844	-0.5019972	-0.1466604	-0.198513
15	11	0.9674481	-0.5024112	-0.146114	-0.1990558
15	11	0.9787345	-0.5019884	-0.1472268	-0.1983411
15	11	0.9898191	-0.5021405	-0.1473746	-0.1981671
15	11	1.000918	-0.5025432	-0.1465132	-0.1985179
15	11	1.012188	-0.5023444	-0.1471852	-0.1980015
15	11	1.023311	-0.5024965	-0.1471152	-0.1977646
15	11	1.034422	-0.5030254	-0.1464231	-0.1979569
15	11	1.045984	-0.5027909	-0.1470305	-0.1971008
15	11	1.056738	-0.5029674	-0.1467509	-0.1969602
15	11	1.067832	-0.5037743	-0.145918	-0.1969613
15	11	1.079125	-0.5036857	-0.1465714	-0.1962938
15	11	1.090201	-0.5037737	-0.1465029	-0.1960239
15	11	1.101844	-0.5039196	-0.1463944	-0.1958098
15	11	1.112715	-0.5040036	-0.146413	-0.1952841
15	11	1.123865	-0.5040783	-0.1463172	-0.1950265
15	11	1.134963	-0.5048819	-0.1453149	-0.1953372
15	11	1.146157	-0.5046602	-0.1461452	-0.1947078
15	11	1.157521	-0.5046215	-0.1459432	-0.1943088
15	11	1.168545	-0.5045969	-0.1460683	-0.1937873
15	11	1.179784	-0.5046539	-0.1459395	-0.1934144
15	11	1.190962	-0.504438	-0.1460768	-0.1932194
15	11	1.202293	-0.5051454	-0.1452005	-0.1932633
15	11	1.213551	-0.5049722	-0.145998	-0.1927209
15	11	1.224846	-0.5050464	-0.1460946	-0.1924982
15	11	1.235864	-0.5050678	-0.146602	-0.1923927
15	11	1.246939	-0.5043961	-0.1476165	-0.1913122
15	11	1.258062	-0.5044056	-0.1477479	-0.191134
15	11	1.269047	-0.5044384	-0.148356	-0.1906753
15	11	1.280476	-0.5037732	-0.1494799	-0.1895815
15	11	1.291407	-0.5036036	-0.1493572	-0.1897532
15	11	1.302763	-0.5035273	-0.1507816	-0.1886896
15	11	1.314043	-0.5034759	-0.1508756	-0.1886324
15	11	1.324923	-0.503201	-0.151003	-0.1886517
15	11	1.335847	-0.5032482	-0.1515603	-0.1881361
15	11	1.347131	-0.502933	-0.1525323	-0.1876385
15	11	1.357996	-0.5026757	-0.1527165	-0.187685
15	11	1.369196	-0.5026608	-0.1531538	-0.1875272
15	11	1.380542	-0.5023423	-0.1540656	-0.1869193
15	11	1.391603	-0.5023052	-0.1543241	-0.1868687
15	11	1.402779	-0.5018246	-0.1553203	-0.186383
15	11	1.414436	-0.5016876	-0.1555276	-0.1864239
15	11	1.425183	-0.5015767	-0.155725	-0.1864203
15	11	1.436654	-0.5015062	-0.1561074	-0.1861964
15	11	1.447995	-0.5011261	-0.1569737	-0.1856767
15	11	1.458893	-0.500854	-0.1570569	-0.1857842
15	11	1.470276	-0.5010241	-0.1575454	-0.1855921
15	11	1.481784	-0.5006585	-0.1584629	-0.1850041
15	11	1.492794	-0.500736	-0.1586304	-0.1849018
15	11	1.503665	-0.5003427	-0.1592788	-0.1845104
15	11	1.515133	-0.5001837	-0.1595385	-0.1843269
15	11	1.526098	-0.5002277	-0.1596997	-0.1842221
15	11	1.537274	-0.500174	-0.1598798	-0.1840496
15	11	1.548521	-0.4998739	-0.1604673	-0.1835457
15	11	1.559327	-0.499632	-0.1604924	-0.1835093
15	11	1.570864	-0.5000231	-0.1606697	-0.1833233
15	11	1.583884	-0.4999368	-0.1610389	-0.1828518
15	11	1.59273	-0.5000837	-0.1611209	-0.182693
15	11	1.603568	-0.4996797	-0.1616812	-0.1823602
15	11	1.615038	-0.4997985	-0.1616268	-0.1823171
15	11	1.626135	-0.4999824	-0.1616451	-0.182138
15	11	1.637218	-0.499734	-0.1622431	-0.1816838
15	11	1.648573	-0.4996698	-0.1623279	-0.1815641
15	11	1.659572	-0.4994586	-0.162375	-0.1814743
15	11	1.670727	-0.4995179	-0.1628027	-0.1810715
15	11	1.681894	-0.4991869	-0.1633848	-0.1806635
15	11	1.69304	-0.4992478	-0.1636039	-0.1804715
15	11	1.704343	-0.4989307	-0.1641213	-0.1800278
15	11	1.716086	-0.4988291	-0.1643461	-0.1799166
15	11	1.727088	-0.4988934	-0.1644361	-0.1798267
15	11	1.738307	-0.4985356	-0.1650389	-0.1793641
15	11	1.749406	-0.4984435	-0.1652319	-0.1792459
15	11	1.760467	-0.498405	-0.1656679	-0.1790913
15	11	1.771836	-0.4978921	-0.16614	-0.1787597
15	11	1.782898	-0.4974655	-0.1667668	-0.1784275
15	11	1.794001	-0.4975986	-0.1667866	-0.1784548
15	11	1.805153	-0.497227	-0.1676878	-0.177739
15	11	1.816483	-0.497189	-0.1678754	-0.177745
15	11	1.827371	-0.4969854	-0.1682338	-0.1776054
15	11	1.838811	-0.4967843	-0.1690085	-0.1773024
15	11	1.84997	-0.4965533	-0.1694664	-0.1770916
15	11	1.861228	-0.4963295	-0.1698493	-0.1769652
15	11	1.872659	-0.4962646	-0.1705306	-0.1763712
15	11	1.883751	-0.4960889	-0.1709493	-0.1762024
15	11	1.894649	-0.4960145	-0.171371	-0.175975
15	11	1.905908	-0.4956318	-0.1720151	-0.1756766
15	11	1.917014	-0.4954716	-0.1723368	-0.1755172
15	11	1.928161	-0.4952632	-0.1727558	-0.1753137
15	11	1.939261	-0.4949145	-0.1735015	-0.1749501
15	11	1.950474	-0.4946841	-0.1739725	-0.1747141
15	11	1.961514	-0.4944099	-0.1743908	-0.1746943
15	11	1.972912	-0.4944066	-0.1748751	-0.1741761
15	11	1.983899	-0.4943979	-0.1750304	-0.174067
15	11	1.99503	-0.4944201	-0.175374	-0.1737913
15	11	2.005936	-0.4939468	-0.1758341	-0.1737618
15	11	2.017183	-0.4940012	-0.1759373	-0.1737252
15	11	2.028056	-0.494168	-0.1759531	-0.1736631
15	11	2.039413	-0.4939693	-0.1765913	-0.1732439
15	11	2.050742	-0.4937956	-0.1768717	-0.1730745
15	11	2.061593	-0.4937894	-0.1768447	-0.1731613
15	11	2.072769	-0.4935272	-0.1774834	-0.172768
15	11	2.083832	-0.4932683	-0.1779071	-0.1725461
15	11	2.095007	-0.493211	-0.1779182	-0.1723237
15	11	2.10621	-0.4930044	-0.1787353	-0.172165
15	11	2.117544	-0.4929175	-0.1790328	-0.1720088
15	11	2.128818	-0.4928492	-0.1790625	-0.1719444
15	11	2.139979	-0.4919453	-0.1811401	-0.170688
15	11	2.151334	-0.4917899	-0.1814728	-0.1704887
15	11	2.162464	-0.4917691	-0.1815188	-0.1704229
15	11	2.17365	-0.49257	-0.179858	-0.171419
15	11	2.184997	-0.4926236	-0.1799221	-0.1713413
15	11	2.196635	-0.4926125	-0.1802183	-0.1713511
15	11	2.207495	-0.4928086	-0.1795115	-0.1717497
15	11	2.218652	-0.492721	-0.1796964	-0.1716053
15	11	2.229742	-0.4926502	-0.1795268	-0.171434
15	11	2.240825	-0.4926411	-0.1794782	-0.1717852
15	11	2.251966	-0.4924752	-0.1797134	-0.1716199
15	11	2.263178	-0.4927422	-0.1796654	-0.1717001
15	11	2.274289	-0.4928473	-0.179251	-0.1716841
15	11	2.285541	-0.4924667	-0.1796377	-0.1714249
15	11	2.296476	-0.4927542	-0.1797006	-0.1712917
15	11	2.307461	-0.4927011	-0.1792337	-0.1717614
15	11	2.318806	-0.4907815	-0.1838884	-0.1686866
15	11	2.329972	-0.4908106	-0.1840441	-0.16851
15	11	2.340896	-0.4907991	-0.1840012	-0.1685306
15	11	2.352432	-0.4908478	-0.1840721	-0.1684809
15	11	2.363295	-0.4909911	-0.1843171	-0.1684115
15	11	2.374501	-0.4909509	-0.1841594	-0.1682845
15	11	2.385733	-0.4908736	-0.1842029	-0.1682428
15	11	2.397076	-0.4908963	-0.1843293	-0.1681446
15	11	2.408085	-0.4908632	-0.1843615	-0.1681114
15	11	2.419332	-0.4909648	-0.1843451	-0.1681563
15	11	2.430742	-0.4908307	-0.1843995	-0.1680766
15	11	2.442001	-0.4906577	-0.1846002	-0.1682261
15	11	2.453038	-0.4905255	-0.1846581	-0.1681914
15	11	2.464543	-0.490554	-0.1848068	-0.168066
15	11	2.475487	-0.4906578	-0.1848847	-0.1679654
15	11	2.486938	-0.4905636	-0.184867	-0.1680225
15	11	2.498376	-0.4906782	-0.1849406	-0.1678883
15	11	2.509963	-0.4906173	-0.1849724	-0.1679597
15	11	2.52142	-0.4907625	-0.1849002	-0.1680286
15	11	2.531907	-0.4907341	-0.1849368	-0.1678708
15	11	2.542534	-0.4907961	-0.1849598	-0.1677773
15	11	2.553502	-0.4909817	-0.1850277	-0.1676122
15	11	2.564614	-0.4908249	-0.1850647	-0.1676524
15	11	2.575557	-0.4908518	-0.1851246	-0.1675488
15	11	2.586869	-0.4906447	-0.1854515	-0.1673049
15	11	2.597832	-0.4906554	-0.1854252	-0.1672057
15	11	2.608837	-0.4906223	-0.1854579	-0.1671954
15	11	2.620215	-0.4905145	-0.1856575	-0.1669829
15	11	2.631447	-0.4904633	-0.1857073	-0.1669226
15	11	2.642413	-0.4904698	-0.1857883	-0.1668025
15	11	2.653726	-0.4904399	-0.1858646	-0.1666915
15	11	2.665301	-0.4904747	-0.1859452	-0.1666441
15	11	2.676064	-0.4904388	-0.1860143	-0.1665945
15	11	2.687489	-0.4902083	-0.1861347	-0.1666291
15	11	2.698909	-0.4901239	-0.1861732	-0.1665875
15	11	2.709861	-0.4901868	-0.1859716	-0.166755
15	11	2.721031	-0.4902674	-0.1861068	-0.166591
15	11	2.732479	-0.4901487	-0.1861886	-0.1665728
15	11	2.743639	-0.4901767	-0.1862645	-0.1665418
15	11	2.754672	-0.4903752	-0.1862637	-0.1666154
15	11	2.765832	-0.4902482	-0.1863799	-0.166844
15	11	2.776712	-0.4901235	-0.186413	-0.1670556
15	11	2.787945	-0.4898914	-0.1866628	-0.1670121
15	11	2.799088	-0.4897953	-0.1867779	-0.1670375
15	11	2.810139	-0.4897504	-0.1868808	-0.167086
15	11	2.821934	-0.4896407	-0.1870047	-0.1670916
15	11	2.832887	-0.4895835	-0.1871693	-0.1671908
15	11	2.843849	-0.4893897	-0.1872078	-0.1673616
15	11	2.855064	-0.4894134	-0.1872213	-0.1674073
15	11	2.866282	-0.489314	-0.1871157	-0.167372
15	11	2.877624	-0.4892428	-0.1871072	-0.1673756
15	11	2.888605	-0.4890591	-0.1867522	-0.1674854
15	11	2.899846	-0.4890088	-0.1864171	-0.1674943
15	11	2.910834	-0.4891338	-0.1856449	-0.1674778
15	11	2.922115	-0.4893605	-0.1846236	-0.1673905
15	11	2.933315	-0.4899193	-0.1831595	-0.1674752
15	11	2.944307	-0.4904188	-0.1815615	-0.1677138
15	11	2.955383	-0.4915849	-0.1791761	-0.1680496
15	11	2.966733	-0.4932357	-0.1760572	-0.1686906
15	11	2.977906	-0.4952842	-0.1720827	-0.1693174
15	11	2.988911	-0.4970566	-0.1681165	-0.1695379
15	11	3.000113	-0.499182	-0.1635458	-0.1698564
15	11	3.011324	-0.5023624	-0.15799	-0.1704985
15	11	3.022552	-0.5057766	-0.1517426	-0.1707639
15	11	3.033698	-0.508952	-0.145043	-0.1713277
15	11	3.04497	-0.5124136	-0.1381942	-0.1713442
15	11	3.056223	-0.5159967	-0.1307141	-0.1712923
