x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0404785	-0.5307436	0.01315844	-0.03874695
15	11	0.0497097	-0.5307235	0.01317608	-0.03918183
15	11	0.0587135	-0.5308098	0.01326394	-0.03969896
15	11	0.0661164	-0.5309713	0.01307797	-0.0400759
15	11	0.0727645	-0.5309713	0.01307797	-0.0400759
15	11	0.0795729	-0.5309182	0.01309133	-0.04029536
15	11	0.0895751	-0.5308831	0.01291823	-0.04055393
15	11	0.1004689	-0.5308915	0.01263309	-0.04084957
15	11	0.1117607	-0.5308915	0.01242661	-0.0410254
15	11	0.1232927	-0.5308853	0.01212251	-0.04113591
15	11	0.1343794	-0.5306066	0.01200044	-0.04086602
15	11	0.1456511	-0.5306709	0.01140833	-0.04087043
15	11	0.1565579	-0.5307232	0.01100922	-0.0406208
15	11	0.1680387	-0.5307423	0.01036024	-0.04046321
15	11	0.178712	-0.5305345	0.0102129	-0.03976429
15	11	0.1903953	-0.5305595	0.00987196	-0.03935397
15	11	0.2020983	-0.5306803	0.009498715	-0.03882384
15	11	0.2124088	-0.5305989	0.0091151	-0.03831375
15	11	0.2240799	-0.5304624	0.00859952	-0.03772283
15	11	0.2352847	-0.5304645	0.008197904	-0.03723371
15	11	0.2461109	-0.530478	0.007956028	-0.03655624
15	11	0.2572375	-0.5304245	0.007543206	-0.03589487
15	11	0.2687418	-0.5304592	0.007405996	-0.03535068
15	11	0.2800041	-0.5304841	0.007256985	-0.03482318
15	11	0.2908715	-0.5305239	0.007075667	-0.0343771
15	11	0.3020639	-0.5305717	0.007113576	-0.03387344
15	11	0.3131674	-0.5305474	0.007310629	-0.03371143
15	11	0.3245366	-0.5304685	0.007217407	-0.03327882
15	11	0.3356189	-0.530498	0.007423043	-0.03302038
15	11	0.3464738	-0.5306951	0.007493377	-0.03273082
15	11	0.3576572	-0.5307661	0.007851362	-0.03283691
15	11	0.3686918	-0.5308765	0.008065343	-0.0327605
15	11	0.3801747	-0.5308965	0.008492231	-0.0325284
15	11	0.3913427	-0.5308626	0.008692026	-0.03268349
15	11	0.4024295	-0.530887	0.008945227	-0.03305006
15	11	0.4134329	-0.5307498	0.009376049	-0.03313577
15	11	0.4252083	-0.5306337	0.009652853	-0.03339839
15	11	0.4365509	-0.5306625	0.01001585	-0.03356922
15	11	0.4471872	-0.5307359	0.0102582	-0.03415
15	11	0.4590097	-0.5307634	0.01049459	-0.03456056
15	11	0.4697784	-0.5307646	0.01081681	-0.03489399
15	11	0.4807262	-0.5308032	0.01106203	-0.03549182
15	11	0.4920144	-0.5308621	0.01126528	-0.03602505
15	11	0.5036796	-0.5309125	0.01148057	-0.03649259
15	11	0.5154867	-0.5308871	0.01159847	-0.03696048
15	11	0.5268428	-0.5308888	0.01169682	-0.03734446
15	11	0.538352	-0.5309134	0.01184559	-0.037678
15	11	0.5496091	-0.5309604	0.01197028	-0.0381031
15	11	0.5612261	-0.5309297	0.01206791	-0.03838813
15	11	0.5727373	-0.5309658	0.01212847	-0.03869975
15	11	0.584377	-0.5310377	0.0121944	-0.03892326
