x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0420844	-0.4848149	0.01049769	-0.01576877
15	11	0.0499533	-0.4848208	0.01051342	-0.01581573
15	11	0.0568777	-0.4849286	0.01076102	-0.01571989
15	11	0.0633023	-0.4849286	0.01076102	-0.01571989
15	11	0.0700339	-0.4848971	0.01076722	-0.01580906
15	11	0.078283	-0.4847322	0.01079667	-0.01584506
15	11	0.0916096	-0.484725	0.01057804	-0.01624823
15	11	0.1003547	-0.4846814	0.01048815	-0.01636386
15	11	0.1117348	-0.4847395	0.01016319	-0.01669168
15	11	0.1230076	-0.4847252	0.009949327	-0.01666021
15	11	0.1344093	-0.484762	0.009890318	-0.0169313
15	11	0.1455445	-0.4847085	0.009575009	-0.01711726
15	11	0.1570088	-0.4846478	0.009468913	-0.01701975
15	11	0.1681012	-0.484525	0.009232759	-0.01701403
15	11	0.1793338	-0.4845812	0.009011269	-0.01710796
15	11	0.1904702	-0.4846058	0.008818746	-0.0170505
15	11	0.2015705	-0.4845972	0.008692861	-0.01707983
15	11	0.2126324	-0.4845955	0.00869143	-0.0170877
15	11	0.2242082	-0.4845507	0.008581758	-0.01706815
15	11	0.2348966	-0.4846041	0.008461714	-0.0170331
15	11	0.2464502	-0.4845378	0.008368254	-0.01709676
15	11	0.2576477	-0.4845521	0.008252978	-0.01717329
15	11	0.2684071	-0.4845564	0.008321166	-0.01708341
15	11	0.2792572	-0.4844823	0.008380771	-0.01699066
15	11	0.2906284	-0.4846523	0.008440137	-0.01683068
15	11	0.3014717	-0.4847293	0.00868094	-0.01686764
15	11	0.3126648	-0.4844034	0.008829355	-0.01704383
15	11	0.3239049	-0.4842329	0.009062886	-0.01707697
15	11	0.3350768	-0.4842875	0.009447098	-0.01711035
15	11	0.3465244	-0.4842923	0.009711862	-0.01713395
15	11	0.3580439	-0.4842908	0.01001036	-0.01714563
15	11	0.368999	-0.4844549	0.01034033	-0.01730585
15	11	0.3802703	-0.4845979	0.01063478	-0.01738477
15	11	0.3912712	-0.4846272	0.01094508	-0.01750374
15	11	0.4026227	-0.4845126	0.01112902	-0.01751447
15	11	0.4141866	-0.4846187	0.01125789	-0.01753592
15	11	0.4255953	-0.4846292	0.01145875	-0.01753807
15	11	0.4360363	-0.4847162	0.01152265	-0.0175221
15	11	0.4476105	-0.4847133	0.01159799	-0.01749134
15	11	0.4590449	-0.4847078	0.01166546	-0.0175631
15	11	0.469719	-0.4847801	0.01161039	-0.01747632
15	11	0.4809591	-0.4848931	0.01155055	-0.0173254
15	11	0.4921036	-0.4849415	0.0114423	-0.01726389
15	11	0.5033725	-0.4849656	0.0111537	-0.01705718
15	11	0.5149637	-0.4850686	0.01093125	-0.01676798
15	11	0.5264546	-0.485039	0.01070356	-0.01655412
15	11	0.5383633	-0.4850528	0.01051509	-0.0162766
15	11	0.5496764	-0.4851015	0.01007676	-0.01601219
15	11	0.561475	-0.4852633	0.009862423	-0.01575112
15	11	0.5736241	-0.4852929	0.009332299	-0.0153749
15	11	0.5844626	-0.4852877	0.008916259	-0.0150857
15	11	0.5962365	-0.4850273	0.008533955	-0.01488233
15	11	0.6076818	-0.4848957	0.008265495	-0.01461983
15	11	0.6193711	-0.4847176	0.008009315	-0.01431966
15	11	0.6307536	-0.4847178	0.007752895	-0.01381159
15	11	0.6421364	-0.4846759	0.007757306	-0.01355052
15	11	0.6536964	-0.4847214	0.007647872	-0.01344848
15	11	0.665121	-0.4846513	0.00795269	-0.01310992
15	11	0.6765498	-0.4847426	0.007975459	-0.01265216
15	11	0.688009	-0.4848113	0.008204818	-0.01254845
15	11	0.6987907	-0.4847522	0.008333683	-0.01248312
15	11	0.7100382	-0.4851055	0.008777976	-0.01250386
15	11	0.7215923	-0.4852457	0.009096503	-0.01231742
15	11	0.7323548	-0.4855912	0.009515882	-0.01219678
15	11	0.7441299	-0.4856033	0.009830832	-0.01213503
15	11	0.7553756	-0.4857459	0.01027358	-0.01202607
15	11	0.7661701	-0.4859233	0.01067817	-0.01199746
15	11	0.7775537	-0.4861858	0.01105666	-0.01194119
15	11	0.7889577	-0.4863946	0.01158428	-0.01190543
15	11	0.8001616	-0.4864788	0.01203525	-0.01206207
15	11	0.8113185	-0.4866202	0.01246297	-0.01216483
15	11	0.8227351	-0.4867029	0.01291502	-0.01233506
15	11	0.8333958	-0.4867136	0.01306415	-0.01238799
15	11	0.8442926	-0.4872048	0.01397383	-0.01285505
15	11	0.8554369	-0.4875023	0.01433933	-0.0130775
15	11	0.8665355	-0.4877758	0.01476276	-0.01336193
15	11	0.8778197	-0.4881563	0.01520956	-0.01360321
15	11	0.8887315	-0.4884021	0.01567686	-0.01404524
15	11	0.9000001	-0.4889188	0.01605403	-0.01438498
15	11	0.9109916	-0.4894083	0.01645231	-0.01468301
15	11	0.9223234	-0.4899821	0.01686049	-0.01515126
15	11	0.9332352	-0.4903281	0.01706648	-0.01552486
15	11	0.9444751	-0.4911227	0.01805782	-0.01657844
15	11	0.9555365	-0.4919508	0.01871753	-0.0173049
15	11	0.9670399	-0.4926274	0.01935613	-0.01798272
15	11	0.9781911	-0.4934409	0.02031541	-0.01903725
15	11	0.9893827	-0.4943213	0.02115011	-0.01959085
15	11	1.000587	-0.4950769	0.02214098	-0.02090836
15	11	1.011799	-0.4960997	0.0231328	-0.02206421
15	11	1.02394	-0.4967914	0.02410626	-0.02316189
15	11	1.034599	-0.4975214	0.02508104	-0.02435899
15	11	1.045655	-0.4980996	0.02621627	-0.02572203
15	11	1.05662	-0.4985311	0.02720392	-0.02705264
15	11	1.067783	-0.4989774	0.02817893	-0.0282793
15	11	1.079134	-0.4993536	0.02892137	-0.02959704
15	11	1.090288	-0.4997399	0.02956963	-0.03071475
15	11	1.101246	-0.5002596	0.03055394	-0.03201938
15	11	1.112316	-0.5004632	0.03139472	-0.03290176
15	11	1.123947	-0.5009792	0.03153288	-0.03408384
15	11	1.134492	-0.5013223	0.03213263	-0.03503036
15	11	1.145856	-0.5014863	0.03237998	-0.03601933
15	11	1.157254	-0.5016272	0.03286374	-0.03678894
15	11	1.168352	-0.5018744	0.0334059	-0.03763056
15	11	1.179306	-0.5017488	0.03357303	-0.03799367
15	11	1.190854	-0.5017736	0.0334785	-0.03865552
15	11	1.201786	-0.5018325	0.03363335	-0.03915977
15	11	1.212851	-0.5019386	0.03362536	-0.03947711
