x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0396379	-0.5177426	0.007898927	-0.04188848
15	11	0.0464121	-0.5182939	0.007251143	-0.04249024
15	11	0.0539154	-0.5182939	0.007251143	-0.04249024
15	11	0.0603274	-0.5188861	0.006801844	-0.04345179
15	11	0.0676567	-0.519439	0.006263733	-0.04421711
15	11	0.0786185	-0.5196974	0.005694866	-0.04572582
15	11	0.08953711	-0.5167658	0.005802631	-0.04723954
15	11	0.100978	-0.5157504	0.00464344	-0.04830217
15	11	0.1117966	-0.5161598	0.00407505	-0.04929566
15	11	0.1244455	-0.5156286	0.005984426	-0.04959702
15	11	0.1347512	-0.5158474	0.005655169	-0.05094218
15	11	0.145188	-0.5161815	0.005293369	-0.05221581
15	11	0.1565062	-0.5168328	0.004670858	-0.05472898
15	11	0.1677894	-0.517019	0.004375696	-0.05608773
15	11	0.1789931	-0.5175679	0.004662156	-0.05769873
15	11	0.1900802	-0.5165687	0.005601525	-0.05638433
15	11	0.2014694	-0.5145195	0.004242897	-0.05572128
15	11	0.2122824	-0.5146713	0.004043579	-0.05712414
15	11	0.2233464	-0.5147014	0.003699422	-0.05817866
15	11	0.2351337	-0.5147624	0.003591418	-0.05938911
15	11	0.2456781	-0.51478	0.00357306	-0.06024003
15	11	0.2570796	-0.516839	0.007133842	-0.06404591
15	11	0.2680182	-0.5180762	0.009453177	-0.0659945
15	11	0.2792102	-0.5189176	0.01075184	-0.06788397
15	11	0.2906857	-0.5195665	0.01186752	-0.06969333
15	11	0.3015864	-0.5211267	0.0133909	-0.07231498
15	11	0.3125168	-0.521852	0.01437521	-0.07404971
15	11	0.3240573	-0.5224986	0.01524007	-0.07580161
15	11	0.3351784	-0.5230665	0.01623535	-0.07766199
15	11	0.3464263	-0.5235806	0.01684046	-0.07889128
15	11	0.3578372	-0.5235231	0.01676762	-0.0788939
15	11	0.3688776	-0.5235476	0.01675975	-0.07892084
15	11	0.3800691	-0.5267563	0.02428353	-0.0911746
15	11	0.391256	-0.5285177	0.03086722	-0.09995484
15	11	0.4024219	-0.5296052	0.0332948	-0.1040697
15	11	0.4135806	-0.5308552	0.03531456	-0.1077039
15	11	0.4251128	-0.5320809	0.03753281	-0.1128507
15	11	0.4360336	-0.533428	0.03961766	-0.1169446
15	11	0.4470093	-0.5343244	0.04173279	-0.121026
15	11	0.4590812	-0.529284	0.04993427	-0.09612203
15	11	0.469835	-0.5295897	0.05163741	-0.09862852
15	11	0.4812566	-0.5296366	0.05310488	-0.09977078
15	11	0.4931711	-0.5294635	0.05388951	-0.1007402
15	11	0.5043231	-0.530961	0.05009913	-0.1155252
15	11	0.5159368	-0.5295849	0.04558504	-0.1112502
15	11	0.5275923	-0.5306737	0.04553545	-0.1108661
15	11	0.5387396	-0.5308123	0.04570639	-0.1102812
15	11	0.5502041	-0.5308726	0.04564476	-0.1107659
15	11	0.5615202	-0.5309606	0.04585004	-0.1100931
15	11	0.5732183	-0.5310409	0.0451479	-0.1087685
15	11	0.5850192	-0.5313752	0.04510105	-0.1073315
15	11	0.5962094	-0.5309849	0.04375577	-0.1050932
15	11	0.6076835	-0.5311072	0.04303825	-0.103744
15	11	0.6191678	-0.5310373	0.04125357	-0.1008227
15	11	0.6309946	-0.5312781	0.04019821	-0.09870768
15	11	0.6422074	-0.5310702	0.03823745	-0.09584475
15	11	0.6537814	-0.5308771	0.03616893	-0.0931046
15	11	0.664762	-0.530757	0.03390551	-0.09023857
15	11	0.6763168	-0.5304763	0.03185451	-0.08754849
15	11	0.6875979	-0.530545	0.02973294	-0.08497262
15	11	0.698586	-0.5306172	0.027614	-0.08259249
15	11	0.7096922	-0.5304449	0.02598214	-0.08036304
15	11	0.7211143	-0.5302296	0.02428424	-0.07837152
15	11	0.7321146	-0.5300958	0.02244222	-0.07608676
15	11	0.7436411	-0.5300508	0.0206126	-0.07397938
15	11	0.7550486	-0.5299363	0.01894879	-0.07182527
15	11	0.7658744	-0.5298095	0.01718569	-0.06961942
15	11	0.7771617	-0.5298133	0.01676464	-0.06926203
15	11	0.7883649	-0.5297122	0.0167619	-0.06929874
15	11	0.7992685	-0.5296512	0.01671767	-0.06927657
15	11	0.8109052	-0.529516	0.01676571	-0.06922722
15	11	0.8216943	-0.5294638	0.01681066	-0.06924701
15	11	0.8327329	-0.5294454	0.0167799	-0.06921792
15	11	0.8440989	-0.5274198	0.02116621	-0.06437421
15	11	0.8551875	-0.526644	0.02226949	-0.0651927
15	11	0.8668838	-0.5263031	0.02221572	-0.06467652
15	11	0.8775988	-0.5261781	0.02218103	-0.06474328
15	11	0.8888232	-0.525749	0.02288866	-0.06602001
15	11	0.8996918	-0.5254843	0.02289474	-0.06575942
15	11	0.9109371	-0.525125	0.02297449	-0.06543732
15	11	0.9219203	-0.5247407	0.02314126	-0.06539631
15	11	0.933434	-0.524503	0.02316642	-0.06514788
15	11	0.9443731	-0.5243888	0.0232023	-0.06477141
15	11	0.9555072	-0.523756	0.02216709	-0.06773067
15	11	0.967201	-0.5230606	0.02179098	-0.068887
15	11	0.9780239	-0.5226741	0.02157259	-0.06948996
15	11	0.989129	-0.5222282	0.02127421	-0.07015991
15	11	1.000738	-0.5315461	0.01134348	-0.04498243
15	11	1.011539	-0.5316799	0.01083875	-0.04405165
15	11	1.022814	-0.5317187	0.01020908	-0.04303336
15	11	1.034419	-0.5318582	0.009698987	-0.04207778
15	11	1.045224	-0.5319846	0.009136081	-0.04112959
15	11	1.056604	-0.5323792	0.01015055	-0.04210067
15	11	1.067643	-0.5326359	0.00981915	-0.04136252
15	11	1.078616	-0.5325878	0.009758353	-0.0409255
15	11	1.089824	-0.532661	0.009455085	-0.04025102
15	11	1.101013	-0.5328228	0.009145975	-0.03958488
15	11	1.112098	-0.5328028	0.00897038	-0.038831
15	11	1.123096	-0.5329001	0.008811593	-0.03825974
15	11	1.134314	-0.5328672	0.008603215	-0.037745
15	11	1.146311	-0.5328891	0.008506298	-0.03780985
15	11	1.157574	-0.5328691	0.008532524	-0.03782797
15	11	1.168111	-0.5327842	0.008512616	-0.03781557
15	11	1.178901	-0.5328267	0.008456945	-0.03776574
15	11	1.190145	-0.5328474	0.008544564	-0.03781462
15	11	1.201536	-0.5326555	0.008552194	-0.03785086
15	11	1.212298	-0.5326324	0.008468986	-0.03792787
15	11	1.223606	-0.5424223	0.0152986	-0.01428175
15	11	1.235085	-0.5425506	0.01499486	-0.01250815
15	11	1.245935	-0.5427685	0.01484156	-0.01086235
15	11	1.257387	-0.5431449	0.01466191	-0.009277344
15	11	1.26859	-0.5477459	0.01434517	-0.01494408
15	11	1.279616	-0.5483065	0.01413774	-0.01360846
15	11	1.290897	-0.5488901	0.01402378	-0.01234794
15	11	1.302278	-0.5494411	0.01381922	-0.01102662
15	11	1.313287	-0.5500216	0.0136174	-0.009735107
15	11	1.325161	-0.5502808	0.01305819	-0.008273363
15	11	1.335684	-0.5514584	0.01282501	-0.007344484
15	11	1.346766	-0.5519924	0.01258361	-0.006028891
15	11	1.357705	-0.55232	0.01207674	-0.004618406
15	11	1.369111	-0.55287	0.01180935	-0.003227234
15	11	1.379916	-0.5534453	0.01166689	-0.001080275
15	11	1.391337	-0.5003884	0.01039052	-0.007213354
15	11	1.40257	-0.5130887	-0.006768107	-0.03796649
15	11	1.413571	-0.5119915	-0.00708282	-0.03735423
15	11	1.424957	-0.5108662	-0.007807493	-0.03648782
15	11	1.436308	-0.5097723	-0.008168578	-0.03563499
15	11	1.447339	-0.508765	-0.00855279	-0.03470898
15	11	1.458703	-0.5077851	-0.008941054	-0.03398728
15	11	1.469773	-0.5246904	0.01045072	-0.05172634
15	11	1.4809	-0.5245101	0.01042926	-0.05161142
15	11	1.491957	-0.5246055	0.01065505	-0.05145383
15	11	1.503006	-0.5246377	0.01053238	-0.051085
15	11	1.514285	-0.5245559	0.01044929	-0.0507443
15	11	1.525367	-0.5239353	0.010782	-0.05054975
15	11	1.536502	-0.524205	0.01085198	-0.05060983
15	11	1.547585	-0.5240059	0.01092482	-0.05035496
15	11	1.558723	-0.5234697	0.01171768	-0.05096507
15	11	1.569869	-0.5236645	0.01221418	-0.05138469
15	11	1.581096	-0.523926	0.01183033	-0.05192566
15	11	1.592513	-0.5239301	0.01210201	-0.05190182
15	11	1.603634	-0.5229294	0.01197147	-0.05117345
15	11	1.614959	-0.5236263	0.01346791	-0.05069971
15	11	1.626351	-0.523469	0.01352513	-0.05047607
15	11	1.637291	-0.5229311	0.0128442	-0.05058265
15	11	1.648496	-0.5231781	0.01287365	-0.04997087
15	11	1.659697	-0.5230949	0.012586	-0.05044127
15	11	1.670776	-0.5227849	0.01073098	-0.04993629
15	11	1.681709	-0.5220499	0.01087689	-0.04953957
15	11	1.692781	-0.5214765	0.01189601	-0.04775119
15	11	1.704015	-0.5213168	0.01187813	-0.04728985
15	11	1.714974	-0.5213063	0.01173532	-0.04682851
15	11	1.726513	-0.5211391	0.01162601	-0.04664731
15	11	1.737225	-0.5209625	0.0118134	-0.04642963
15	11	1.748572	-0.5212464	0.01179123	-0.04607153
15	11	1.759567	-0.5209804	0.01188064	-0.04565263
15	11	1.770797	-0.5205791	0.0116303	-0.04500246
15	11	1.782372	-0.5203302	0.0117197	-0.04471993
15	11	1.79329	-0.5203168	0.01184857	-0.04416561
15	11	1.804496	-0.5201855	0.01181746	-0.04397488
15	11	1.815682	-0.5198579	0.01209593	-0.04337668
15	11	1.826931	-0.5195384	0.01208794	-0.0433948
15	11	1.83831	-0.5193133	0.01216757	-0.04323983
15	11	1.84903	-0.5192204	0.01178086	-0.0426712
15	11	1.860449	-0.5190024	0.01167798	-0.04244161
15	11	1.871583	-0.5189292	0.0117532	-0.04228139
15	11	1.882679	-0.5190909	0.01174605	-0.04205322
15	11	1.893697	-0.5189557	0.01165545	-0.04196477
15	11	1.904875	-0.5189357	0.01173747	-0.0418036
15	11	1.916298	-0.5191004	0.01167202	-0.04162359
15	11	1.927449	-0.5189912	0.01190543	-0.04137635
15	11	1.938793	-0.5189447	0.01185286	-0.04110026
15	11	1.949546	-0.5190172	0.01184785	-0.0409646
15	11	1.960928	-0.5190699	0.01213992	-0.04118109
15	11	1.972229	-0.5188653	0.01222086	-0.04135728
15	11	1.983479	-0.5185757	0.01224053	-0.04162455
15	11	1.994507	-0.5184495	0.01181817	-0.0418992
15	11	2.005618	-0.5184059	0.01158619	-0.0422585
15	11	2.017009	-0.5183127	0.01157618	-0.04260755
15	11	2.028375	-0.5186586	0.01141775	-0.04303217
15	11	2.039391	-0.5182345	0.0113647	-0.04357624
15	11	2.050209	-0.5180519	0.01137829	-0.0439117
15	11	2.061583	-0.5179107	0.01117933	-0.04402781
15	11	2.072503	-0.517664	0.01094329	-0.04412723
15	11	2.083667	-0.5189393	0.01078296	-0.04417133
15	11	2.095008	-0.5186477	0.01129854	-0.04415536
15	11	2.105937	-0.5184627	0.01089847	-0.04424882
15	11	2.117183	-0.518434	0.01082134	-0.04444575
15	11	2.128478	-0.51859	0.01034415	-0.04440641
15	11	2.139432	-0.5186059	0.01029289	-0.04462099
15	11	2.15084	-0.5184684	0.01025116	-0.04481888
15	11	2.161909	-0.5184798	0.01037967	-0.04555106
15	11	2.173118	-0.5180905	0.00990653	-0.04529309
15	11	2.184337	-0.5181589	0.009840012	-0.04549742
15	11	2.195599	-0.5177562	0.0101186	-0.04493594
15	11	2.206684	-0.5176876	0.009999156	-0.04523516
15	11	2.218117	-0.5187275	0.01008356	-0.04510117
15	11	2.229048	-0.5186081	0.01029837	-0.04535055
15	11	2.240193	-0.5185161	0.01004422	-0.04539847
15	11	2.251652	-0.5183988	0.009917736	-0.04550338
