x	y	time
15	11	0.0197128
15	11	0.0253766
15	11	0.0321687
15	11	0.0431642
15	11	0.0546514
15	11	0.0664986
15	11	0.0764232
15	11	0.0878644
15	11	0.0987051
15	11	0.1102318
15	11	0.1216488
15	11	0.1366255
15	11	0.1466621
15	11	0.1547424
15	11	0.1657284
15	11	0.1769315
15	11	0.18809
15	11	0.1991796
15	11	0.2105309
15	11	0.2217138
15	11	0.2327921
15	11	0.2438896
15	11	0.2550354
15	11	0.2662512
15	11	0.2777611
15	11	0.2885831
15	11	0.2997586
15	11	0.3110796
15	11	0.3222603
15	11	0.3332653
15	11	0.3446117
15	11	0.3555978
15	11	0.3667058
15	11	0.3785176
15	11	0.3891962
15	11	0.400239
15	11	0.4115386
15	11	0.4225547
15	11	0.4339764
15	11	0.4449591
15	11	0.4561428
15	11	0.4671792
15	11	0.4786116
15	11	0.4897529
15	11	0.5013728
15	11	0.5126619
15	11	0.5236501
15	11	0.5348477
15	11	0.546553
15	11	0.5572137
15	11	0.56848
15	11	0.5797533
15	11	0.590956
15	11	0.6024008
15	11	0.6134601
15	11	0.6240416
15	11	0.6353171
15	11	0.6468092
15	11	0.6572214
15	11	0.6686573
15	11	0.6801733
15	11	0.691072
15	11	0.7024322
15	11	0.7134852
15	11	0.7250928
15	11	0.7361662
15	11	0.7474726
15	11	0.7585506
15	11	0.7690696
15	11	0.7802253
15	11	0.7913684
15	11	0.8024522
15	11	0.8149311
15	11	0.8245912
15	11	0.8362962
15	11	0.847088
15	11	0.8585389
15	11	0.8698462
15	11	0.880502
15	11	0.8916503
15	11	0.9035377
15	11	0.9165112
15	11	0.9254134
15	11	0.9369006
15	11	0.9475172
15	11	0.9587314
15	11	0.9702784
15	11	0.9811187
15	11	0.9923726
15	11	1.003725
15	11	1.014548
15	11	1.025973
15	11	1.03762
15	11	1.048275
15	11	1.059595
15	11	1.072564
15	11	1.08174
15	11	1.093141
15	11	1.104337
15	11	1.115023
15	11	1.126432
15	11	1.137697
15	11	1.148672
15	11	1.159909
15	11	1.170959
15	11	1.182191
15	11	1.193606
15	11	1.204663
15	11	1.215822
15	11	1.227154
15	11	1.238063
15	11	1.249125
15	11	1.260579
15	11	1.271612
15	11	1.282959
15	11	1.294027
15	11	1.304995
15	11	1.316111
15	11	1.327326
15	11	1.338449
15	11	1.349703
15	11	1.361035
15	11	1.372259
15	11	1.383351
15	11	1.394384
15	11	1.405656
15	11	1.416816
15	11	1.427989
15	11	1.439065
15	11	1.450226
15	11	1.461446
15	11	1.472564
15	11	1.483835
15	11	1.494875
15	11	1.506078
15	11	1.517236
15	11	1.528661
15	11	1.539692
15	11	1.550825
15	11	1.562423
15	11	1.573305
15	11	1.584252
15	11	1.596064
15	11	1.606625
15	11	1.617905
15	11	1.629472
15	11	1.640057
15	11	1.651302
15	11	1.662426
15	11	1.673633
15	11	1.685071
15	11	1.696363
15	11	1.707216
15	11	1.718682
15	11	1.729532
15	11	1.74081
15	11	1.751881
15	11	1.763173
15	11	1.774129
15	11	1.785597
15	11	1.796615
15	11	1.807711
15	11	1.818798
15	11	1.83016
15	11	1.841343
15	11	1.852611
15	11	1.863763
15	11	1.874755
15	11	1.8865
15	11	1.897537
15	11	1.90856
15	11	1.919699
15	11	1.930889
15	11	1.941706
15	11	1.953036
15	11	1.964282
15	11	1.97523
15	11	1.986491
15	11	1.998069
15	11	2.008952
15	11	2.020227
15	11	2.031192
15	11	2.042261
15	11	2.053971
15	11	2.064599
15	11	2.075657
15	11	2.087738
15	11	2.098178
15	11	2.109427
15	11	2.120829
15	11	2.131575
15	11	2.142738
15	11	2.154394
15	11	2.165122
15	11	2.176238
15	11	2.187654
15	11	2.198706
15	11	2.209993
15	11	2.221166
15	11	2.232127
15	11	2.243417
15	11	2.254501
15	11	2.265674
15	11	2.27706
15	11	2.288105
15	11	2.299093
15	11	2.31072
15	11	2.321604
15	11	2.332636
15	11	2.343858
15	11	2.354985
15	11	2.366079
15	11	2.377423
15	11	2.388507
15	11	2.399755
15	11	2.41094
15	11	2.422184
15	11	2.433165
15	11	2.444489
15	11	2.455611
15	11	2.466929
15	11	2.478438
15	11	2.489024
15	11	2.500379
15	11	2.511443
15	11	2.522554
15	11	2.533719
15	11	2.544846
15	11	2.556025
15	11	2.567137
15	11	2.578341
15	11	2.589581
15	11	2.600898
15	11	2.612045
15	11	2.623263
15	11	2.634191
15	11	2.645427
15	11	2.656465
15	11	2.66763
15	11	2.679103
15	11	2.690199
15	11	2.701326
15	11	2.712451
15	11	2.723713
15	11	2.734882
15	11	2.74634
15	11	2.75725
15	11	2.768311
15	11	2.779793
15	11	2.79054
15	11	2.802013
15	11	2.813011
15	11	2.824159
15	11	2.8353
15	11	2.846496
15	11	2.857764
15	11	2.868979
15	11	2.880153
15	11	2.891486
15	11	2.902931
15	11	2.913766
15	11	2.924717
15	11	2.936354
15	11	2.947067
15	11	2.958295
15	11	2.969552
15	11	2.981088
15	11	2.991852
15	11	3.003174
14	11	3.014414
14	11	3.025146
14	11	3.036568
14	11	3.047718
14	11	3.05863
14	11	3.070252
14	11	3.081069
14	11	3.092642
14	11	3.10392
14	11	3.11459
14	11	3.125767
13	11	3.136793
13	11	3.148665
13	11	3.159378
13	11	3.170716
13	11	3.181769
13	11	3.192661
13	11	3.20417
13	11	3.215415
13	11	3.226272
13	11	3.238104
13	11	3.249109
12	11	3.26384
12	11	3.27418
12	11	3.282297
12	11	3.293305
12	11	3.304583
12	11	3.315697
12	11	3.326923
12	11	3.338084
12	11	3.349212
12	11	3.360645
12	11	3.3717
11	11	3.382659
11	11	3.393884
11	11	3.405266
11	11	3.41987
11	11	3.430318
11	11	3.438669
11	11	3.449615
11	11	3.460964
11	11	3.471981
11	11	3.483217
11	11	3.494469
12	11	3.505736
12	11	3.516725
12	11	3.52774
12	11	3.538905
12	11	3.550094
12	11	3.561532
12	11	3.572552
12	11	3.583856
12	11	3.594831
12	11	3.60629
12	11	3.617134
13	11	3.628383
13	11	3.639416
13	11	3.65087
13	11	3.661916
13	11	3.672915
13	11	3.684261
13	11	3.695343
13	11	3.706618
13	11	3.718
13	11	3.728896
13	11	3.740067
13	10	3.751375
13	10	3.762374
13	10	3.773662
13	10	3.78573
13	10	3.795871
13	10	3.807067
13	10	3.818531
13	10	3.829461
13	10	3.840765
13	10	3.851912
13	10	3.863407
13	9	3.874862
13	9	3.890172
13	9	3.899864
13	9	3.91123
13	9	3.918896
13	9	3.929933
13	9	3.941159
13	9	3.952198
13	9	3.963444
13	9	3.974774
13	9	3.98645
13	8	3.997002
13	8	4.008212
13	8	4.019418
13	8	4.030806
13	8	4.04564
13	8	4.055713
13	8	4.064278
13	8	4.0751
13	8	4.086859
13	8	4.097794
13	8	4.108623
13	8	4.120183
13	8	4.131079
13	8	4.142196
13	8	4.154033
13	8	4.164547
13	8	4.175556
13	8	4.187258
13	8	4.197968
13	8	4.209069
13	8	4.220682
13	8	4.231643
13	8	4.242589
13	8	4.253961
13	8	4.265575
13	8	4.276519
13	8	4.287514
13	8	4.298567
13	8	4.309738
13	8	4.320807
13	8	4.3321
13	8	4.343476
13	8	4.354446
13	8	4.365745
13	8	4.376632
13	8	4.38787
13	8	4.399041
13	8	4.410386
13	8	4.421336
13	8	4.432532
13	8	4.443717
13	8	4.454958
13	8	4.466426
13	8	4.477233
12	8	4.488294
12	8	4.50021
12	8	4.510843
12	8	4.521973
12	8	4.533207
12	8	4.544456
12	8	4.555582
12	8	4.566745
12	8	4.577794
12	8	4.589021
11	8	4.600182
11	8	4.611824
11	8	4.622856
11	8	4.633765
11	8	4.645005
11	8	4.656533
11	8	4.671444
11	8	4.681799
11	8	4.689652
11	8	4.700574
11	8	4.711954
10	8	4.723459
10	8	4.73419
10	8	4.745449
10	8	4.756499
10	8	4.768152
10	8	4.779475
10	8	4.790127
10	8	4.80118
10	8	4.812665
10	8	4.826963
10	8	4.83824
9	8	4.845745
9	8	4.856966
9	8	4.868456
9	8	4.879585
9	8	4.890659
9	8	4.901952
9	8	4.913072
9	8	4.924107
9	8	4.935348
9	8	4.94653
9	8	4.957481
8	8	4.969512
8	8	4.984015
8	8	4.994722
8	8	5.005623
8	8	5.013884
8	8	5.024815
8	8	5.035777
8	8	5.046998
8	8	5.058034
8	8	5.069828
8	8	5.080474
7	8	5.092009
7	8	5.103254
7	8	5.114472
7	8	5.125513
7	8	5.140347
7	8	5.151228
7	8	5.158898
7	8	5.170081
7	8	5.180899
7	8	5.19233
7	8	5.203665
7	7	5.214423
7	7	5.225662
7	7	5.237166
7	7	5.248068
7	7	5.259228
7	7	5.270833
7	7	5.282214
7	7	5.296472
7	7	5.307126
7	7	5.31482
7	7	5.326064
7	6	5.33744
7	6	5.348504
7	6	5.359775
7	6	5.370815
7	6	5.382024
7	6	5.393226
7	6	5.40461
7	6	5.415701
7	6	5.426939
7	6	5.438086
7	6	5.453809
7	5	5.463229
7	5	5.471407
7	5	5.482885
7	5	5.493732
7	5	5.505013
7	5	5.516231
7	5	5.527148
7	5	5.538582
7	5	5.549737
7	5	5.560957
7	5	5.572292
7	4	5.583139
7	4	5.594816
7	4	5.609343
7	4	5.62099
7	4	5.628283
7	4	5.639305
7	4	5.650825
7	4	5.661458
7	4	5.672629
7	4	5.683914
7	4	5.694847
7	3	5.706094
7	3	5.717571
7	3	5.728359
7	3	5.739385
7	3	5.750999
7	3	5.765597
7	3	5.776257
7	3	5.78444
7	3	5.795219
7	3	5.806367
7	3	5.817664
7	2	5.82881
7	2	5.840056
7	2	5.851118
7	2	5.862501
7	2	5.873846
7	2	5.885374
7	2	5.896027
7	2	5.907279
7	2	5.922276
7	2	5.932284
7	2	5.940876
7	2	5.951592
7	2	5.962752
7	2	5.974236
7	2	5.985192
7	2	5.996595
7	2	6.007438
7	2	6.018663
7	2	6.029787
7	2	6.041078
7	2	6.052442
7	2	6.063621
7	2	6.074778
7	2	6.085745
7	2	6.096773
7	2	6.10796
7	2	6.119318
7	2	6.130372
7	2	6.141613
7	2	6.153328
7	2	6.163944
7	2	6.174999
7	2	6.186522
7	2	6.197456
7	2	6.208556
7	2	6.220202
7	2	6.230999
7	2	6.242023
7	2	6.253349
7	2	6.264417
7	2	6.275756
7	2	6.286788
7	2	6.297807
7	2	6.309239
7	2	6.320374
7	2	6.331652
7	2	6.342699
7	2	6.354016
7	2	6.364888
7	2	6.376319
7	2	6.387716
7	2	6.398444
7	2	6.409604
7	2	6.421252
7	2	6.432552
7	2	6.443342
7	2	6.454488
7	2	6.465338
7	2	6.476692
7	2	6.48783
7	2	6.49891
7	2	6.510375
7	2	6.521345
7	2	6.532761
7	2	6.543725
7	2	6.554809
7	2	6.566036
7	2	6.577116
7	2	6.58855
7	2	6.599583
7	2	6.61094
7	2	6.622045
7	2	6.633079
7	2	6.644374
7	2	6.655377
7	2	6.666523
7	2	6.677754
7	2	6.688957
7	2	6.70011
7	2	6.711155
7	2	6.722405
7	2	6.733661
7	2	6.744789
7	2	6.7558
7	2	6.767548
7	2	6.778259
7	2	6.790188
7	2	6.801897
7	2	6.811619
7	2	6.822892
7	2	6.834725
7	2	6.845555
7	2	6.856619
7	2	6.867907
7	2	6.878838
7	2	6.890359
7	2	6.90144
7	2	6.912676
7	2	6.923325
6	2	6.934873
6	2	6.945996
6	2	6.957355
6	2	6.968693
6	2	6.979623
6	2	6.990745
6	2	7.002706
6	2	7.018784
6	2	7.028368
6	2	7.035886
6	2	7.04664
5	2	7.057382
5	2	7.068925
5	2	7.079716
5	2	7.091094
5	2	7.102154
5	2	7.113344
5	2	7.124634
5	2	7.135873
5	2	7.146843
5	2	7.158566
5	2	7.172989
4	2	7.183769
4	2	7.191626
4	2	7.203129
4	2	7.21408
4	2	7.224985
4	2	7.236435
4	2	7.247339
4	2	7.258739
4	2	7.269965
4	2	7.280971
4	2	7.292121
3	2	7.303832
3	2	7.3146
3	2	7.329185
3	2	7.340409
3	2	7.348391
3	2	7.359004
3	2	7.370514
3	2	7.381712
3	2	7.392635
3	2	7.404523
3	2	7.414946
2	2	7.426282
2	2	7.437702
2	2	7.448922
2	2	7.459775
2	2	7.471134
2	2	7.485438
2	2	7.496269
2	2	7.504336
2	2	7.515359
2	2	7.52652
2	2	7.537817
2	2	7.548902
2	2	7.560102
2	2	7.571294
2	2	7.582541
2	2	7.593583
2	2	7.604776
2	2	7.61585
2	2	7.627606
2	2	7.639326
2	2	7.649532
2	2	7.660724
2	2	7.671773
2	2	7.683169
2	2	7.694263
2	2	7.705298
2	2	7.716427
2	2	7.727638
2	2	7.73875
2	2	7.750108
2	2	7.761259
2	2	7.772439
2	2	7.783789
2	2	7.795498
2	2	7.805798
2	2	7.817009
2	2	7.828133
2	2	7.839304
2	2	7.850389
2	2	7.861803
2	3	7.872995
2	3	7.884331
2	3	7.895258
2	3	7.906725
2	3	7.918002
2	3	7.928766
2	3	7.940106
2	3	7.955547
2	3	7.965755
2	3	7.97374
2	3	7.985169
2	4	7.996001
2	4	8.00697
2	4	8.018294
2	4	8.029359
2	4	8.040578
2	4	8.052059
2	4	8.062735
2	4	8.073977
2	4	8.085349
2	4	8.096712
2	4	8.111094
2	5	8.122885
2	5	8.130279
2	5	8.141254
2	5	8.152611
2	5	8.163465
2	5	8.174369
2	5	8.186219
2	5	8.196972
2	5	8.207976
2	5	8.219549
2	5	8.230251
3	5	8.241824
3	5	8.25352
3	5	8.268769
3	5	8.278769
3	5	8.28654
3	5	8.297359
3	5	8.308448
3	5	8.320331
3	5	8.330886
3	5	8.342069
3	5	8.353508
4	5	8.364455
4	5	8.375563
4	5	8.387198
4	5	8.397766
4	5	8.409431
4	5	8.423824
4	5	8.434377
4	5	8.442517
4	5	8.454022
4	5	8.464932
4	5	8.475938
5	5	8.487237
5	5	8.498395
5	5	8.50955
5	5	8.520774
5	5	8.531827
5	5	8.542994
5	5	8.554427
5	5	8.565664
5	5	8.580748
5	5	8.590895
5	5	8.598917
6	5	8.610104
6	5	8.62114
6	5	8.63263
6	5	8.643744
6	5	8.654984
6	5	8.66604
6	5	8.677349
6	5	8.68827
6	5	8.699519
6	5	8.710588
6	5	8.722067
7	5	8.736532
7	5	8.747014
7	5	8.755249
7	5	8.766592
7	5	8.777802
7	5	8.788904
7	5	8.79991
7	5	8.811418
7	5	8.822861
7	5	8.83358
7	4	8.844632
7	4	8.856034
7	4	8.867061
7	4	8.878531
7	4	8.891134
7	4	8.900558
7	4	8.911789
7	4	8.922818
7	4	8.934023
7	4	8.945303
7	4	8.956254
7	3	8.967554
7	3	8.978658
7	3	8.989799
7	3	9.000932
7	3	9.012249
7	3	9.023491
7	3	9.034955
7	3	9.045637
7	3	9.056801
7	3	9.068517
7	3	9.079325
7	2	9.090429
7	2	9.10143
7	2	9.112968
7	2	9.123846
7	2	9.135388
7	2	9.146137
7	2	9.157743
7	2	9.168887
7	2	9.179898
7	2	9.191296
7	2	9.202622
7	2	9.213403
7	2	9.224294
7	2	9.236147
7	2	9.246968
7	2	9.257825
7	2	9.2694
7	2	9.280309
7	2	9.291395
7	3	9.302745
7	3	9.313717
7	3	9.324897
7	3	9.336468
7	3	9.347795
7	3	9.359353
7	3	9.36998
7	3	9.380842
7	3	9.391816
7	3	9.40355
7	3	9.414297
7	4	9.425385
7	4	9.437165
7	4	9.447925
7	4	9.458989
7	4	9.470731
7	4	9.481422
7	4	9.49248
7	4	9.504086
7	4	9.515264
7	4	9.525956
