x	y	time
15	11	0.0385453
15	11	0.0444142
15	11	0.049778
15	11	0.0571523
15	11	0.0676005
15	11	0.0797734
15	11	0.09009971
15	11	0.1011714
15	11	0.1122456
15	11	0.123559
15	11	0.1347422
15	11	0.145978
15	11	0.1572722
15	11	0.1684945
15	11	0.1797541
15	11	0.1906548
15	11	0.2018471
15	11	0.213067
15	11	0.2239694
15	11	0.2354886
15	11	0.2463492
15	11	0.2577197
15	11	0.2686751
15	11	0.2798422
15	11	0.2909783
15	11	0.3025081
15	11	0.3133947
15	11	0.324594
15	11	0.3359227
15	11	0.3469953
15	11	0.3582842
15	11	0.3698125
15	11	0.3804269
15	11	0.3919199
15	11	0.4033585
15	11	0.4150768
15	11	0.4262069
15	11	0.4377564
15	11	0.4493963
15	11	0.4606934
15	11	0.4720913
15	11	0.483638
15	11	0.4951965
15	11	0.5066553
15	11	0.5182449
15	11	0.5297478
15	11	0.5412423
15	11	0.5525734
15	11	0.5638123
15	11	0.5753804
15	11	0.5866989
15	11	0.5982549
15	11	0.609836
15	11	0.6212043
15	11	0.6329063
15	11	0.6437697
15	11	0.6554738
15	11	0.6666652
15	11	0.6775081
15	11	0.6890559
15	11	0.6998856
15	11	0.7111446
15	11	0.7222262
15	11	0.7337403
15	11	0.744605
15	11	0.7559316
15	11	0.767089
15	11	0.7780322
15	11	0.7892792
15	11	0.8009052
15	11	0.8117396
15	11	0.8227987
15	11	0.8339309
15	11	0.8452821
15	11	0.8563218
15	11	0.8676012
15	11	0.8787237
15	11	0.8898838
15	11	0.9012765
15	11	0.9126368
15	11	0.9232628
15	11	0.9347585
15	11	0.9456041
15	11	0.9569284
15	11	0.9681389
15	11	0.9791136
15	11	0.9903338
15	11	1.001677
15	11	1.012692
15	11	1.024041
15	11	1.034931
15	11	1.046203
15	11	1.057323
15	11	1.06859
15	11	1.079671
15	11	1.090831
15	11	1.102091
15	11	1.113274
15	11	1.124685
15	11	1.135613
15	11	1.146588
15	11	1.157905
15	11	1.16905
15	11	1.180506
15	11	1.191304
15	11	1.202482
15	11	1.213758
15	11	1.224896
15	11	1.236252
15	11	1.247339
15	11	1.258491
15	11	1.269596
15	11	1.280886
15	11	1.291914
15	11	1.303104
15	11	1.31467
15	11	1.325693
15	11	1.33705
15	11	1.347915
15	11	1.359024
15	11	1.369975
15	11	1.381387
15	11	1.392482
15	11	1.403607
15	11	1.414687
15	11	1.425951
15	11	1.43738
15	11	1.448397
15	11	1.459447
15	11	1.470701
15	11	1.481785
15	11	1.493328
15	11	1.504459
15	11	1.515836
15	11	1.526605
15	11	1.537665
15	11	1.548874
15	11	1.560042
15	11	1.571093
15	11	1.582378
15	11	1.593683
15	11	1.604733
15	11	1.615834
15	11	1.627069
15	11	1.638234
15	11	1.649411
15	11	1.660508
15	11	1.671714
15	11	1.682984
15	11	1.694132
15	11	1.70527
15	11	1.716426
15	11	1.727513
15	11	1.738772
15	11	1.750062
15	11	1.761053
15	11	1.772115
15	11	1.783736
15	11	1.794552
15	11	1.80607
15	11	1.817214
15	11	1.828152
15	11	1.839362
15	11	1.850499
15	11	1.861537
15	11	1.872891
15	11	1.883926
15	11	1.895179
15	11	1.906446
15	11	1.917696
15	11	1.928487
15	11	1.939867
15	11	1.951048
15	11	1.962155
15	11	1.973196
15	11	1.984895
15	11	1.995519
15	11	2.006918
15	11	2.017859
15	11	2.029071
15	11	2.040421
15	11	2.05167
15	11	2.062866
15	11	2.073906
15	11	2.085081
15	11	2.096232
15	11	2.10743
15	11	2.118618
15	11	2.129842
15	11	2.141101
15	11	2.152061
15	11	2.163149
15	11	2.174347
15	11	2.185567
15	11	2.19656
15	11	2.20781
15	11	2.21908
15	11	2.230334
15	11	2.241325
15	11	2.252426
15	11	2.263679
15	11	2.274919
15	11	2.286034
15	11	2.297193
15	11	2.308373
15	11	2.319518
15	11	2.330688
15	11	2.34195
15	11	2.352869
15	11	2.364228
15	11	2.375583
15	11	2.386664
15	11	2.39815
15	11	2.408892
15	11	2.420299
15	11	2.431554
15	11	2.442621
15	11	2.453706
15	11	2.46508
15	11	2.476023
15	11	2.487098
15	11	2.498459
15	11	2.509455
15	11	2.520657
15	11	2.532041
15	11	2.543008
15	11	2.554286
15	11	2.5653
15	11	2.576489
15	11	2.58768
15	11	2.598876
15	11	2.610154
15	11	2.621215
15	11	2.632316
15	11	2.643474
15	11	2.654699
15	11	2.665712
15	11	2.677102
15	11	2.688468
15	11	2.699471
15	11	2.710733
15	11	2.721941
15	11	2.73323
15	11	2.744328
15	11	2.755354
15	11	2.766436
15	11	2.777384
15	11	2.788829
15	11	2.799809
15	11	2.811023
15	11	2.822148
15	11	2.833377
15	11	2.84487
15	11	2.855798
15	11	2.866785
15	11	2.878114
15	11	2.88915
15	11	2.900458
15	11	2.911456
15	11	2.922855
15	11	2.933977
15	11	2.945059
15	11	2.95623
15	11	2.967992
15	11	2.978463
15	11	2.989919
15	11	3.001047
15	11	3.012021
15	11	3.02329
14	11	3.034797
14	11	3.045717
14	11	3.056571
14	11	3.068441
14	11	3.079052
14	11	3.090329
14	11	3.10174
14	11	3.112608
14	11	3.123848
14	11	3.135433
14	11	3.145993
13	11	3.157471
13	11	3.168449
13	11	3.18004
13	11	3.19072
13	11	3.202469
13	11	3.213024
13	11	3.224434
13	11	3.235538
13	11	3.246678
13	11	3.258005
13	11	3.269202
12	11	3.280094
12	11	3.291646
12	11	3.302506
12	11	3.31416
12	11	3.324816
12	11	3.33632
12	11	3.347353
12	11	3.358672
12	11	3.369798
12	11	3.380858
12	11	3.391696
11	11	3.403154
11	11	3.414083
11	11	3.425308
11	11	3.436444
11	11	3.447781
11	11	3.458701
11	11	3.470539
11	11	3.481131
11	11	3.492393
11	11	3.503409
11	11	3.514763
10	11	3.525815
10	11	3.537282
10	11	3.548067
10	11	3.559623
10	11	3.570472
10	11	3.581783
10	11	3.592737
10	11	3.604099
10	11	3.615393
10	12	3.666829
10	12	3.674343
10	12	3.679706
10	12	3.686476
10	12	3.696318
10	12	3.707534
10	12	3.718901
10	12	3.730279
10	12	3.74133
10	12	3.752519
10	12	3.763464
10	13	3.774708
10	13	3.785742
10	13	3.797095
10	13	3.808339
10	13	3.819878
10	13	3.830318
10	13	3.841946
10	13	3.852738
10	13	3.864042
10	13	3.87492
10	13	3.886501
10	14	3.897454
10	14	3.908861
10	14	3.919886
10	14	3.931044
10	14	3.941974
10	14	3.95327
10	14	3.964461
10	14	3.976323
10	14	3.986987
10	14	3.998216
10	15	4.009049
10	15	4.020315
10	15	4.031435
10	15	4.042923
10	15	4.05395
10	15	4.064996
10	15	4.076268
10	15	4.087776
10	15	4.098868
10	15	4.110197
10	15	4.121101
10	16	4.132731
10	16	4.14352
10	16	4.15475
10	16	4.165739
10	16	4.177382
10	16	4.188084
10	16	4.199314
10	16	4.210466
10	16	4.221658
10	16	4.232669
10	16	4.243889
10	15	4.255557
10	15	4.266662
10	15	4.277398
10	15	4.28988
10	15	4.302495
10	15	4.314997
10	15	4.327022
10	15	4.33938
10	15	4.352477
10	15	4.363855
10	15	4.374942
10	14	4.38654
10	14	4.397108
10	14	4.408355
10	14	4.420361
10	14	4.43087
10	14	4.442311
10	14	4.453336
10	14	4.4642
10	14	4.475517
10	14	4.486843
10	13	4.497888
10	13	4.508974
10	13	4.520178
10	13	4.531413
10	13	4.542664
10	13	4.553563
10	13	4.56491
10	13	4.57589
10	13	4.587349
10	13	4.598309
10	13	4.609732
10	12	4.620634
10	12	4.631833
10	12	4.642785
10	12	4.654264
10	12	4.665199
10	12	4.676538
10	12	4.68757
10	12	4.698861
10	12	4.710024
10	12	4.721056
10	12	4.732167
10	11	4.743506
10	11	4.754592
10	11	4.765923
10	11	4.776853
10	11	4.788188
10	11	4.799105
10	11	4.810315
10	11	4.821546
10	11	4.832787
10	11	4.843857
10	11	4.8551
10	11	4.866117
10	11	4.877603
10	11	4.888499
10	11	4.899751
10	11	4.911086
10	11	4.922307
10	11	4.93314
10	11	4.944459
10	11	4.955582
10	11	4.966841
10	11	4.977785
10	11	4.989601
10	11	5.000159
10	11	5.011518
10	11	5.022584
10	11	5.033844
10	11	5.044865
10	11	5.056309
10	11	5.067379
10	11	5.078507
10	11	5.089684
10	11	5.100917
10	11	5.11221
10	11	5.123486
10	11	5.134329
10	11	5.145699
10	11	5.156565
10	11	5.167976
10	11	5.179288
10	11	5.190208
10	11	5.201167
10	11	5.212597
10	11	5.223883
10	11	5.235024
10	11	5.246044
10	11	5.257587
10	11	5.268791
10	11	5.279804
10	11	5.290935
10	11	5.30234
10	11	5.31304
10	11	5.324526
10	11	5.335592
10	11	5.346784
10	11	5.357818
10	11	5.369099
10	11	5.380303
10	11	5.39132
10	11	5.402486
10	11	5.413847
10	11	5.424793
10	11	5.436237
10	11	5.447135
10	11	5.458388
10	11	5.469363
10	11	5.480612
10	11	5.491631
10	11	5.503158
10	11	5.514125
10	11	5.525309
10	11	5.536644
10	11	5.547679
10	11	5.558729
9	11	5.570405
9	11	5.58111
9	11	5.592367
9	11	5.603531
9	11	5.614777
9	11	5.625666
9	11	5.63744
9	11	5.648154
9	11	5.659526
9	11	5.670694
9	11	5.681809
8	11	5.693091
8	11	5.704187
8	11	5.715181
8	11	5.726364
8	11	5.737562
8	11	5.749013
8	11	5.760291
8	11	5.771314
8	11	5.782132
8	11	5.793362
8	11	5.804602
7	11	5.815675
7	11	5.826752
7	11	5.838237
7	11	5.849312
7	11	5.86091
7	11	5.87158
7	11	5.88287
7	11	5.893763
7	11	5.905144
7	11	5.916353
7	11	5.92732
7	10	5.938454
7	10	5.949883
7	10	5.961249
7	10	5.972218
7	10	5.983132
7	10	5.994501
7	10	6.005712
7	10	6.016805
7	10	6.027964
7	10	6.039193
7	10	6.050075
7	9	6.061477
7	9	6.07257
7	9	6.083786
7	9	6.094757
7	9	6.106189
7	9	6.11719
7	9	6.128431
7	9	6.139522
7	9	6.150941
7	9	6.162035
7	9	6.173161
7	8	6.184196
7	8	6.195462
7	8	6.206492
7	8	6.217894
7	8	6.228863
7	8	6.240188
7	8	6.25152
7	8	6.26289
7	8	6.273915
7	8	6.285083
