x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0401012	-0.3359118	0.9854723	-0.3594326
15	11	0.0455631	-0.3358595	0.9856999	-0.3593651
15	11	0.0504077	-0.3358595	0.9856999	-0.3593651
15	11	0.0558313	-0.3359208	0.9858736	-0.3594171
15	11	0.066275	-0.3360846	0.9860173	-0.3591734
15	11	0.0771102	-0.335948	0.9860073	-0.3590328
15	11	0.0888802	-0.3358984	0.9862694	-0.3588301
15	11	0.0994968	-0.3358278	0.9864342	-0.3587815
15	11	0.1109887	-0.3360882	0.9867516	-0.3587455
15	11	0.1216833	-0.3360145	0.9868442	-0.3586439
15	11	0.1332338	-0.3359392	0.9869704	-0.3585798
15	11	0.1441861	-0.3359005	0.9870983	-0.3585743
15	11	0.1552411	-0.3359358	0.9870545	-0.3586005
15	11	0.1663511	-0.3358207	0.987093	-0.3585931
15	11	0.1778107	-0.3357625	0.9869498	-0.3584923
15	11	0.1889655	-0.3356662	0.9870336	-0.3582517
15	11	0.2001466	-0.3356879	0.9869362	-0.3580638
15	11	0.2112782	-0.3357036	0.986982	-0.3580571
15	11	0.222689	-0.3353891	0.9869535	-0.3580192
15	11	0.233356	-0.3354297	0.9868177	-0.3578089
15	11	0.2446555	-0.3352692	0.9868518	-0.3578771
15	11	0.2557192	-0.3352232	0.9867506	-0.3578054
15	11	0.2670893	-0.3352547	0.9865966	-0.3576549
15	11	0.2779519	-0.3351817	0.9864331	-0.3575896
15	11	0.2893603	-0.3350971	0.9862425	-0.3577369
15	11	0.3003537	-0.3350899	0.9861578	-0.3577868
15	11	0.3118244	-0.3349583	0.986131	-0.357932
15	11	0.3228843	-0.3349595	0.9860851	-0.3579525
15	11	0.3344528	-0.3349128	0.9860445	-0.3581465
15	11	0.3452773	-0.3349745	0.9860666	-0.3582972
15	11	0.3564884	-0.3353755	0.9858396	-0.3584889
15	11	0.3679513	-0.3353989	0.9858254	-0.3586785
15	11	0.3787054	-0.3354173	0.9858102	-0.3588115
15	11	0.3899598	-0.335408	0.9859627	-0.3588012
15	11	0.4014353	-0.3354528	0.9860281	-0.3588527
15	11	0.4126829	-0.3354869	0.9861906	-0.3589569
15	11	0.4243961	-0.3355842	0.9860882	-0.3592974
15	11	0.4356926	-0.3356211	0.9860905	-0.3592578
15	11	0.4473141	-0.3355415	0.9862376	-0.359331
15	11	0.4587681	-0.3354731	0.9864601	-0.359291
15	11	0.4703896	-0.3354568	0.9865866	-0.3592764
15	11	0.4820645	-0.3355901	0.9867222	-0.3592519
15	11	0.4934568	-0.3354833	0.9870772	-0.3589672
15	11	0.5048629	-0.3354816	0.9870566	-0.3587402
15	11	0.5167575	-0.3352144	0.9872564	-0.3587352
15	11	0.5277909	-0.3351443	0.9873625	-0.3587757
15	11	0.5393463	-0.3350437	0.9874291	-0.3586599
15	11	0.551047	-0.335047	0.9875115	-0.3585571
15	11	0.5627556	-0.3350337	0.9874778	-0.3586425
15	11	0.5738731	-0.3350224	0.9876702	-0.3586224
15	11	0.5853727	-0.334914	0.9876904	-0.3586005
15	11	0.5970882	-0.3348475	0.9877157	-0.3585235
15	11	0.6084192	-0.3347735	0.9876435	-0.35838
15	11	0.6198849	-0.3347323	0.9876127	-0.3582624
15	11	0.6315453	-0.3346827	0.9876189	-0.3580688
15	11	0.6430275	-0.3347657	0.987776	-0.3580889
15	11	0.6545431	-0.3349636	0.9876442	-0.3580076
15	11	0.6658953	-0.335007	0.9875308	-0.3578366
15	11	0.6773255	-0.3349876	0.9873368	-0.3577155
15	11	0.6881393	-0.3349817	0.9872499	-0.3576449
15	11	0.6994191	-0.335037	0.9871087	-0.3575534
15	11	0.7104624	-0.3349724	0.9872431	-0.3577203
15	11	0.7216896	-0.3349674	0.9871677	-0.3577615
15	11	0.7328115	-0.3349922	0.9871645	-0.3575641
15	11	0.7440988	-0.334938	0.987028	-0.3575298
15	11	0.7552136	-0.334903	0.9870391	-0.3576645
15	11	0.7662995	-0.3349719	0.9870448	-0.3577155
15	11	0.7781456	-0.3349402	0.987016	-0.3577775
15	11	0.7893404	-0.3348958	0.9869019	-0.3580974
15	11	0.7997952	-0.3348036	0.9869902	-0.3582824
15	11	0.8110626	-0.3347526	0.986964	-0.3583554
15	11	0.8222812	-0.334877	0.987044	-0.358348
15	11	0.8335856	-0.3348126	0.9871355	-0.3584751
15	11	0.8445619	-0.3347557	0.9871342	-0.3585073
15	11	0.855763	-0.334934	0.9871452	-0.3585614
15	11	0.8669165	-0.3349326	0.9872198	-0.3585814
15	11	0.8779764	-0.3347192	0.9873589	-0.3587252
15	11	0.8893758	-0.3346426	0.987535	-0.3586565
15	11	0.9004627	-0.3346021	0.9876297	-0.3586739
15	11	0.9115588	-0.3348324	0.9875695	-0.3585299
15	11	0.9228061	-0.3348112	0.9876461	-0.3584789
15	11	0.9339268	-0.3347414	0.9877305	-0.3585144
15	11	0.9451855	-0.3347082	0.9877442	-0.3584808
15	11	0.9562761	-0.3347905	0.9876376	-0.3586081
15	11	0.9675276	-0.3348629	0.9876437	-0.3584379
15	11	0.9785818	-0.3348727	0.9877194	-0.3584393
15	11	0.9900572	-0.3348618	0.9878372	-0.3583564
15	11	1.001161	-0.3347726	0.9879674	-0.3584775
15	11	1.012149	-0.3347292	0.987929	-0.3583947
15	11	1.023576	-0.3346539	0.9880499	-0.3583287
15	11	1.035273	-0.3346291	0.9881248	-0.3583115
15	11	1.045943	-0.3346415	0.9883724	-0.358426
15	11	1.057171	-0.3346035	0.9883764	-0.3585123
15	11	1.068258	-0.3345807	0.988422	-0.3584946
15	11	1.079167	-0.3345361	0.9885815	-0.3585571
15	11	1.090257	-0.3345742	0.9885029	-0.3586973
15	11	1.101649	-0.3345556	0.9885446	-0.3587245
15	11	1.112591	-0.3346875	0.9886096	-0.3587338
15	11	1.12375	-0.3346133	0.9887545	-0.3586322
15	11	1.135534	-0.3346019	0.9888235	-0.3586692
15	11	1.146748	-0.3344622	0.988603	-0.3585242
15	11	1.157555	-0.3344378	0.9886518	-0.3585483
15	11	1.168919	-0.3342376	0.9884465	-0.358569
15	11	1.179709	-0.3342574	0.9884402	-0.3585805
15	11	1.190805	-0.3341722	0.988501	-0.3584839
15	11	1.202235	-0.3341274	0.9885179	-0.3585323
15	11	1.213223	-0.3341918	0.9886813	-0.3586732
15	11	1.224424	-0.3341048	0.9888045	-0.3585511
15	11	1.235687	-0.3339965	0.9888481	-0.3586534
15	11	1.246723	-0.3341789	0.9889256	-0.358678
15	11	1.257923	-0.3341768	0.9888953	-0.3587636
15	11	1.26899	-0.3340704	0.9888089	-0.3587855
15	11	1.280121	-0.3342028	0.9887947	-0.3587652
15	11	1.291343	-0.3341377	0.988901	-0.3586453
15	11	1.302844	-0.3342068	0.9888748	-0.3585674
15	11	1.313658	-0.3340833	0.9888576	-0.3585922
15	11	1.324799	-0.334126	0.9887505	-0.3587242
15	11	1.335977	-0.3340254	0.9888328	-0.3588952
15	11	1.347189	-0.3342159	0.9888698	-0.3589247
15	11	1.358365	-0.3342237	0.9888626	-0.3589827
15	11	1.369595	-0.3342755	0.988758	-0.3588709
15	11	1.380953	-0.3341951	0.9887842	-0.3589305
15	11	1.391788	-0.3341403	0.9888965	-0.3588477
15	11	1.40308	-0.3342395	0.9888853	-0.35874
15	11	1.414306	-0.3340037	0.9889381	-0.358776
15	11	1.425425	-0.333982	0.9890196	-0.3588046
15	11	1.436656	-0.3339763	0.989102	-0.3587998
15	11	1.447672	-0.333791	0.9890721	-0.3587357
15	11	1.459009	-0.333775	0.9891388	-0.3587354
15	11	1.470065	-0.333777	0.9895004	-0.3589762
15	11	1.481152	-0.3339772	0.9896075	-0.3588742
15	11	1.492406	-0.3340201	0.9896386	-0.3588873
15	11	1.503665	-0.3340719	0.989773	-0.3588485
15	11	1.514642	-0.3340588	0.9898633	-0.358807
15	11	1.52588	-0.3340845	0.9899173	-0.35879
15	11	1.537069	-0.3341596	0.9897451	-0.3584572
15	11	1.548276	-0.333847	0.9898235	-0.3584818
15	11	1.559396	-0.3338823	0.989779	-0.3585252
15	11	1.571201	-0.333961	0.9897884	-0.3583509
15	11	1.581922	-0.333843	0.9900129	-0.35844
15	11	1.593019	-0.3338187	0.9900249	-0.3584305
15	11	1.604117	-0.333858	0.9900379	-0.358327
15	11	1.615391	-0.3337157	0.9899763	-0.358291
15	11	1.626451	-0.3337002	0.98996	-0.3583094
15	11	1.637845	-0.3336916	0.9899292	-0.3582557
15	11	1.648762	-0.3337548	0.9900454	-0.3583313
15	11	1.659996	-0.3336971	0.9900891	-0.3582212
15	11	1.67135	-0.3336837	0.9898995	-0.358065
15	11	1.682354	-0.333559	0.9898591	-0.3580698
15	11	1.693491	-0.333617	0.989706	-0.358199
15	11	1.704649	-0.3337286	0.9897383	-0.3581911
15	11	1.715791	-0.3337619	0.9897335	-0.3582174
15	11	1.726895	-0.3336976	0.9899088	-0.3580984
15	11	1.738221	-0.3336623	0.9899106	-0.35821
15	11	1.749341	-0.3336499	0.9899616	-0.3582593
15	11	1.760971	-0.3337882	0.9898027	-0.3585647
15	11	1.772573	-0.3336942	0.9896837	-0.3585263
15	11	1.783099	-0.3336711	0.989695	-0.3586403
15	11	1.794076	-0.3336151	0.9897795	-0.3586086
15	11	1.805102	-0.3336225	0.9897914	-0.3586565
15	11	1.816261	-0.3334663	0.9898152	-0.3587559
15	11	1.827429	-0.3333554	0.9900167	-0.3586355
15	11	1.83874	-0.3334849	0.990288	-0.3588108
15	11	1.849728	-0.3335938	0.9903409	-0.3588408
15	11	1.861069	-0.3336432	0.9903305	-0.3589588
15	11	1.872247	-0.3335781	0.9903402	-0.3590802
15	11	1.883344	-0.3336196	0.9903709	-0.359131
15	11	1.894696	-0.3336129	0.9903527	-0.3592154
15	11	1.905685	-0.333648	0.9904145	-0.359228
15	11	1.916843	-0.3337767	0.9904366	-0.3592528
15	11	1.928323	-0.3337672	0.9904633	-0.3593091
15	11	1.939171	-0.3338094	0.9905775	-0.3593739
15	11	1.950424	-0.3336792	0.990618	-0.3594493
15	11	1.96147	-0.3337047	0.9906689	-0.3593215
15	11	1.972753	-0.3335462	0.9903996	-0.3591422
15	11	1.98398	-0.3334696	0.9904436	-0.3591758
15	11	1.995081	-0.3333628	0.9905511	-0.3590697
15	11	2.006169	-0.3333013	0.9906087	-0.3590564
15	11	2.017583	-0.3333802	0.9908508	-0.3591958
15	11	2.028524	-0.3332884	0.9909189	-0.359157
15	11	2.039762	-0.3332078	0.9909672	-0.3592089
15	11	2.051529	-0.3333309	0.9909871	-0.3591713
15	11	2.062434	-0.3333147	0.9909786	-0.3591818
15	11	2.073415	-0.3332548	0.9909933	-0.3591284
15	11	2.085058	-0.333199	0.9909961	-0.3591381
15	11	2.095525	-0.3332789	0.9908893	-0.3591913
15	11	2.106794	-0.3333068	0.9910603	-0.3593048
15	11	2.117997	-0.3334811	0.9910376	-0.3593055
15	11	2.129122	-0.3333092	0.9912636	-0.3592445
15	11	2.14024	-0.3332856	0.9913121	-0.3592933
15	11	2.15171	-0.3333414	0.9913622	-0.3593272
15	11	2.162476	-0.3332622	0.9914968	-0.3593062
15	11	2.173811	-0.3331909	0.9913838	-0.3592912
15	11	2.185251	-0.3332427	0.9913758	-0.3593644
15	11	2.196291	-0.333204	0.9914079	-0.3593711
15	11	2.207327	-0.3331401	0.991088	-0.3592049
15	11	2.218876	-0.332979	0.9910269	-0.3592986
15	11	2.229632	-0.3329365	0.9910139	-0.3593215
15	11	2.240972	-0.3329263	0.99123	-0.3596791
15	11	2.252095	-0.3330595	0.991206	-0.3597573
15	11	2.263331	-0.3329594	0.9913635	-0.3596979
15	11	2.274241	-0.3328755	0.9912362	-0.3596975
15	11	2.285612	-0.332768	0.9912367	-0.3597933
15	11	2.296629	-0.3328898	0.9911225	-0.3597556
15	11	2.307806	-0.3328853	0.9910963	-0.3598012
15	11	2.319366	-0.3331003	0.9910667	-0.3597783
15	11	2.330109	-0.3333416	0.990845	-0.3597418
15	11	2.341347	-0.333343	0.990749	-0.3597449
15	11	2.352757	-0.3332891	0.9907143	-0.3597664
15	11	2.363717	-0.3333237	0.9906508	-0.3597647
15	11	2.37489	-0.3333895	0.9908149	-0.3598799
15	11	2.386263	-0.3334119	0.9907895	-0.359923
15	11	2.397378	-0.33338	0.9907382	-0.3602661
15	11	2.408283	-0.3333571	0.9906596	-0.3602687
15	11	2.419686	-0.3333504	0.9906321	-0.3603436
15	11	2.430745	-0.3333797	0.9907024	-0.360237
15	11	2.441989	-0.3334234	0.9907128	-0.3603328
15	11	2.453087	-0.3333585	0.9906881	-0.3604547
15	11	2.464189	-0.333395	0.9906551	-0.3605343
15	11	2.475312	-0.333389	0.9905916	-0.3605632
15	11	2.486655	-0.3333972	0.9905666	-0.3606144
15	11	2.497638	-0.3334212	0.9905282	-0.3606426
15	11	2.508905	-0.3334289	0.990526	-0.3606571
15	11	2.520174	-0.3333488	0.990591	-0.3606135
15	11	2.53116	-0.3333399	0.9905512	-0.360655
15	11	2.542382	-0.3333359	0.9905779	-0.3606902
15	11	2.553902	-0.3332005	0.990553	-0.3607491
15	11	2.564622	-0.3331449	0.9905804	-0.3607286
15	11	2.576133	-0.3331182	0.9905788	-0.3607217
15	11	2.587048	-0.3332355	0.9905161	-0.3606893
15	11	2.598136	-0.3332956	0.9904103	-0.360691
15	11	2.609323	-0.3331397	0.9900514	-0.360536
15	11	2.620549	-0.3331583	0.9899591	-0.3605212
15	11	2.631809	-0.3331978	0.989858	-0.3604923
15	11	2.642972	-0.3331645	0.9897879	-0.3604549
15	11	2.654122	-0.3331509	0.9897103	-0.3604375
15	11	2.665256	-0.3332632	0.9896017	-0.3602055
15	11	2.676408	-0.3333776	0.9897909	-0.3602957
15	11	2.687493	-0.3332465	0.9897608	-0.3603152
15	11	2.699121	-0.3333626	0.9896486	-0.3601004
15	11	2.710542	-0.333324	0.9895781	-0.3600131
15	11	2.721292	-0.3332293	0.9895687	-0.3599697
15	11	2.732275	-0.3331559	0.9895509	-0.3600174
15	11	2.743641	-0.3332648	0.9898056	-0.3601638
15	11	2.75464	-0.3334408	0.9896548	-0.3603061
15	11	2.765812	-0.3334472	0.989653	-0.3602885
15	11	2.777079	-0.3333995	0.9895654	-0.3602234
15	11	2.788057	-0.3334405	0.9896356	-0.3600508
15	11	2.799866	-0.3334067	0.9896659	-0.3600315
15	11	2.810827	-0.3333571	0.9894363	-0.3598102
15	11	2.821617	-0.333307	0.9895233	-0.3596538
15	11	2.832877	-0.3331883	0.9895741	-0.3596815
15	11	2.844076	-0.3332098	0.9896532	-0.3596596
15	11	2.855059	-0.3332675	0.9895368	-0.359708
15	11	2.866528	-0.3332837	0.9895434	-0.359584
15	11	2.877535	-0.3331678	0.9892849	-0.3593785
15	11	2.888665	-0.3331282	0.989242	-0.3593568
15	11	2.89968	-0.3330855	0.989248	-0.3593556
15	11	2.911416	-0.3330686	0.9890342	-0.3591999
15	11	2.922499	-0.3330338	0.9889897	-0.3591996
15	11	2.933614	-0.3329346	0.9889712	-0.3592285
15	11	2.944684	-0.3329237	0.9891241	-0.3593572
15	11	2.955723	-0.3326666	0.9893417	-0.3591937
15	11	2.966722	-0.3322995	0.9894208	-0.359522
15	11	2.978019	-0.3318989	0.9893732	-0.3600808
15	11	2.989159	-0.3318467	0.9891381	-0.3611346
15	11	3.000338	-0.331959	0.988865	-0.3622392
15	11	3.011818	-0.3329232	0.9885517	-0.364612
15	11	3.022895	-0.3337438	0.9885124	-0.366665
14	11	3.033773	-0.3363085	0.9886286	-0.3715469
14	11	3.044995	-0.3376713	0.9885381	-0.375506
14	11	3.056108	-0.3395047	0.9896119	-0.3812767
14	11	3.067277	-0.3411644	0.9905965	-0.3879851
14	11	3.078567	-0.3419461	0.9912666	-0.3948478
14	11	3.089741	-0.3423276	0.9926741	-0.4010669
14	11	3.100838	-0.3428259	0.9937993	-0.4091812
14	11	3.112025	-0.3436019	0.9942615	-0.4158591
14	11	3.123092	-0.3438323	0.9953818	-0.4232804
14	11	3.13442	-0.3441026	0.9960762	-0.4306709
14	11	3.145511	-0.3445795	0.9965374	-0.4375111
13	11	3.156714	-0.3446872	0.9967414	-0.4444038
13	11	3.167907	-0.3444912	0.9968871	-0.4508737
13	11	3.179373	-0.3444128	0.9969951	-0.4566883
13	11	3.19045	-0.344434	0.9967353	-0.4624957
13	11	3.201343	-0.3432477	0.9965211	-0.4675232
13	11	3.212545	-0.3428392	0.9964834	-0.4721721
13	11	3.22363	-0.3424699	0.9958415	-0.4772969
13	11	3.234929	-0.3412604	0.9955032	-0.4818956
13	11	3.246096	-0.3405023	0.9950647	-0.4860739
13	11	3.257214	-0.3397882	0.99437	-0.4904205
13	11	3.268591	-0.3388927	0.9936485	-0.494486
12	11	3.279517	-0.338371	0.9930605	-0.4984301
12	11	3.290691	-0.3379519	0.9921144	-0.502097
12	11	3.301942	-0.3374362	0.9913003	-0.5056671
12	11	3.313143	-0.3370399	0.9905359	-0.5092291
12	11	3.324196	-0.3364892	0.989623	-0.5121926
12	11	3.335735	-0.3357756	0.988765	-0.515402
12	11	3.34655	-0.3350503	0.9877814	-0.5183054
12	11	3.357687	-0.3341947	0.9869145	-0.5210098
12	11	3.369129	-0.3333371	0.9861169	-0.5240544
12	11	3.380163	-0.3327627	0.9848995	-0.5265745
12	11	3.391255	-0.3320436	0.9839305	-0.5290433
11	11	3.402668	-0.3312936	0.9829811	-0.5316387
11	11	3.413792	-0.330858	0.9818528	-0.5338248
11	11	3.424974	-0.3301933	0.9808152	-0.5361861
11	11	3.436424	-0.3292913	0.9801831	-0.5387841
11	11	3.447286	-0.328686	0.9790138	-0.540543
11	11	3.458268	-0.3284554	0.9781024	-0.5424188
11	11	3.470029	-0.3280644	0.9772054	-0.5442523
11	11	3.480573	-0.3276978	0.9764478	-0.5459176
11	11	3.491955	-0.3273242	0.9756917	-0.5475641
11	11	3.503181	-0.3269181	0.9750159	-0.5490936
11	11	3.514193	-0.3265054	0.9744731	-0.5503641
10	11	3.525275	-0.3259177	0.9740607	-0.551689
10	11	3.536777	-0.3255665	0.973532	-0.5529844
10	11	3.547658	-0.3253295	0.9731033	-0.554087
10	11	3.558863	-0.3251483	0.9727063	-0.5553392
10	11	3.570337	-0.3249063	0.9722816	-0.5564653
10	11	3.581524	-0.3246918	0.9719781	-0.5574871
10	11	3.59225	-0.32459	0.9716583	-0.5583662
10	11	3.603827	-0.3244665	0.9713926	-0.559203
10	11	3.614666	-0.3244548	0.9712845	-0.559822
10	11	3.625983	-0.3244424	0.9710813	-0.5606228
10	11	3.637348	-0.3244328	0.9709624	-0.5612851
9	11	3.648488	-0.3244219	0.97087	-0.5619212
9	11	3.659287	-0.3244128	0.9708383	-0.5626587
9	11	3.670724	-0.3243372	0.9707923	-0.5632905
9	11	3.682045	-0.324223	0.9708393	-0.563809
9	11	3.693324	-0.3241875	0.9709156	-0.5643989
9	11	3.704426	-0.3241291	0.9709233	-0.5649406
9	11	3.715464	-0.3240461	0.9710426	-0.5653716
9	11	3.726316	-0.324053	0.9711971	-0.565833
9	11	3.73777	-0.3241076	0.9712373	-0.5662133
9	11	3.748712	-0.3242021	0.9712837	-0.5665334
9	11	3.759854	-0.3242905	0.9713552	-0.5668424
8	11	3.771331	-0.324405	0.97131	-0.5670995
8	11	3.78249	-0.324553	0.9713441	-0.5670882
8	11	3.793555	-0.3244765	0.9713312	-0.5670136
8	11	3.805321	-0.3245244	0.9713774	-0.5669996
8	11	3.815798	-0.3245411	0.9714468	-0.5668741
8	11	3.827079	-0.3244059	0.9715503	-0.5668241
8	11	3.838245	-0.3244135	0.971549	-0.5665439
8	11	3.849196	-0.3244874	0.9716481	-0.5662714
8	11	3.860476	-0.3243873	0.9716365	-0.5659355
8	11	3.871639	-0.3243992	0.9715677	-0.5655516
8	11	3.882669	-0.3244867	0.9716332	-0.565019
7	11	3.894073	-0.3245051	0.9716275	-0.56455
7	11	3.905052	-0.3246324	0.9715593	-0.5640382
7	11	3.916214	-0.3247738	0.9715753	-0.5635396
7	11	3.927583	-0.3247991	0.9714631	-0.5630025
7	11	3.938641	-0.3250732	0.9714671	-0.5624088
7	11	3.949815	-0.3253138	0.9714559	-0.5618151
7	11	3.961412	-0.325525	0.9715161	-0.5612644
7	11	3.972205	-0.325738	0.9715942	-0.5606788
7	11	3.983189	-0.3259304	0.971733	-0.5600837
7	11	3.994451	-0.3260162	0.9718219	-0.559446
7	11	4.005507	-0.3261371	0.9720291	-0.558832
6	11	4.016619	-0.3262477	0.9723045	-0.5582391
6	11	4.027894	-0.3265364	0.9725777	-0.5576636
6	11	4.039161	-0.326637	0.9728434	-0.5569814
6	11	4.050351	-0.3267941	0.9731373	-0.5563916
6	11	4.0615	-0.3270209	0.9735181	-0.5558938
6	11	4.072668	-0.3272104	0.9736933	-0.5555471
6	11	4.083699	-0.3273115	0.9740829	-0.5551788
6	11	4.095025	-0.3274291	0.974525	-0.5549468
6	11	4.10608	-0.3275187	0.9749224	-0.5546356
6	11	4.117502	-0.3275974	0.9753667	-0.5543445
6	11	4.12837	-0.3274076	0.9759829	-0.5542806
5	11	4.139858	-0.3274152	0.9764922	-0.5540687
5	11	4.150713	-0.3273616	0.977132	-0.5539693
5	11	4.162107	-0.3273222	0.9774759	-0.5538863
5	11	4.17319	-0.3273177	0.9781071	-0.5537287
5	11	4.184238	-0.3273251	0.9787534	-0.5535041
5	11	4.195514	-0.3274345	0.979279	-0.5530945
5	11	4.206669	-0.3274901	0.9799378	-0.5527438
5	11	4.217929	-0.3275418	0.9806604	-0.5523542
5	11	4.229113	-0.3275712	0.9812542	-0.5519766
5	11	4.240129	-0.3277502	0.9820963	-0.5513221
4	11	4.251281	-0.3280289	0.9829894	-0.5505077
4	11	4.262661	-0.3283753	0.9840543	-0.5497447
4	11	4.27399	-0.3288634	0.9852214	-0.5484935
4	11	4.284797	-0.3291013	0.9862343	-0.5472361
4	11	4.295949	-0.3297188	0.9874468	-0.5457352
4	11	4.307056	-0.3303359	0.9889945	-0.5439404
4	11	4.318508	-0.3308821	0.9906454	-0.5419039
4	11	4.329573	-0.3318462	0.992076	-0.5396005
4	11	4.340807	-0.3319993	0.9909953	-0.5347265
4	11	4.351939	-0.3327777	0.9932853	-0.5320076
4	11	4.36301	-0.3335321	0.9962826	-0.5300082
3	11	4.374224	-0.3342621	0.9984113	-0.5269703
3	11	4.385409	-0.3352671	1.001158	-0.5239238
3	11	4.396516	-0.3358715	1.004142	-0.5209998
3	11	4.407838	-0.3364136	1.007301	-0.5174836
3	11	4.418874	-0.3370275	1.010803	-0.513652
3	11	4.430323	-0.3374259	1.013979	-0.5101496
3	11	4.44121	-0.3376648	1.017266	-0.5066184
3	11	4.452322	-0.3379419	1.020298	-0.5031439
3	11	4.463482	-0.3380919	1.023303	-0.4997667
3	11	4.474654	-0.3382957	1.02605	-0.4967645
3	11	4.485851	-0.338285	1.028449	-0.4934453
2	11	4.497087	-0.3381951	1.029983	-0.4905931
2	11	4.508083	-0.337599	1.030794	-0.4881641
2	11	4.519688	-0.3368609	1.030322	-0.4858443
2	11	4.530724	-0.3357189	1.028827	-0.4828876
2	11	4.541853	-0.3352575	1.028553	-0.4805766
2	11	4.553116	-0.3346906	1.022665	-0.4782909
2	11	4.564183	-0.333988	1.018852	-0.4751202
2	11	4.575155	-0.3339019	1.01241	-0.4732357
2	11	4.586924	-0.3328292	1.00527	-0.4708678
2	11	4.597652	-0.3323107	0.9967607	-0.4694942
2	11	4.608873	-0.3319774	0.9899135	-0.4688419
2	10	4.620062	-0.3303847	0.9797928	-0.469041
2	10	4.631083	-0.3288367	0.9718667	-0.4679066
2	10	4.642283	-0.3271086	0.962949	-0.4685494
2	10	4.653936	-0.3250659	0.9541968	-0.4693774
2	10	4.664883	-0.3227284	0.9457889	-0.4708253
2	10	4.676126	-0.3204961	0.9385355	-0.472942
2	10	4.687418	-0.3186772	0.931026	-0.4745227
2	10	4.698526	-0.3160598	0.9244004	-0.476771
2	10	4.709599	-0.3132448	0.9179329	-0.4788748
2	10	4.721022	-0.3109257	0.91274	-0.4813668
2	10	4.731688	-0.3088961	0.9071249	-0.4844011
2	9	4.742982	-0.3065124	0.9045123	-0.4870898
2	9	4.754191	-0.3042355	0.9018575	-0.48921
2	9	4.765464	-0.302423	0.8982443	-0.4923846
2	9	4.776534	-0.3005183	0.8970602	-0.4940251
2	9	4.788003	-0.2988999	0.8965501	-0.4953586
2	9	4.798673	-0.2972624	0.895731	-0.4982685
2	9	4.809779	-0.29618	0.8961672	-0.4992522
2	9	4.82121	-0.2953234	0.8969551	-0.4999212
2	9	4.832707	-0.2944522	0.8967283	-0.5020193
2	9	4.843508	-0.2941511	0.8978558	-0.5021833
2	9	4.854629	-0.2940629	0.8990815	-0.5020648
2	8	4.865697	-0.293344	0.8998654	-0.5028373
2	8	4.876902	-0.2934377	0.9013726	-0.5021411
2	8	4.888501	-0.2935874	0.9029731	-0.5010988
2	8	4.899365	-0.2939529	0.9045143	-0.4998018
2	8	4.910339	-0.294137	0.9061157	-0.4985327
2	8	4.921694	-0.2947958	0.9085332	-0.4960393
2	8	4.932843	-0.2951005	0.9107398	-0.4939247
2	8	4.943874	-0.2957726	0.9136957	-0.4909371
2	8	4.955145	-0.2968564	0.917226	-0.4874009
2	8	4.966412	-0.2974558	0.920531	-0.4836282
2	8	4.977257	-0.2984579	0.9251134	-0.4782115
2	8	4.988575	-0.2994583	0.9292668	-0.4735163
2	8	4.999676	-0.3008051	0.9337209	-0.4675139
2	8	5.011093	-0.3023767	0.9387959	-0.4611279
2	8	5.022225	-0.303823	0.9436914	-0.4550112
2	8	5.033307	-0.3052771	0.9487944	-0.4481083
2	8	5.044466	-0.3069077	0.9543527	-0.4410344
2	8	5.056021	-0.3085086	0.9596605	-0.4340297
2	8	5.066589	-0.3089528	0.9604613	-0.4233397
2	8	5.07785	-0.3100708	0.964342	-0.4154078
2	8	5.089238	-0.3113041	0.9703174	-0.4082636
2	8	5.10016	-0.3125291	0.9760664	-0.4017164
2	8	5.111615	-0.3140709	0.9816347	-0.3950742
2	8	5.12271	-0.3146577	0.9877775	-0.3883141
2	8	5.13365	-0.315949	0.9929339	-0.381631
2	8	5.144891	-0.3170047	0.9987937	-0.3762306
2	8	5.156	-0.3173497	1.004123	-0.3702589
2	8	5.167205	-0.3182445	1.008729	-0.3644162
2	8	5.178526	-0.3188417	1.0132	-0.3599833
2	9	5.189583	-0.3191082	1.017509	-0.3553866
2	9	5.200684	-0.3196611	1.021057	-0.3513013
2	9	5.212144	-0.3201351	1.024586	-0.3479759
2	9	5.22307	-0.3200922	1.028336	-0.3441011
2	9	5.234289	-0.3202827	1.030886	-0.3409179
2	9	5.245295	-0.3202884	1.033629	-0.3388816
2	9	5.25658	-0.3200219	1.036026	-0.3368589
2	9	5.267613	-0.3203743	1.037826	-0.334556
2	9	5.279039	-0.3205371	1.040215	-0.3328761
2	9	5.290131	-0.3197865	1.041822	-0.3316675
2	9	5.301309	-0.3198802	1.042695	-0.3302046
2	10	5.312348	-0.3195584	1.043931	-0.3298639
2	10	5.323667	-0.3198156	1.044225	-0.3293849
2	10	5.334751	-0.3200696	1.044466	-0.328549
2	10	5.346088	-0.3202641	1.044841	-0.3276027
2	10	5.356977	-0.3198764	1.044572	-0.3272902
2	10	5.368369	-0.3200831	1.044192	-0.3265394
2	10	5.379342	-0.3198206	1.044233	-0.3262111
2	10	5.390658	-0.3201509	1.043592	-0.3258685
2	10	5.401766	-0.3204722	1.043237	-0.3250264
2	10	5.413013	-0.3207731	1.043018	-0.3245505
2	10	5.424134	-0.3213043	1.042237	-0.3239902
