x	y	time
15	11	0.0400706
15	11	0.0457521
15	11	0.050187
15	11	0.0552939
15	11	0.0673806
15	11	0.0775546
15	11	0.0889233
15	11	0.099874
15	11	0.1110612
15	11	0.1220945
15	11	0.1334061
15	11	0.1446893
15	11	0.1555815
15	11	0.1671566
15	11	0.1780568
15	11	0.1890985
15	11	0.2005153
15	11	0.2115009
15	11	0.2228785
15	11	0.2340191
15	11	0.2451269
15	11	0.2560847
15	11	0.2677924
15	11	0.2784871
15	11	0.2897821
15	11	0.301108
15	11	0.3122275
15	11	0.323446
15	11	0.3348194
15	11	0.3455158
15	11	0.3569319
15	11	0.3680327
15	11	0.3792852
15	11	0.3905437
15	11	0.4019075
15	11	0.413299
15	11	0.4250061
15	11	0.4363587
15	11	0.4480175
15	11	0.4594087
15	11	0.4710514
15	11	0.4825058
15	11	0.4938948
15	11	0.505339
15	11	0.5168365
15	11	0.5288281
15	11	0.5400403
15	11	0.551492
15	11	0.5628986
15	11	0.5745073
15	11	0.5859806
15	11	0.5975528
15	11	0.608942
15	11	0.6205614
15	11	0.6319765
15	11	0.6438445
15	11	0.6551594
15	11	0.6662845
15	11	0.6774529
15	11	0.6886461
15	11	0.6998938
15	11	0.7108752
15	11	0.7223182
15	11	0.733371
15	11	0.7444617
15	11	0.7555504
15	11	0.7668282
15	11	0.7786356
15	11	0.7896582
15	11	0.8005176
15	11	0.8115481
15	11	0.8225366
15	11	0.8338422
15	11	0.8449627
15	11	0.8562006
15	11	0.8673862
15	11	0.8786016
15	11	0.8897216
15	11	0.9008616
15	11	0.9119407
15	11	0.9231506
15	11	0.9342517
15	11	0.9456331
15	11	0.9569941
15	11	0.9679456
15	11	0.9790545
15	11	0.9902313
15	11	1.001347
15	11	1.012546
15	11	1.023781
15	11	1.035264
15	11	1.046404
15	11	1.057477
15	11	1.068526
15	11	1.079545
15	11	1.09069
15	11	1.101934
15	11	1.113256
15	11	1.124324
15	11	1.135691
15	11	1.146958
15	11	1.157803
15	11	1.168932
15	11	1.18005
15	11	1.191369
15	11	1.202479
15	11	1.213555
15	11	1.224783
15	11	1.236044
15	11	1.247022
15	11	1.258364
15	11	1.269586
15	11	1.280684
15	11	1.292047
15	11	1.303002
15	11	1.314114
15	11	1.325606
15	11	1.336458
15	11	1.347734
15	11	1.358853
15	11	1.369986
15	11	1.381196
15	11	1.392672
15	11	1.403591
15	11	1.414882
15	11	1.426167
15	11	1.436905
15	11	1.448165
15	11	1.459491
15	11	1.470523
15	11	1.48172
15	11	1.492986
15	11	1.504005
15	11	1.515227
15	11	1.526482
15	11	1.537568
15	11	1.548725
15	11	1.559939
15	11	1.571056
15	11	1.582416
15	11	1.593515
15	11	1.60444
15	11	1.615975
15	11	1.627153
15	11	1.638072
15	11	1.649258
15	11	1.660354
15	11	1.671505
15	11	1.68271
15	11	1.693826
15	11	1.705101
15	11	1.716317
15	11	1.727518
15	11	1.738766
15	11	1.749775
15	11	1.760884
15	11	1.772078
15	11	1.783245
15	11	1.794475
15	11	1.805523
15	11	1.816868
15	11	1.827839
15	11	1.839041
15	11	1.850282
15	11	1.861503
15	11	1.872636
15	11	1.883698
15	11	1.895164
15	11	1.906149
15	11	1.917192
15	11	1.928477
15	11	1.939558
15	11	1.950862
15	11	1.962004
15	11	1.973304
15	11	1.984734
15	11	1.995872
15	11	2.006779
15	11	2.017916
15	11	2.029259
15	11	2.04023
15	11	2.051472
15	11	2.062476
15	11	2.073744
15	11	2.084991
15	11	2.095907
15	11	2.107348
15	11	2.118346
15	11	2.129548
15	11	2.14058
15	11	2.15186
15	11	2.162911
15	11	2.174243
15	11	2.185365
15	11	2.196622
15	11	2.207854
15	11	2.218985
15	11	2.229983
15	11	2.241391
15	11	2.252274
15	11	2.263574
15	11	2.275225
15	11	2.285877
15	11	2.297088
15	11	2.3082
15	11	2.319305
15	11	2.330767
15	11	2.341707
15	11	2.35306
15	11	2.364283
15	11	2.375302
15	11	2.386592
15	11	2.39805
15	11	2.408734
15	11	2.419973
15	11	2.431049
15	11	2.442365
15	11	2.453481
15	11	2.464787
15	11	2.475798
15	11	2.487125
15	11	2.498086
15	11	2.509714
15	11	2.520738
15	11	2.531664
15	11	2.543271
15	11	2.553933
15	11	2.565154
15	11	2.576629
15	11	2.587476
15	11	2.598826
15	11	2.610045
15	11	2.62106
15	11	2.632281
15	11	2.643594
15	11	2.654511
15	11	2.665665
15	11	2.677413
15	11	2.688122
15	11	2.699219
15	11	2.71068
15	11	2.721539
15	11	2.732763
15	11	2.7439
15	11	2.755026
15	11	2.766238
15	11	2.777382
15	11	2.788473
15	11	2.800528
15	11	2.812085
15	11	2.822086
15	11	2.833378
15	11	2.844547
15	11	2.85547
15	11	2.866701
15	11	2.877905
15	11	2.88918
15	11	2.900337
15	11	2.911464
15	11	2.922744
15	11	2.933844
15	11	2.94494
15	11	2.95614
15	11	2.967247
15	11	2.978455
15	11	2.989808
15	11	3.001166
15	11	3.012229
15	11	3.023562
14	11	3.034646
14	11	3.045836
14	11	3.057044
14	11	3.068103
14	11	3.07959
14	11	3.090684
14	11	3.101635
14	11	3.11291
14	11	3.124054
14	11	3.135206
14	11	3.146349
13	11	3.157574
13	11	3.168707
13	11	3.180068
13	11	3.19143
13	11	3.202113
13	11	3.213414
13	11	3.224599
13	11	3.235621
13	11	3.246966
13	11	3.25817
13	11	3.269226
12	11	3.280404
12	11	3.29167
12	11	3.303258
12	11	3.313912
12	11	3.32499
12	11	3.336292
12	11	3.3474
12	11	3.358938
12	11	3.369667
12	11	3.381071
12	11	3.392278
11	11	3.403236
11	11	3.414466
11	11	3.425652
11	11	3.436809
11	11	3.448099
11	11	3.459268
11	11	3.470273
11	11	3.481365
11	11	3.492991
11	11	3.503873
11	11	3.514984
10	11	3.526198
10	11	3.53723
10	11	3.548582
10	11	3.559602
10	11	3.570685
10	11	3.582073
10	11	3.593105
10	11	3.604735
10	11	3.615753
10	11	3.626631
10	11	3.637858
9	11	3.648975
9	11	3.660024
9	11	3.671314
9	11	3.68252
9	11	3.693423
9	11	3.704494
9	11	3.715578
9	11	3.727348
9	11	3.73796
9	11	3.749256
9	11	3.760943
8	11	3.77213
8	11	3.783125
8	11	3.794597
8	11	3.805248
8	11	3.816441
8	11	3.827653
8	11	3.83875
8	11	3.849683
8	11	3.861027
8	11	3.872101
8	11	3.883434
7	11	3.894824
7	11	3.905566
7	11	3.91692
7	11	3.928145
7	11	3.938996
7	11	3.95026
7	11	3.961611
7	11	3.972499
7	11	3.983816
7	11	3.994964
7	11	4.006035
7	10	4.017231
7	10	4.028533
7	10	4.03949
7	10	4.050673
7	10	4.062033
7	10	4.073191
7	10	4.08468
7	10	4.095458
7	10	4.106608
7	10	4.117826
7	10	4.128858
7	9	4.140106
7	9	4.15134
7	9	4.162675
7	9	4.173601
7	9	4.184704
7	9	4.19579
7	9	4.207377
7	9	4.218241
7	9	4.229468
7	9	4.241111
7	8	4.251708
7	8	4.262917
7	8	4.274136
7	8	4.285206
7	8	4.296407
7	8	4.307857
7	8	4.318952
7	8	4.329904
7	8	4.341044
7	8	4.352158
7	8	4.363482
7	7	4.374673
7	7	4.385913
7	7	4.397211
7	7	4.408175
7	7	4.419281
7	7	4.430462
7	7	4.441629
7	7	4.452839
7	7	4.46383
7	7	4.475307
7	7	4.48641
7	6	4.497602
7	6	4.508635
7	6	4.51982
7	6	4.53098
7	6	4.542182
7	6	4.553589
7	6	4.564503
7	6	4.575567
7	6	4.586802
7	6	4.597935
7	6	4.609216
7	5	4.620334
7	5	4.631685
7	5	4.642882
7	5	4.65377
7	5	4.665077
7	5	4.67618
7	5	4.687366
7	5	4.698648
7	5	4.710073
7	5	4.720799
7	5	4.732024
7	4	4.743651
7	4	4.754352
7	4	4.765677
7	4	4.776639
7	4	4.787962
7	4	4.799249
7	4	4.810229
7	4	4.821581
7	4	4.833067
7	4	4.843733
7	4	4.85491
7	3	4.866334
7	3	4.87735
7	3	4.888491
7	3	4.899582
7	3	4.911048
7	3	4.92198
7	3	4.933085
7	3	4.944312
7	3	4.955461
7	3	4.966611
7	3	4.977809
7	2	4.988943
7	2	5.000131
7	2	5.011561
7	2	5.022652
7	2	5.033652
7	2	5.045079
7	2	5.056012
7	2	5.067115
7	2	5.078524
7	2	5.089793
7	2	5.100764
7	2	5.11195
7	2	5.123114
7	2	5.134177
7	2	5.145666
7	2	5.156494
7	2	5.167755
7	2	5.179144
7	2	5.190126
7	2	5.201321
7	2	5.212542
7	2	5.223546
7	2	5.2346
7	2	5.245933
7	2	5.257057
7	2	5.268596
7	2	5.280065
7	2	5.29062
7	2	5.301832
8	2	5.312883
8	2	5.324134
8	2	5.335442
8	2	5.346281
8	2	5.357512
8	2	5.368865
8	2	5.379867
8	2	5.391243
8	2	5.402236
8	2	5.413429
8	2	5.424601
9	2	5.435745
9	2	5.446894
9	2	5.458036
9	2	5.469322
9	2	5.480516
9	2	5.491853
9	2	5.502856
9	2	5.513911
9	2	5.525066
9	2	5.536307
9	2	5.547549
10	2	5.558547
10	2	5.569823
10	2	5.581013
10	2	5.592185
10	2	5.603241
10	2	5.614488
10	2	5.62562
10	2	5.636799
10	2	5.648419
10	2	5.659235
10	2	5.670361
9	2	5.681553
9	2	5.692716
9	2	5.704001
9	2	5.715023
9	2	5.726207
9	2	5.737306
9	2	5.748455
9	2	5.759626
9	2	5.770852
9	2	5.782037
9	2	5.793118
8	2	5.804472
8	2	5.815634
8	2	5.826586
8	2	5.837862
8	2	5.848986
8	2	5.860113
8	2	5.871336
8	2	5.882623
8	2	5.893698
8	2	5.904895
8	2	5.915946
7	2	5.927201
7	2	5.93837
7	2	5.94953
7	2	5.960802
7	2	5.971791
7	2	5.983003
7	2	5.994183
7	2	6.005317
7	2	6.016545
7	2	6.027944
7	2	6.039096
8	2	6.050083
8	2	6.061205
8	2	6.072325
8	2	6.083629
8	2	6.095046
8	2	6.106296
8	2	6.117237
8	2	6.128262
8	2	6.139378
8	2	6.150595
8	2	6.161768
8	2	6.173021
8	2	6.184149
8	2	6.195432
8	2	6.20645
8	2	6.217649
8	2	6.228856
8	2	6.24031
8	2	6.25106
8	2	6.262681
8	2	6.273765
9	2	6.284858
9	2	6.296244
9	2	6.307183
9	2	6.318215
9	2	6.329696
9	2	6.340697
9	2	6.351695
9	2	6.362997
9	2	6.374045
9	2	6.385202
9	2	6.396806
10	2	6.407466
