x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0383908	-0.3666861	0.9239163	-0.3653089
15	11	0.0436857	-0.3669055	0.9239414	-0.3657259
15	11	0.0517393	-0.3668177	0.9238818	-0.3660227
15	11	0.0627724	-0.3667521	0.9241461	-0.3666221
15	11	0.0738766	-0.3669875	0.9244006	-0.36683
15	11	0.08509961	-0.3670337	0.924423	-0.3669814
15	11	0.0964705	-0.3671455	0.9247307	-0.3671106
15	11	0.1082415	-0.367368	0.9250919	-0.367155
15	11	0.1186511	-0.3675411	0.925236	-0.3672606
15	11	0.1299553	-0.3675101	0.9257399	-0.3674639
15	11	0.1409325	-0.367583	0.9262688	-0.3674988
15	11	0.152183	-0.3675957	0.9267653	-0.3673059
15	11	0.1633908	-0.3676209	0.9270819	-0.3670169
15	11	0.1741377	-0.3672776	0.927696	-0.3670717
15	11	0.1856149	-0.3672516	0.9281846	-0.366851
15	11	0.1973868	-0.3673868	0.9288672	-0.3666779
15	11	0.2077369	-0.3674881	0.9295104	-0.3663129
15	11	0.2190123	-0.3675554	0.9297625	-0.3661662
15	11	0.2303766	-0.3743479	0.9351547	-0.364993
15	11	0.2413846	-0.374378	0.9356077	-0.3645142
15	11	0.2525269	-0.3745363	0.9358526	-0.36387
15	11	0.2636866	-0.3743203	0.9367516	-0.3633109
15	11	0.2749192	-0.3740847	0.9370385	-0.3628796
15	11	0.2862979	-0.3748815	0.9367003	-0.362888
15	11	0.2972918	-0.3745944	0.9373282	-0.362193
15	11	0.3084081	-0.3745389	0.9374173	-0.3615979
15	11	0.3195845	-0.3746293	0.9372475	-0.3612691
15	11	0.3310671	-0.3752592	0.9370153	-0.3612183
15	11	0.3418126	-0.3749089	0.9370652	-0.3606676
15	11	0.3534385	-0.3755901	0.9365436	-0.3605894
15	11	0.3641732	-0.3752921	0.9371151	-0.3599912
15	11	0.3754925	-0.3750932	0.9371504	-0.3595141
15	11	0.3865998	-0.3754258	0.9367528	-0.3596591
15	11	0.3978041	-0.3750515	0.9370919	-0.3590163
15	11	0.4090734	-0.3746707	0.9370946	-0.3586227
15	11	0.4202136	-0.3735416	0.9379799	-0.3576983
15	11	0.4316156	-0.3732469	0.9380282	-0.3570918
15	11	0.4424479	-0.3732476	0.9380348	-0.3566626
15	11	0.4535644	-0.3723993	0.9386786	-0.3554002
15	11	0.4648984	-0.3720715	0.9389408	-0.3547817
15	11	0.4759864	-0.3717883	0.9391034	-0.354354
15	11	0.4870581	-0.3706048	0.9398518	-0.3538007
15	11	0.4982838	-0.3703451	0.9403392	-0.3533448
15	11	0.5098446	-0.3706217	0.940479	-0.3527659
15	11	0.5209078	-0.3699064	0.9411837	-0.3518215
15	11	0.5320073	-0.3697467	0.9414264	-0.3513681
15	11	0.543345	-0.3694925	0.9414688	-0.3509349
15	11	0.5541986	-0.368799	0.9419523	-0.3497535
15	11	0.5654289	-0.368778	0.9416982	-0.3492507
15	11	0.5767477	-0.3685355	0.9416887	-0.3488008
15	11	0.5875852	-0.3684001	0.9416934	-0.3480445
15	11	0.59865	-0.3684857	0.9418503	-0.3477782
15	11	0.6098652	-0.3682227	0.9417545	-0.3474468
15	11	0.6218743	-0.3687196	0.9410541	-0.3473023
15	11	0.6323394	-0.3684671	0.9412953	-0.3468357
15	11	0.643655	-0.3680816	0.9412385	-0.3464977
15	11	0.6546967	-0.3680625	0.9409294	-0.3462957
15	11	0.6658944	-0.3670032	0.9418905	-0.3458809
15	11	0.6769093	-0.3667815	0.9417415	-0.3454927
15	11	0.6882862	-0.366003	0.942046	-0.3444873
15	11	0.6992231	-0.3655984	0.9420168	-0.3438343
15	11	0.710522	-0.365536	0.9418406	-0.343259
15	11	0.721856	-0.3655965	0.9413959	-0.3429335
15	11	0.7328443	-0.3653448	0.9414077	-0.3423826
15	11	0.7439655	-0.3652494	0.9411405	-0.3418969
15	11	0.7553528	-0.364455	0.9414295	-0.3409048
15	11	0.766472	-0.3643827	0.9411027	-0.3402063
15	11	0.7775592	-0.3640115	0.9408253	-0.3398036
15	11	0.7885081	-0.3642282	0.9401724	-0.3394765
15	11	0.7998865	-0.3639424	0.9402893	-0.3389605
15	11	0.8111891	-0.3635616	0.9402211	-0.3385445
15	11	0.8225387	-0.3626778	0.9405738	-0.3376499
15	11	0.8333324	-0.3624668	0.9407648	-0.337164
15	11	0.844398	-0.3623345	0.9406651	-0.3368202
15	11	0.8556222	-0.3617065	0.9410089	-0.3358592
15	11	0.8671752	-0.3614519	0.9412173	-0.3353552
15	11	0.8781612	-0.3612907	0.9414498	-0.3346304
15	11	0.8892373	-0.3603623	0.9421715	-0.3333744
15	11	0.9003989	-0.3600147	0.9425637	-0.3327309
15	11	0.9119499	-0.3594544	0.9427372	-0.3322452
15	11	0.9229068	-0.3594136	0.9425714	-0.3320168
