x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0442013	-0.3694701	0.9708117	-0.137108
15	11	0.0497222	-0.3694701	0.9708117	-0.137108
15	11	0.0552768	-0.3692646	0.9714718	-0.1369431
15	11	0.0600596	-0.3692646	0.9714718	-0.1369431
15	11	0.0672645	-0.3691261	0.9716325	-0.1370063
15	11	0.0776763	-0.3689432	0.9718633	-0.1371062
15	11	0.0888858	-0.3688047	0.9721636	-0.1372095
15	11	0.0996847	-0.3687594	0.9728212	-0.1375984
15	11	0.11118	-0.368571	0.9731613	-0.1377655
15	11	0.122394	-0.3683641	0.9735171	-0.1379211
15	11	0.1332603	-0.3680227	0.9736954	-0.1379617
15	11	0.1443532	-0.3678133	0.9738748	-0.1382157
15	11	0.1555642	-0.3675442	0.9741007	-0.1383866
15	11	0.1668078	-0.3673584	0.9744382	-0.1386672
15	11	0.1780697	-0.3672719	0.9746422	-0.1388434
15	11	0.1890041	-0.3669112	0.9750148	-0.1390516
15	11	0.2005309	-0.3665915	0.9749116	-0.1391432
15	11	0.2115071	-0.3664334	0.9750868	-0.1393442
15	11	0.2227298	-0.3662002	0.9752707	-0.1396366
15	11	0.2340123	-0.3659778	0.9752995	-0.139769
15	11	0.2449243	-0.3658097	0.9753957	-0.1399339
15	11	0.2562269	-0.3656318	0.9755017	-0.1400539
15	11	0.2673719	-0.3656271	0.9754354	-0.1399604
15	11	0.2784943	-0.3656154	0.9755702	-0.1401082
15	11	0.2895023	-0.3655119	0.9755428	-0.1402377
15	11	0.300901	-0.3652399	0.9754725	-0.1404853
15	11	0.3121759	-0.365238	0.9754537	-0.1404399
15	11	0.3232557	-0.3651848	0.9754349	-0.140473
15	11	0.3343153	-0.3650146	0.9751334	-0.1403619
15	11	0.3455647	-0.3647766	0.9750432	-0.1403431
15	11	0.3567273	-0.3645513	0.9750743	-0.1403874
15	11	0.3676098	-0.3647325	0.9754658	-0.1405889
15	11	0.3790941	-0.3647172	0.9753951	-0.1405267
15	11	0.3903993	-0.3647373	0.9753441	-0.1402986
15	11	0.4010716	-0.3647473	0.9752487	-0.140161
15	11	0.4125059	-0.364877	0.9751925	-0.1399988
15	11	0.4238564	-0.3649604	0.9751182	-0.1398658
15	11	0.4349663	-0.3650539	0.9752033	-0.1397135
15	11	0.4462444	-0.3651421	0.9752201	-0.1395341
15	11	0.4576556	-0.3651559	0.9752647	-0.139402
15	11	0.4686027	-0.3652494	0.9751753	-0.1394361
15	11	0.4798254	-0.3654511	0.9751668	-0.1390247
15	11	0.4913068	-0.3654122	0.9751178	-0.1388443
15	11	0.5031256	-0.3653433	0.9751825	-0.1387223
15	11	0.5145415	-0.3655109	0.9748161	-0.1391554
15	11	0.5260921	-0.3654573	0.9746292	-0.1388736
15	11	0.5377794	-0.3651145	0.9747418	-0.1387118
15	11	0.5494481	-0.3650892	0.9746827	-0.1385611
15	11	0.5610459	-0.3652456	0.9750731	-0.1387426
15	11	0.5727012	-0.3652983	0.9751697	-0.1386067
15	11	0.5842521	-0.3652244	0.9751867	-0.1386087
15	11	0.5958704	-0.3650889	0.9749048	-0.1384591
15	11	0.6074655	-0.3651838	0.9748297	-0.1384379
15	11	0.6192109	-0.3651879	0.9747839	-0.1384488
15	11	0.6308126	-0.3652041	0.9744923	-0.1382183
15	11	0.6423174	-0.3649113	0.9746879	-0.1384363
15	11	0.6540905	-0.3648715	0.9744953	-0.1384721
15	11	0.6659087	-0.364908	0.9743459	-0.1386051
15	11	0.6771761	-0.3650851	0.9742483	-0.1386967
15	11	0.6886545	-0.3650095	0.974365	-0.1386257
15	11	0.7000226	-0.3649855	0.9744279	-0.1388357
15	11	0.7110018	-0.3650291	0.9744049	-0.1389664
15	11	0.7221807	-0.3648906	0.9744651	-0.1390752
15	11	0.7333845	-0.3649008	0.9744971	-0.1392488
15	11	0.7448251	-0.3650498	0.9744571	-0.1393501
15	11	0.7557021	-0.3649576	0.9745253	-0.1394187
15	11	0.7668269	-0.3649511	0.9746118	-0.1395351
15	11	0.7780975	-0.3648622	0.9746152	-0.1396005
15	11	0.7891458	-0.3647392	0.9746729	-0.1397293
15	11	0.8003336	-0.3647261	0.9746071	-0.1397985
15	11	0.8114716	-0.3647325	0.9745384	-0.1398431
15	11	0.8225086	-0.3646543	0.9745347	-0.1397971
15	11	0.8340472	-0.3645048	0.9742249	-0.1396565
15	11	0.845033	-0.3646448	0.974098	-0.1396869
15	11	0.8565058	-0.3646634	0.9740361	-0.1396755
15	11	0.867389	-0.3647382	0.9740927	-0.1396761
15	11	0.8785523	-0.3649662	0.9739658	-0.1396481
15	11	0.8896681	-0.3650708	0.9739113	-0.1394936
15	11	0.9008848	-0.3650782	0.9738065	-0.1393456
15	11	0.9120503	-0.3650401	0.9737138	-0.1393638
15	11	0.9231236	-0.365042	0.9737204	-0.139315
15	11	0.9343866	-0.3649783	0.9735882	-0.1391447
15	11	0.9456407	-0.3649743	0.9735981	-0.1389784
15	11	0.9568744	-0.3650825	0.973516	-0.1386961
15	11	0.9681491	-0.3650477	0.9734352	-0.1385533
15	11	0.9792688	-0.3649526	0.9735544	-0.1383001
15	11	0.990507	-0.3648102	0.9736079	-0.1382602
15	11	1.001666	-0.3647683	0.9736648	-0.1381501
15	11	1.012844	-0.3645241	0.9737585	-0.1380194
15	11	1.023619	-0.3644884	0.973794	-0.1379517
15	11	1.034945	-0.3646998	0.9739306	-0.1379396
15	11	1.045993	-0.3646944	0.9739921	-0.1379277
15	11	1.057431	-0.3646901	0.9740945	-0.1378449
15	11	1.068501	-0.3645825	0.9739807	-0.1376776
15	11	1.080005	-0.364697	0.9740174	-0.1376032
15	11	1.091055	-0.3648059	0.9739203	-0.1375934
15	11	1.102325	-0.364728	0.9738435	-0.1375682
15	11	1.113535	-0.3646863	0.9738711	-0.1376282
15	11	1.124383	-0.3645875	0.973979	-0.1376281
15	11	1.135731	-0.3646498	0.9742707	-0.1378502
15	11	1.146711	-0.3644812	0.9742756	-0.1380109
15	11	1.158062	-0.3645113	0.974309	-0.1379963
15	11	1.169191	-0.3644576	0.9743615	-0.1380409
15	11	1.18015	-0.3643255	0.9744585	-0.1380928
15	11	1.19129	-0.3642406	0.9745286	-0.1381559
15	11	1.202733	-0.3641965	0.9746034	-0.1382393
15	11	1.213692	-0.3640401	0.9746298	-0.1383671
15	11	1.224887	-0.3641133	0.9745128	-0.1385314
15	11	1.236039	-0.3640079	0.9744704	-0.1386303
15	11	1.247274	-0.363843	0.9746588	-0.1386014
15	11	1.25826	-0.3637788	0.9746873	-0.1387515
15	11	1.269427	-0.3637092	0.9745567	-0.1387181
15	11	1.280756	-0.3636029	0.9746457	-0.1387112
15	11	1.291907	-0.363616	0.9746562	-0.1387116
15	11	1.304236	-0.3637881	0.9747645	-0.1387417
15	11	1.315244	-0.3638227	0.9747745	-0.1387321
15	11	1.325584	-0.3637602	0.9748211	-0.1388763
15	11	1.336563	-0.36361	0.9746801	-0.1388446
15	11	1.34789	-0.3635647	0.9746376	-0.138851
15	11	1.359028	-0.3635726	0.97449	-0.1387922
15	11	1.370423	-0.3635252	0.9742544	-0.1387064
15	11	1.381222	-0.3634992	0.974241	-0.1386461
15	11	1.392762	-0.3636055	0.9740894	-0.1384614
15	11	1.403633	-0.3637812	0.9743173	-0.1385967
15	11	1.414689	-0.3637633	0.9742602	-0.1385376
15	11	1.425846	-0.3637116	0.9742008	-0.1386003
15	11	1.437116	-0.3636568	0.9741287	-0.1385837
15	11	1.448186	-0.363678	0.9739958	-0.1386471
15	11	1.459517	-0.3636444	0.9739197	-0.138701
15	11	1.470927	-0.3636367	0.9738642	-0.1387388
15	11	1.482091	-0.3635919	0.9737999	-0.1387296
15	11	1.492822	-0.363548	0.9736797	-0.1388034
15	11	1.504575	-0.3634555	0.9733806	-0.1387136
15	11	1.515598	-0.3637671	0.9732997	-0.1386446
15	11	1.526619	-0.3638897	0.9731851	-0.1385088
15	11	1.537901	-0.3639603	0.9731773	-0.1385688
15	11	1.549091	-0.3639529	0.9731872	-0.1384748
15	11	1.560037	-0.3640487	0.9731646	-0.1382874
15	11	1.571276	-0.3639691	0.9732044	-0.1383287
15	11	1.582199	-0.364028	0.9731246	-0.138379
15	11	1.593598	-0.3640542	0.9730585	-0.1383246
15	11	1.604818	-0.3637865	0.9726553	-0.1381552
15	11	1.615888	-0.3637366	0.9726106	-0.1380881
15	11	1.626846	-0.3636718	0.9725603	-0.1381576
15	11	1.638379	-0.3637557	0.9726207	-0.1382327
15	11	1.649198	-0.3636796	0.9725685	-0.1382422
15	11	1.660496	-0.3636477	0.9725327	-0.13824
15	11	1.671681	-0.3636715	0.9723803	-0.1381447
15	11	1.682726	-0.3635967	0.9724108	-0.1380268
15	11	1.693969	-0.3636873	0.9723018	-0.1378056
15	11	1.705145	-0.363647	0.9723586	-0.1378293
15	11	1.716347	-0.3636403	0.9723557	-0.1377487
15	11	1.727542	-0.3634493	0.972416	-0.1379988
15	11	1.738577	-0.3636754	0.972469	-0.1380682
15	11	1.749952	-0.3636982	0.9723989	-0.1381658
15	11	1.760905	-0.3637583	0.9724454	-0.1381733
15	11	1.772205	-0.3639162	0.9724617	-0.1381783
15	11	1.783323	-0.3638952	0.9725527	-0.1381133
15	11	1.794742	-0.3639715	0.9726789	-0.1381534
15	11	1.805655	-0.3639176	0.9727621	-0.1382148
15	11	1.816754	-0.3639321	0.9727942	-0.1382729
15	11	1.827906	-0.3639543	0.9728116	-0.1382589
15	11	1.839084	-0.3638368	0.9727663	-0.1382433
15	11	1.850332	-0.3638086	0.9728562	-0.1381886
15	11	1.861642	-0.3637893	0.972881	-0.1382009
15	11	1.872757	-0.3637841	0.9728985	-0.1381844
15	11	1.883919	-0.3636899	0.9728795	-0.1382315
15	11	1.894827	-0.3635514	0.9728779	-0.1382825
15	11	1.906426	-0.3635619	0.972839	-0.1383077
15	11	1.917492	-0.3634896	0.9728639	-0.1382363
15	11	1.928624	-0.3636692	0.9727495	-0.1379128
15	11	1.939694	-0.3635457	0.9724534	-0.1377449
15	11	1.951161	-0.3635848	0.9722828	-0.1377424
15	11	1.962206	-0.3635776	0.9722159	-0.1377033
15	11	1.973221	-0.3639271	0.9722842	-0.1377189
15	11	1.984221	-0.3640187	0.9722546	-0.1376485
15	11	1.995516	-0.3640323	0.9722866	-0.1377329
15	11	2.006668	-0.3641777	0.9722794	-0.1376516
15	11	2.017771	-0.3643222	0.9722043	-0.1376334
15	11	2.02902	-0.364372	0.9720954	-0.1375195
15	11	2.040293	-0.3645825	0.9720775	-0.1374017
15	11	2.051266	-0.364691	0.9720873	-0.1372572
15	11	2.062704	-0.3648455	0.9716916	-0.136699
15	11	2.073563	-0.3647144	0.971622	-0.1366373
15	11	2.084972	-0.3647468	0.9715115	-0.1365234
15	11	2.096045	-0.3648689	0.971657	-0.1365212
15	11	2.107536	-0.3649342	0.9716122	-0.1364495
15	11	2.118464	-0.364924	0.9716352	-0.1363164
15	11	2.129534	-0.3651118	0.9716851	-0.1361248
15	11	2.140842	-0.3650897	0.9716696	-0.1360551
15	11	2.15185	-0.3651521	0.9715742	-0.1360866
15	11	2.163124	-0.3652565	0.9716308	-0.1359482
15	11	2.174172	-0.3652093	0.9716514	-0.1359628
15	11	2.185545	-0.3653126	0.9716164	-0.1358556
15	11	2.196621	-0.3654006	0.9716759	-0.1358696
15	11	2.20791	-0.3654425	0.9716674	-0.1358703
15	11	2.218935	-0.3655403	0.9715649	-0.1359984
15	11	2.230206	-0.3655603	0.971559	-0.1358778
15	11	2.241289	-0.365454	0.9715401	-0.1359218
15	11	2.252688	-0.3654518	0.9714532	-0.1360589
15	11	2.263817	-0.3654211	0.9712811	-0.1358479
15	11	2.274729	-0.3652084	0.9712373	-0.1359531
15	11	2.285913	-0.3651521	0.9712005	-0.135982
15	11	2.296926	-0.3651607	0.9713715	-0.1360999
15	11	2.308281	-0.3653121	0.9713398	-0.1360921
15	11	2.3194	-0.3652227	0.9714192	-0.1360697
15	11	2.330799	-0.3652549	0.9714512	-0.1361438
15	11	2.341862	-0.3653221	0.9713969	-0.1361853
15	11	2.352955	-0.3654015	0.9713358	-0.1362044
15	11	2.364489	-0.3654263	0.9712453	-0.1362206
15	11	2.375463	-0.3654675	0.9712207	-0.1362796
15	11	2.386837	-0.3655045	0.9712437	-0.1360942
15	11	2.397827	-0.3655112	0.9711719	-0.1361187
15	11	2.409025	-0.3654511	0.9711571	-0.1361469
15	11	2.420197	-0.36534	0.9712952	-0.1359305
15	11	2.431214	-0.3651731	0.9710965	-0.1358023
15	11	2.442245	-0.365123	0.9709489	-0.1357334
15	11	2.453821	-0.3650258	0.9708945	-0.1358643
15	11	2.464852	-0.3651834	0.9710094	-0.1359464
15	11	2.475847	-0.3651938	0.9709159	-0.1359013
15	11	2.487069	-0.3652263	0.9708766	-0.1356367
15	11	2.498237	-0.3652732	0.970769	-0.1355869
15	11	2.509312	-0.3654974	0.9707121	-0.1355097
15	11	2.520491	-0.3656816	0.9704561	-0.1357269
15	11	2.531815	-0.3656869	0.9700891	-0.1353204
15	11	2.543026	-0.3655584	0.9700803	-0.1353337
15	11	2.5541	-0.3653634	0.9702475	-0.1352197
15	11	2.565348	-0.3653595	0.9702265	-0.1351985
15	11	2.576484	-0.365339	0.970216	-0.1351907
15	11	2.587612	-0.3653212	0.9702197	-0.1351055
15	11	2.598733	-0.3652894	0.9701946	-0.1350889
15	11	2.609856	-0.3651474	0.9702584	-0.1350935
15	11	2.621241	-0.3649831	0.9704692	-0.1349257
15	11	2.632318	-0.3650272	0.9707175	-0.1350003
15	11	2.643343	-0.365037	0.9707969	-0.134982
15	11	2.654869	-0.3649871	0.9708922	-0.1350416
15	11	2.665684	-0.3649068	0.9708132	-0.1349825
15	11	2.676796	-0.3649662	0.9707364	-0.1351243
15	11	2.688248	-0.3649633	0.9707345	-0.1351178
15	11	2.699308	-0.3649843	0.9707937	-0.1352397
15	11	2.710491	-0.3650343	0.9707373	-0.1352558
15	11	2.721933	-0.3649609	0.970664	-0.1354388
15	11	2.733161	-0.3649955	0.9706342	-0.1354806
15	11	2.743988	-0.3649414	0.9706092	-0.1354767
15	11	2.75517	-0.36498	0.970553	-0.1354254
15	11	2.766396	-0.3650267	0.9703888	-0.1353978
15	11	2.777776	-0.3650897	0.970305	-0.1353728
15	11	2.78883	-0.3649833	0.9704044	-0.1352587
15	11	2.799985	-0.3651187	0.9704983	-0.1353179
15	11	2.810959	-0.3650377	0.9704024	-0.1353359
15	11	2.822336	-0.3651731	0.9700673	-0.1355345
15	11	2.833258	-0.3650677	0.9696823	-0.1354184
15	11	2.844569	-0.3653352	0.9695759	-0.1353549
15	11	2.855646	-0.3653438	0.9695611	-0.1353804
15	11	2.86683	-0.3655589	0.9697723	-0.1355929
15	11	2.878022	-0.3653944	0.9698044	-0.1358024
15	11	2.889514	-0.3654821	0.9699005	-0.1358069
15	11	2.900365	-0.3655081	0.9702085	-0.136073
15	11	2.911399	-0.3654933	0.9704672	-0.1363072
15	11	2.922786	-0.365422	0.970785	-0.1364843
15	11	2.933795	-0.3653209	0.9711314	-0.1367241
15	11	2.944897	-0.3652315	0.9715444	-0.1371464
15	11	2.956203	-0.3650835	0.972092	-0.1375394
15	11	2.967247	-0.3649774	0.9725751	-0.1378417
15	11	2.978466	-0.3648949	0.9732695	-0.1381036
15	11	2.989633	-0.364743	0.974031	-0.1382154
15	11	3.000945	-0.3643193	0.9749392	-0.1376399
15	11	3.011974	-0.3641021	0.9764245	-0.1366001
15	11	3.023274	-0.3638666	0.9784538	-0.1348686
14	11	3.034222	-0.3642805	0.9809986	-0.131831
14	11	3.045834	-0.3648174	0.9829547	-0.1292599
14	11	3.056693	-0.3661361	0.985811	-0.1249415
14	11	3.06796	-0.3680608	0.9883806	-0.1192719
14	11	3.079004	-0.3699238	0.991345	-0.1129501
14	11	3.090104	-0.3718383	0.993906	-0.1075704
14	11	3.101165	-0.3740015	0.9963802	-0.09930241
14	11	3.11267	-0.3749912	0.9987218	-0.09272766
14	11	3.123798	-0.3756216	1.000882	-0.08557212
14	11	3.134811	-0.3758385	1.003061	-0.07862699
14	11	3.1459	-0.3757718	1.00459	-0.0719198
13	11	3.157214	-0.3749044	1.005747	-0.06498206
13	11	3.168294	-0.3739653	1.006925	-0.05870092
