x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0429823	-0.3521059	1.008332	-0.1959563
15	11	0.0537753	-0.3522911	1.008393	-0.196015
15	11	0.0628282	-0.3523786	1.00848	-0.1957637
15	11	0.0714126	-0.3523786	1.00848	-0.1957637
15	11	0.0815199	-0.3524704	1.008579	-0.1957939
15	11	0.0923987	-0.3525493	1.008576	-0.1957737
15	11	0.1040759	-0.3524773	1.008739	-0.1956812
15	11	0.1138208	-0.3523762	1.008773	-0.195817
15	11	0.1236013	-0.3523519	1.008836	-0.1958308
15	11	0.1327023	-0.3523335	1.008934	-0.1957411
15	11	0.1416087	-0.3522882	1.008979	-0.1957747
15	11	0.1554235	-0.3525286	1.008974	-0.1957152
15	11	0.1671557	-0.3525915	1.009042	-0.1955364
15	11	0.1766756	-0.3525252	1.008932	-0.1954604
15	11	0.1855278	-0.3525484	1.008957	-0.1954232
15	11	0.1970009	-0.3525372	1.008911	-0.1954936
15	11	0.2081761	-0.3524737	1.00886	-0.1954448
15	11	0.219116	-0.3526862	1.008856	-0.1954347
15	11	0.2301687	-0.3526406	1.008962	-0.1953859
15	11	0.2411698	-0.3525884	1.008947	-0.195406
15	11	0.2526705	-0.3526137	1.008977	-0.195461
15	11	0.2638409	-0.3528304	1.008826	-0.1954395
15	11	0.2749229	-0.3529274	1.008923	-0.1955404
15	11	0.2860313	-0.3532836	1.00891	-0.195522
15	11	0.2978783	-0.3534753	1.008886	-0.1954426
15	11	0.3085379	-0.3534539	1.008731	-0.1953447
15	11	0.3194079	-0.353442	1.008802	-0.1953803
15	11	0.3305957	-0.3534882	1.008884	-0.1953411
15	11	0.3420396	-0.3534069	1.008878	-0.1953193
15	11	0.353029	-0.3536839	1.009067	-0.1949589
15	11	0.3646525	-0.3538263	1.009076	-0.1947824
15	11	0.3765591	-0.3537457	1.008976	-0.1946911
15	11	0.3863179	-0.353555	1.009094	-0.1946095
15	11	0.3980262	-0.353539	1.009106	-0.1945945
15	11	0.409223	-0.353555	1.009289	-0.194702
15	11	0.4198686	-0.3535049	1.009342	-0.1947175
15	11	0.4315643	-0.353518	1.009265	-0.1948086
15	11	0.4428687	-0.3535137	1.009438	-0.1948869
15	11	0.4539462	-0.3537309	1.009495	-0.1948814
15	11	0.4650847	-0.3536799	1.009541	-0.1950063
15	11	0.4765206	-0.3536165	1.009623	-0.195127
15	11	0.487177	-0.3535573	1.009686	-0.1952401
15	11	0.4981956	-0.3536043	1.009734	-0.1951747
15	11	0.5094883	-0.3535619	1.009796	-0.1952957
15	11	0.5204838	-0.3537347	1.009807	-0.1953272
15	11	0.5317797	-0.3537574	1.009866	-0.1953062
15	11	0.5434207	-0.3536475	1.00979	-0.1953038
15	11	0.5541421	-0.3533928	1.010097	-0.1952029
15	11	0.5650809	-0.3535137	1.010114	-0.194977
15	11	0.5763797	-0.3534741	1.010201	-0.1950349
15	11	0.5875587	-0.3534441	1.010244	-0.1951057
15	11	0.5988736	-0.3534558	1.010215	-0.1951715
15	11	0.6102387	-0.353337	1.01022	-0.1952769
15	11	0.6212655	-0.3534334	1.010195	-0.1953009
15	11	0.6322563	-0.35326	1.01024	-0.1955962
15	11	0.6434957	-0.3531821	1.010372	-0.1957713
15	11	0.6543784	-0.3533893	1.010337	-0.1958307
15	11	0.6657128	-0.3533578	1.010315	-0.1959133
15	11	0.6770523	-0.3532841	1.0102	-0.1959785
15	11	0.6880363	-0.3531768	1.010316	-0.1959265
15	11	0.6993975	-0.3532341	1.010308	-0.1959523
15	11	0.7104875	-0.3531466	1.010154	-0.195954
15	11	0.7214362	-0.3532352	1.010139	-0.1959871
15	11	0.732916	-0.3532422	1.010035	-0.1960214
15	11	0.7440612	-0.3531764	1.009938	-0.1960007
15	11	0.7550142	-0.3535557	1.009769	-0.1960673
15	11	0.7663346	-0.3536663	1.009678	-0.1958996
15	11	0.7775419	-0.3536823	1.009649	-0.19592
15	11	0.7887806	-0.3537712	1.009622	-0.1959177
15	11	0.7999346	-0.3536186	1.009785	-0.1958967
15	11	0.8109193	-0.3536394	1.009937	-0.1960019
15	11	0.8220085	-0.3535748	1.009906	-0.1961058
15	11	0.8332728	-0.3535874	1.009967	-0.1961024
15	11	0.8448781	-0.3536198	1.010167	-0.1961777
15	11	0.8555647	-0.3538933	1.01038	-0.1959273
15	11	0.8669401	-0.3540003	1.010426	-0.195763
15	11	0.8779103	-0.353997	1.010459	-0.1956631
15	11	0.8890951	-0.3539984	1.010478	-0.1957382
15	11	0.9001471	-0.3540909	1.010493	-0.1956096
15	11	0.9114897	-0.3539803	1.010329	-0.1954631
15	11	0.9230515	-0.3539586	1.010416	-0.1953459
15	11	0.9339487	-0.3540442	1.010418	-0.195122
15	11	0.945248	-0.3538568	1.010135	-0.1948588
15	11	0.9562543	-0.3538353	1.009976	-0.1948671
15	11	0.967568	-0.3537846	1.009925	-0.1948788
15	11	0.9798148	-0.3537428	1.009987	-0.1949679
15	11	0.9900247	-0.3537235	1.009931	-0.1950171
15	11	1.00119	-0.3537791	1.0099	-0.1948869
15	11	1.011839	-0.3538578	1.010212	-0.1950771
15	11	1.023213	-0.3538396	1.01015	-0.1951921
15	11	1.034561	-0.3539331	1.010088	-0.195012
15	11	1.045675	-0.3540137	1.010048	-0.1950001
15	11	1.056968	-0.3540201	1.010015	-0.1950353
15	11	1.068409	-0.3540907	1.009956	-0.1949817
15	11	1.080423	-0.354172	1.010093	-0.1951636
15	11	1.090543	-0.3540847	1.010126	-0.1951435
15	11	1.107405	-0.3540406	1.010102	-0.1951921
15	11	1.117224	-0.3538435	1.009872	-0.1951296
15	11	1.126583	-0.3540232	1.009843	-0.1950556
15	11	1.135245	-0.3540545	1.009783	-0.1949356
15	11	1.146981	-0.3539748	1.009881	-0.1950539
15	11	1.158707	-0.3539436	1.009873	-0.1951305
15	11	1.169683	-0.3538291	1.00992	-0.1953688
15	11	1.179886	-0.3537626	1.009827	-0.1954035
15	11	1.190849	-0.3539658	1.009886	-0.1953923
15	11	1.20217	-0.3539193	1.009935	-0.1955377
15	11	1.21327	-0.3539884	1.009645	-0.195335
15	11	1.224516	-0.3539886	1.009736	-0.1953324
15	11	1.235723	-0.3540249	1.00981	-0.1952784
15	11	1.246835	-0.3541765	1.009911	-0.1952552
15	11	1.258399	-0.3540707	1.010065	-0.1951953
15	11	1.269059	-0.3538854	1.010164	-0.1953282
15	11	1.280467	-0.3537457	1.010237	-0.1953957
15	11	1.291501	-0.3537605	1.010161	-0.1956064
15	11	1.302559	-0.3538816	1.010119	-0.1953684
15	11	1.314018	-0.3538847	1.010399	-0.1955472
15	11	1.325154	-0.3537822	1.010468	-0.1955867
15	11	1.335787	-0.353677	1.010492	-0.1957337
15	11	1.347289	-0.3535182	1.010403	-0.1957856
15	11	1.358248	-0.3534319	1.010406	-0.1958815
15	11	1.36966	-0.3533962	1.010391	-0.195913
15	11	1.380438	-0.353586	1.010408	-0.195942
15	11	1.392374	-0.3534923	1.01048	-0.1959016
15	11	1.403004	-0.3536479	1.010608	-0.1960068
15	11	1.414523	-0.3537567	1.010565	-0.1960391
15	11	1.425435	-0.3537369	1.010569	-0.1959608
15	11	1.436274	-0.3536668	1.010542	-0.196113
15	11	1.448015	-0.3536232	1.010174	-0.1959543
15	11	1.459415	-0.3536298	1.01003	-0.1960481
15	11	1.469727	-0.3535821	1.009948	-0.1961008
15	11	1.481399	-0.3537443	1.009948	-0.1961966
15	11	1.492586	-0.3536279	1.009941	-0.1961545
15	11	1.503686	-0.3536103	1.009803	-0.1961108
15	11	1.514802	-0.3534367	1.009732	-0.1961877
15	11	1.526204	-0.3533845	1.009567	-0.1963432
15	11	1.537235	-0.3533776	1.009484	-0.1964058
15	11	1.548809	-0.3535125	1.009429	-0.1964663
15	11	1.559279	-0.3534505	1.009401	-0.1965147
15	11	1.570648	-0.3535142	1.009258	-0.1964208
15	11	1.581791	-0.3535423	1.009125	-0.1963989
15	11	1.593208	-0.3535414	1.009003	-0.1964613
15	11	1.604234	-0.3536489	1.008881	-0.1964051
15	11	1.615287	-0.3536325	1.008854	-0.1964866
15	11	1.626595	-0.3536081	1.008877	-0.1964744
15	11	1.637458	-0.3537779	1.008848	-0.1962849
15	11	1.648826	-0.3535409	1.008761	-0.1962942
15	11	1.65984	-0.3535259	1.0086	-0.1964899
15	11	1.670885	-0.3533819	1.008653	-0.1966289
15	11	1.682525	-0.3533766	1.008546	-0.1965998
15	11	1.693395	-0.3533175	1.008572	-0.1966478
15	11	1.704876	-0.3535357	1.008772	-0.196664
15	11	1.715627	-0.3536696	1.008787	-0.1966633
15	11	1.726855	-0.3536284	1.008808	-0.196709
15	11	1.737885	-0.3534553	1.008889	-0.1969208
15	11	1.749452	-0.3534336	1.008821	-0.1969099
15	11	1.76038	-0.3533454	1.008952	-0.1969124
15	11	1.77158	-0.3532872	1.008889	-0.1968545
15	11	1.782776	-0.3534338	1.008957	-0.1968422
15	11	1.79401	-0.3534582	1.008907	-0.1970242
15	11	1.804981	-0.3535771	1.009218	-0.1972268
15	11	1.816403	-0.3536811	1.009221	-0.1972525
15	11	1.82756	-0.3536355	1.009292	-0.1971983
15	11	1.838452	-0.3534276	1.008989	-0.197143
15	11	1.85009	-0.3535128	1.008974	-0.1971446
15	11	1.861387	-0.3534906	1.008837	-0.1972259
15	11	1.871971	-0.3536441	1.008991	-0.1973569
15	11	1.883197	-0.3537099	1.008918	-0.1973987
15	11	1.894587	-0.3537407	1.008829	-0.1974137
15	11	1.905306	-0.3538163	1.008589	-0.1971586
15	11	1.916686	-0.3537695	1.008536	-0.1971735
15	11	1.928149	-0.3538103	1.008498	-0.1971873
15	11	1.939032	-0.3536777	1.008548	-0.1975024
15	11	1.950324	-0.3537052	1.008713	-0.1977006
15	11	1.96125	-0.3536685	1.008691	-0.1976939
15	11	1.97275	-0.3536849	1.008521	-0.1976507
15	11	1.984027	-0.3536904	1.008473	-0.1977168
15	11	1.995136	-0.3534815	1.008572	-0.1975836
15	11	2.006214	-0.3533447	1.008301	-0.197497
15	11	2.017435	-0.3536866	1.0082	-0.1974624
15	11	2.028482	-0.3537009	1.008066	-0.1975365
15	11	2.039658	-0.3536873	1.007976	-0.1975921
15	11	2.050606	-0.3535333	1.007896	-0.1976418
15	11	2.062117	-0.3535507	1.007676	-0.1978548
15	11	2.073291	-0.3536587	1.007566	-0.1977055
15	11	2.084539	-0.3537722	1.007451	-0.1977328
15	11	2.095676	-0.35373	1.007435	-0.197697
15	11	2.106555	-0.3536422	1.007131	-0.1976261
15	11	2.117721	-0.3535833	1.007038	-0.1976901
15	11	2.129019	-0.3536632	1.00677	-0.1978583
15	11	2.140053	-0.3536725	1.00663	-0.1979445
15	11	2.151149	-0.3537862	1.006492	-0.1979743
15	11	2.162679	-0.3536415	1.006632	-0.1977369
15	11	2.173896	-0.3537691	1.006536	-0.1976602
15	11	2.184838	-0.3538258	1.006457	-0.1976345
15	11	2.196095	-0.353761	1.006477	-0.1975533
15	11	2.207089	-0.3538008	1.006344	-0.1974723
15	11	2.21823	-0.3538494	1.006318	-0.1974931
15	11	2.229273	-0.353843	1.006287	-0.1975211
15	11	2.240611	-0.3540046	1.006505	-0.1976115
15	11	2.251516	-0.3539972	1.006537	-0.197605
15	11	2.262932	-0.3540194	1.006422	-0.1979325
15	11	2.274076	-0.3540821	1.00659	-0.1980953
15	11	2.285369	-0.3541129	1.006624	-0.1981586
15	11	2.296305	-0.3540213	1.006714	-0.1982228
15	11	2.30743	-0.3541269	1.006674	-0.1980634
15	11	2.318751	-0.3540914	1.006694	-0.1981081
15	11	2.330364	-0.3541377	1.006568	-0.19847
15	11	2.341086	-0.3541462	1.006543	-0.19856
15	11	2.353016	-0.3542011	1.006499	-0.1986647
15	11	2.364074	-0.3540528	1.006593	-0.198706
15	11	2.375652	-0.3539383	1.006459	-0.1987425
15	11	2.386488	-0.3539975	1.00639	-0.1988136
15	11	2.397714	-0.3539941	1.006331	-0.1989081
15	11	2.408923	-0.3540871	1.006209	-0.1988696
15	11	2.419962	-0.354223	1.006073	-0.198907
15	11	2.431749	-0.3541284	1.006162	-0.19882
15	11	2.442926	-0.3540838	1.005993	-0.1988043
15	11	2.453719	-0.3541079	1.005928	-0.1988674
15	11	2.465111	-0.3541014	1.005787	-0.199021
15	11	2.476828	-0.3540924	1.005794	-0.199152
15	11	2.489327	-0.3539908	1.005743	-0.1992774
15	11	2.500655	-0.3539159	1.00563	-0.1995187
15	11	2.51128	-0.3539412	1.005706	-0.1997032
15	11	2.521035	-0.3539946	1.005666	-0.1997916
15	11	2.53374	-0.3540437	1.00567	-0.1996249
15	11	2.544166	-0.3539491	1.005498	-0.1996323
15	11	2.555326	-0.3538804	1.005478	-0.1997577
15	11	2.566928	-0.3539824	1.005423	-0.1996619
15	11	2.577532	-0.3540158	1.005431	-0.1996932
15	11	2.588695	-0.3543239	1.005412	-0.1996292
15	11	2.600269	-0.3543148	1.005384	-0.1999458
15	11	2.612563	-0.3541665	1.005068	-0.1997947
