x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0491483	2.911811	1.81028	2.029484
15	11	0.060312	2.91185	1.810314	2.029478
15	11	0.0713466	2.911809	1.810372	2.029549
15	11	0.0810857	2.911747	1.810348	2.029535
15	11	0.092508	2.911756	1.810471	2.029425
15	11	0.1100316	2.911836	1.810361	2.029037
15	11	0.1268564	2.911832	1.810351	2.0291
15	11	0.1386598	2.911775	1.810407	2.029147
15	11	0.1510513	2.911776	1.810251	2.029259
15	11	0.1614197	2.911758	1.810292	2.029004
15	11	0.1724938	2.911684	1.810389	2.029007
15	11	0.1820685	2.911542	1.810473	2.028776
15	11	0.1929059	2.911525	1.810447	2.028755
15	11	0.204084	2.911499	1.810501	2.028705
15	11	0.2144927	2.911474	1.810279	2.028839
15	11	0.2243875	2.911469	1.810237	2.028996
15	11	0.235295	2.91146	1.810207	2.028923
15	11	0.2460798	2.911403	1.810246	2.028783
15	11	0.2554129	2.911403	1.81024	2.02891
15	11	0.2662659	2.911403	1.81024	2.02891
15	11	0.2760013	2.911316	1.810374	2.029194
15	11	0.2853304	2.911491	1.810596	2.029188
15	11	0.2962748	2.91152	1.810619	2.029323
15	11	0.3078502	2.91168	1.810473	2.029165
15	11	0.3172688	2.911617	1.810459	2.029034
15	11	0.3277717	2.911721	1.810349	2.028939
15	11	0.3384628	2.911741	1.810344	2.028905
15	11	0.3477367	2.911576	1.81019	2.028747
15	11	0.3590006	2.911546	1.810235	2.028924
15	11	0.3695314	2.911545	1.81025	2.028844
15	11	0.3800644	2.911706	1.810432	2.028801
15	11	0.3916479	2.911725	1.810448	2.028708
15	11	0.4035427	2.911753	1.810526	2.028738
15	11	0.4140455	2.911627	1.810368	2.028659
15	11	0.4258848	2.911614	1.810406	2.028682
15	11	0.4368502	2.911631	1.810369	2.028595
15	11	0.447439	2.911796	1.810429	2.028646
15	11	0.4593163	2.911836	1.810336	2.028871
15	11	0.4705096	2.911707	1.810494	2.02893
15	11	0.4817773	2.911713	1.810523	2.028911
15	11	0.4941305	2.911675	1.81056	2.028884
15	11	0.5057207	2.911913	1.810552	2.029322
15	11	0.5159141	2.911913	1.810526	2.029343
15	11	0.5267518	2.912179	1.810263	2.029125
15	11	0.5381717	2.912144	1.810296	2.029025
15	11	0.5482865	2.912068	1.810183	2.028989
15	11	0.5604871	2.912081	1.810212	2.028854
15	11	0.5719818	2.911896	1.810378	2.0288
15	11	0.5816998	2.911785	1.81028	2.028752
15	11	0.5927837	2.911735	1.81032	2.028776
15	11	0.6037741	2.911855	1.81025	2.028907
15	11	0.6151485	2.911873	1.810245	2.028951
15	11	0.6269914	2.911732	1.810407	2.029048
15	11	0.6375299	2.911904	1.810323	2.029275
15	11	0.648707	2.911685	1.810103	2.029268
15	11	0.6607086	2.911519	1.810328	2.029263
15	11	0.6715752	2.911449	1.810366	2.029195
15	11	0.6820474	2.911705	1.810679	2.029102
15	11	0.694811	2.911825	1.810571	2.028925
15	11	0.7066933	2.91195	1.810559	2.02903
15	11	0.7173533	2.911781	1.810366	2.029108
15	11	0.7289885	2.911767	1.810215	2.029093
15	11	0.7407156	2.911603	1.810266	2.028929
15	11	0.7518095	2.91167	1.810338	2.02889
15	11	0.7642835	2.911793	1.810235	2.028813
15	11	0.7753493	2.911868	1.810022	2.029021
15	11	0.7865191	2.911833	1.809982	2.029035
15	11	0.7982188	2.911765	1.810076	2.029072
15	11	0.8092815	2.911746	1.810237	2.028857
15	11	0.8213923	2.911799	1.810175	2.028942
15	11	0.8325523	2.911567	1.810498	2.029062
15	11	0.8439039	2.911901	1.810678	2.029199
15	11	0.8553945	2.911944	1.810665	2.029269
15	11	0.8673741	2.912039	1.810685	2.029185
15	11	0.8783749	2.911897	1.810673	2.029023
15	11	0.889972	2.911934	1.810676	2.029107
15	11	0.9026271	2.912096	1.810538	2.028967
15	11	0.9145004	2.912216	1.810457	2.029111
15	11	0.9287206	2.912207	1.810516	2.029006
15	11	0.9423252	2.911796	1.810258	2.02918
15	11	0.9535053	2.911793	1.810246	2.029179
15	11	0.9655401	2.911891	1.81016	2.028955
15	11	0.9767857	2.91164	1.810256	2.028655
15	11	0.9906946	2.911731	1.810312	2.028775
15	11	1.006605	2.911655	1.810278	2.028581
15	11	1.016789	2.911798	1.810381	2.028715
15	11	1.030042	2.911732	1.81044	2.028713
15	11	1.042169	2.911859	1.810373	2.028866
15	11	1.05279	2.911998	1.81051	2.028818
15	11	1.063634	2.912129	1.810426	2.02872
15	11	1.075603	2.912336	1.810321	2.028934
15	11	1.085066	2.912194	1.810146	2.028937
15	11	1.100677	2.912015	1.81037	2.029107
15	11	1.113196	2.911895	1.810416	2.028922
15	11	1.126682	2.911876	1.810437	2.028847
15	11	1.137443	2.911777	1.810557	2.028961
15	11	1.148384	2.911777	1.810557	2.028961
15	11	1.160238	2.911831	1.810234	2.028757
15	11	1.170003	2.911831	1.810234	2.028757
15	11	1.180563	2.911768	1.810271	2.028595
15	11	1.191153	2.911736	1.810192	2.02859
15	11	1.201741	2.911674	1.810251	2.028508
15	11	1.211599	2.911674	1.810251	2.028508
15	11	1.222255	2.911845	1.810106	2.028738
15	11	1.240844	2.911598	1.810184	2.028534
15	11	1.263198	2.911466	1.810426	2.028584
15	11	1.286726	2.911859	1.810537	2.028871
15	11	1.3078	2.912055	1.810296	2.02832
15	11	1.330837	2.911985	1.810516	2.028397
15	11	1.352347	2.911609	1.810201	2.028222
15	11	1.374984	2.911549	1.810223	2.028121
15	11	1.399376	2.911356	1.810406	2.028231
15	11	1.419394	2.911727	1.810283	2.028751
15	11	1.442027	2.911644	1.810238	2.028552
15	11	1.464682	2.911546	1.810584	2.028698
15	11	1.486415	2.911699	1.810451	2.028951
15	11	1.508311	2.911907	1.810308	2.028954
15	11	1.533307	2.911935	1.810295	2.028919
15	11	1.553035	2.911956	1.810303	2.028973
15	11	1.575576	2.911879	1.810211	2.02895
15	11	1.59832	2.911834	1.810206	2.028875
15	11	1.622368	2.911921	1.810281	2.028921
15	11	1.643535	2.911777	1.810366	2.028594
15	11	1.665212	2.911638	1.810453	2.028864
15	11	1.687996	2.911714	1.810552	2.029003
15	11	1.70954	2.911723	1.810516	2.029154
15	11	1.720981	2.91171	1.810596	2.029105
15	11	1.732893	2.911882	1.810393	2.028906
15	11	1.745102	2.911819	1.810446	2.028801
15	11	1.758044	2.911827	1.810488	2.028645
15	11	1.768272	2.911764	1.810553	2.028689
15	11	1.778983	2.911879	1.810385	2.028912
15	11	1.787978	2.911877	1.810321	2.029008
15	11	1.800013	2.911881	1.810379	2.028996
15	11	1.809974	2.911881	1.810249	2.029105
15	11	1.821933	2.911866	1.810196	2.02902
