x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.04775	-0.2220949	0.08234477	0.5771986
15	11	0.0577003	-0.2221141	0.08235288	0.5771843
15	11	0.0689037	-0.2216523	0.08258319	0.577104
15	11	0.0802033	-0.2216089	0.08259845	0.5771396
15	11	0.0896787	-0.2216332	0.08261657	0.5771055
15	11	0.1000097	-0.2215427	0.08285832	0.5770859
15	11	0.10946	-0.2214019	0.08294654	0.5770026
15	11	0.1185464	-0.2214019	0.08294654	0.5770026
15	11	0.1273546	-0.2214	0.08297658	0.576996
15	11	0.136905	-0.2215306	0.08275342	0.5770144
15	11	0.1455335	-0.2215924	0.08276391	0.5769584
15	11	0.1561183	-0.2215459	0.08276272	0.5769676
15	11	0.1675255	-0.2216623	0.08264279	0.5769383
15	11	0.1783451	-0.2216285	0.08267403	0.576918
15	11	0.1896	-0.2215756	0.08267307	0.5769004
15	11	0.2015414	-0.2215924	0.08263373	0.5768703
15	11	0.2117755	-0.2217786	0.08254933	0.5768354
15	11	0.2229868	-0.2218351	0.08259344	0.5768254
15	11	0.2356751	-0.2218519	0.08269787	0.5768509
15	11	0.2460601	-0.2217689	0.08285332	0.5768367
15	11	0.256704	-0.2216854	0.08289218	0.5769546
15	11	0.2687799	-0.2215853	0.08266497	0.5770073
15	11	0.279276	-0.221638	0.08260274	0.5770979
15	11	0.2902446	-0.2217598	0.0826056	0.5769659
15	11	0.3027426	-0.2216544	0.08246207	0.5772439
15	11	0.3130565	-0.2216213	0.08245397	0.5772451
15	11	0.3240419	-0.221541	0.08239746	0.5773027
15	11	0.3354337	-0.2217518	0.08240342	0.5770007
15	11	0.3466821	-0.2217618	0.08232331	0.5770102
15	11	0.3573533	-0.2217888	0.08236384	0.5769576
15	11	0.3692305	-0.2219558	0.08230233	0.5770606
15	11	0.3799704	-0.2219192	0.08240414	0.5770093
15	11	0.3914836	-0.2219672	0.08245349	0.5769703
15	11	0.409589	-0.2220644	0.0822444	0.5772443
15	11	0.4194174	-0.2221752	0.08222008	0.5772696
15	11	0.428761	-0.2221894	0.08221388	0.5772247
15	11	0.4372216	-0.2219918	0.08203697	0.5770593
15	11	0.4468327	-0.2224112	0.08174014	0.5773343
15	11	0.461487	-0.2225385	0.08174062	0.5771251
15	11	0.4721945	-0.2225907	0.08166265	0.577439
15	11	0.480796	-0.2216347	0.08197927	0.5773315
15	11	0.49094	-0.2213877	0.08209777	0.5773848
15	11	0.5026372	-0.2212349	0.08219051	0.5775827
15	11	0.5135379	-0.2208929	0.08244324	0.5776423
15	11	0.5241044	-0.2195622	0.08283949	0.5779988
