x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.06521679	1.763004	1.885474	-1.820943
15	11	0.08032429	1.764155	1.885369	-1.820711
15	11	0.09184229	1.765269	1.885498	-1.820495
15	11	0.1025138	1.766439	1.88545	-1.820116
15	11	0.1142332	1.767253	1.885431	-1.819745
15	11	0.1243509	1.76815	1.885364	-1.81958
15	11	0.1351251	1.769169	1.88526	-1.819203
15	11	0.1450347	1.77006	1.885028	-1.818996
15	11	0.1565077	1.770959	1.884985	-1.818722
15	11	0.1666883	1.771581	1.884889	-1.818467
15	11	0.1771675	1.772189	1.884816	-1.8181
15	11	0.1885868	1.772906	1.884741	-1.817744
15	11	0.1989185	1.773695	1.884526	-1.817287
15	11	0.2081477	1.774328	1.884183	-1.817041
15	11	0.2198659	1.774809	1.884024	-1.816815
15	11	0.2302367	1.775231	1.883892	-1.816648
15	11	0.2393741	1.77568	1.883611	-1.816478
15	11	0.2520415	1.776149	1.883472	-1.816309
15	11	0.2620973	1.776515	1.883307	-1.816137
15	11	0.271303	1.776515	1.883307	-1.816137
15	11	0.2821076	1.776818	1.883166	-1.815986
15	11	0.292617	1.777225	1.883159	-1.815923
15	11	0.3030169	1.777447	1.883023	-1.815764
15	11	0.3153847	1.777696	1.882886	-1.815603
15	11	0.3258783	1.77771	1.882653	-1.815439
15	11	0.3358695	1.77777	1.882578	-1.815383
15	11	0.3454626	1.77785	1.882459	-1.815319
15	11	0.3579282	1.777965	1.882393	-1.815233
15	11	0.3684891	1.778026	1.882399	-1.815238
15	11	0.3788019	1.778157	1.882477	-1.815245
15	11	0.3904983	1.778306	1.88262	-1.815205
15	11	0.4011825	1.778526	1.88275	-1.815196
15	11	0.411261	1.778753	1.882942	-1.815392
15	11	0.4227492	1.779002	1.883326	-1.815602
15	11	0.4331588	1.779088	1.883564	-1.815739
15	11	0.4433973	1.77923	1.883748	-1.815874
15	11	0.455922	1.779169	1.883749	-1.815904
15	11	0.4683096	1.779338	1.883848	-1.815879
15	11	0.4813617	1.779485	1.883844	-1.815865
15	11	0.4916149	1.779578	1.883915	-1.815965
15	11	0.502764	1.779641	1.88407	-1.816098
15	11	0.5169905	1.779874	1.884447	-1.816197
