x	y	time
15	11	0.0498744
15	11	0.0638467
15	11	0.0771072
15	11	0.0904666
15	11	0.1031505
15	11	0.1173846
15	11	0.141379
15	11	0.1576989
15	11	0.1699682
15	11	0.181443
15	11	0.1941643
15	11	0.2166377
15	11	0.240335
15	11	0.2617278
15	11	0.2839892
15	11	0.3122072
15	11	0.3291203
15	11	0.3509454
15	11	0.3739668
15	11	0.3967261
15	11	0.4199591
15	11	0.4404799
15	11	0.4671736
15	11	0.4847288
15	11	0.5064351
15	11	0.5292523
15	11	0.5514655
15	11	0.5744513
15	11	0.5960041
15	11	0.6242748
15	11	0.6410766
15	11	0.66286
15	11	0.675477
15	11	0.6881034
15	11	0.700331
15	11	0.7137179
15	11	0.7264589
15	11	0.7401375
15	11	0.7534455
15	11	0.77252
15	11	0.7862614
15	11	0.799051
15	11	0.8123268
15	11	0.8244248
15	11	0.8374849
15	11	0.8502588
15	11	0.8627756
15	11	0.8760296
15	11	0.8887687
15	11	0.9019063
15	11	0.9143226
15	11	0.9388842
15	11	0.9516549
15	11	0.9646009
15	11	0.9775375
15	11	0.9915208
15	11	1.006634
15	11	1.021773
15	11	1.036024
15	11	1.051918
15	11	1.065553
15	11	1.085607
15	11	1.100383
15	11	1.121014
15	11	1.143871
15	11	1.165726
15	11	1.188488
15	11	1.210085
15	11	1.232495
15	11	1.260783
15	11	1.27727
15	11	1.299768
15	11	1.322213
15	11	1.34451
15	11	1.366417
15	11	1.389629
15	11	1.417202
15	11	1.434134
15	11	1.456376
15	11	1.478327
15	11	1.500355
15	11	1.515509
15	11	1.534292
15	11	1.551941
15	11	1.579133
15	11	1.595861
15	11	1.611844
15	11	1.627472
15	11	1.641
15	11	1.654454
15	11	1.667466
15	11	1.680333
15	11	1.693425
15	11	1.710747
15	11	1.729772
15	11	1.742973
15	11	1.756558
15	11	1.768755
15	11	1.782579
15	11	1.795512
15	11	1.807738
15	11	1.821305
15	11	1.834088
15	11	1.846663
15	11	1.858895
15	11	1.8711
15	11	1.900333
15	11	1.915727
15	11	1.936716
15	11	1.95932
15	11	1.982354
15	11	2.00351
15	11	2.026475
15	11	2.053879
15	11	2.070749
15	11	2.093068
15	11	2.115517
15	11	2.13827
15	11	2.162211
15	11	2.183424
15	11	2.209827
15	11	2.226613
15	11	2.248922
15	11	2.271723
15	11	2.293618
15	11	2.316092
15	11	2.339226
15	11	2.366792
15	11	2.379175
15	11	2.392321
15	11	2.405172
15	11	2.418739
15	11	2.431775
15	11	2.444302
15	11	2.456831
15	11	2.469716
15	11	2.483532
15	11	2.497333
15	11	2.51685
15	11	2.529185
15	11	2.541512
15	11	2.555531
15	11	2.567723
15	11	2.581316
15	11	2.593933
15	11	2.606794
15	11	2.6201
15	11	2.632891
15	11	2.648356
15	11	2.671628
15	11	2.685164
15	11	2.697962
15	11	2.709793
15	11	2.722403
15	11	2.740621
15	11	2.762627
15	11	2.786113
