x	y	time
15	11	0.0687352
15	11	0.09320959
15	11	0.1075226
15	11	0.1202102
15	11	0.1319049
15	11	0.1438373
15	11	0.1561378
15	11	0.166945
15	11	0.1778336
15	11	0.1925888
15	11	0.2151531
15	11	0.2382239
15	11	0.2655322
15	11	0.2828977
15	11	0.3044534
15	11	0.3268113
15	11	0.3488995
15	11	0.3711765
15	11	0.3948308
15	11	0.4221191
15	11	0.4388389
15	11	0.4607754
15	11	0.4840029
15	11	0.5059778
15	11	0.5282461
15	11	0.5515724
15	11	0.5791716
15	11	0.5968322
15	11	0.618031
15	11	0.6416555
15	11	0.6535011
15	11	0.666195
15	11	0.6775571
15	11	0.6957723
15	11	0.7084627
15	11	0.7282087
15	11	0.740397
15	11	0.7531605
15	11	0.7652816
15	11	0.7775671
15	11	0.7911422
15	11	0.8027434
15	11	0.815266
15	11	0.8277894
15	11	0.8399611
15	11	0.8516933
15	11	0.8634901
15	11	0.8811434
15	11	0.8934253
15	11	0.9052987
15	11	0.9165536
15	11	0.9278861
15	11	0.9388626
15	11	0.9502413
15	11	0.961281
15	11	0.9723959
15	11	0.9844314
15	11	0.9954797
15	11	1.008585
15	11	1.032136
15	11	1.058308
15	11	1.075483
15	11	1.097836
15	11	1.120162
15	11	1.141862
15	11	1.165524
15	11	1.188061
15	11	1.214749
15	11	1.232501
15	11	1.253589
15	11	1.275818
15	11	1.298973
15	11	1.321526
15	11	1.344149
15	11	1.371856
15	11	1.389662
15	11	1.41002
15	11	1.435408
15	11	1.455029
15	11	1.46709
15	11	1.478985
15	11	1.490135
15	11	1.501965
15	11	1.520765
15	11	1.532976
15	11	1.545595
15	11	1.557287
15	11	1.571099
15	11	1.586595
15	11	1.602567
15	11	1.615744
15	11	1.631508
15	11	1.644996
15	11	1.659969
15	11	1.68041
15	11	1.692486
15	11	1.703782
15	11	1.716066
15	11	1.728752
15	11	1.740415
15	11	1.753643
15	11	1.765442
15	11	1.777519
15	11	1.789076
15	11	1.801957
15	11	1.815879
15	11	1.841115
15	11	1.85792
15	11	1.880215
15	11	1.902022
15	11	1.923966
15	11	1.947004
15	11	1.969182
15	11	1.997194
15	11	2.013443
15	11	2.03643
15	11	2.058082
15	11	2.080572
15	11	2.103703
15	11	2.12528
15	11	2.154418
15	11	2.170799
15	11	2.191787
15	11	2.215376
15	11	2.237283
15	11	2.25875
15	11	2.282414
15	11	2.300466
15	11	2.313438
15	11	2.325399
15	11	2.337434
15	11	2.351949
15	11	2.364148
15	11	2.375992
15	11	2.389812
15	11	2.401351
15	11	2.413304
15	11	2.424722
15	11	2.437316
15	11	2.456519
15	11	2.468511
15	11	2.480693
15	11	2.492444
15	11	2.504719
15	11	2.51677
15	11	2.528857
15	11	2.540166
15	11	2.551591
15	11	2.563389
15	11	2.574926
15	11	2.58683
15	11	2.598756
15	11	2.616985
15	11	2.628767
15	11	2.641004
15	11	2.653723
15	11	2.666586
15	11	2.678629
15	11	2.692164
15	11	2.704429
15	11	2.715032
15	11	2.728295
15	11	2.751582
15	11	2.779623
15	11	2.795697
15	11	2.81789
15	11	2.840061
15	11	2.862823
15	11	2.885455
15	11	2.907737
15	11	2.935056
15	11	2.952086
15	11	2.974472
15	11	2.996367
15	11	3.018623
15	11	3.040752
15	11	3.06355
15	11	3.091101
15	11	3.108987
15	11	3.130529
15	11	3.153065
15	11	3.175865
15	11	3.197043
15	11	3.209271
15	11	3.221169
15	11	3.238985
15	11	3.252119
15	11	3.264106
15	11	3.276029
15	11	3.288755
15	11	3.301121
15	11	3.313895
15	11	3.325481
15	11	3.337546
15	11	3.350538
15	11	3.362758
15	11	3.374145
15	11	3.392029
15	11	3.40404
15	11	3.416727
15	11	3.428326
15	11	3.44067
15	11	3.454814
15	11	3.470503
15	11	3.48315
15	11	3.499421
15	11	3.511175
15	11	3.522457
15	11	3.534552
16	11	3.561182
16	11	3.578644
16	11	3.602557
16	11	3.624568
16	11	3.644782
16	11	3.666996
17	11	3.690451
17	11	3.720933
17	11	3.736939
17	11	3.756552
17	11	3.777819
18	11	3.800872
18	11	3.823005
18	11	3.846087
18	11	3.876544
18	11	3.892381
18	11	3.912648
19	11	3.935136
19	11	3.957788
19	11	3.981953
19	11	4.004912
19	11	4.035068
20	11	4.050514
20	11	4.064598
20	11	4.079166
20	11	4.094697
20	11	4.106371
20	11	4.119344
20	11	4.130959
20	11	4.141978
20	11	4.154172
21	11	4.168005
21	11	4.189395
21	11	4.204882
21	11	4.220519
21	11	4.233381
21	11	4.245029
21	11	4.257074
21	11	4.268881
21	11	4.281379
22	11	4.292995
22	11	4.305382
22	11	4.318582
22	11	4.339329
22	11	4.354635
22	11	4.366637
22	11	4.377854
22	11	4.392643
23	11	4.415608
23	11	4.437224
23	11	4.461499
23	11	4.486282
23	11	4.514333
24	11	4.530081
24	11	4.549944
24	11	4.57294
24	11	4.596253
24	11	4.61911
24	11	4.639476
25	11	4.668964
25	11	4.689874
25	11	4.707305
25	11	4.728365
25	11	4.751411
26	11	4.771776
26	11	4.794866
26	11	4.828046
26	11	4.843379
26	11	4.861758
26	11	4.873657
26	11	4.885636
27	11	4.896885
27	11	4.908594
27	11	4.924155
27	11	4.938553
27	11	4.953969
27	11	4.974797
27	11	4.993323
27	11	5.00533
27	10	5.017368
27	10	5.030428
27	10	5.043155
27	10	5.058633
27	10	5.090157
27	10	5.103446
27	10	5.115513
27	10	5.136268
27	9	5.151689
27	9	5.166581
27	9	5.182345
27	9	5.196882
27	9	5.208409
27	9	5.220401
27	9	5.231347
27	9	5.241875
27	8	5.264032
27	8	5.286843
27	8	5.3172
27	8	5.33393
27	8	5.353566
27	8	5.376153
27	8	5.398344
26	8	5.420897
26	8	5.442013
26	8	5.475471
26	8	5.493532
26	8	5.509713
26	8	5.532246
25	8	5.554891
25	8	5.57698
25	8	5.601965
25	8	5.628858
25	8	5.646664
25	8	5.666222
25	8	5.688781
25	8	5.710439
25	8	5.732805
25	8	5.743603
25	8	5.756673
25	8	5.774885
25	8	5.788107
25	8	5.799776
25	8	5.811905
25	8	5.824728
25	8	5.83638
25	8	5.848198
25	8	5.860022
25	8	5.872984
25	8	5.885462
25	8	5.896504
25	8	5.907453
26	8	5.925802
26	8	5.937245
26	8	5.949244
26	8	5.961415
26	8	5.972724
26	8	5.983901
26	8	5.995569
26	8	6.007102
26	8	6.019073
26	8	6.030619
27	8	6.042564
27	8	6.054698
27	8	6.066494
27	8	6.084828
27	8	6.096595
27	8	6.108871
27	8	6.123925
27	8	6.146966
27	8	6.168517
27	8	6.191094
27	8	6.212956
27	8	6.236768
27	8	6.262664
27	8	6.280364
27	8	6.302151
27	8	6.324402
27	8	6.347654
27	8	6.369754
27	8	6.392301
26	8	6.420223
26	8	6.436908
26	8	6.459293
26	8	6.481345
26	8	6.503864
26	8	6.526085
25	8	6.54882
25	8	6.577575
25	8	6.590928
25	8	6.602902
25	8	6.614815
25	8	6.62577
25	8	6.637518
25	8	6.649618
25	8	6.661728
25	8	6.673528
25	8	6.685912
25	8	6.696533
25	8	6.709287
25	8	6.729021
25	8	6.740819
25	8	6.753172
25	8	6.764879
25	8	6.77559
25	8	6.787357
25	8	6.798759
25	8	6.809745
25	8	6.821528
25	8	6.832527
25	8	6.844357
25	8	6.857043
25	8	6.868318
25	8	6.886143
25	8	6.898279
25	8	6.910192
25	8	6.921801
25	8	6.932792
25	8	6.950704
25	8	6.973436
25	8	6.994788
