x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0402475	-0.7975001	2.958027	-1.902498
15	11	0.0474721	-0.7975001	2.958027	-1.902498
15	11	0.0521999	-0.7975001	2.958027	-1.902498
15	11	0.0573359	-0.7975001	2.958027	-1.902498
15	11	0.0662834	-0.7975001	2.958027	-1.902498
15	11	0.0775817	-0.7975001	2.958027	-1.902498
15	11	0.0886106	-0.7975001	2.958027	-1.902498
15	11	0.0999231	-0.7975001	2.958027	-1.902498
15	11	0.1113844	-0.7975001	2.958027	-1.902498
15	11	0.1226257	-0.7975001	2.958027	-1.902498
15	11	0.1335717	-0.7975001	2.958027	-1.902498
15	11	0.1451069	-0.7975001	2.958027	-1.902498
15	11	0.212447	-0.7975001	2.958027	-1.902498
15	11	0.2202824	-0.7975001	2.958027	-1.902498
15	11	0.2260534	-0.7975001	2.958027	-1.902498
15	11	0.2336456	-0.7975001	2.958027	-1.902498
15	11	0.2449271	-0.7975001	2.958027	-1.902498
15	11	0.2559238	-0.7975001	2.958027	-1.902498
15	11	0.267408	-0.7975001	2.958027	-1.902498
15	11	0.2782722	-0.7975001	2.958027	-1.902498
15	11	0.2894546	-0.7975001	2.958027	-1.902498
15	11	0.3008669	-0.7975001	2.958027	-1.902498
15	11	0.3118985	-0.7975001	2.958027	-1.902498
15	11	0.3229917	-0.7975001	2.958027	-1.902498
15	11	0.3342679	-0.7975001	2.958027	-1.902498
15	11	0.3453986	-0.7975001	2.958027	-1.902498
15	11	0.3563799	-0.7975001	2.958027	-1.902498
15	11	0.3679387	-0.7975001	2.958027	-1.902498
15	11	0.3788315	-0.7975001	2.958027	-1.902498
15	11	0.3898245	-0.7975001	2.958027	-1.902498
15	11	0.4013948	-0.7975001	2.958027	-1.902498
15	11	0.4124641	-0.7975001	2.958027	-1.902498
15	11	0.4233066	-0.7975001	2.958027	-1.902498
15	11	0.4344696	-0.7975001	2.958027	-1.902498
15	11	0.4458313	-0.7975001	2.958027	-1.902498
15	11	0.4569703	-0.7975001	2.958027	-1.902498
15	11	0.468336	-0.7975001	2.958027	-1.902498
15	11	0.4792791	-0.7975001	2.958027	-1.902498
15	11	0.4906246	-0.7975001	2.958027	-1.902498
15	11	0.5018	-0.7975001	2.958027	-1.902498
15	11	0.5126908	-0.7975001	2.958027	-1.902498
15	11	0.5242334	-0.7975001	2.958027	-1.902498
15	11	0.5356359	-0.7975001	2.958027	-1.902498
15	11	0.5466398	-0.7975001	2.958027	-1.902498
15	11	0.5577611	-0.7975001	2.958027	-1.902498
15	11	0.5690612	-0.7975001	2.958027	-1.902498
15	11	0.5799403	-0.7975001	2.958027	-1.902498
15	11	0.591226	-0.7975001	2.958027	-1.902498
15	11	0.6025202	-0.7975001	2.958027	-1.902498
15	11	0.6137112	-0.7975001	2.958027	-1.902498
15	11	0.6250209	-0.7975001	2.958027	-1.902498
15	11	0.6366196	-0.7975001	2.958027	-1.902498
15	11	0.6470653	-0.7975001	2.958027	-1.902498
15	11	0.6586154	-0.7975001	2.958027	-1.902498
15	11	0.6696557	-0.7975001	2.958027	-1.902498
15	11	0.6812224	-0.7975001	2.958027	-1.902498
15	11	0.6919686	-0.7975001	2.958027	-1.902498
15	11	0.7032449	-0.7975001	2.958027	-1.902498
15	11	0.7142833	-0.7975001	2.958027	-1.902498
15	11	0.7253581	-0.7975001	2.958027	-1.902498
15	11	0.7366701	-0.7975001	2.958027	-1.902498
15	11	0.7477131	-0.7975001	2.958027	-1.902498
15	11	0.7589344	-0.7975001	2.958027	-1.902498
15	11	0.7702299	-0.7975001	2.958027	-1.902498
15	11	0.7811768	-0.7975001	2.958027	-1.902498
15	11	0.7925926	-0.7975001	2.958027	-1.902498
15	11	0.8037108	-0.7975001	2.958027	-1.902498
15	11	0.8150141	-0.7975001	2.958027	-1.902498
15	11	0.8258784	-0.7975001	2.958027	-1.902498
15	11	0.837416	-0.7975001	2.958027	-1.902498
15	11	0.8486146	-0.7975001	2.958027	-1.902498
15	11	0.8605615	-0.7975001	2.958027	-1.902498
15	11	0.8729038	-0.7975001	2.958027	-1.902498
15	11	0.8857358	-0.7975001	2.958027	-1.902498
15	11	0.8989155	-0.7975001	2.958027	-1.902498
15	11	0.9126092	-0.7975001	2.958027	-1.902498
15	11	0.9235731	-0.7975001	2.958027	-1.902498
15	11	0.9344905	-0.7975001	2.958027	-1.902498
15	11	0.9454589	-0.7975001	2.958027	-1.902498
15	11	0.9568223	-0.7975001	2.958027	-1.902498
15	11	0.9677399	-0.7975001	2.958027	-1.902498
15	11	0.9793952	-0.7975001	2.958027	-1.902498
15	11	0.9904339	-0.7975001	2.958027	-1.902498
15	11	1.001466	-0.7975001	2.958027	-1.902498
15	11	1.012561	-0.7975001	2.958027	-1.902498
15	11	1.023709	-0.7975001	2.958027	-1.902498
15	11	1.035037	-0.7975001	2.958027	-1.902498
15	11	1.046072	-0.7975001	2.958027	-1.902498
15	11	1.057258	-0.7975001	2.958027	-1.902498
15	11	1.068351	-0.7975001	2.958027	-1.902498
15	11	1.079914	-0.7975001	2.958027	-1.902498
15	11	1.09119	-0.7975001	2.958027	-1.902498
15	11	1.101894	-0.7975001	2.958027	-1.902498
15	11	1.113401	-0.7975001	2.958027	-1.902498
15	11	1.12447	-0.7975001	2.958027	-1.902498
15	11	1.135483	-0.7975001	2.958027	-1.902498
15	11	1.146752	-0.7975001	2.958027	-1.902498
15	11	1.157768	-0.7975001	2.958027	-1.902498
15	11	1.168923	-0.7975001	2.958027	-1.902498
15	11	1.180278	-0.7975001	2.958027	-1.902498
15	11	1.191655	-0.7975001	2.958027	-1.902498
15	11	1.202666	-0.7975001	2.958027	-1.902498
15	11	1.213843	-0.7975001	2.958027	-1.902498
15	11	1.224943	-0.7975001	2.958027	-1.902498
15	11	1.235912	-0.7975001	2.958027	-1.902498
15	11	1.247309	-0.7975001	2.958027	-1.902498
15	11	1.258775	-0.7975001	2.958027	-1.902498
15	11	1.269678	-0.7975001	2.958027	-1.902498
15	11	1.280743	-0.7975001	2.958027	-1.902498
15	11	1.29205	-0.7975001	2.958027	-1.902498
15	11	1.303216	-0.7975001	2.958027	-1.902498
15	11	1.314158	-0.7975001	2.958027	-1.902498
15	11	1.325921	-0.7975001	2.958027	-1.902498
15	11	1.336835	-0.7975001	2.958027	-1.902498
15	11	1.347695	-0.7975001	2.958027	-1.902498
15	11	1.358828	-0.7975001	2.958027	-1.902498
15	11	1.370166	-0.7975001	2.958027	-1.902498
15	11	1.381493	-0.7975001	2.958027	-1.902498
15	11	1.392851	-0.7975001	2.958027	-1.902498
15	11	1.403613	-0.7975001	2.958027	-1.902498
15	11	1.414911	-0.7975001	2.958027	-1.902498
15	11	1.425843	-0.7975001	2.958027	-1.902498
15	11	1.437058	-0.7975001	2.958027	-1.902498
15	11	1.448394	-0.7975001	2.958027	-1.902498
15	11	1.459736	-0.7975001	2.958027	-1.902498
15	11	1.470498	-0.7975001	2.958027	-1.902498
15	11	1.482591	-0.7975001	2.958027	-1.902498
15	11	1.493732	-0.7975001	2.958027	-1.902498
15	11	1.504035	-0.7975001	2.958027	-1.902498
15	11	1.516254	-0.7975001	2.958027	-1.902498
15	11	1.527315	-0.7975001	2.958027	-1.902498
15	11	1.537987	-0.7975001	2.958027	-1.902498
15	11	1.549695	-0.7975001	2.958027	-1.902498
15	11	1.560473	-0.7975001	2.958027	-1.902498
15	11	1.571892	-0.7975001	2.958027	-1.902498
15	11	1.583061	-0.7975001	2.958027	-1.902498
15	11	1.594223	-0.7975001	2.958027	-1.902498
15	11	1.605418	-0.7975001	2.958027	-1.902498
15	11	1.616796	-0.7975001	2.958027	-1.902498
15	11	1.627809	-0.7975001	2.958027	-1.902498
15	11	1.638436	-0.7975001	2.958027	-1.902498
15	11	1.649665	-0.7975001	2.958027	-1.902498
15	11	1.661673	-0.7975001	2.958027	-1.902498
15	11	1.67191	-0.7975001	2.958027	-1.902498
15	11	1.683078	-0.7975001	2.958027	-1.902498
15	11	1.69437	-0.7975001	2.958027	-1.902498
15	11	1.705214	-0.7975001	2.958027	-1.902498
15	11	1.716278	-0.7975001	2.958027	-1.902498
15	11	1.727624	-0.7975001	2.958027	-1.902498
15	11	1.738935	-0.7975001	2.958027	-1.902498
15	11	1.750086	-0.7975001	2.958027	-1.902498
15	11	1.761198	-0.7975001	2.958027	-1.902498
15	11	1.772594	-0.7975001	2.958027	-1.902498
15	11	1.783384	-0.7975001	2.958027	-1.902498
15	11	1.794437	-0.7975001	2.958027	-1.902498
15	11	1.805882	-0.7975001	2.958027	-1.902498
15	11	1.816718	-0.7975001	2.958027	-1.902498
15	11	1.828255	-0.7975001	2.958027	-1.902498
15	11	1.839189	-0.7975001	2.958027	-1.902498
15	11	1.850416	-0.7975001	2.958027	-1.902498
15	11	1.861578	-0.7975001	2.958027	-1.902498
15	11	1.872667	-0.7975001	2.958027	-1.902498
15	11	1.883831	-0.7975001	2.958027	-1.902498
15	11	1.895835	-0.7975001	2.958027	-1.902498
15	11	1.906529	-0.7975001	2.958027	-1.902498
15	11	1.917973	-0.7975001	2.958027	-1.902498
15	11	1.928904	-0.7975001	2.958027	-1.902498
15	11	1.940188	-0.7975001	2.958027	-1.902498
15	11	1.951273	-0.7975001	2.958027	-1.902498
15	11	1.962489	-0.7975001	2.958027	-1.902498
15	11	1.973561	-0.7975001	2.958027	-1.902498
15	11	1.984686	-0.7975001	2.958027	-1.902498
15	11	1.995756	-0.7975001	2.958027	-1.902498
15	11	2.00688	-0.7975001	2.958027	-1.902498
15	11	2.018758	-0.7975001	2.958027	-1.902498
15	11	2.029221	-0.7975001	2.958027	-1.902498
15	11	2.040153	-0.7975001	2.958027	-1.902498
15	11	2.051409	-0.7975001	2.958027	-1.902498
15	11	2.06346	-0.7975001	2.958027	-1.902498
15	11	2.074248	-0.7975001	2.958027	-1.902498
15	11	2.085564	-0.7975001	2.958027	-1.902498
15	11	2.096611	-0.7975001	2.958027	-1.902498
15	11	2.107441	-0.7975001	2.958027	-1.902498
15	11	2.118709	-0.7975001	2.958027	-1.902498
15	11	2.129692	-0.7975001	2.958027	-1.902498
15	11	2.140969	-0.7975001	2.958027	-1.902498
15	11	2.152081	-0.7975001	2.958027	-1.902498
