x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0408958	-0.6378387	0.2153095	-0.1034362
15	11	0.0492191	-0.6378387	0.2153095	-0.1034362
15	11	0.0564582	-0.6379919	0.2151239	-0.1033604
15	11	0.0632829	-0.6380022	0.2147831	-0.1032026
15	11	0.0749276	-0.638065	0.2146391	-0.1032922
15	11	0.085328	-0.6383048	0.2143602	-0.1032546
15	11	0.0959072	-0.6383078	0.213967	-0.1031437
15	11	0.1069474	-0.6389024	0.2134886	-0.1037802
15	11	0.1186677	-0.6388286	0.2133029	-0.1043073
15	11	0.129197	-0.638804	0.2139795	-0.103857
15	11	0.1403879	-0.6382923	0.2139497	-0.1035423
15	11	0.1520397	-0.6384134	0.2137235	-0.1036341
15	11	0.1629507	-0.6382191	0.2135731	-0.1036973
15	11	0.1741263	-0.6379492	0.21349	-0.1039027
15	11	0.1856802	-0.6380256	0.213233	-0.1041993
15	11	0.1966134	-0.6378565	0.2131209	-0.1040869
15	11	0.2072441	-0.6381007	0.2131606	-0.1040466
15	11	0.218414	-0.6382204	0.2128711	-0.1043071
15	11	0.2296769	-0.6383041	0.212455	-0.1043673
15	11	0.2413674	-0.637835	0.213105	-0.1036236
15	11	0.2524053	-0.6378539	0.2128315	-0.1040103
15	11	0.2635476	-0.6377118	0.2126279	-0.1040519
15	11	0.2749132	-0.6376987	0.2125403	-0.1040283
15	11	0.2860824	-0.6377654	0.2121778	-0.1043754
15	11	0.2969197	-0.6373518	0.2120153	-0.1044744
15	11	0.3081405	-0.6372902	0.2114826	-0.1048758
15	11	0.3192827	-0.6373621	0.2110472	-0.1051553
15	11	0.3303851	-0.6374002	0.2110862	-0.105549
15	11	0.3414642	-0.6365705	0.2109834	-0.1049951
15	11	0.3524798	-0.6367013	0.2104764	-0.1050186
15	11	0.3635435	-0.636829	0.2101188	-0.1051847
15	11	0.3746564	-0.6365911	0.2099154	-0.1049957
15	11	0.3860495	-0.6367604	0.2096947	-0.1045495
15	11	0.3973389	-0.6368482	0.2095704	-0.1034471
15	11	0.4082233	-0.6367518	0.2094493	-0.1017172
15	11	0.4192789	-0.6368037	0.2090712	-0.1002316
15	11	0.4305043	-0.6375332	0.2080723	-0.0974524
15	11	0.4424369	-0.6376359	0.2074246	-0.09364223
15	11	0.4530532	-0.6382277	0.206542	-0.08919001
15	11	0.4641419	-0.6395196	0.2057211	-0.08371019
15	11	0.4753201	-0.6405952	0.2048182	-0.07849371
15	11	0.4866798	-0.6425384	0.203981	-0.07122517
15	11	0.4979241	-0.6454897	0.2028104	-0.0631032
15	11	0.5095006	-0.6476759	0.2020768	-0.05529368
15	11	0.5200193	-0.6502848	0.2014514	-0.04456711
15	11	0.5313478	-0.6511631	0.2014705	-0.03464663
15	11	0.5427144	-0.6524898	0.2007688	-0.02324414
15	11	0.5540987	-0.6533424	0.2001626	-0.01400757
15	11	0.5650394	-0.6538981	0.1997323	-0.003976464
15	11	0.5770568	-0.6540738	0.1993704	0.005938411
15	11	0.5875733	-0.654181	0.1990061	0.01590943
15	11	0.5988476	-0.6533639	0.1990235	0.02571273
15	11	0.6100656	-0.6524876	0.1996218	0.03574467
15	11	0.6212154	-0.6511996	0.1999583	0.04512501
15	11	0.6322656	-0.6505637	0.2004193	0.05482888
15	11	0.6438153	-0.6483725	0.201665	0.06374764
15	11	0.6543716	-0.6468564	0.2023938	0.07195473
15	11	0.6655533	-0.6447722	0.202979	0.07936633
15	11	0.6768769	-0.6428919	0.2041794	0.08580208
15	11	0.6876292	-0.6411576	0.205283	0.09258318
15	11	0.6988039	-0.639508	0.2057346	0.09734356
15	11	0.710485	-0.6375682	0.2070876	0.1018722
15	11	0.7210556	-0.6364872	0.2078556	0.105352
15	11	0.7322664	-0.6344889	0.2086753	0.1088467
15	11	0.7438464	-0.6332636	0.2096488	0.1118877
15	11	0.7547553	-0.632296	0.2102437	0.1143388
15	11	0.7660947	-0.630686	0.2109185	0.1177698
15	11	0.7775367	-0.6298189	0.2117077	0.1202255
15	11	0.7884354	-0.6292081	0.2121077	0.1224819
15	11	0.8000038	-0.6283172	0.2123684	0.1248348
15	11	0.8110932	-0.6272005	0.2130923	0.1260759
15	11	0.8218657	-0.6266319	0.2135475	0.1280049
15	11	0.8329328	-0.6261616	0.2142121	0.1285095
15	11	0.8445601	-0.6254879	0.2146667	0.1301115
15	11	0.8552947	-0.625187	0.2148387	0.1311792
15	11	0.8664973	-0.6249621	0.2145909	0.1315697
15	11	0.8776902	-0.6245198	0.2150477	0.1325378
15	11	0.8888001	-0.6243654	0.2148995	0.1332453
15	11	0.9002406	-0.6242272	0.2152658	0.1335717
15	11	0.9115898	-0.6242419	0.2153414	0.1342736
15	11	0.9221761	-0.6240698	0.2152081	0.1347611
15	11	0.9338038	-0.6235077	0.2152849	0.1352956
15	11	0.9450163	-0.6233749	0.2155526	0.1356676
15	11	0.9559139	-0.6233299	0.2151526	0.1360176
15	11	0.9671179	-0.6224685	0.2157605	0.1370786
15	11	0.9783878	-0.6220937	0.2155163	0.1378349
15	11	0.989123	-0.6218486	0.2153515	0.1386633
15	11	1.000832	-0.6214491	0.2153947	0.1398702
15	11	1.011583	-0.6211648	0.2151837	0.1409506
15	11	1.022914	-0.6210538	0.2144413	0.1409919
15	11	1.034093	-0.6206272	0.2143946	0.1426919
15	11	1.045322	-0.6204331	0.2137996	0.1436228
15	11	1.056404	-0.6201001	0.2136619	0.1443576
15	11	1.067627	-0.6197841	0.2135612	0.1457423
15	11	1.078569	-0.6195259	0.2131113	0.146855
15	11	1.08939	-0.6193007	0.2126592	0.1477125
15	11	1.101033	-0.619391	0.2114964	0.1480244
15	11	1.111902	-0.6191338	0.2109774	0.1486086
15	11	1.122993	-0.6189706	0.2105247	0.14885
15	11	1.13423	-0.6184729	0.2105979	0.1494285
15	11	1.145608	-0.6181724	0.2101234	0.1485562
15	11	1.156632	-0.6180427	0.2095789	0.147826
15	11	1.168073	-0.6178637	0.2093667	0.1460677
15	11	1.179848	-0.6178442	0.2084411	0.1429292
15	11	1.190495	-0.6182579	0.2077843	0.1386126
15	11	1.201661	-0.6184387	0.2072256	0.1349684
15	11	1.212852	-0.6190872	0.2067899	0.1271838
15	11	1.22415	-0.6198421	0.2060444	0.1232252
15	11	1.235493	-0.6204988	0.2040325	0.1110649
15	11	1.246704	-0.6215572	0.2031418	0.1026621
15	11	1.257707	-0.6222562	0.2029383	0.09187567
15	11	1.269444	-0.6223513	0.201825	0.08134604
15	11	1.280184	-0.6227857	0.2012575	0.07156491
15	11	1.291291	-0.621858	0.200647	0.06136048
15	11	1.302621	-0.6212655	0.1998423	0.05038083
15	11	1.31371	-0.6198034	0.1995876	0.03903341
15	11	1.324921	-0.6181512	0.198759	0.02765489
15	11	1.336305	-0.6155937	0.1972851	0.01694608
15	11	1.346955	-0.6128705	0.1960316	0.005587935
15	11	1.358178	-0.6100008	0.1953908	-0.006265283
15	11	1.369124	-0.6066792	0.1943285	-0.01748228
15	11	1.380645	-0.6039431	0.1924022	-0.0298574
15	11	1.39178	-0.6010532	0.1914272	-0.04073191
15	11	1.403077	-0.5976448	0.1901506	-0.05158043
15	11	1.414063	-0.594546	0.1894999	-0.06158948
15	11	1.425323	-0.5911505	0.1880801	-0.07114637
15	11	1.436236	-0.5877527	0.1874427	-0.08008134
15	11	1.447217	-0.5853055	0.1865228	-0.08821297
15	11	1.458306	-0.5824914	0.1849487	-0.09631598
15	11	1.46965	-0.5805037	0.1840948	-0.1038463
15	11	1.480936	-0.5784125	0.1826336	-0.1116168
15	11	1.492247	-0.5775266	0.1815164	-0.1175256
15	11	1.503436	-0.5755174	0.1807638	-0.1243061
15	11	1.514738	-0.5745506	0.1800166	-0.1294546
15	11	1.525774	-0.5731021	0.1790659	-0.1357843
15	11	1.53687	-0.5723554	0.1773446	-0.1413518
15	11	1.548102	-0.5711184	0.1765138	-0.1459541
15	11	1.55921	-0.5709077	0.1749992	-0.1502814
15	11	1.570516	-0.569693	0.1745926	-0.1545873
15	11	1.581593	-0.569272	0.174104	-0.1572783
15	11	1.592592	-0.5690041	0.1734685	-0.1600342
15	11	1.603677	-0.5685275	0.1729155	-0.163116
15	11	1.614777	-0.5686779	0.1724353	-0.1652514
15	11	1.625873	-0.5686072	0.1722667	-0.1673061
15	11	1.637188	-0.5686775	0.1716931	-0.1689632
15	11	1.648413	-0.5696235	0.1712717	-0.1700412
15	11	1.659513	-0.5698694	0.1709832	-0.1715381
15	11	1.670765	-0.5697236	0.1715491	-0.1721306
15	11	1.681668	-0.5700752	0.1716883	-0.1724516
15	11	1.692849	-0.5703131	0.1713338	-0.1727355
15	11	1.70382	-0.5706098	0.1712918	-0.1734629
15	11	1.715301	-0.570978	0.1710682	-0.1736621
15	11	1.72646	-0.5714504	0.1706846	-0.1738058
15	11	1.737503	-0.5716913	0.1708901	-0.1736997
15	11	1.7487	-0.5721824	0.170637	-0.1736625
15	11	1.760182	-0.5729891	0.170561	-0.1738967
15	11	1.771127	-0.5735542	0.1705306	-0.1726383
15	11	1.782506	-0.5740941	0.17059	-0.1718302
15	11	1.793688	-0.5743972	0.1708322	-0.1709192
15	11	1.805171	-0.5746574	0.1709416	-0.1699781
15	11	1.816031	-0.5751823	0.1708283	-0.1691699
15	11	1.82741	-0.5757543	0.1705861	-0.1684924
15	11	1.838768	-0.5752969	0.1715499	-0.1666012
15	11	1.849778	-0.576051	0.1712723	-0.1655864
15	11	1.860826	-0.5764349	0.1707678	-0.164696
15	11	1.871944	-0.5771399	0.170379	-0.164598
15	11	1.883145	-0.5776973	0.1700735	-0.1641297
15	11	1.894606	-0.5782763	0.1699764	-0.1635618
15	11	1.90567	-0.5783376	0.1700813	-0.1625434
15	11	1.916867	-0.5788152	0.1698813	-0.1618558
15	11	1.928161	-0.5791832	0.1697422	-0.1611453
15	11	1.939218	-0.5794797	0.1697357	-0.160247
15	11	1.950235	-0.5799667	0.1696609	-0.1594135
15	11	1.961969	-0.5804894	0.1696593	-0.158855
15	11	1.972536	-0.5808704	0.1695476	-0.1579828
15	11	1.984805	-0.5814818	0.1693145	-0.1572425
15	11	1.99508	-0.5821099	0.1689981	-0.1570473
15	11	2.006263	-0.5824658	0.1688768	-0.1565804
15	11	2.017929	-0.5827169	0.1687512	-0.1559743
15	11	2.028916	-0.583136	0.1684613	-0.1557839
15	11	2.039621	-0.5829577	0.1685247	-0.1551859
15	11	2.050914	-0.5831723	0.1683046	-0.1549349
15	11	2.061858	-0.5836401	0.1679451	-0.1546373
15	11	2.072911	-0.583585	0.1680157	-0.1540989
15	11	2.085093	-0.5835624	0.1680235	-0.1541756
15	11	2.09568	-0.5843117	0.1677289	-0.1541427
15	11	2.106449	-0.5842187	0.1678537	-0.1532613
15	11	2.118496	-0.5844449	0.1678264	-0.1527754
15	11	2.128681	-0.5846074	0.1676263	-0.152225
15	11	2.139551	-0.5851916	0.1671095	-0.1521544
15	11	2.151319	-0.585479	0.1670613	-0.151678
15	11	2.162035	-0.5859265	0.1665761	-0.1512436
15	11	2.173231	-0.5860254	0.1668406	-0.1508821
15	11	2.184993	-0.5862342	0.1668198	-0.1506433
15	11	2.195639	-0.5864531	0.1669012	-0.1503978
15	11	2.206928	-0.5869825	0.1667364	-0.1497967
15	11	2.218532	-0.587296	0.1666458	-0.1494509
15	11	2.229553	-0.5878898	0.1664907	-0.1495658
15	11	2.240341	-0.5877535	0.1667062	-0.1487954
15	11	2.251768	-0.5882223	0.1666034	-0.1482002
