x	y	time
15	11	0.0426456
15	11	0.0505716
15	11	0.0568693
15	11	0.0651142
15	11	0.0735978
15	11	0.0804003
15	11	0.09098791
15	11	0.1063205
15	11	0.1159286
15	11	0.1241491
15	11	0.1350398
15	11	0.1464029
15	11	0.157549
15	11	0.1686672
15	11	0.1803063
15	11	0.1910799
15	11	0.2021066
15	11	0.2131603
15	11	0.2243658
15	11	0.2350097
15	11	0.2468935
15	11	0.2586346
15	11	0.2690961
15	11	0.2799764
15	11	0.2910214
15	11	0.3040368
15	11	0.314724
15	11	0.3247476
15	11	0.3362687
15	11	0.347
15	11	0.3583503
15	11	0.3697302
15	11	0.3810051
15	11	0.3925582
15	11	0.4036791
15	11	0.4151603
15	11	0.4310321
15	11	0.4386553
15	11	0.4485011
15	11	0.4591945
15	11	0.4707914
15	11	0.4821255
15	11	0.4930115
15	11	0.5040982
15	11	0.515371
15	11	0.5269951
15	11	0.5383703
15	11	0.5503213
15	11	0.5620388
15	11	0.573526
15	11	0.5844525
15	11	0.5958099
15	11	0.6069381
15	11	0.617952
15	11	0.6290355
15	11	0.6404523
15	11	0.6513157
15	11	0.6625708
15	11	0.6740248
15	11	0.6852366
15	11	0.6962812
15	11	0.7072516
15	11	0.7189379
15	11	0.7316225
15	11	0.7407528
15	11	0.7518965
15	11	0.7629973
15	11	0.7744818
15	11	0.785431
15	11	0.7968574
15	11	0.808172
15	11	0.8202093
15	11	0.8310697
15	11	0.8423386
15	11	0.8541926
15	11	0.8653041
15	11	0.8771699
15	11	0.8893583
15	11	0.89905
15	11	0.9106758
15	11	0.9215644
15	11	0.9329413
15	11	0.945027
15	11	0.9554636
15	11	0.9666868
15	11	0.9782733
15	11	0.9890014
15	11	1.000244
15	11	1.011634
15	11	1.0228
15	11	1.034553
15	11	1.050887
15	11	1.058617
15	11	1.066754
15	11	1.077447
15	11	1.087679
15	11	1.098959
15	11	1.110158
15	11	1.121432
15	11	1.13245
15	11	1.144239
15	11	1.154744
15	11	1.165779
15	11	1.177395
15	11	1.188018
15	11	1.201312
15	11	1.210463
15	11	1.221754
15	11	1.232613
15	11	1.24375
15	11	1.254818
15	11	1.265622
15	11	1.277109
15	11	1.288027
15	11	1.299084
15	11	1.310454
15	11	1.321849
15	11	1.332857
15	11	1.34481
15	11	1.357581
15	11	1.366569
15	11	1.377935
15	11	1.388949
15	11	1.40021
15	11	1.411894
15	11	1.423193
15	11	1.434324
15	11	1.445523
15	11	1.456715
15	11	1.468131
15	11	1.479547
15	11	1.490561
15	11	1.50218
15	11	1.514428
15	11	1.524409
15	11	1.535714
15	11	1.547293
15	11	1.558584
15	11	1.570068
15	11	1.581223
15	11	1.592472
15	11	1.603751
15	11	1.615367
15	11	1.626268
15	11	1.637455
15	11	1.648326
15	11	1.659918
15	11	1.673206
15	11	1.682314
15	11	1.693261
15	11	1.704499
15	11	1.715479
15	11	1.726621
15	11	1.737891
15	11	1.749108
15	11	1.760348
15	11	1.771299
15	11	1.782529
15	11	1.794047
15	11	1.804859
15	11	1.81629
15	11	1.828331
15	11	1.838462
15	11	1.849622
15	11	1.860979
15	11	1.872055
15	11	1.88332
15	11	1.894647
15	11	1.905904
15	11	1.917013
15	11	1.928777
15	11	1.939252
15	11	1.95063
15	11	1.961643
15	11	1.97319
15	11	1.98758
15	11	1.995751
15	11	2.00682
15	11	2.01585
15	11	2.026736
15	11	2.038186
15	11	2.04903
15	11	2.0604
15	11	2.07153
15	11	2.082701
15	11	2.093841
15	11	2.10492
15	11	2.116112
15	11	2.127408
15	11	2.139161
15	11	2.149567
15	11	2.160505
15	11	2.171713
15	11	2.182833
15	11	2.193991
15	11	2.205279
15	11	2.216668
15	11	2.228098
15	11	2.239046
15	11	2.250386
15	11	2.261678
15	11	2.272616
15	11	2.284353
15	11	2.296573
15	11	2.306633
15	11	2.317499
15	11	2.329988
15	11	2.341521
15	11	2.351121
15	11	2.362585
15	11	2.373735
15	11	2.384956
15	11	2.396564
15	11	2.407491
15	11	2.418978
15	11	2.43023
15	11	2.441573
15	11	2.453505
15	11	2.463803
15	11	2.475061
15	11	2.48668
15	11	2.498389
15	11	2.509078
15	11	2.520125
15	11	2.531351
15	11	2.542423
15	11	2.55391
15	11	2.565116
15	11	2.57619
15	11	2.587367
15	11	2.598758
15	11	2.610783
15	11	2.620998
15	11	2.632307
15	11	2.643631
15	11	2.654477
15	11	2.665662
15	11	2.676764
15	11	2.687925
15	11	2.699161
15	11	2.710198
15	11	2.721469
15	11	2.732541
15	11	2.743496
15	11	2.754944
15	11	2.767757
15	11	2.776864
15	11	2.788114
15	11	2.799594
15	11	2.810937
15	11	2.821785
15	11	2.832635
15	11	2.843957
15	11	2.854808
15	11	2.866115
15	11	2.877307
15	11	2.88835
15	11	2.899647
15	11	2.911347
15	11	2.923833
15	11	2.933441
15	11	2.944616
15	11	2.955862
15	11	2.966977
15	11	2.978602
15	11	2.989444
15	11	3.000841
15	11	3.012119
15	11	3.02314
15	11	3.034379
15	11	3.045633
15	11	3.056645
15	11	3.068072
15	11	3.080391
15	11	3.089998
15	11	3.101
15	11	3.112149
15	11	3.123391
15	11	3.134383
15	11	3.145516
15	11	3.156792
15	11	3.167823
15	11	3.179312
15	11	3.190155
15	11	3.201486
15	11	3.212906
15	11	3.224749
15	11	3.237134
15	11	3.246766
15	11	3.257535
15	11	3.26866
15	11	3.280014
15	11	3.290984
15	11	3.302105
15	11	3.313585
15	11	3.324224
15	11	3.335501
15	11	3.346941
15	11	3.35782
15	11	3.368641
15	11	3.380244
15	11	3.392936
15	11	3.402973
15	11	3.413747
15	11	3.424575
15	11	3.436107
15	11	3.447209
15	11	3.458295
15	11	3.469737
15	11	3.480901
15	11	3.49197
15	11	3.502988
15	11	3.514446
15	11	3.525162
15	11	3.536711
15	11	3.548799
15	11	3.559043
15	11	3.5701
15	11	3.58126
15	11	3.592415
15	11	3.603671
15	11	3.61464
15	11	3.625784
15	11	3.637089
15	11	3.648679
15	11	3.659551
15	11	3.670687
15	11	3.681775
15	11	3.693228
15	11	3.705975
15	11	3.715462
15	11	3.726509
15	11	3.737786
15	11	3.748873
15	11	3.760184
15	11	3.771326
15	11	3.782556
15	11	3.793446
15	11	3.804777
15	11	3.816083
15	11	3.826867
15	11	3.838097
15	11	3.849661
15	11	3.861775
15	11	3.871891
15	11	3.882916
15	11	3.894159
15	11	3.905486
15	11	3.916544
15	11	3.927845
15	11	3.938851
15	11	3.950027
15	11	3.961133
15	11	3.971986
15	11	3.983327
15	11	3.994285
15	11	4.0056
15	11	4.018008
15	11	4.027855
15	11	4.038749
15	11	4.049909
16	11	4.061601
16	11	4.072714
16	11	4.083744
16	11	4.095117
16	11	4.106281
16	11	4.117433
16	11	4.128789
16	11	4.139894
16	11	4.151301
16	11	4.162795
17	11	4.178683
17	11	4.189093
17	11	4.195787
17	11	4.204114
17	11	4.215295
17	11	4.226421
17	11	4.237864
17	11	4.248726
17	11	4.259908
17	11	4.271106
17	11	4.282121
17	11	4.293371
18	11	4.304495
18	11	4.316596
18	11	4.335857
18	11	4.346331
18	11	4.352998
18	11	4.362199
18	11	4.372424
18	11	4.381341
18	11	4.390697
18	11	4.402283
18	11	4.413066
