x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0434472	-0.276212	0.08513355	-0.0354619
15	11	0.0512486	-0.2759674	0.08480215	-0.03530657
15	11	0.0585349	-0.2759674	0.08480215	-0.03530657
15	11	0.0659325	-0.2757609	0.08498859	-0.0353781
15	11	0.0732672	-0.2759035	0.08499062	-0.03542852
15	11	0.0850168	-0.2757182	0.08540547	-0.03499174
15	11	0.0959605	-0.2757347	0.08520103	-0.03465486
15	11	0.1151198	-0.2758894	0.08520317	-0.03462255
15	11	0.1257307	-0.2762456	0.08530939	-0.03451765
15	11	0.1348247	-0.2755911	0.08516085	-0.03453064
15	11	0.1423366	-0.2757945	0.08552146	-0.03476846
15	11	0.1507203	-0.275681	0.08541036	-0.03477108
15	11	0.1622373	-0.2757409	0.08526433	-0.03452146
15	11	0.1733963	-0.2757857	0.08508492	-0.03462172
15	11	0.1844997	-0.2762167	0.08461416	-0.03377843
15	11	0.1963115	-0.2761693	0.08447051	-0.03361821
15	11	0.206654	-0.2761447	0.08445716	-0.03357649
15	11	0.2183224	-0.2762401	0.08507013	-0.0338552
15	11	0.2291868	-0.2763011	0.08491147	-0.03393114
15	11	0.2409197	-0.2766182	0.08448803	-0.03426719
15	11	0.2524191	-0.2761166	0.08456707	-0.03482687
15	11	0.269884	-0.2762744	0.08427358	-0.0347141
15	11	0.2785367	-0.2762744	0.08422399	-0.03470671
15	11	0.2861628	-0.2761626	0.08397102	-0.03455198
15	11	0.2971357	-0.2761173	0.08427942	-0.03421092
15	11	0.3081113	-0.2761691	0.08422291	-0.03417385
15	11	0.3193492	-0.2762027	0.08431101	-0.03432751
15	11	0.3305497	-0.276237	0.08427465	-0.03449559
15	11	0.3413202	-0.2762227	0.08459735	-0.03408408
15	11	0.3532871	-0.2763724	0.08439958	-0.03379118
15	11	0.3640388	-0.2764723	0.084396	-0.03368795
15	11	0.3750037	-0.2765036	0.08432412	-0.03363216
15	11	0.3862415	-0.2762086	0.08427179	-0.03368306
15	11	0.3979042	-0.2761915	0.08425224	-0.03364086
15	11	0.4087422	-0.2762461	0.08419251	-0.03350604
15	11	0.4258637	-0.2763443	0.08439267	-0.0336194
15	11	0.4344071	-0.2764945	0.08428907	-0.03370714
15	11	0.442941	-0.2766254	0.08417094	-0.03347814
15	11	0.4535189	-0.276566	0.08403194	-0.03327572
15	11	0.4648526	-0.2763231	0.08347714	-0.03408825
15	11	0.4755455	-0.2762947	0.08347213	-0.03408766
15	11	0.4873047	-0.2764156	0.0834378	-0.03392708
15	11	0.4984312	-0.2766705	0.08352292	-0.03365004
15	11	0.5099356	-0.2769008	0.08333635	-0.0338068
15	11	0.5210247	-0.2763712	0.08349347	-0.03420687
15	11	0.5315413	-0.2767129	0.08394396	-0.03420806
15	11	0.542969	-0.2765186	0.08404171	-0.03406882
15	11	0.5548019	-0.2766008	0.08441758	-0.03461695
15	11	0.5655882	-0.276175	0.08371353	-0.0341754
15	11	0.5831338	-0.2764146	0.08381367	-0.03309429
15	11	0.5911729	-0.2765632	0.08384228	-0.03287005
15	11	0.5985013	-0.2765429	0.08370745	-0.0335989
15	11	0.6096883	-0.2764869	0.08370984	-0.03363943
15	11	0.6207407	-0.2764535	0.08409417	-0.03322983
15	11	0.6315418	-0.2766054	0.08383489	-0.03267622
15	11	0.642557	-0.2763696	0.08368897	-0.03234577
15	11	0.6542621	-0.2765	0.08354843	-0.03191924
15	11	0.6648555	-0.2765651	0.08408046	-0.03191185
15	11	0.6761121	-0.2765026	0.08393073	-0.03218603
15	11	0.6875362	-0.2766862	0.08391714	-0.03202879
15	11	0.6981617	-0.2766113	0.08402944	-0.03190541
15	11	0.7091262	-0.2767506	0.08415043	-0.03166866
15	11	0.7210963	-0.2764072	0.08424973	-0.03171182
15	11	0.7370976	-0.2764289	0.08423138	-0.03174222
15	11	0.7441527	-0.2762566	0.08437395	-0.03138411
15	11	0.7545708	-0.2761543	0.08445919	-0.03135502
15	11	0.7651914	-0.2765422	0.08415687	-0.0312196
15	11	0.7764849	-0.2764747	0.0840795	-0.03097093
15	11	0.7878182	-0.276335	0.08405745	-0.03087878
15	11	0.7988695	-0.2763536	0.08422387	-0.03080475
15	11	0.810098	-0.2769277	0.08458471	-0.03072143
15	11	0.8213901	-0.2769234	0.08445394	-0.03083444
15	11	0.8323206	-0.2766993	0.08415294	-0.03040481
15	11	0.843512	-0.2767847	0.08404088	-0.03049898
15	11	0.8547605	-0.2766557	0.0841676	-0.03067231
15	11	0.8658724	-0.2766523	0.0841583	-0.0306561
15	11	0.8770241	-0.2763326	0.08412218	-0.03063893
15	11	0.893534	-0.2762902	0.08420312	-0.03053057
15	11	0.900931	-0.2760701	0.08470523	-0.03050292
15	11	0.9103994	-0.2757764	0.08509612	-0.0300895
15	11	0.9215633	-0.2759912	0.08518136	-0.02987182
15	11	0.9327683	-0.2759831	0.08513117	-0.03029776
15	11	0.9437737	-0.275377	0.08501053	-0.02897048
15	11	0.9549382	-0.2760425	0.0851301	-0.02882755
15	11	0.9661916	-0.2766004	0.08487189	-0.0289216
15	11	0.9772628	-0.277077	0.08510852	-0.02794588
15	11	0.9884893	-0.2772059	0.0858531	-0.02854633
15	11	0.9998311	-0.2768664	0.08630192	-0.02990162
15	11	1.010957	-0.2763677	0.0863657	-0.03125727
15	11	1.022069	-0.2755828	0.08663297	-0.03452134
15	11	1.033458	-0.2744372	0.08751464	-0.03948236
15	11	1.054785	-0.2733345	0.08860314	-0.04480529
15	11	1.063329	-0.2733345	0.08860314	-0.04480529
15	11	1.070106	-0.2721746	0.08947468	-0.04857099
15	11	1.077999	-0.2712114	0.08968008	-0.05190265
15	11	1.089177	-0.2700431	0.09034789	-0.05629754
15	11	1.10029	-0.2702866	0.09079421	-0.06037724
15	11	1.11172	-0.2694731	0.09067619	-0.06474936
15	11	1.122982	-0.2684567	0.09100628	-0.06847763
15	11	1.133908	-0.267364	0.0915612	-0.07071352
15	11	1.145363	-0.2675312	0.09311271	-0.07249224
15	11	1.156383	-0.2665272	0.09369159	-0.07445467
15	11	1.167526	-0.2660379	0.09413934	-0.07575703
15	11	1.17861	-0.2651982	0.09448695	-0.07680261
15	11	1.190022	-0.2644684	0.09511518	-0.07775605
15	11	1.206721	-0.2636478	0.09568369	-0.07930207
15	11	1.213583	-0.2633681	0.09613836	-0.08039808
15	11	1.223258	-0.2628791	0.09680688	-0.08144236
15	11	1.234414	-0.2625823	0.09688807	-0.0815376
15	11	1.245901	-0.2625597	0.09738314	-0.08298194
15	11	1.256605	-0.2623439	0.09805214	-0.0843581
15	11	1.26787	-0.2615702	0.09815657	-0.08645272
15	11	1.279155	-0.2607694	0.09790695	-0.08747125
15	11	1.289882	-0.2597103	0.0982722	-0.09030581
15	11	1.301199	-0.2595379	0.09773016	-0.09139204
15	11	1.312485	-0.2592769	0.09796107	-0.09304929
