x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0416206	-0.2532575	0.0182538	-0.0737071
15	11	0.0495872	-0.2531478	0.01824594	-0.07374454
15	11	0.0565344	-0.2531478	0.01824594	-0.07374454
15	11	0.0635556	-0.2529776	0.01816583	-0.07376075
15	11	0.0733762	-0.2529411	0.01814461	-0.07378721
15	11	0.0842883	-0.2528052	0.01811218	-0.07384133
15	11	0.0962059	-0.2527444	0.01817679	-0.07391596
15	11	0.1078626	-0.2525203	0.01817274	-0.07394648
15	11	0.1234383	-0.2525516	0.01811814	-0.07377768
15	11	0.1358245	-0.2526102	0.01833844	-0.07394075
15	11	0.1433883	-0.2524085	0.0184164	-0.07390594
15	11	0.151122	-0.2523744	0.01840067	-0.07381153
15	11	0.1630842	-0.2521586	0.01826	-0.07373953
15	11	0.1740422	-0.2520547	0.01810479	-0.07391775
15	11	0.1848384	-0.2518713	0.01809049	-0.07404447
15	11	0.1958521	-0.2517989	0.0181365	-0.07415032
15	11	0.2076127	-0.2516527	0.01822901	-0.07406902
15	11	0.2183195	-0.2516468	0.01818967	-0.07395673
15	11	0.2295577	-0.2515395	0.01813221	-0.07397044
15	11	0.2406778	-0.2513423	0.01817346	-0.0738939
15	11	0.2519395	-0.2511988	0.01814198	-0.07395804
15	11	0.2632064	-0.2513409	0.01806307	-0.07393837
15	11	0.2744859	-0.2512436	0.01804519	-0.07391191
15	11	0.2853418	-0.2510991	0.01801944	-0.07404351
15	11	0.2970787	-0.2512279	0.01796699	-0.07406282
15	11	0.3080727	-0.2511499	0.0179503	-0.0741235
15	11	0.3189604	-0.2511077	0.01789546	-0.074157
15	11	0.3303454	-0.2510781	0.01772094	-0.07413363
15	11	0.3417705	-0.2509499	0.01780343	-0.07402241
15	11	0.3529189	-0.2510042	0.01770949	-0.07392919
15	11	0.3641434	-0.251204	0.01812029	-0.07425213
15	11	0.3749928	-0.2511251	0.01824903	-0.0741868
15	11	0.3863716	-0.2511261	0.01827359	-0.07419336
15	11	0.3976349	-0.2509644	0.0181849	-0.07412565
15	11	0.4084645	-0.2509279	0.01826143	-0.07413173
15	11	0.419648	-0.2510614	0.01826048	-0.0739429
15	11	0.4310619	-0.2508616	0.01817656	-0.07392502
15	11	0.4417404	-0.2508948	0.01813269	-0.07402718
15	11	0.4531673	-0.2508109	0.01817536	-0.07414615
15	11	0.4639148	-0.2506731	0.01792288	-0.07400358
15	11	0.4754069	-0.2509782	0.01796317	-0.07398903
15	11	0.4861989	-0.2512479	0.01809669	-0.074
15	11	0.4972379	-0.2519336	0.01856637	-0.07402492
15	11	0.508469	-0.2524331	0.01880336	-0.07358444
15	11	0.5196335	-0.2529626	0.01909661	-0.07322383
15	11	0.5309503	-0.2537818	0.01962972	-0.07286358
15	11	0.5422384	-0.2549171	0.02000165	-0.07247913
15	11	0.553206	-0.2559729	0.02049708	-0.07213652
15	11	0.5647262	-0.2576861	0.02115655	-0.07156873
15	11	0.5760934	-0.2591569	0.02183056	-0.07121944
15	11	0.5871607	-0.2611146	0.02262855	-0.07098031
15	11	0.5986861	-0.2630525	0.02368283	-0.07098401
15	11	0.6095299	-0.2646129	0.02484512	-0.07100844
15	11	0.6205731	-0.2662802	0.02599764	-0.07098103
15	11	0.6322299	-0.2676389	0.02698684	-0.0710417
15	11	0.6431057	-0.2689521	0.02819586	-0.0711118
15	11	0.6543269	-0.2700508	0.02938843	-0.07134938
15	11	0.6653509	-0.2711458	0.03016448	-0.07122076
15	11	0.6766736	-0.2722273	0.0312674	-0.07093513
15	11	0.6876147	-0.2736092	0.03223157	-0.07017744
15	11	0.6991999	-0.2748289	0.03334308	-0.06962001
15	11	0.7100415	-0.2760468	0.03430533	-0.06887412
15	11	0.7212796	-0.2770102	0.03509665	-0.0677681
15	11	0.7326258	-0.2782495	0.03623629	-0.06717384
15	11	0.7434334	-0.2790623	0.03692508	-0.06630921
15	11	0.7548144	-0.2794604	0.0375185	-0.06598079
15	11	0.765614	-0.2802868	0.03810549	-0.06558323
15	11	0.7768357	-0.2809052	0.03869557	-0.06512952
15	11	0.7879713	-0.2814128	0.03909564	-0.06483543
15	11	0.7990332	-0.281796	0.03942728	-0.06467652
15	11	0.8101122	-0.2821457	0.03980041	-0.06459177
15	11	0.8214519	-0.2824211	0.04019189	-0.06454003
15	11	0.8332628	-0.2830119	0.04060936	-0.06406629
15	11	0.8435169	-0.283181	0.04100633	-0.06403887
15	11	0.8551823	-0.2832747	0.04139709	-0.06402802
15	11	0.8661471	-0.2836001	0.04174328	-0.06368446
