x	y	time
15	11	0.0397477
15	11	0.0482004
15	11	0.057448
15	11	0.0667095
15	11	0.07642151
15	11	0.0845857
15	11	0.0917522
15	11	0.1018554
15	11	0.1131297
15	11	0.1240398
15	11	0.1355637
15	11	0.1468779
15	11	0.1575859
15	11	0.1688253
15	11	0.1798948
15	11	0.1908254
15	11	0.2022093
15	11	0.2133401
15	11	0.2248143
15	11	0.2358467
15	11	0.2466883
15	11	0.2577656
15	11	0.2691733
15	11	0.2816275
15	11	0.2909098
15	11	0.3025845
15	11	0.3132655
15	11	0.3247461
15	11	0.3362323
15	11	0.3473357
15	11	0.3587738
15	11	0.3698985
15	11	0.3805748
15	11	0.391945
15	11	0.4032475
15	11	0.4141697
15	11	0.425289
15	11	0.4368619
15	11	0.4478937
15	11	0.4593427
15	11	0.4702424
15	11	0.4814305
15	11	0.4932399
15	11	0.5051195
15	11	0.5160516
15	11	0.5276076
15	11	0.5392007
15	11	0.550592
15	11	0.5621124
15	11	0.5735032
15	11	0.5853593
15	11	0.5967492
15	11	0.6079763
15	11	0.6198368
15	11	0.6310513
15	11	0.6425237
15	11	0.6538661
15	11	0.6655014
15	11	0.6765187
15	11	0.6879013
15	11	0.6991516
15	11	0.7102433
15	11	0.7215176
15	11	0.7326138
15	11	0.7438931
15	11	0.7550918
15	11	0.7660248
15	11	0.7773367
15	11	0.7882041
15	11	0.7996508
15	11	0.8105704
15	11	0.8219776
15	11	0.833051
15	11	0.8445029
15	11	0.8558148
15	11	0.8667495
15	11	0.8779396
15	11	0.8892164
15	11	0.9002896
15	11	0.9118424
15	11	0.9226393
15	11	0.9340817
15	11	0.9450275
15	11	0.9563431
15	11	0.9672674
15	11	0.9786835
15	11	0.9898032
15	11	1.000747
15	11	1.011954
15	11	1.023313
15	11	1.034606
15	11	1.045848
15	11	1.057283
15	11	1.068139
15	11	1.079002
15	11	1.090525
15	11	1.101312
15	11	1.112332
15	11	1.123928
15	11	1.134425
15	11	1.145873
15	11	1.157386
15	11	1.16827
15	11	1.179274
15	11	1.190539
15	11	1.201922
15	11	1.212956
15	11	1.2244
15	11	1.235812
15	11	1.246952
15	11	1.258006
15	11	1.269247
15	11	1.280108
15	11	1.291227
15	11	1.302857
15	11	1.313443
15	11	1.32468
15	11	1.33591
15	11	1.346959
15	11	1.358298
15	11	1.369563
15	11	1.380745
15	11	1.39177
15	11	1.403495
15	11	1.41414
15	11	1.425262
15	11	1.436907
15	11	1.4479
15	11	1.458982
15	11	1.470302
15	11	1.481188
15	11	1.49236
15	11	1.505546
15	11	1.514695
15	11	1.52588
15	11	1.537062
15	11	1.547648
15	11	1.558954
15	11	1.570088
15	11	1.581201
15	11	1.592268
15	11	1.603638
15	11	1.61535
15	11	1.625989
15	11	1.637257
15	11	1.648447
15	11	1.659915
15	11	1.670979
15	11	1.682024
15	11	1.693444
15	11	1.704357
15	11	1.715763
15	11	1.726766
15	11	1.738315
15	11	1.748634
15	11	1.75984
15	11	1.7713
15	11	1.782212
15	11	1.793431
15	11	1.804818
15	11	1.816116
15	11	1.827123
15	11	1.838238
15	11	1.849519
15	11	1.860487
15	11	1.872275
15	11	1.883066
15	11	1.894262
15	11	1.905656
15	11	1.916655
15	11	1.927948
15	11	1.93894
15	11	1.95054
15	11	1.962463
15	11	1.972878
15	11	1.984471
15	11	1.995641
15	11	2.006285
15	11	2.017153
15	11	2.028794
15	11	2.039638
15	11	2.051208
15	11	2.06205
15	11	2.073333
15	11	2.084303
15	11	2.095522
15	11	2.106842
15	11	2.117904
15	11	2.129108
15	11	2.141039
15	11	2.151185
15	11	2.162686
15	11	2.173899
15	11	2.185359
15	11	2.196354
15	11	2.207396
15	11	2.218723
15	11	2.229824
15	11	2.241062
15	11	2.252011
15	11	2.263235
15	11	2.274283
15	11	2.285453
15	11	2.296971
15	11	2.307743
15	11	2.318811
15	11	2.330313
15	11	2.341924
15	11	2.352642
15	11	2.363782
15	11	2.374802
15	11	2.386012
15	11	2.397124
15	11	2.408253
15	11	2.419921
15	11	2.43056
15	11	2.441702
15	11	2.453076
15	11	2.464229
15	11	2.475511
15	11	2.486903
15	11	2.498451
15	11	2.50882
15	11	2.520341
15	11	2.531332
15	11	2.542655
15	11	2.553904
15	11	2.564882
15	11	2.576081
15	11	2.587211
15	11	2.598061
15	11	2.609085
15	11	2.620339
15	11	2.63154
15	11	2.642465
15	11	2.654217
15	11	2.664777
15	11	2.676281
15	11	2.687365
15	11	2.698617
15	11	2.709705
15	11	2.721405
15	11	2.73206
15	11	2.743392
15	11	2.754791
15	11	2.766095
15	11	2.776879
15	11	2.788261
15	11	2.79944
15	11	2.810789
15	11	2.821736
15	11	2.832821
15	11	2.844418
15	11	2.856035
15	11	2.866839
15	11	2.877631
15	11	2.889055
15	11	2.899646
15	11	2.910775
15	11	2.922092
15	11	2.933949
15	11	2.944476
15	11	2.955622
15	11	2.967228
15	11	2.977709
15	11	2.988877
15	11	3.000076
15	11	3.01111
15	11	3.022544
16	11	3.03365
16	11	3.044864
16	11	3.056142
16	11	3.06726
16	11	3.078832
16	11	3.089685
16	11	3.100819
16	11	3.112251
16	11	3.123929
16	11	3.134564
16	11	3.145545
17	11	3.15662
17	11	3.167775
17	11	3.179131
17	11	3.190198
17	11	3.201354
17	11	3.212514
17	11	3.223677
17	11	3.234872
17	11	3.246069
17	11	3.257225
17	11	3.268131
18	11	3.279594
18	11	3.290502
18	11	3.301552
18	11	3.312976
18	11	3.32387
18	11	3.335122
18	11	3.346326
18	11	3.35763
18	11	3.369036
18	11	3.380099
18	11	3.391157
19	11	3.402626
19	11	3.413666
19	11	3.424719
19	11	3.436188
19	11	3.447147
19	11	3.458466
19	11	3.469399
19	11	3.480647
19	11	3.491767
19	11	3.503052
19	11	3.514025
20	11	3.525316
20	11	3.536185
20	11	3.547584
20	11	3.558611
20	11	3.569693
20	11	3.581021
20	11	3.592463
20	11	3.603238
20	11	3.61445
20	11	3.625546
20	11	3.636822
21	11	3.648033
21	11	3.659299
21	11	3.670392
21	11	3.681407
21	11	3.692525
21	11	3.703965
21	11	3.714978
21	11	3.7261
21	11	3.73781
21	11	3.749132
21	11	3.760453
22	11	3.771155
22	11	3.782233
22	11	3.793137
22	11	3.804598
22	11	3.815574
22	11	3.82659
22	11	3.837739
22	11	3.848857
22	11	3.859931
22	11	3.871095
22	11	3.881943
23	11	3.893093
23	11	3.905133
23	11	3.916063
23	11	3.926725
23	11	3.937919
23	11	3.949211
23	11	3.960146
23	11	3.97172
23	11	3.982841
23	11	3.994982
23	11	4.005774
22	11	4.016846
22	11	4.027779
22	11	4.039075
22	11	4.050138
22	11	4.061613
22	11	4.072578
22	11	4.083294
22	11	4.094571
22	11	4.106054
22	11	4.116765
22	11	4.12834
21	11	4.139582
21	11	4.151097
21	11	4.161779
21	11	4.173207
21	11	4.184211
21	11	4.195256
21	11	4.206329
21	11	4.218183
21	11	4.228418
21	11	4.239717
21	11	4.250798
20	11	4.262007
20	11	4.272991
20	11	4.284044
20	11	4.295544
20	11	4.306952
20	11	4.317868
20	11	4.329355
20	11	4.340344
20	11	4.351591
20	11	4.362784
20	11	4.374319
19	11	4.385298
19	11	4.39642
19	11	4.40756
19	11	4.418758
19	11	4.430056
19	11	4.44114
19	11	4.452327
19	11	4.463194
19	11	4.474267
19	11	4.485509
19	11	4.496706
18	11	4.507896
18	11	4.518912
18	11	4.530278
18	11	4.541028
18	11	4.552522
18	11	4.563834
18	11	4.575049
18	11	4.586259
18	11	4.597418
18	11	4.60878
18	11	4.619996
17	11	4.63113
17	11	4.642217
17	11	4.653379
17	11	4.664534
17	11	4.675577
17	11	4.686971
17	11	4.698251
17	11	4.709208
17	11	4.720215
17	11	4.731572
16	11	4.742568
16	11	4.753882
16	11	4.764874
16	11	4.776266
16	11	4.787357
16	11	4.798462
16	11	4.809446
16	11	4.82094
16	11	4.832163
16	11	4.843376
16	11	4.854569
15	11	4.865558
15	11	4.876674
15	11	4.888195
15	11	4.899055
15	11	4.910141
15	11	4.921848
15	11	4.932742
15	11	4.944078
15	11	4.955152
15	11	4.966125
15	11	4.977334
14	11	4.988605
14	11	4.999704
14	11	5.010764
14	11	5.022263
14	11	5.033054
14	11	5.044228
14	11	5.055848
14	11	5.066702
14	11	5.077937
14	11	5.089084
14	11	5.099963
13	11	5.111279
13	11	5.122511
13	11	5.133419
13	11	5.144695
13	11	5.156758
13	11	5.167994
13	11	5.178506
13	11	5.189896
13	11	5.201262
13	11	5.211995
13	11	5.223565
