x	y	time
15	11	0.0375372
15	11	0.0434184
15	11	0.0486123
15	11	0.0565718
15	11	0.0687291
15	11	0.0789303
15	11	0.0901114
15	11	0.1014473
15	11	0.1124973
15	11	0.1235136
15	11	0.1350789
15	11	0.1458856
15	11	0.157392
15	11	0.1685486
15	11	0.1794956
15	11	0.1908659
15	11	0.2020343
15	11	0.2132087
15	11	0.2241732
15	11	0.2357055
15	11	0.2467488
15	11	0.2575675
15	11	0.2691623
15	11	0.2801613
15	11	0.2914956
15	11	0.3026
15	11	0.3135122
15	11	0.3248421
15	11	0.3362322
15	11	0.3472034
15	11	0.3585026
15	11	0.3694714
15	11	0.3805018
15	11	0.3918911
15	11	0.4034878
15	11	0.4147342
15	11	0.4262701
15	11	0.4378848
15	11	0.449269
15	11	0.4605577
15	11	0.4720183
15	11	0.4836398
15	11	0.4948733
15	11	0.5064095
15	11	0.5178996
15	11	0.5291575
15	11	0.540699
15	11	0.5524152
15	11	0.5636891
15	11	0.5749953
15	11	0.586713
15	11	0.5978442
15	11	0.6095146
15	11	0.6207026
15	11	0.6321985
15	11	0.6433828
15	11	0.6545936
15	11	0.6660241
15	11	0.676819
15	11	0.6880485
15	11	0.6991525
15	11	0.710256
15	11	0.7216845
15	11	0.7326875
15	11	0.7439616
15	11	0.7550524
15	11	0.7661893
15	11	0.7773162
15	11	0.7885816
15	11	0.799781
15	11	0.8109375
15	11	0.8221753
15	11	0.8335066
15	11	0.8443615
15	11	0.8555747
15	11	0.8666555
15	11	0.8779955
15	11	0.8890327
15	11	0.9003369
15	11	0.9114389
15	11	0.9225776
15	11	0.9336631
15	11	0.9449213
15	11	0.9560202
15	11	0.9677292
15	11	0.9785447
15	11	0.989638
15	11	1.00075
15	11	1.012032
15	11	1.023407
15	11	1.03467
15	11	1.04571
15	11	1.056844
15	11	1.068196
15	11	1.079039
15	11	1.09012
15	11	1.101312
15	11	1.112459
15	11	1.123786
15	11	1.135643
15	11	1.14613
15	11	1.157137
15	11	1.168469
15	11	1.179495
15	11	1.190668
15	11	1.20193
15	11	1.213283
15	11	1.22421
15	11	1.235649
15	11	1.246582
15	11	1.25773
15	11	1.268743
15	11	1.280085
15	11	1.291498
15	11	1.302513
15	11	1.313536
15	11	1.32466
15	11	1.336024
15	11	1.347006
15	11	1.358167
15	11	1.369511
15	11	1.380453
15	11	1.391698
15	11	1.403471
15	11	1.414055
15	11	1.425191
15	11	1.4369
15	11	1.44777
15	11	1.458763
15	11	1.470119
15	11	1.481147
15	11	1.492197
15	11	1.503763
15	11	1.514642
15	11	1.525945
15	11	1.537067
15	11	1.548139
15	11	1.559226
