x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0316701	0.1840106	-0.1939366	-0.1571431
15	11	0.040176	0.1843063	-0.192768	-0.1568384
15	11	0.0493953	0.1846513	-0.1919122	-0.1569176
15	11	0.0577444	0.1867663	-0.190745	-0.156251
15	11	0.0654715	0.1868373	-0.1898211	-0.156436
15	11	0.0782974	0.1874501	-0.1881419	-0.1566358
15	11	0.0892841	0.1878182	-0.1877807	-0.1571388
15	11	0.0988233	0.1878597	-0.1872224	-0.1578665
15	11	0.1163783	0.1877495	-0.186653	-0.1583033
15	11	0.1282946	0.1867553	-0.1861786	-0.1591792
15	11	0.1359643	0.1865839	-0.1858412	-0.159575
15	11	0.1434096	0.1863123	-0.1855241	-0.1601801
15	11	0.1539595	0.1857554	-0.1857666	-0.1609945
15	11	0.1648622	0.1853696	-0.1858146	-0.1616654
15	11	0.1757637	0.1851307	-0.1859074	-0.1623683
15	11	0.1872212	0.1853648	-0.1859258	-0.1630893
15	11	0.1980663	0.185043	-0.1861932	-0.1638451
15	11	0.2094168	0.1847206	-0.1866107	-0.1645722
15	11	0.2211166	0.184791	-0.1866405	-0.1648932
15	11	0.2318295	0.1839432	-0.1869811	-0.1655827
15	11	0.2430777	0.1836077	-0.1872091	-0.165988
15	11	0.2549935	0.182799	-0.1873347	-0.1668625
15	11	0.2678248	0.1826741	-0.1873755	-0.1671658
15	11	0.2763609	0.182644	-0.1872944	-0.1673694
15	11	0.2877274	0.1822993	-0.1876261	-0.1675682
15	11	0.2986247	0.1824337	-0.1873202	-0.167336
15	11	0.3097363	0.1826032	-0.1871208	-0.1672564
15	11	0.3212535	0.1834055	-0.1867989	-0.1668544
15	11	0.3323861	0.1834062	-0.1868912	-0.1665716
15	11	0.3434022	0.1833698	-0.1870395	-0.1663532
15	11	0.3547961	0.1822067	-0.1871855	-0.1667533
15	11	0.3657723	0.1821922	-0.1869429	-0.1664782
15	11	0.3768522	0.1821414	-0.1865237	-0.1661854
15	11	0.3881405	0.1842657	-0.1853882	-0.1646686
15	11	0.3992548	0.1808444	-0.1858327	-0.1659303
15	11	0.4105736	0.1806148	-0.1856058	-0.1658554
15	11	0.4244436	0.1812462	-0.1844832	-0.1648865
15	11	0.4331575	0.1809217	-0.1841373	-0.1646161
15	11	0.4438136	0.1806928	-0.1837577	-0.1646099
15	11	0.4580984	0.1837059	-0.181393	-0.1619153
15	11	0.4665713	0.1835309	-0.1810679	-0.1617374
15	11	0.4772675	0.1834141	-0.1807477	-0.1613603
15	11	0.4889297	0.1862589	-0.1791028	-0.1591277
15	11	0.5002419	0.1863152	-0.1786641	-0.1588674
15	11	0.5119125	0.1862632	-0.1782645	-0.1583767
15	11	0.5229365	0.1826319	-0.1799823	-0.1600757
15	11	0.5344	0.1829697	-0.1792401	-0.15908
15	11	0.5463446	0.1834313	-0.1783925	-0.1583118
15	11	0.5573456	0.1833426	-0.178094	-0.1581202
15	11	0.568978	0.1838199	-0.1770315	-0.1574097
15	11	0.5833901	0.1840974	-0.1761508	-0.1570802
15	11	0.5916435	0.186196	-0.1745696	-0.155695
15	11	0.6030524	0.1868459	-0.1735587	-0.1549244
15	11	0.6154624	0.1871892	-0.1728657	-0.153966
15	11	0.6261206	0.1890336	-0.1704605	-0.1516385
15	11	0.6375186	0.1901571	-0.1690174	-0.1502757
15	11	0.6493041	0.1913387	-0.1675739	-0.1490703
15	11	0.6602334	0.1894039	-0.1674939	-0.1494541
15	11	0.6715427	0.1910745	-0.1656152	-0.1474094
15	11	0.6839641	0.1931862	-0.1634151	-0.1452084
15	11	0.6939607	0.1938435	-0.162403	-0.1435423
15	11	0.7052398	0.1958495	-0.160707	-0.1409521
15	11	0.7173334	0.198779	-0.1587311	-0.1374316
15	11	0.7294747	0.2036332	-0.1561975	-0.1331563
15	11	0.7427931	0.2064468	-0.1543405	-0.1297798
15	11	0.7527921	0.209572	-0.1526308	-0.1261158
15	11	0.7601293	0.2143146	-0.1491109	-0.120276
15	11	0.771086	0.2179905	-0.147112	-0.1162429
15	11	0.7827659	0.2217008	-0.1445323	-0.1102662
15	11	0.7934099	0.2255174	-0.1423221	-0.1051278
15	11	0.8046554	0.22972	-0.1399729	-0.09980202
15	11	0.8160183	0.2339491	-0.1372895	-0.09371328
15	11	0.8270801	0.2396146	-0.1339982	-0.08611679
15	11	0.838008	0.243404	-0.1311805	-0.07902813
15	11	0.8497214	0.2474428	-0.1278172	-0.0715909
15	11	0.860346	0.2513901	-0.1245166	-0.06277418
15	11	0.8716208	0.2557448	-0.1218326	-0.0538826
15	11	0.8837721	0.2594095	-0.1188798	-0.04408264
15	11	0.8972906	0.2617265	-0.1166577	-0.03504658
15	11	0.9054073	0.2640063	-0.1138151	-0.02359915
15	11	0.9168557	0.2651969	-0.1110584	-0.01340342
15	11	0.9275621	0.2356075	-0.1235371	-0.02513647
15	11	0.9389036	0.2359143	-0.1225902	-0.01503229
15	11	0.9503412	0.2226685	-0.1276388	-0.01398373
15	11	0.961325	0.2238079	-0.126133	-0.004080296
15	11	0.9721956	0.2237898	-0.1247693	0.005133629
15	11	0.9838232	0.2218448	-0.1229502	0.01305008
15	11	0.9944149	0.2290624	-0.1163371	0.0265379
15	11	1.005608	0.2283562	-0.1136366	0.03500223
15	11	1.01738	0.2222525	-0.1146417	0.04048014
15	11	1.027998	0.2186925	-0.1142477	0.04682446
15	11	1.039423	0.2174704	-0.113708	0.05397224
15	11	1.053891	0.2159352	-0.1142831	0.06155825
15	11	1.062134	0.2101839	-0.1161416	0.06625414
15	11	1.072602	0.2087033	-0.116943	0.07294941
15	11	1.084248	0.2065768	-0.1173645	0.08014917
15	11	1.095033	0.2006087	-0.1186383	0.08448863
15	11	1.106335	0.197578	-0.1182082	0.09164858
15	11	1.117956	0.1919088	-0.1198908	0.09635019
15	11	1.129114	0.1904054	-0.1181004	0.1038895
15	11	1.140318	0.1836944	-0.1203903	0.1082711
15	11	1.152036	0.1925726	-0.115424	0.1225195
15	11	1.164343	0.1900191	-0.1151268	0.1283717
15	11	1.17465	0.1851869	-0.1168953	0.1340563
15	11	1.186043	0.1797938	-0.1193877	0.1404386
15	11	1.197208	0.1793258	-0.1190822	0.1493273
15	11	1.209684	0.1745763	-0.1216636	0.1546776
15	11	1.219352	0.1703284	-0.123215	0.1564896
15	11	1.230269	0.1695557	-0.123373	0.166013
15	11	1.241474	0.1653769	-0.1259649	0.1701527
15	11	1.252737	0.1685653	-0.1232842	0.181109
15	11	1.26418	0.1635232	-0.1254224	0.1855621
15	11	1.274756	0.1596887	-0.1272746	0.1895282
15	11	1.286619	0.1475251	-0.1345774	0.1880159
15	11	1.29756	0.1420598	-0.1372555	0.190969
15	11	1.308456	0.1373081	-0.1393436	0.1940861
15	11	1.320125	0.1375549	-0.1379887	0.2006435
15	11	1.330939	0.1346829	-0.138554	0.2030883
15	11	1.341612	0.1302083	-0.1396147	0.2058206
15	11	1.353983	0.1391678	-0.1333325	0.2172327
15	11	1.366222	0.13466	-0.1349609	0.2209625
15	11	1.375488	0.1298809	-0.136862	0.2217166
15	11	1.386965	0.1299968	-0.137625	0.2237358
15	11	1.39756	0.1277828	-0.1387714	0.2264538
15	11	1.408848	0.1144617	-0.1443698	0.2202086
15	11	1.420431	0.11236	-0.1454039	0.2212734
15	11	1.431474	0.110482	-0.1460209	0.2230158
15	11	1.442455	0.09652686	-0.153892	0.2142491
15	11	1.454188	0.0944469	-0.1551929	0.2136807
15	11	1.465282	0.09192753	-0.1563579	0.2137957
15	11	1.47624	0.09263921	-0.1556256	0.215385
15	11	1.488259	0.09134912	-0.1566619	0.2156723
15	11	1.498991	0.08761907	-0.1592395	0.2138093
15	11	1.510774	0.08759594	-0.1595477	0.2148829
15	11	1.525435	0.08680081	-0.1608169	0.2148833
15	11	1.533911	0.07964969	-0.1647868	0.2110515
15	11	1.542193	0.07976675	-0.1643357	0.2123728
15	11	1.553309	0.07889509	-0.1646981	0.2125113
15	11	1.56456	0.07406116	-0.1663965	0.2097497
15	11	1.575317	0.07371354	-0.1666523	0.2099628
15	11	1.58691	0.07251143	-0.1679749	0.2094898
15	11	1.59781	0.07172036	-0.1687472	0.2100971
15	11	1.611068	0.06210327	-0.1766636	0.2042913
15	11	1.620712	0.06174707	-0.1773115	0.2050104
15	11	1.631652	0.06125855	-0.1781975	0.206202
15	11	1.642713	0.05881071	-0.1798407	0.2064457
15	11	1.654012	0.06273818	-0.1769965	0.2101178
15	11	1.665406	0.0611999	-0.1774096	0.2113342
15	11	1.680308	0.05451393	-0.1807818	0.2083254
15	11	1.689313	0.05399823	-0.1801724	0.2091115
15	11	1.6983	0.05265975	-0.1796272	0.2091141
15	11	1.709326	0.05704594	-0.1753908	0.2135324
15	11	1.720879	0.05562258	-0.173864	0.2146854
15	11	1.731843	0.05143261	-0.1738319	0.2152486
15	11	1.742955	0.0571177	-0.1683944	0.2199588
15	11	1.754381	0.05641842	-0.1663089	0.2213593
15	11	1.765526	0.05328274	-0.1653718	0.2220547
15	11	1.776459	0.05067682	-0.1636759	0.2224143
15	11	1.787929	0.05056143	-0.1612539	0.2238388
15	11	1.798776	0.04990768	-0.1591496	0.2254205
15	11	1.809845	0.05139327	-0.155233	0.2282624
15	11	1.821507	0.05171609	-0.1527905	0.2304101
15	11	1.833895	0.0515213	-0.150479	0.2321467
15	11	1.843464	0.05438566	-0.1458197	0.2364087
15	11	1.854777	0.05495834	-0.1430275	0.2388828
15	11	1.865883	0.05474973	-0.1407503	0.24084
15	11	1.876913	0.05889368	-0.1348503	0.2448406
15	11	1.888252	0.05946136	-0.1316669	0.2472115
15	11	1.89916	0.05657649	-0.1304719	0.2478256
15	11	1.910507	0.05930972	-0.1254277	0.2512367
15	11	1.922016	0.05954409	-0.1220595	0.2534742
