x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0437364	-0.2521968	-0.00278759	-0.01763141
15	11	0.0649021	-0.2520708	-0.002755761	-0.01704395
15	11	0.0746037	-0.2521346	-0.00256753	-0.01713455
15	11	0.0844218	-0.2520945	-0.002409339	-0.01737809
15	11	0.1027332	-0.2516688	-0.002232313	-0.01794457
15	11	0.110145	-0.2516688	-0.002232313	-0.01794457
15	11	0.1180214	-0.2517335	-0.002132416	-0.01844621
15	11	0.1377117	-0.2514726	-0.002120376	-0.01950943
15	11	0.1442501	-0.2514726	-0.002120376	-0.01950943
15	11	0.1523568	-0.2513922	-0.002044797	-0.02015758
15	11	0.1727817	-0.251184	-0.002261281	-0.02098823
15	11	0.1850862	-0.2511566	-0.002500653	-0.02128863
15	11	0.1971594	-0.2510384	-0.002897978	-0.02138412
15	11	0.2168076	-0.2512392	-0.003138423	-0.02197325
15	11	0.2233474	-0.2512392	-0.003138423	-0.02197325
15	11	0.2312619	-0.2512013	-0.003716946	-0.02184629
15	11	0.2559546	-0.2509178	-0.00546515	-0.02074575
15	11	0.2642144	-0.2512037	-0.005356669	-0.02082419
15	11	0.271297	-0.2513113	-0.006091475	-0.02066743
15	11	0.2894496	-0.2512839	-0.006652832	-0.02014673
15	11	0.2974512	-0.2516477	-0.006608605	-0.01998031
15	11	0.3047552	-0.2512963	-0.007708549	-0.01907349
15	11	0.3238886	-0.2513359	-0.008097172	-0.01861537
15	11	0.3320777	-0.2513733	-0.009041548	-0.01795554
15	11	0.3394938	-0.2514126	-0.009530306	-0.01731789
15	11	0.3579845	-0.2515037	-0.009925127	-0.01680708
15	11	0.3661264	-0.2514491	-0.01030076	-0.01652277
15	11	0.3737975	-0.2512017	-0.01077986	-0.01610136
15	11	0.3926899	-0.251132	-0.01127756	-0.01596117
15	11	0.4002226	-0.251132	-0.01127756	-0.01596117
15	11	0.4074239	-0.2510538	-0.01162863	-0.01589596
15	11	0.4262584	-0.2512484	-0.01205242	-0.0154562
