x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0413785	-0.2920059	-0.02926505	-0.05925703
15	11	0.0500478	-0.2918853	-0.0294764	-0.05919623
15	11	0.0575797	-0.2918286	-0.02973092	-0.0591135
15	11	0.0656897	-0.2923188	-0.02946711	-0.05944824
15	11	0.0732017	-0.2923188	-0.02946711	-0.05944824
15	11	0.0848729	-0.2922422	-0.02965963	-0.05939507
15	11	0.0974386	-0.2921715	-0.02963126	-0.05946016
15	11	0.1054257	-0.2925038	-0.02915645	-0.05993199
15	11	0.1142367	-0.2926415	-0.02902222	-0.05991316
15	11	0.1225003	-0.2924396	-0.02896917	-0.06026006
15	11	0.1336852	-0.2926412	-0.02832818	-0.06068611
15	11	0.1447032	-0.2925314	-0.0283488	-0.06079459
15	11	0.1557314	-0.2926313	-0.02833021	-0.06084037
15	11	0.167107	-0.2916912	-0.02904916	-0.06043553
15	11	0.1781874	-0.2927293	-0.02803612	-0.06161141
15	11	0.1892477	-0.2927133	-0.02800775	-0.06165171
15	11	0.2006185	-0.293594	-0.02746785	-0.06184816
15	11	0.211452	-0.2936907	-0.0274148	-0.06180906
15	11	0.2225179	-0.2937003	-0.02740359	-0.06172109
15	11	0.2344208	-0.293844	-0.02708888	-0.06216145
15	11	0.2454801	-0.2938234	-0.02721488	-0.06210923
15	11	0.2562046	-0.2938262	-0.02730107	-0.06204987
15	11	0.267652	-0.2939682	-0.02725255	-0.06194019
15	11	0.2789069	-0.2940339	-0.02721179	-0.06187606
15	11	0.290147	-0.2940998	-0.02719462	-0.06175065
15	11	0.3011962	-0.2942299	-0.02694857	-0.06188989
15	11	0.312386	-0.2943151	-0.02687395	-0.06191325
15	11	0.3236175	-0.2937697	-0.02760851	-0.06122136
15	11	0.3348703	-0.2945651	-0.02660489	-0.06198096
15	11	0.3461338	-0.2943842	-0.02683806	-0.06173921
15	11	0.3570142	-0.2938321	-0.02741599	-0.06093335
15	11	0.3681071	-0.2945875	-0.02671623	-0.06159306
15	11	0.3797517	-0.2946092	-0.02668142	-0.0615809
15	11	0.3910036	-0.2946501	-0.02667511	-0.06147432
15	11	0.4021334	-0.2948693	-0.02645576	-0.06154275
15	11	0.4129846	-0.295051	-0.02625215	-0.06159425
15	11	0.424261	-0.2949471	-0.02607965	-0.06152749
15	11	0.4357799	-0.2950826	-0.0261941	-0.06145811
15	11	0.4468377	-0.2950852	-0.02617574	-0.0614357
15	11	0.4578667	-0.2950965	-0.02618611	-0.06141877
15	11	0.4692572	-0.295061	-0.02608228	-0.06151557
15	11	0.4805909	-0.2950574	-0.02622569	-0.06136513
15	11	0.4924282	-0.2943734	-0.02688217	-0.06062675
15	11	0.503566	-0.2952579	-0.02613771	-0.06128263
15	11	0.5150069	-0.2954196	-0.02598739	-0.06134582
15	11	0.5268354	-0.2947981	-0.02688706	-0.06072235
15	11	0.5378057	-0.2955619	-0.02596927	-0.0614562
15	11	0.5496834	-0.295442	-0.02603555	-0.0615027
15	11	0.5612153	-0.2956098	-0.02612317	-0.06151795
15	11	0.5724079	-0.2955835	-0.02612221	-0.06159616
15	11	0.584052	-0.2954005	-0.02616477	-0.06169891
15	11	0.5956953	-0.2948958	-0.02696621	-0.06096435
15	11	0.607601	-0.2957364	-0.02617252	-0.06187415
15	11	0.6187397	-0.2956454	-0.02626503	-0.06203914
15	11	0.6300668	-0.2955569	-0.02672064	-0.06173229
15	11	0.6418542	-0.2955669	-0.02689028	-0.06173706
15	11	0.6530704	-0.2955511	-0.02696383	-0.06186366
15	11	0.6645588	-0.2946485	-0.02801621	-0.06105661
15	11	0.6763307	-0.2954397	-0.02726483	-0.06194472
15	11	0.6871524	-0.295457	-0.02737093	-0.06194663
15	11	0.6985611	-0.2955046	-0.02739573	-0.06212902
15	11	0.7101732	-0.2956154	-0.02740717	-0.06221938
15	11	0.7209824	-0.2956486	-0.02751601	-0.06218433
15	11	0.7318774	-0.2947546	-0.02860665	-0.06161284
15	11	0.7431362	-0.2954072	-0.02777052	-0.06204057
15	11	0.7543512	-0.2951858	-0.0280956	-0.06189632
15	11	0.7655923	-0.2956644	-0.02785397	-0.06183767
15	11	0.7768457	-0.2956614	-0.02792943	-0.06180096
15	11	0.7875548	-0.295694	-0.02804148	-0.06162381
15	11	0.798711	-0.2955604	-0.02805614	-0.06161094
15	11	0.8103035	-0.295619	-0.02808678	-0.06151819
15	11	0.8217912	-0.2956077	-0.02817833	-0.06136036
15	11	0.8330759	-0.2948645	-0.02925599	-0.06023502
15	11	0.8440278	-0.2955643	-0.02869296	-0.06080174
15	11	0.8546041	-0.2955354	-0.02888989	-0.06058216
15	11	0.8661684	-0.2955784	-0.02911556	-0.06053305
15	11	0.87717	-0.2956219	-0.02928591	-0.06047153
15	11	0.8880515	-0.2947377	-0.03054464	-0.05957413
15	11	0.8992977	-0.2954174	-0.02993989	-0.06013441
15	11	0.9108854	-0.295247	-0.03031814	-0.05992723
15	11	0.9214853	-0.2949406	-0.03061974	-0.05981565
15	11	0.932735	-0.2943151	-0.03190398	-0.05854964
15	11	0.9442197	-0.2948757	-0.03161538	-0.05866981
15	11	0.9551878	-0.2948594	-0.0320636	-0.05828452
15	11	0.9661256	-0.2945576	-0.03277385	-0.05778575
15	11	0.9776349	-0.2946677	-0.03310168	-0.05757189
15	11	0.9886265	-0.2945579	-0.03342688	-0.05745816
15	11	0.9996539	-0.2936089	-0.03503299	-0.05612898
15	11	1.011142	-0.2935953	-0.03529751	-0.05598044
15	11	1.022339	-0.2934948	-0.03535998	-0.05596113
15	11	1.033204	-0.2933007	-0.0358361	-0.05577445
15	11	1.044944	-0.2931982	-0.03576827	-0.05580091
15	11	1.055743	-0.2931966	-0.03580141	-0.05601215
15	11	1.067174	-0.2926919	-0.03584015	-0.055897
15	11	1.078336	-0.2927501	-0.03568769	-0.05602908
15	11	1.089504	-0.2921063	-0.03651416	-0.05507445
15	11	1.100426	-0.2930336	-0.03556859	-0.05599618
15	11	1.111619	-0.2930139	-0.0355792	-0.0559094
15	11	1.122778	-0.2929103	-0.03548825	-0.0559473
15	11	1.13402	-0.2933371	-0.03542113	-0.05572104
15	11	1.147556	-0.2934053	-0.03530371	-0.05572557
15	11	1.156323	-0.2933828	-0.03514934	-0.05565858
15	11	1.167292	-0.2933098	-0.03495169	-0.05577683
