x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0549141	-0.2658458	0.05384648	-0.06250691
15	11	0.080643	-0.2601817	0.05491114	-0.08294463
15	11	0.0919361	-0.2569757	0.05550945	-0.09321404
15	11	0.1141709	-0.2481755	0.05436957	-0.11237
15	11	0.1238739	-0.2433263	0.05361021	-0.1213603
15	11	0.1312855	-0.2391056	0.05273747	-0.1300263
15	11	0.1516337	-0.2284149	0.04975784	-0.1452391
15	11	0.1612346	-0.2228885	0.04744232	-0.1509802
15	11	0.1687525	-0.2228885	0.04744232	-0.1509802
15	11	0.1886067	-0.2116011	0.04153228	-0.1593311
15	11	0.1972287	-0.2073687	0.04095781	-0.1621537
15	11	0.2054241	-0.2073687	0.04095781	-0.1621537
15	11	0.2242757	-0.2012824	0.04019332	-0.1699421
15	11	0.2327281	-0.1985389	0.04072273	-0.1718574
15	11	0.2408146	-0.197396	0.04044569	-0.1734693
15	11	0.2605747	-0.1965108	0.04052341	-0.1739266
15	11	0.2685561	-0.1959236	0.04032135	-0.174073
15	11	0.2756956	-0.1961186	0.0394851	-0.1741977
15	11	0.295442	-0.1961017	0.03850889	-0.17501
15	11	0.3043177	-0.1961017	0.03850889	-0.17501
15	11	0.3113196	-0.1960478	0.03820419	-0.17483
15	11	0.3310204	-0.1962391	0.03796792	-0.1754341
15	11	0.338932	-0.1962391	0.03796792	-0.1754341
15	11	0.3460172	-0.1958827	0.03834677	-0.1754224
15	11	0.3671562	-0.1954718	0.03922665	-0.1760154
15	11	0.3758624	-0.1950008	0.0396502	-0.1761153
15	11	0.3837818	-0.1950008	0.0396502	-0.1761153
15	11	0.4044812	-0.1944028	0.03973937	-0.1771188
15	11	0.4119391	-0.1939592	0.039819	-0.1776252
15	11	0.4196256	-0.1935431	0.03988385	-0.1784527
15	11	0.4393133	-0.19353	0.03966308	-0.1786606
15	11	0.4472082	-0.1931982	0.03986692	-0.1788821
15	11	0.4545036	-0.1926789	0.0400331	-0.1792631
15	11	0.4749958	-0.1924843	0.04016685	-0.1794937
15	11	0.4828584	-0.1924843	0.04016685	-0.1794937
15	11	0.4898745	-0.1920004	0.0399406	-0.179822
15	11	0.5159916	-0.1916093	0.0392127	-0.1806793
15	11	0.5237033	-0.1913428	0.03871942	-0.1809833
15	11	0.5434276	-0.1907992	0.03831506	-0.1814766
15	11	0.5518565	-0.1905991	0.0381918	-0.1816869
15	11	0.5596437	-0.1905991	0.0381918	-0.1816869
15	11	0.5805952	-0.1902734	0.0383532	-0.1817718
15	11	0.5883393	-0.1903248	0.03830683	-0.1816685
15	11	0.596263	-0.1903617	0.03826845	-0.1816583
15	11	0.6166318	-0.190649	0.03811526	-0.1815808
15	11	0.6237373	-0.1909862	0.0378772	-0.1812458
15	11	0.632	-0.1911255	0.03781784	-0.1812232
15	11	0.6516865	-0.1914196	0.03770328	-0.180953
15	11	0.6598672	-0.1918827	0.03764606	-0.1805637
15	11	0.6677269	-0.1923614	0.03770435	-0.1802516
15	11	0.6876277	-0.1937972	0.03814065	-0.1788573
15	11	0.6963035	-0.1937972	0.03814065	-0.1788573
15	11	0.7033132	-0.1945685	0.03820443	-0.1782064
15	11	0.7229255	-0.1969903	0.03852952	-0.1758692
15	11	0.730729	-0.1981728	0.03903055	-0.174731
15	11	0.7391269	-0.1981728	0.03903055	-0.174731
15	11	0.758227	-0.2004873	0.04048169	-0.1723216
15	11	0.767292	-0.2016786	0.04129779	-0.1708937
15	11	0.7751564	-0.2016786	0.04129779	-0.1708937
15	11	0.7966364	-0.2040844	0.04221344	-0.1682553
15	11	0.8040919	-0.2051154	0.0424875	-0.1671634
15	11	0.8115684	-0.2064378	0.04258275	-0.1658118
15	11	0.8309276	-0.2072759	0.04297626	-0.1646993
15	11	0.8390371	-0.2072759	0.04297626	-0.1646993
15	11	0.8469622	-0.2076194	0.04311168	-0.1641166
15	11	0.8672963	-0.2080015	0.04344058	-0.1639984
15	11	0.8755599	-0.2079772	0.04387307	-0.1637967
15	11	0.8829128	-0.2079772	0.04387307	-0.1637967
15	11	0.9021167	-0.2078482	0.04380381	-0.1638417
15	11	0.9123486	-0.2077651	0.04375815	-0.1638792
15	11	0.9201164	-0.2074506	0.0433377	-0.1640565
15	11	0.9412533	-0.2074454	0.04302454	-0.1642818
15	11	0.9492557	-0.207423	0.04278934	-0.1643014
