x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0504902	2.25419	-1.932201	-1.265655
15	11	0.0619502	2.253828	-1.931837	-1.265679
15	11	0.0727728	2.25357	-1.931404	-1.265778
15	11	0.0835238	2.252983	-1.930928	-1.266079
15	11	0.0972455	2.252621	-1.930561	-1.266201
15	11	0.1075895	2.251997	-1.930469	-1.266293
15	11	0.1161144	2.251835	-1.930346	-1.265957
15	11	0.1260017	2.251373	-1.930256	-1.265897
15	11	0.1347471	2.250995	-1.929825	-1.265982
15	11	0.1428769	2.250371	-1.929469	-1.266303
15	11	0.1505813	2.250371	-1.929469	-1.266303
15	11	0.1601263	2.249804	-1.929023	-1.266593
15	11	0.1693896	2.249422	-1.928568	-1.266888
15	11	0.1785166	2.249172	-1.92816	-1.266904
15	11	0.1894516	2.248662	-1.927693	-1.266958
15	11	0.2012471	2.248326	-1.927058	-1.267294
15	11	0.2127122	2.247907	-1.926605	-1.267586
15	11	0.2239631	2.247605	-1.926281	-1.268309
15	11	0.2341111	2.247145	-1.925877	-1.268713
15	11	0.2453052	2.246577	-1.925418	-1.269458
15	11	0.2569953	2.2461	-1.924926	-1.269809
15	11	0.2678426	2.245584	-1.924639	-1.270476
15	11	0.2787722	2.24532	-1.92424	-1.270886
15	11	0.2907411	2.244738	-1.923604	-1.271273
15	11	0.3012727	2.244382	-1.923147	-1.27174
15	11	0.3119499	2.243835	-1.922804	-1.272491
15	11	0.324242	2.243392	-1.922488	-1.273066
15	11	0.3349794	2.242902	-1.922421	-1.273627
15	11	0.3460186	2.242778	-1.922452	-1.274165
15	11	0.3573948	2.242509	-1.922229	-1.274707
15	11	0.3681036	2.242623	-1.922004	-1.275236
15	11	0.3795318	2.24205	-1.921721	-1.275614
15	11	0.3904037	2.241582	-1.921044	-1.275735
15	11	0.4012249	2.241446	-1.919341	-1.276181
15	11	0.4132922	2.242205	-1.918015	-1.276651
15	11	0.4276747	2.243961	-1.917568	-1.27761
15	11	0.4384042	2.245069	-1.917316	-1.277976
15	11	0.4465615	2.247206	-1.917236	-1.277942
15	11	0.4575681	2.248294	-1.916705	-1.27787
15	11	0.4682252	2.249554	-1.916576	-1.27774
15	11	0.479712	2.250186	-1.915936	-1.277912
15	11	0.491637	2.250991	-1.915546	-1.278245
15	11	0.5024514	2.251197	-1.915304	-1.278459
15	11	0.5136346	2.251921	-1.915048	-1.27882
15	11	0.5256242	2.252441	-1.914894	-1.279358
15	11	0.5364787	2.253074	-1.91484	-1.279906
15	11	0.5476485	2.253834	-1.915185	-1.280075
15	11	0.5593277	2.254421	-1.915679	-1.280358
15	11	0.5699365	2.254811	-1.916205	-1.280746
15	11	0.5811387	2.254621	-1.917032	-1.281291
15	11	0.5932218	2.254062	-1.918134	-1.282106
15	11	0.6033223	2.254291	-1.918483	-1.2828
15	11	0.6144299	2.253722	-1.919672	-1.283368
15	11	0.6263284	2.253454	-1.920739	-1.284003
15	11	0.6366397	2.253338	-1.921894	-1.28433
15	11	0.6481931	2.252982	-1.923409	-1.284836
15	11	0.6603331	2.25244	-1.924505	-1.285308
15	11	0.6718754	2.251483	-1.925636	-1.285563
15	11	0.6831684	2.25086	-1.926128	-1.285709
15	11	0.6953256	2.25063	-1.926325	-1.285711
15	11	0.7063074	2.250302	-1.926543	-1.285936
15	11	0.7179229	2.250405	-1.92663	-1.286148
15	11	0.7304479	2.25035	-1.926097	-1.286153
15	11	0.7420039	2.249737	-1.92614	-1.286317
15	11	0.7533141	2.249342	-1.925306	-1.286218
15	11	0.7650335	2.248528	-1.925254	-1.286162
15	11	0.7759199	2.248154	-1.924638	-1.286042
15	11	0.7876344	2.247901	-1.923878	-1.286289
15	11	0.7981439	2.247559	-1.922722	-1.286257
15	11	0.80903	2.246989	-1.921496	-1.286561
15	11	0.8213771	2.246454	-1.920126	-1.286593
15	11	0.8319751	2.246068	-1.918802	-1.286558
15	11	0.8428947	2.245616	-1.917629	-1.286553
15	11	0.8543101	2.245004	-1.916388	-1.286793
15	11	0.8657149	2.244251	-1.915442	-1.286974
15	11	0.8765107	2.243519	-1.914327	-1.287385
15	11	0.8893843	2.242522	-1.91305	-1.287572
15	11	0.8998891	2.241945	-1.911931	-1.287846
15	11	0.9104369	2.241272	-1.911046	-1.288081
15	11	0.9218006	2.240503	-1.910515	-1.288437
15	11	0.932977	2.239963	-1.909418	-1.28904
15	11	0.9442652	2.23893	-1.909044	-1.289432
15	11	0.9553173	2.238083	-1.908937	-1.290001
15	11	0.9666201	2.237242	-1.908669	-1.290539
15	11	0.9770426	2.236294	-1.908664	-1.290872
15	11	0.9890962	2.23519	-1.90842	-1.290951
15	11	0.9999964	2.234297	-1.908577	-1.291197
15	11	1.010914	2.233459	-1.908696	-1.291448
15	11	1.022504	2.232822	-1.909369	-1.291716
15	11	1.033661	2.231938	-1.90982	-1.291963
15	11	1.044662	2.231117	-1.910399	-1.29224
15	11	1.056658	2.230336	-1.910936	-1.292421
15	11	1.066925	2.229948	-1.911495	-1.292543
15	11	1.077801	2.229416	-1.912193	-1.29255
15	11	1.089727	2.228927	-1.913183	-1.292242
15	11	1.10018	2.228369	-1.914148	-1.292135
15	11	1.111296	2.227816	-1.915258	-1.292131
15	11	1.123008	2.227381	-1.916455	-1.291839
15	11	1.134115	2.226982	-1.917713	-1.2917
15	11	1.145259	2.226674	-1.919018	-1.291398
15	11	1.157467	2.226235	-1.920181	-1.290975
15	11	1.1677	2.22595	-1.921486	-1.290571
15	11	1.178828	2.225451	-1.922718	-1.290156
15	11	1.190739	2.22506	-1.924025	-1.289687
15	11	1.201358	2.224641	-1.925278	-1.289385
15	11	1.212339	2.224347	-1.92667	-1.289285
15	11	1.224245	2.223663	-1.927748	-1.289247
15	11	1.234951	2.223045	-1.928376	-1.289438
15	11	1.245918	2.222097	-1.929067	-1.289646
15	11	1.257747	2.2213	-1.929917	-1.289959
15	11	1.268506	2.220212	-1.930273	-1.290546
15	11	1.279589	2.219854	-1.930848	-1.29108
15	11	1.291378	2.219185	-1.931239	-1.291155
15	11	1.301964	2.218488	-1.931204	-1.291543
15	11	1.312853	2.217934	-1.930931	-1.292065
15	11	1.324706	2.217381	-1.930296	-1.292201
15	11	1.335352	2.216812	-1.930264	-1.292444
15	11	1.346753	2.216733	-1.929677	-1.292701
15	11	1.358005	2.216651	-1.929255	-1.293145
15	11	1.369248	2.216615	-1.928656	-1.293431
15	11	1.380028	2.216236	-1.928198	-1.293974
15	11	1.391375	2.215872	-1.927685	-1.294264
15	11	1.402002	2.215502	-1.927191	-1.294673
15	11	1.41312	2.215112	-1.926807	-1.295196
15	11	1.424641	2.21473	-1.926286	-1.29569
15	11	1.43554	2.214468	-1.926082	-1.296006
15	11	1.446666	2.214327	-1.925885	-1.296214
15	11	1.458655	2.2141	-1.925745	-1.296308
15	11	1.469638	2.213922	-1.925456	-1.296466
15	11	1.480551	2.2138	-1.92542	-1.296698
15	11	1.492676	2.213671	-1.925351	-1.296959
15	11	1.50334	2.213682	-1.925303	-1.296987
15	11	1.514482	2.213619	-1.925248	-1.296932
15	11	1.526136	2.213587	-1.925135	-1.297199
15	11	1.536633	2.213701	-1.92507	-1.297296
15	11	1.547994	2.213776	-1.925031	-1.297306
15	11	1.559393	2.213791	-1.924921	-1.297446
15	11	1.569928	2.213779	-1.924795	-1.297617
15	11	1.581067	2.21376	-1.924567	-1.297688
15	11	1.592119	2.213892	-1.924485	-1.297666
15	11	1.603307	2.214136	-1.924268	-1.297723
15	11	1.614211	2.214202	-1.924218	-1.297782
15	11	1.625665	2.214266	-1.924138	-1.297807
15	11	1.63648	2.214599	-1.923871	-1.297913
15	11	1.647787	2.214774	-1.923982	-1.298257
15	11	1.659382	2.214908	-1.923935	-1.298337
15	11	1.670005	2.215171	-1.924012	-1.298338
15	11	1.68118	2.21541	-1.924058	-1.298282
15	11	1.692606	2.215692	-1.924198	-1.298201
15	11	1.70363	2.215662	-1.924629	-1.298211
15	11	1.71471	2.215891	-1.924815	-1.298183
15	11	1.726338	2.216166	-1.925017	-1.298201
15	11	1.737343	2.216525	-1.925097	-1.298078
15	11	1.748281	2.21697	-1.925477	-1.298188
15	11	1.760033	2.217216	-1.925591	-1.298292
15	11	1.771111	2.217425	-1.925838	-1.298253
15	11	1.781939	2.21767	-1.925896	-1.298211
15	11	1.793426	2.217954	-1.926008	-1.298175
15	11	1.804559	2.218439	-1.925857	-1.298213
15	11	1.815605	2.218784	-1.925955	-1.298143
15	11	1.826729	2.219027	-1.92605	-1.298062
15	11	1.838487	2.219239	-1.926081	-1.298162
15	11	1.849158	2.219297	-1.926059	-1.298191
15	11	1.860691	2.219506	-1.926104	-1.298261
15	11	1.871547	2.219597	-1.92634	-1.298273
15	11	1.882133	2.219857	-1.926452	-1.298279
15	11	1.893846	2.220029	-1.926445	-1.298489
15	11	1.904905	2.220531	-1.926206	-1.298568
15	11	1.915441	2.220855	-1.926166	-1.298683
15	11	1.927199	2.221147	-1.926234	-1.298574
15	11	1.937873	2.221161	-1.926527	-1.298532
15	11	1.948804	2.221067	-1.926471	-1.298554
15	11	1.960875	2.221187	-1.926601	-1.298455
15	11	1.971756	2.221549	-1.926417	-1.298645
15	11	1.982623	2.221764	-1.926636	-1.29876
15	11	1.994753	2.221867	-1.926746	-1.298766
15	11	2.005653	2.221956	-1.926913	-1.298669
15	11	2.016341	2.222282	-1.927162	-1.298839
15	11	2.028137	2.222312	-1.927157	-1.298952
15	11	2.039312	2.22239	-1.927037	-1.299084
15	11	2.049848	2.222285	-1.926907	-1.299184
15	11	2.061224	2.222038	-1.926666	-1.29955
15	11	2.072265	2.221958	-1.926534	-1.299633
15	11	2.083034	2.221876	-1.926346	-1.299961
15	11	2.095105	2.221753	-1.925955	-1.300269
15	11	2.106245	2.221728	-1.925673	-1.300355
15	11	2.116661	2.221612	-1.925174	-1.300391
15	11	2.131665	2.22166	-1.924871	-1.300321
15	11	2.142801	2.221495	-1.924503	-1.300642
15	11	2.151269	2.221057	-1.923994	-1.30069
15	11	2.162272	2.220686	-1.923682	-1.300964
15	11	2.171486	2.220261	-1.923455	-1.301207
15	11	2.182404	2.220192	-1.923407	-1.301444
15	11	2.194332	2.220012	-1.923183	-1.301615
15	11	2.204839	2.219748	-1.923234	-1.301645
15	11	2.216085	2.219536	-1.923086	-1.301656
15	11	2.227401	2.219314	-1.923109	-1.301648
15	11	2.238738	2.219213	-1.922908	-1.301802
15	11	2.249651	2.219045	-1.923084	-1.301749
15	11	2.261833	2.218805	-1.92308	-1.301874
15	11	2.272397	2.218646	-1.923227	-1.301772
15	11	2.282998	2.218711	-1.923439	-1.301592
15	11	2.294495	2.218688	-1.92354	-1.301425
15	11	2.305899	2.218755	-1.923453	-1.301367
15	11	2.316145	2.218665	-1.923468	-1.301268
15	11	2.327685	2.218565	-1.923569	-1.301132
15	11	2.339462	2.21837	-1.92358	-1.301263
15	11	2.350134	2.218194	-1.923579	-1.301221
15	11	2.361569	2.218107	-1.923694	-1.301198
15	11	2.372834	2.218117	-1.923809	-1.30117
15	11	2.383267	2.218102	-1.923923	-1.30114
15	11	2.395091	2.218172	-1.924231	-1.300921
15	11	2.406126	2.218067	-1.9246	-1.300749
15	11	2.417029	2.21801	-1.924854	-1.30067
15	11	2.429058	2.217941	-1.925228	-1.300611
15	11	2.44027	2.217813	-1.925534	-1.300689
15	11	2.451464	2.217947	-1.926051	-1.300784
15	11	2.465119	2.217921	-1.92633	-1.300874
15	11	2.475397	2.217958	-1.926614	-1.30093
15	11	2.484121	2.217998	-1.926911	-1.300932
15	11	2.496264	2.218074	-1.927217	-1.300786
15	11	2.506917	2.218267	-1.927478	-1.300594
15	11	2.517751	2.218263	-1.927658	-1.300516
15	11	2.529443	2.218348	-1.927955	-1.300308
15	11	2.540427	2.218444	-1.928199	-1.300218
15	11	2.551052	2.218624	-1.928514	-1.300268
15	11	2.563117	2.218684	-1.928702	-1.300351
15	11	2.574067	2.218617	-1.928755	-1.300689
15	11	2.584752	2.218669	-1.928912	-1.300729
15	11	2.596479	2.218759	-1.929054	-1.30072
15	11	2.607789	2.219005	-1.929121	-1.300632
15	11	2.618983	2.219043	-1.929117	-1.300593
15	11	2.630601	2.219096	-1.92914	-1.300665
15	11	2.641605	2.219241	-1.929267	-1.300366
15	11	2.652256	2.219385	-1.92915	-1.300383
15	11	2.664104	2.219464	-1.929111	-1.300423
15	11	2.67508	2.219281	-1.929133	-1.300503
15	11	2.686141	2.219343	-1.929137	-1.300587
15	11	2.697828	2.219548	-1.92885	-1.300744
15	11	2.708576	2.219551	-1.928766	-1.300867
15	11	2.719887	2.219728	-1.928808	-1.301062
15	11	2.731276	2.219962	-1.928641	-1.300989
15	11	2.742184	2.220121	-1.928584	-1.300868
15	11	2.752926	2.219952	-1.928364	-1.30075
15	11	2.764936	2.219613	-1.928573	-1.300686
15	11	2.775982	2.219445	-1.928532	-1.300754
