x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0436749	0.08341014	-0.08977973	-0.2062501
15	11	0.052267	0.08886719	-0.09622812	-0.2020091
15	11	0.0591135	0.08886719	-0.09622812	-0.2020091
15	11	0.0674781	0.09089708	-0.09952807	-0.1988553
15	11	0.0772499	0.07723975	-0.06806099	-0.212231
15	11	0.08393	0.07723975	-0.06806099	-0.212231
15	11	0.0909822	0.06199372	-0.06349421	-0.1892214
15	11	0.0986861	0.06004512	-0.06318533	-0.1852294
15	11	0.1090571	0.05743587	-0.06300259	-0.1812159
15	11	0.1200372	0.05458212	-0.06288338	-0.1771208
15	11	0.1310394	0.04745221	-0.0610038	-0.1758757
15	11	0.1428824	0.0379374	-0.0600028	-0.1744941
15	11	0.1538234	0.0319171	-0.05992115	-0.1697373
15	11	0.1650175	0.02533865	-0.0597868	-0.1664377
15	11	0.1766626	0.02353394	-0.06914496	-0.1237017
15	11	0.1875803	0.01674926	-0.06962693	-0.1187798
15	11	0.1990929	0.009837747	-0.07061732	-0.1126027
15	11	0.2095412	0.003382683	-0.07154763	-0.105543
15	11	0.2205093	-0.002756119	-0.07230937	-0.09853363
15	11	0.2318987	-0.01246166	-0.07446778	-0.09086096
15	11	0.2430965	-0.01964915	-0.07549357	-0.08231246
15	11	0.2542947	-0.02880228	-0.07758915	-0.07279527
15	11	0.2657241	-0.03677344	-0.07875359	-0.06328559
15	11	0.2769934	-0.04356396	-0.07914937	-0.05326712
15	11	0.2877903	-0.05277503	-0.08105648	-0.0416683
15	11	0.2992589	-0.06062531	-0.08309281	-0.03073442
15	11	0.3102303	-0.06732357	-0.08434749	-0.01808393
15	11	0.3214281	-0.07559669	-0.08420897	-0.006787658
15	11	0.3331253	-0.08098173	-0.08439124	0.006420255
15	11	0.3438895	-0.08793759	-0.08374262	0.01787317
15	11	0.3549208	-0.09228694	-0.08321226	0.0302875
15	11	0.3662925	-0.09471548	-0.08550823	0.04473972
15	11	0.3774445	0.003656149	-0.08934557	0.09931445
15	11	0.3884589	0.00438869	-0.08640301	0.1097058
15	11	0.3997862	0.00347662	-0.08439374	0.1199023
15	11	0.4108631	0.03775644	-0.07853019	0.09256327
15	11	0.4220392	0.03836024	-0.07544386	0.1002892
15	11	0.4337039	0.03877246	-0.07273614	0.1080447
15	11	0.444476	0.03913558	-0.06888974	0.1138452
15	11	0.4559732	0.04000771	-0.06634116	0.1210588
15	11	0.4674685	0.04161072	-0.06493127	0.1277268
15	11	0.4781203	0.04301238	-0.0557164	0.1224858
15	11	0.489208	0.04434705	-0.05130363	0.1259193
15	11	0.500251	0.04591286	-0.04941344	0.1316025
15	11	0.5115518	0.04725873	-0.04794562	0.1369004
15	11	0.5223307	0.04921031	-0.04624081	0.1418322
15	11	0.5336373	0.05070853	-0.04510081	0.147055
15	11	0.5449704	0.05226803	-0.04423666	0.1506339
15	11	0.555789	0.05364418	-0.04327333	0.1546721
15	11	0.5676901	0.04098427	-0.02975106	0.1238909
15	11	0.5794508	0.04293609	-0.02021945	0.1231967
15	11	0.5918542	0.04410124	-0.01456714	0.1224618
15	11	0.6032475	0.04384971	-0.01047111	0.1201599
15	11	0.6148609	0.04406238	-0.006952167	0.1175176
15	11	0.6264497	0.04401124	-0.003524899	0.1144555
15	11	0.6377084	0.04381537	-0.0005228519	0.1109887
15	11	0.6497318	0.04377067	0.002082229	0.1075306
15	11	0.6610188	0.04425991	0.001461506	0.1066333
15	11	0.6725464	0.04399693	0.001153946	0.1055206
15	11	0.6842592	0.04883766	-0.005216599	0.1216475
15	11	0.6952559	0.05260289	0.02787542	0.09933269
15	11	0.7074627	0.05306566	0.03305185	0.09475982
15	11	0.718421	0.05331075	0.03799844	0.09013808
15	11	0.7300745	0.05386662	0.04319525	0.08522403
15	11	0.7411473	0.0545671	0.0483216	0.08066905
15	11	0.7522106	0.05498552	0.05310929	0.0761503
15	11	0.7634352	0.05519772	0.05464458	0.07407534
15	11	0.7746881	0.0552429	0.05677211	0.07233
15	11	0.7854892	0.05541241	0.05924547	0.07034028
