x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0426418	-0.3258692	-0.1551324	-0.0331403
15	11	0.0515345	-0.3261173	-0.1544586	-0.033952
15	11	0.0598537	-0.3262973	-0.153947	-0.03468251
15	11	0.0770193	-0.3269178	-0.1523887	-0.03573406
15	11	0.08891489	-0.3270564	-0.1516793	-0.03633916
15	11	0.0972209	-0.3274213	-0.1507457	-0.03656483
15	11	0.1052583	-0.3274213	-0.1507457	-0.03656483
15	11	0.1125857	-0.3277895	-0.149973	-0.0369705
15	11	0.1224441	-0.3280486	-0.1492623	-0.03710115
15	11	0.1334857	-0.3283461	-0.1485322	-0.03705931
15	11	0.1446255	-0.3285819	-0.1478797	-0.03729045
15	11	0.1560465	-0.3287683	-0.1473972	-0.03734565
15	11	0.1674971	-0.3290131	-0.1468979	-0.03742504
15	11	0.178278	-0.3291039	-0.1463941	-0.03771985
15	11	0.1894661	-0.3291759	-0.1458422	-0.03795075
15	11	0.2009783	-0.3294655	-0.1454004	-0.03828216
15	11	0.2125469	-0.3299208	-0.144817	-0.03864527
15	11	0.2263705	-0.3299407	-0.1444124	-0.03898573
15	11	0.2350537	-0.3300761	-0.1438967	-0.03941679
15	11	0.2456987	-0.3302572	-0.1434891	-0.03974807
15	11	0.2568051	-0.3304423	-0.143147	-0.04005253
15	11	0.2685552	-0.3306754	-0.1424627	-0.04016709
15	11	0.278838	-0.3309331	-0.1420759	-0.04000676
15	11	0.2899054	-0.3312407	-0.141454	-0.03992796
15	11	0.3015207	-0.3316504	-0.1407093	-0.03984857
15	11	0.3120034	-0.3318766	-0.1400058	-0.03976631
15	11	0.3231589	-0.33219	-0.1393548	-0.03966832
15	11	0.334564	-0.332582	-0.1386912	-0.03957772
15	11	0.3457599	-0.3326169	-0.1380794	-0.03964174
15	11	0.3568102	-0.3328822	-0.137411	-0.03957343
15	11	0.3687413	-0.3331476	-0.1368089	-0.0397222
15	11	0.3818616	-0.333315	-0.1362609	-0.03958142
15	11	0.3907631	-0.3334963	-0.1357487	-0.03936517
15	11	0.4025324	-0.333572	-0.135493	-0.0390861
15	11	0.4128979	-0.3336723	-0.1350839	-0.03910851
15	11	0.4242989	-0.3337877	-0.1348238	-0.03887081
15	11	0.4356966	-0.3337498	-0.1348761	-0.03850698
15	11	0.4466538	-0.3333806	-0.1352181	-0.03840911
15	11	0.4579839	-0.3328985	-0.136291	-0.03828764
15	11	0.4692551	-0.3325303	-0.1369152	-0.03810108
15	11	0.4803905	-0.3320074	-0.1383108	-0.03816032
15	11	0.4914044	-0.3313876	-0.1396376	-0.0384295
15	11	0.5030955	-0.3303726	-0.1414621	-0.03893018
15	11	0.5137483	-0.3296683	-0.1431904	-0.0394479
15	11	0.5254474	-0.3279595	-0.1462619	-0.04010105
15	11	0.5383813	-0.3267229	-0.1488351	-0.04005766
15	11	0.5468765	-0.3257037	-0.1511462	-0.0401026
15	11	0.5581768	-0.3237624	-0.1545546	-0.03998816
15	11	0.5695229	-0.3218827	-0.1578641	-0.03946292
15	11	0.5803099	-0.3201671	-0.1617171	-0.03889346
15	11	0.5914462	-0.3179711	-0.1659101	-0.03804672
15	11	0.6027635	-0.3159689	-0.1698587	-0.03746188
15	11	0.6136194	-0.3136485	-0.174867	-0.03659534
15	11	0.6252239	-0.3105447	-0.180644	-0.03603852
15	11	0.6367946	-0.3069209	-0.1869311	-0.03607285
15	11	0.6486416	-0.3039792	-0.1926943	-0.03576636
15	11	0.6605337	-0.3002418	-0.1994157	-0.03624594
15	11	0.6718172	-0.2969433	-0.2051188	-0.036304
15	11	0.6842535	-0.2930299	-0.211188	-0.03634739
15	11	0.6985669	-0.2892716	-0.21725	-0.03705263
15	11	0.7077671	-0.284778	-0.2224302	-0.03710496
15	11	0.7192068	-0.2802618	-0.2284427	-0.03753436
15	11	0.7308555	-0.2755536	-0.2341708	-0.03859615
15	11	0.7418031	-0.2708555	-0.2397325	-0.03970838
15	11	0.7534512	-0.2663572	-0.2452854	-0.04043758
15	11	0.764535	-0.261939	-0.2498983	-0.04152095
15	11	0.7758474	-0.2574397	-0.2541045	-0.04237449
15	11	0.7868888	-0.2533854	-0.2576146	-0.04271328
15	11	0.7983086	-0.2500784	-0.2606877	-0.04292989
15	11	0.8092933	-0.2465019	-0.2635884	-0.04293346
15	11	0.8208083	-0.2427778	-0.2664388	-0.04313552
15	11	0.8318144	-0.2404041	-0.2686222	-0.04344535
15	11	0.8433684	-0.2374626	-0.2703828	-0.04398203
15	11	0.8571488	-0.2343739	-0.2727141	-0.04417002
15	11	0.8652081	-0.2326174	-0.2742281	-0.04499984
15	11	0.876586	-0.2305162	-0.2754292	-0.04589903
15	11	0.8878831	-0.2293078	-0.2762705	-0.04704869
15	11	0.8989192	-0.2278415	-0.2773854	-0.04812992
15	11	0.910055	-0.2270724	-0.2777421	-0.04972124
15	11	0.9213671	-0.2267327	-0.2777618	-0.05142665
15	11	0.9325148	-0.2266484	-0.2773116	-0.05292952
15	11	0.9435794	-0.2264364	-0.2768135	-0.05470216
15	11	0.9550668	-0.226001	-0.276476	-0.05641711
15	11	0.9659304	-0.2261835	-0.2756267	-0.05807829
15	11	0.9772364	-0.2265991	-0.2748038	-0.06010246
15	11	0.9881473	-0.2264335	-0.2741373	-0.06245053
15	11	0.9995804	-0.2288125	-0.2728037	-0.06467688
15	11	1.01263	-0.2303073	-0.2714248	-0.06681323
15	11	1.02206	-0.2307709	-0.2701442	-0.06850648
15	11	1.0331	-0.2335391	-0.2677656	-0.06990838
15	11	1.044152	-0.2363784	-0.2647871	-0.07057333
15	11	1.055295	-0.2394073	-0.2605952	-0.07210028
15	11	1.066609	-0.2427038	-0.2578702	-0.07377136
15	11	1.077611	-0.2465796	-0.2532476	-0.07586515
15	11	1.088807	-0.2506961	-0.2489513	-0.07884729
15	11	1.100059	-0.2552999	-0.2441585	-0.08234155
15	11	1.11114	-0.2583122	-0.2401693	-0.08469594
15	11	1.122084	-0.2619202	-0.2350343	-0.08845091
15	11	1.133402	-0.265795	-0.2291384	-0.09153998
15	11	1.144567	-0.2695135	-0.2235259	-0.09491038
15	11	1.156215	-0.2728527	-0.218078	-0.09764397
15	11	1.169798	-0.2764825	-0.2130935	-0.09993923
15	11	1.178335	-0.2803476	-0.2067655	-0.1038972
15	11	1.189535	-0.2835568	-0.2013391	-0.1050476
15	11	1.200788	-0.2873919	-0.1955853	-0.1057183
15	11	1.212015	-0.2912616	-0.1890459	-0.1061937
15	11	1.223006	-0.2966667	-0.1818095	-0.1062633
15	11	1.234687	-0.2999272	-0.1762953	-0.1051897
15	11	1.245759	-0.3035342	-0.1694938	-0.1060624
