x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0401623	-0.3256866	0.01007366	-0.1118389
15	11	0.0478346	-0.3256866	0.01007366	-0.1118389
15	11	0.0550948	-0.3257786	0.01027012	-0.1117206
15	11	0.06307609	-0.3257358	0.01031625	-0.1117163
15	11	0.07258499	-0.3257358	0.01031625	-0.1117163
15	11	0.0795455	-0.3257768	0.01023531	-0.1117349
15	11	0.0875234	-0.3255465	0.01007509	-0.1116239
15	11	0.0990197	-0.3255212	0.01007092	-0.111598
15	11	0.1096312	-0.325475	0.01005685	-0.111631
15	11	0.1210758	-0.3253168	0.01014888	-0.1116998
15	11	0.1320081	-0.3252445	0.01017869	-0.1117698
15	11	0.1431708	-0.3252416	0.01022863	-0.1118479
15	11	0.1541621	-0.325193	0.01039588	-0.1119907
15	11	0.1655249	-0.3250312	0.01049793	-0.1121197
15	11	0.176685	-0.3249345	0.0104059	-0.1123706
15	11	0.1912965	-0.3249342	0.01064086	-0.112519
15	11	0.1996702	-0.3248026	0.01069403	-0.1125278
15	11	0.210702	-0.3247309	0.01064003	-0.1125922
15	11	0.2213713	-0.3247869	0.01081514	-0.1127725
15	11	0.232673	-0.3245054	0.01091528	-0.1129781
15	11	0.2439042	-0.3246745	0.01091123	-0.1128341
15	11	0.2549891	-0.3248109	0.01115108	-0.1130677
15	11	0.2662418	-0.3249344	0.01097596	-0.1132929
15	11	0.2772472	-0.3249321	0.01096594	-0.1132892
15	11	0.2883045	-0.3246958	0.01086891	-0.1133142
15	11	0.2993779	-0.3244686	0.01087761	-0.1134785
15	11	0.3107082	-0.3244615	0.01059461	-0.113741
15	11	0.3226235	-0.3242905	0.01051867	-0.1137078
15	11	0.3339823	-0.3243662	0.01034486	-0.1137239
15	11	0.3443713	-0.3243424	0.01026964	-0.1136361
15	11	0.3552465	-0.3244071	0.01034856	-0.1136346
15	11	0.3668281	-0.3245804	0.0101403	-0.1136185
15	11	0.37756	-0.3245888	0.01020229	-0.1133268
15	11	0.3888244	-0.3246497	0.01023912	-0.1132946
15	11	0.4000427	-0.3245333	0.01013243	-0.1131947
15	11	0.4113719	-0.3246131	0.009781003	-0.1132762
15	11	0.4226722	-0.3247871	0.009801269	-0.1133199
15	11	0.4342797	-0.3248626	0.009671092	-0.1130172
15	11	0.4457909	-0.3248216	0.009457946	-0.1127764
15	11	0.4573739	-0.3250147	0.009378314	-0.1125963
15	11	0.4689237	-0.3250798	0.009135008	-0.112311
15	11	0.4805149	-0.3252901	0.009005785	-0.111668
15	11	0.4918849	-0.3254539	0.008852243	-0.1109571
15	11	0.5033236	-0.3257343	0.008550406	-0.1105391
15	11	0.5150701	-0.3260559	0.008418441	-0.1093019
15	11	0.526333	-0.3262293	0.008478165	-0.10858
15	11	0.5380674	-0.3266999	0.008240104	-0.1074668
15	11	0.5495028	-0.3274313	0.008192062	-0.1054227
15	11	0.5614584	-0.3279302	0.007982969	-0.1040725
15	11	0.5725391	-0.3286762	0.007814288	-0.1019125
15	11	0.5845058	-0.329697	0.007709146	-0.09872234
15	11	0.5957077	-0.3307697	0.007980943	-0.09559917
15	11	0.6076444	-0.332056	0.007992864	-0.09171617
15	11	0.6187513	-0.333068	0.008398294	-0.088413
15	11	0.6304743	-0.3343308	0.008972764	-0.08317447
15	11	0.6416008	-0.335417	0.009199619	-0.07880735
15	11	0.653051	-0.3369336	0.009924293	-0.07349086
15	11	0.6647609	-0.3381189	0.01053333	-0.06769347
15	11	0.6762253	-0.3393447	0.011114	-0.06164098
15	11	0.6873822	-0.3403087	0.01178885	-0.05500972
15	11	0.6987035	-0.341571	0.01242793	-0.04843974
15	11	0.7100224	-0.3424371	0.01317179	-0.04148602
15	11	0.7211776	-0.3433527	0.0140394	-0.03481114
15	11	0.7320572	-0.3444372	0.01463377	-0.0283972
15	11	0.7431632	-0.3449098	0.01534605	-0.0223459
15	11	0.7544498	-0.3449041	0.01583612	-0.0166105
15	11	0.7657235	-0.3448925	0.01609313	-0.01139247
15	11	0.7767802	-0.3452889	0.01639748	-0.005539894
15	11	0.7879556	-0.3451957	0.01670837	-0.0006818771
15	11	0.7991582	-0.3452482	0.01684511	0.004168749
15	11	0.8102798	-0.3456904	0.01741099	0.01007676
15	11	0.8213378	-0.3455766	0.01760411	0.01451313
15	11	0.8328409	-0.3455489	0.01764178	0.01830506
15	11	0.8437493	-0.3451356	0.01847565	0.02258527
15	11	0.8549374	-0.3448745	0.01848042	0.02606642
15	11	0.8661743	-0.3443612	0.01851535	0.02859199
15	11	0.8776717	-0.3440396	0.01879954	0.03147542
15	11	0.8885426	-0.3434814	0.01856387	0.03407955
15	11	0.8995325	-0.3431346	0.01820219	0.03576958
15	11	0.9107724	-0.3429264	0.01875234	0.03888929
15	11	0.9220045	-0.3427094	0.01878059	0.04149222
15	11	0.9331782	-0.3425143	0.01814079	0.04265833
15	11	0.9444026	-0.3422991	0.01807141	0.04483891
15	11	0.9555456	-0.3422147	0.0173974	0.04588509
15	11	0.9667911	-0.3420079	0.01665473	0.0463165
15	11	0.9776592	-0.3419749	0.01596439	0.04727423
15	11	0.9888689	-0.3420421	0.01552784	0.04790711
15	11	1.000209	-0.3420234	0.01501429	0.04897392
15	11	1.011586	-0.3419402	0.01437032	0.05013168
15	11	1.023013	-0.341841	0.01394987	0.05132043
15	11	1.034119	-0.3416121	0.01310802	0.05238378
15	11	1.044857	-0.3414123	0.01238382	0.05366957
15	11	1.056069	-0.3413742	0.01180351	0.05484712
15	11	1.067486	-0.3412938	0.01120973	0.05577004
15	11	1.078275	-0.3413138	0.01066148	0.05665803
15	11	1.089561	-0.3412325	0.01026928	0.05754197
15	11	1.10121	-0.3411608	0.009898186	0.05799568
15	11	1.111842	-0.3410209	0.009346485	0.05845976
15	11	1.123237	-0.3409389	0.00898242	0.05849934
15	11	1.134485	-0.3412752	0.008587956	0.05829585
15	11	1.145635	-0.3414588	0.008628726	0.05772698
