x	y	time	x-coordinate	y-coordinate	z-coordinate
15	11	0.0411695	-0.3499353	-0.02887011	-0.04994488
15	11	0.0647002	-0.3499552	-0.02894723	-0.04924297
15	11	0.0744852	-0.3498442	-0.02885067	-0.04918516
15	11	0.094346	-0.349895	-0.02901804	-0.04870641
15	11	0.1066603	-0.349893	-0.028898	-0.04871118
15	11	0.1176761	-0.3498933	-0.02902913	-0.04846585
15	11	0.1371445	-0.3499331	-0.02916098	-0.0480777
15	11	0.1445013	-0.3499016	-0.02929318	-0.04780006
15	11	0.1529324	-0.3499016	-0.02929318	-0.04780006
15	11	0.1720824	-0.3499922	-0.02968824	-0.04731798
15	11	0.1796152	-0.3499933	-0.02993369	-0.04709184
15	11	0.1871552	-0.3499933	-0.02993369	-0.04709184
15	11	0.2070626	-0.3501093	-0.03030801	-0.04714131
15	11	0.2171661	-0.3501376	-0.03044903	-0.04722619
15	11	0.2245618	-0.350166	-0.0306071	-0.04736209
15	11	0.2447558	-0.3499882	-0.03054881	-0.04754913
15	11	0.2528848	-0.3499882	-0.03054881	-0.04754913
15	11	0.2603904	-0.350144	-0.0306834	-0.04717326
15	11	0.281501	-0.3500254	-0.03084028	-0.04693627
15	11	0.2893687	-0.3499995	-0.03090715	-0.04643106
15	11	0.2971561	-0.3499995	-0.03090715	-0.04643106
15	11	0.3166067	-0.3499719	-0.0306052	-0.04616272
15	11	0.3242394	-0.3500212	-0.03065014	-0.04579413
15	11	0.3312765	-0.3500212	-0.03065014	-0.04579413
15	11	0.3501113	-0.3498442	-0.03040719	-0.04567802
15	11	0.3577241	-0.3501205	-0.0307976	-0.04551804
15	11	0.3654025	-0.3501205	-0.0307976	-0.04551804
15	11	0.3854748	-0.3500187	-0.03086615	-0.04541993
15	11	0.3932896	-0.3502553	-0.03114855	-0.04514098
15	11	0.4004064	-0.3502553	-0.03114855	-0.04514098
15	11	0.4196567	-0.3502381	-0.03110826	-0.04525197
15	11	0.4275852	-0.3503263	-0.03103101	-0.04479194
15	11	0.434453	-0.3502593	-0.03078771	-0.04491341
15	11	0.4522236	-0.3504821	-0.03078938	-0.04468644
15	11	0.4595251	-0.3506188	-0.0308274	-0.04454005
15	11	0.4663641	-0.3506188	-0.0308274	-0.04454005
15	11	0.474264	-0.3505582	-0.03061926	-0.0445627
15	11	0.4939723	-0.3507262	-0.03076649	-0.0440104
15	11	0.5006067	-0.3507262	-0.03076649	-0.0440104
15	11	0.508556	-0.3506048	-0.03075457	-0.04405773
15	11	0.5277621	-0.3507361	-0.03080618	-0.04380262
15	11	0.5348683	-0.3507078	-0.03064489	-0.04403889
15	11	0.5418149	-0.3507078	-0.03064489	-0.04403889
15	11	0.5614609	-0.3506476	-0.03079987	-0.04418647
15	11	0.5693176	-0.3503908	-0.03084016	-0.04437935
15	11	0.5761462	-0.3503908	-0.03084016	-0.04437935
15	11	0.5961797	-0.3504264	-0.03100574	-0.04414058
15	11	0.6037136	-0.3503895	-0.03084862	-0.04430676
15	11	0.6102397	-0.3503895	-0.03084862	-0.04430676
15	11	0.630089	-0.3503397	-0.03096962	-0.04400015
15	11	0.6371505	-0.3502897	-0.03086531	-0.04421496
15	11	0.6440079	-0.3502897	-0.03086531	-0.04421496
15	11	0.6640443	-0.3504013	-0.03127849	-0.0441587
15	11	0.6718255	-0.3501499	-0.03139663	-0.04466057
15	11	0.6783271	-0.3501499	-0.03139663	-0.04466057
15	11	0.6987339	-0.3502353	-0.03177214	-0.04496694
