x	y	time
15	11	0.0442397
15	11	0.0534719
15	11	0.0661007
15	11	0.0794961
15	11	0.0882362
15	11	0.09713849
15	11	0.10456
15	11	0.112379
15	11	0.134678
15	11	0.1572493
15	11	0.17966
15	11	0.2025938
15	11	0.2251397
15	11	0.2470127
15	11	0.2691222
15	11	0.29149
15	11	0.3141489
15	11	0.3359991
15	11	0.358806
15	11	0.3810977
15	11	0.4033445
15	11	0.4262633
15	11	0.4483533
15	11	0.4706519
15	11	0.4930721
15	11	0.515055
15	11	0.5376695
15	11	0.5598407
15	11	0.5820431
15	11	0.6041471
15	11	0.6270519
15	11	0.6375338
15	11	0.6495947
15	11	0.6604633
15	11	0.6711694
15	11	0.6824468
15	11	0.6939883
15	11	0.7046878
15	11	0.7157321
15	11	0.7269865
15	11	0.7378013
15	11	0.7492921
15	11	0.7603317
15	11	0.7713407
15	11	0.7828503
15	11	0.7941781
15	11	0.8051367
15	11	0.8162922
15	11	0.8280687
15	11	0.8383957
15	11	0.8500258
15	11	0.8616712
15	11	0.8722134
15	11	0.8834082
15	11	0.8950663
15	11	0.90638
15	11	0.9184428
15	11	0.9300124
15	11	0.9416576
15	11	0.9534031
15	11	0.9654136
15	11	0.9775468
15	11	0.9896296
15	11	1.001959
15	11	1.012533
15	11	1.023494
15	11	1.034907
15	11	1.046659
15	11	1.057502
15	11	1.069461
15	11	1.080022
15	11	1.090744
15	11	1.101898
15	11	1.11298
15	11	1.124266
15	11	1.134928
15	11	1.146786
15	11	1.157982
15	11	1.168218
15	11	1.179661
15	11	1.190452
15	11	1.203177
15	11	1.213312
15	11	1.224209
15	11	1.235837
15	11	1.247389
15	11	1.258002
15	11	1.269532
15	11	1.280629
15	11	1.291344
15	11	1.302604
15	11	1.314183
15	11	1.3249
15	11	1.33583
15	11	1.347141
15	11	1.358342
15	11	1.369753
15	11	1.38077
15	11	1.391965
15	11	1.403716
15	11	1.414804
15	11	1.42581
15	11	1.436974
15	11	1.448375
15	11	1.459051
15	11	1.470622
15	11	1.481367
15	11	1.492375
15	11	1.503829
15	11	1.515016
15	11	1.526151
15	11	1.537295
15	11	1.548488
15	11	1.559575
15	11	1.570754
15	11	1.58186
15	11	1.593357
15	11	1.604367
15	11	1.615498
15	11	1.627205
15	11	1.637662
15	11	1.648829
15	11	1.659997
15	11	1.670956
15	11	1.682069
15	11	1.693461
15	11	1.704568
15	11	1.715697
15	11	1.727063
15	11	1.738187
15	11	1.74974
15	11	1.761649
15	11	1.77192
15	11	1.783151
15	11	1.794491
15	11	1.805562
15	11	1.816616
15	11	1.828309
15	11	1.839071
15	11	1.85021
15	11	1.861812
15	11	1.872388
15	11	1.883663
15	11	1.895255
15	11	1.906388
15	11	1.917354
15	11	1.928808
15	11	1.939856
15	11	1.950805
15	11	1.962095
15	11	1.972962
15	11	1.984134
15	11	1.996189
15	11	2.006747
15	11	2.017753
15	11	2.028844
15	11	2.03986
15	11	2.050823
15	11	2.06252
15	11	2.0733
15	11	2.084803
15	11	2.096539
15	11	2.10692
15	11	2.118094
15	11	2.129541
15	11	2.140391
15	11	2.151461
15	11	2.163169
15	11	2.173985
15	11	2.184884
15	11	2.196619
15	11	2.207389
15	11	2.218695
15	11	2.229707
15	11	2.240872
15	11	2.252464
15	11	2.263645
15	11	2.274609
15	11	2.286066
15	11	2.297159
15	11	2.307947
